key,time,commitTime,PythonfileNum,pythonFile
#1491,2021-09-28 17:18:43,2021-09-28 20:18:43,3,"['deeppavlov/__init__.py', 'deeppavlov/_meta.py', 'deeppavlov/core/common/base.py']"
#1474,2021-09-06 19:21:30,2021-09-06 22:21:30,7,"['deeppavlov/core/models/torch_model.py', 'deeppavlov/core/trainers/nn_trainer.py', 'deeppavlov/dataset_readers/huggingface_dataset_reader.py', 'deeppavlov/metrics/mse.py', 'deeppavlov/metrics/record_metrics.py', 'deeppavlov/models/preprocessors/torch_transformers_preprocessor.py', 'tests/test_quick_start.py']"
#1461,2021-08-31 15:51:50,2021-08-31 17:51:50,14,"['deeppavlov/_meta.py', 'deeppavlov/core/models/torch_model.py', 'deeppavlov/dataset_readers/docred_reader.py', 'deeppavlov/dataset_readers/rured_reader.py', 'deeppavlov/metrics/accuracy.py', 'deeppavlov/models/classifiers/re_bert.py', 'deeppavlov/models/kbqa/entity_linking.py', 'deeppavlov/models/preprocessors/re_preprocessor.py', 'deeppavlov/models/preprocessors/torch_transformers_preprocessor.py', 'deeppavlov/models/relation_extraction/__init__.py', 'deeppavlov/models/relation_extraction/losses.py', 'deeppavlov/models/relation_extraction/relation_extraction_bert.py', 'docs/conf.py', 'tests/test_quick_start.py']"
#1456,2021-06-03 09:06:23,2021-06-03 12:06:22,3,"['deeppavlov/models/kbqa/tree_to_sparql.py', 'docs/conf.py', 'tests/test_quick_start.py']"
#1451,2021-07-29 21:35:43,2021-07-30 00:35:43,14,"['deeppavlov/dataset_iterators/huggingface_dataset_iterator.py', 'deeppavlov/dataset_readers/huggingface_dataset_reader.py', 'deeppavlov/models/classifiers/proba2labels.py', 'deeppavlov/models/classifiers/utils.py', 'deeppavlov/models/embedders/transformers_embedder.py', 'deeppavlov/models/preprocessors/squad_preprocessor.py', 'deeppavlov/models/preprocessors/torch_transformers_preprocessor.py', 'deeppavlov/models/torch_bert/torch_bert_ranker.py', 'deeppavlov/models/torch_bert/torch_transformers_classifier.py', 'deeppavlov/models/torch_bert/torch_transformers_multiplechoice.py', 'deeppavlov/models/torch_bert/torch_transformers_sequence_tagger.py', 'deeppavlov/models/torch_bert/torch_transformers_squad.py', 'tests/test_quick_start.py', 'utils/prepare/upload.py']"
#1437,2021-05-13 06:25:18,2021-05-13 09:25:17,5,"['deeppavlov/core/commands/utils.py', 'deeppavlov/core/common/registry.py', 'deeppavlov/models/go_bot/wrapper.py', 'deeppavlov/models/kbqa/sentence_answer.py', 'docs/conf.py']"
#1429,2021-04-20 16:11:16,2021-04-20 19:11:16,2,"['deeppavlov/core/data/utils.py', 'deeppavlov/download.py']"
#1397,2021-05-13 13:47:47,2021-05-13 16:47:46,5,"['deeppavlov/models/preprocessors/torch_transformers_preprocessor.py', 'deeppavlov/models/torch_bert/torch_transformers_sequence_tagger.py', 'tests/test_quick_start.py', 'utils/prepare/hashes.py', 'utils/prepare/upload.py']"
#1364,2020-12-24 16:06:55,2020-12-24 19:06:54,5,"['deeppavlov/_meta.py', 'deeppavlov/dataset_readers/intent_catcher_reader.py', 'deeppavlov/models/intent_catcher/__init__.py', 'deeppavlov/models/intent_catcher/intent_catcher.py', 'docs/conf.py']"
#1361,2020-12-24 15:02:01,2020-12-24 18:11:48,9,"['deeppavlov/dataset_readers/md_yaml_dialogs_reader.py', 'deeppavlov/models/go_bot/nlg/mock_json_nlg_manager.py', 'deeppavlov/models/go_bot/nlg/nlg_manager.py', 'deeppavlov/models/go_bot/nlg/nlg_manager_interface.py', 'deeppavlov/models/go_bot/policy/policy_network.py', 'deeppavlov/models/go_bot/tracker/dialogue_state_tracker.py', 'deeppavlov/models/go_bot/tracker/dto/dst_knowledge.py', 'deeppavlov/models/go_bot/tracker/featurized_tracker.py', 'deeppavlov/models/slotfill/slotfill.py']"
#1357,2020-12-24 12:37:31,2020-12-24 15:37:29,16,"['deeppavlov/models/doc_retrieval/logit_ranker.py', 'deeppavlov/models/doc_retrieval/utils.py', 'deeppavlov/models/kbqa/kbqa_entity_linking.py', 'deeppavlov/models/kbqa/query_generator.py', 'deeppavlov/models/kbqa/query_generator_base.py', 'deeppavlov/models/kbqa/query_generator_online.py', 'deeppavlov/models/kbqa/rel_ranking_bert_infer.py', 'deeppavlov/models/kbqa/sentence_answer.py', 'deeppavlov/models/kbqa/template_matcher.py', 'deeppavlov/models/kbqa/wiki_parser.py', 'deeppavlov/models/preprocessors/odqa_preprocessors.py', 'deeppavlov/models/tokenizers/spacy_tokenizer.py', 'deeppavlov/models/tokenizers/utils.py', 'docs/conf.py', 'tests/test_quick_start.py', 'utils/__init__.py']"
#1351,2020-12-15 08:35:35,2020-12-15 11:35:34,4,"['deeppavlov/models/preprocessors/torch_transformers_preprocessor.py', 'deeppavlov/models/torch_bert/torch_bert_as_summarizer.py', 'deeppavlov/models/torch_bert/torch_bert_ranker.py', 'deeppavlov/models/torch_bert/torch_transformers_classifier.py']"
#1339,2020-11-12 20:41:46,2020-11-12 23:41:46,6,"['deeppavlov/_meta.py', 'deeppavlov/dataset_readers/md_yaml_dialogs_reader.py', 'deeppavlov/models/go_bot/nlg/dto/json_nlg_response.py', 'deeppavlov/models/go_bot/nlg/mock_json_nlg_manager.py', 'deeppavlov/models/slotfill/slotfill_raw.py', 'tests/test_quick_start.py']"
