key,time,commitTime,PythonfileNum,pythonFile
#39409,2022-02-09 03:18:32,2022-02-09 11:18:31,2,"['python/paddle/fluid/tests/unittests/test_softmax_with_cross_entropy_op.py', 'python/paddle/nn/functional/loss.py']"
#39381,2022-02-08 13:27:30,2022-02-08 21:27:29,4,"['python/paddle/fluid/dygraph/nn.py', 'python/paddle/fluid/tests/unittests/test_lookup_table_v2_op.py', 'python/paddle/fluid/tests/unittests/xpu/test_lookup_table_v2_op_xpu.py', 'python/paddle/nn/functional/input.py']"
#39380,2022-02-08 08:19:38,2022-02-08 16:19:37,2,"['python/paddle/fluid/tests/unittests/test_concat_op.py', 'python/paddle/fluid/tests/unittests/test_split_op.py']"
#39376,2022-02-09 06:07:10,2022-02-09 14:07:09,2,"['paddle/fluid/eager/auto_code_generator/final_state_generator/eager_gen.py', 'python/paddle/fluid/dygraph/tracer.py']"
#39375,2022-02-08 02:54:09,2022-02-08 10:54:09,2,"['python/paddle/fluid/tests/unittests/test_var_base.py', 'python/paddle/tensor/to_string.py']"
#39369,2022-02-09 06:35:25,2022-02-09 14:35:24,8,"['python/paddle/fluid/contrib/slim/quantization/quant2_int8_mkldnn_pass.py', 'python/paddle/fluid/tests/unittests/ir/inference/test_flatten2_matmul_fuse_pass.py', 'python/paddle/fluid/tests/unittests/ir/inference/test_map_matmul_to_mul_pass.py', 'python/paddle/fluid/tests/unittests/ir/inference/test_map_matmul_v2_to_matmul_pass.py', 'python/paddle/fluid/tests/unittests/ir/inference/test_map_matmul_v2_to_mul_pass.py', 'python/paddle/fluid/tests/unittests/ir/inference/test_mkldnn_matmul_v2_transpose_reshape_fuse_pass.py', 'python/paddle/fluid/tests/unittests/ir/inference/test_reshape2_matmul_fuse_pass.py', 'python/paddle/fluid/tests/unittests/ir/inference/test_squeeze2_matmul_fuse_pass.py']"
#39352,2022-02-07 16:05:34,2022-02-08 00:05:34,2,"['python/paddle/fluid/tests/custom_op/custom_raw_op_kernel_op_setup.py', 'python/paddle/fluid/tests/custom_op/test_custom_raw_op_kernel_op.py']"
#39334,2022-02-08 05:57:02,2022-02-08 13:57:02,4,"['python/paddle/distributed/fleet/meta_parallel/sharding/sharding_stage3.py', 'python/paddle/distributed/fleet/meta_parallel/sharding/sharding_utils.py', 'python/paddle/fluid/tests/unittests/dygraph_sharding_stage3.py', 'python/paddle/fluid/tests/unittests/dygraph_sharding_stage3_offload.py']"
#39309,2022-01-28 09:24:22,2022-01-28 17:24:22,5,"['python/paddle/fluid/tests/unittests/op_test.py', 'python/paddle/fluid/tests/unittests/test_diag_v2.py', 'python/paddle/fluid/tests/unittests/test_diagonal_op.py', 'python/paddle/fluid/tests/unittests/test_digamma_op.py', 'python/paddle/fluid/tests/unittests/test_trunc_op.py']"
#39304,2022-02-07 07:17:41,2022-02-07 08:17:41,3,"['python/paddle/fluid/contrib/mixed_precision/bf16/amp_lists.py', 'python/paddle/fluid/contrib/tests/test_bf16_utils.py', 'python/paddle/fluid/contrib/tests/test_model_cast_to_bf16.py']"
#39285,2022-01-28 02:56:49,2022-01-28 10:56:48,4,"['python/paddle/distributed/fleet/meta_optimizers/dygraph_optimizer/sharding_optimizer_stage2.py', 'python/paddle/distributed/fleet/meta_parallel/sharding/sharding_stage3.py', 'python/paddle/fluid/tests/unittests/dygraph_sharding_optimizer_stage2.py', 'python/paddle/fluid/tests/unittests/dygraph_sharding_stage3.py']"
#39281,2022-01-28 02:22:00,2022-01-28 10:22:00,3,"['python/paddle/utils/code_gen/api_gen.py', 'python/paddle/utils/code_gen/backward_api_gen.py', 'python/paddle/utils/code_gen/gen_utils.py']"
#39263,2022-02-04 12:35:04,2022-02-04 20:35:04,3,"['python/paddle/utils/code_gen/api_gen.py', 'python/paddle/utils/code_gen/backward_api_gen.py', 'python/paddle/utils/code_gen/gen_utils.py']"
#39260,2022-01-30 02:47:32,2022-01-30 10:47:31,2,"['python/paddle/fluid/layers/loss.py', 'python/paddle/fluid/tests/unittests/mlu/test_softmax_with_cross_entropy_op_mlu.py']"
#39232,2022-01-26 09:04:11,2022-01-26 17:04:11,15,"['python/paddle/fluid/tests/unittests/ipu/test_groupnorm_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_instancenorm_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_ipu_batchs_per_step_simple.py', 'python/paddle/fluid/tests/unittests/ipu/test_ipu_fp16_support.py', 'python/paddle/fluid/tests/unittests/ipu/test_ipu_inference_model_io.py', 'python/paddle/fluid/tests/unittests/ipu/test_ipu_model_pipeline.py', 'python/paddle/fluid/tests/unittests/ipu/test_ipu_strategy.py', 'python/paddle/fluid/tests/unittests/ipu/test_layernorm_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_log_softmax_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_lookuptable_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_lr_sheduelr.py', 'python/paddle/fluid/tests/unittests/ipu/test_matmul_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_mean_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_mul_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_pool_avg_op_ipu.py']"
#39229,2022-01-26 06:47:19,2022-01-26 14:47:18,3,"['python/paddle/utils/code_gen/api_gen.py', 'python/paddle/utils/code_gen/backward_api_gen.py', 'python/paddle/utils/code_gen/gen_utils.py']"
#39223,2022-01-26 09:57:29,2022-01-26 17:57:28,2,"['python/paddle/fluid/tests/unittests/test_imperative_lod_tensor_to_selected_rows.py', 'python/paddle/fluid/tests/unittests/test_imperative_selected_rows_to_lod_tensor.py']"
#39222,2022-01-30 06:32:57,2022-01-30 14:32:57,3,"['python/paddle/utils/code_gen/api_gen.py', 'python/paddle/utils/code_gen/backward_api_gen.py', 'python/paddle/utils/code_gen/gen_utils.py']"
#39221,2022-01-29 06:34:16,2022-01-29 14:34:16,3,"['python/paddle/autograd/functional.py', 'python/paddle/fluid/backward.py', 'python/paddle/fluid/tests/unittests/autograd/test_autograd_static.py']"
#39215,2022-01-28 09:39:08,2022-01-28 17:39:07,2,"['paddle/fluid/eager/auto_code_generator/final_state_generator/eager_gen.py', 'paddle/fluid/eager/auto_code_generator/generate_file_structures.py']"
#39214,2022-01-26 07:14:06,2022-01-26 15:14:06,18,"['python/paddle/fluid/tests/unittests/ipu/test_pool_max_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_pow_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_reduce_x_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_reshape_inplace_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_reshape_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_save_load.py', 'python/paddle/fluid/tests/unittests/ipu/test_scale_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_set_batch_size_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_sgd_optimizer.py', 'python/paddle/fluid/tests/unittests/ipu/test_slice_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_softmax_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_squeeze_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_stack_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_sum_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_topk_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_transpose_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_unsqueeze_op_ipu.py', 'python/paddle/fluid/tests/unittests/ipu/test_varname_inplace.py']"
