key,time,commitTime,PythonfileNum,pythonFile
#5242,2022-02-22 11:19:17,2022-02-22 19:19:16,2,"['static/slim/nas/search_space/blazefacespace_nas.py', 'static/slim/nas/train_nas.py']"
#5184,2022-02-10 02:22:03,2022-02-10 10:22:02,5,"['ppdet/utils/check.py', 'static/tools/infer.py', 'tools/eval.py', 'tools/infer.py', 'tools/train.py']"
#5176,2022-02-09 08:53:01,2022-02-10 10:22:02,5,"['ppdet/utils/check.py', 'static/tools/infer.py', 'tools/eval.py', 'tools/infer.py', 'tools/train.py']"
#4937,2021-12-20 13:53:25,2021-12-20 21:53:25,3,"['deploy/pptracking/python/visualize.py', 'deploy/python/visualize.py', 'ppdet/engine/trainer.py']"
#4935,2021-12-20 07:16:02,2021-12-20 15:16:02,11,"['deploy/pptracking/python/det_infer.py', 'deploy/pptracking/python/mot_jde_infer.py', 'deploy/pptracking/python/mot_sde_infer.py', 'deploy/pptracking/python/utils.py', 'deploy/python/det_keypoint_unite_utils.py', 'deploy/python/infer.py', 'deploy/python/keypoint_infer.py', 'deploy/python/mot_jde_infer.py', 'deploy/python/mot_keypoint_unite_utils.py', 'deploy/python/mot_sde_infer.py', 'deploy/python/utils.py']"
#4861,2021-12-09 10:44:04,2021-12-09 18:44:04,2,"['deploy/pptracking/python/mot_jde_infer.py', 'deploy/pptracking/python/mot_sde_infer.py']"
#4857,2021-12-09 04:14:18,2021-12-09 12:14:17,8,"['deploy/pptracking/python/mot_jde_infer.py', 'deploy/pptracking/python/mot_sde_infer.py', 'deploy/python/det_keypoint_unite_infer.py', 'deploy/python/infer.py', 'deploy/python/keypoint_infer.py', 'deploy/python/mot_jde_infer.py', 'deploy/python/mot_keypoint_unite_infer.py', 'deploy/python/mot_sde_infer.py']"
#4848,2021-12-09 02:53:16,2021-12-09 10:53:16,3,"['deploy/pptracking/python/det_infer.py', 'deploy/python/infer.py', 'static/deploy/python/infer.py']"
#4780,2021-12-02 11:00:38,2021-12-02 19:00:37,5,"['configs/mot/mtmct/gen_aicity_mtmct_data.py', 'deploy/pptracking/python/mot/mtmct/camera_utils.py', 'deploy/pptracking/python/mot/mtmct/postprocess.py', 'deploy/pptracking/python/mot/mtmct/utils.py', 'deploy/pptracking/python/mot_sde_infer.py']"
#4773,2021-12-02 02:12:16,2021-12-02 10:12:16,2,"['ppdet/modeling/backbones/lite_hrnet.py', 'ppdet/modeling/ops.py']"
#4683,2021-11-24 03:22:49,2021-11-24 11:22:48,14,"['deploy/pptracking/python/mot/matching/jde_matching.py', 'deploy/pptracking/python/mot/mtmct/camera_utils.py', 'deploy/pptracking/python/mot/mtmct/postprocess.py', 'deploy/pptracking/python/mot/mtmct/utils.py', 'deploy/pptracking/python/mot/mtmct/zone.py', 'ppdet/data/source/category.py', 'ppdet/data/source/mot.py', 'ppdet/modeling/mot/matching/deepsort_matching.py', 'ppdet/modeling/mot/matching/jde_matching.py', 'ppdet/modeling/mot/motion/kalman_filter.py', 'ppdet/modeling/mot/tracker/base_jde_tracker.py', 'ppdet/modeling/mot/tracker/base_sde_tracker.py', 'ppdet/modeling/mot/tracker/deepsort_tracker.py', 'ppdet/modeling/mot/tracker/jde_tracker.py']"
#4675,2021-11-23 08:53:38,2021-11-23 16:53:38,3,"['ppdet/engine/trainer.py', 'ppdet/slim/__init__.py', 'ppdet/slim/unstructured_prune.py']"
#4674,2021-11-23 09:17:49,2021-11-23 17:17:48,3,"['deploy/python/det_keypoint_unite_infer.py', 'deploy/python/det_keypoint_unite_utils.py', 'deploy/python/visualize.py']"
#4668,2021-11-23 07:40:04,2021-11-23 15:40:04,15,"['deploy/python/infer.py', 'deploy/python/mot_jde_infer.py', 'deploy/python/mot_sde_infer.py', 'ppdet/data/source/mot.py', 'ppdet/engine/tracker.py', 'ppdet/modeling/architectures/jde.py', 'ppdet/modeling/mot/tracker/base_sde_tracker.py', 'ppdet/modeling/mot/utils.py', 'ppdet/modeling/mot/visualization.py', 'ppdet/modeling/necks/centernet_fpn.py', 'ppdet/modeling/post_process.py', 'ppdet/modeling/reid/fairmot_embedding_head.py', 'ppdet/modeling/reid/jde_embedding_head.py', 'ppdet/modeling/reid/pyramidal_embedding.py', 'tools/infer_mot.py']"
#4665,2021-11-23 06:29:05,2021-11-23 14:29:05,2,"['deploy/pptracking/python/mot_jde_infer.py', 'deploy/pptracking/python/mot_sde_infer.py']"
