key,time,commitTime,PythonfileNum,pythonFile
#6549,2022-01-30 00:58:57,2022-01-30 00:58:56,7,"['aiohttp/connector.py', 'aiohttp/helpers.py', 'aiohttp/multipart.py', 'aiohttp/streams.py', 'aiohttp/web_fileresponse.py', 'tests/conftest.py', 'tests/test_client_exceptions.py']"
#6547,2022-01-25 10:27:12,2022-01-25 11:27:12,4,"['aiohttp/helpers.py', 'aiohttp/web_protocol.py', 'aiohttp/web_response.py', 'tests/test_helpers.py']"
#6536,2022-01-20 20:51:09,2022-01-20 20:51:08,2,"['aiohttp/test_utils.py', 'tests/test_test_utils.py']"
#6533,2022-01-25 10:24:14,2022-01-25 12:24:14,3,"['aiohttp/client_reqrep.py', 'tests/test_client_request.py', 'tests/test_web_request.py']"
#6498,2022-01-22 19:25:43,2022-01-22 19:25:43,9,"['aiohttp/helpers.py', 'aiohttp/web.py', 'aiohttp/web_app.py', 'examples/background_tasks.py', 'examples/cli_app.py', 'examples/web_ws.py', 'tests/autobahn/server/server.py', 'tests/test_web_app.py', 'tests/test_web_functional.py']"
#6464,2021-12-28 12:49:02,2021-12-28 20:49:01,7,"['aiohttp/client_reqrep.py', 'aiohttp/connector.py', 'aiohttp/multipart.py', 'tests/test_http_parser.py', 'tests/test_streams.py', 'tests/test_web_response.py', 'tools/cleanup_changes.py']"
#6452,2021-12-23 14:11:51,2021-12-23 16:11:51,8,"['aiohttp/client.py', 'aiohttp/client_reqrep.py', 'aiohttp/helpers.py', 'aiohttp/test_utils.py', 'aiohttp/web.py', 'aiohttp/web_runner.py', 'aiohttp/web_urldispatcher.py', 'tests/test_circular_imports.py']"
#6409,2021-12-13 13:21:20,2021-12-13 15:21:18,5,"['aiohttp/http_parser.py', 'aiohttp/web_request.py', 'tests/test_http_parser.py', 'tests/test_proxy_functional.py', 'tests/test_web_request.py']"
#6340,2021-11-23 22:13:51,2021-11-23 23:13:51,2,"['aiohttp/web_request.py', 'tests/test_web_request.py']"
#6329,2021-11-20 09:54:50,2021-11-20 11:54:50,3,"['aiohttp/client.py', 'aiohttp/helpers.py', 'aiohttp/web_request.py']"
#6321,2022-01-19 15:25:44,2022-01-19 17:25:43,2,"['aiohttp/connector.py', 'tests/test_connector.py']"
#6316,2021-12-06 20:19:15,2021-12-06 21:19:14,10,"['aiohttp/client.py', 'aiohttp/client_proto.py', 'aiohttp/client_ws.py', 'aiohttp/connector.py', 'aiohttp/helpers.py', 'aiohttp/web_protocol.py', 'aiohttp/web_server.py', 'aiohttp/web_ws.py', 'tests/test_helpers.py', 'tests/test_web_runner.py']"
#6309,2021-11-14 12:37:54,2021-11-14 14:37:53,2,"['aiohttp/resolver.py', 'tests/test_resolver.py']"
#6307,2021-11-13 12:15:59,2021-11-13 12:15:59,2,"['aiohttp/http_parser.py', 'tests/test_http_parser.py']"
#6306,2021-11-13 12:09:35,2021-11-13 12:09:35,2,"['aiohttp/http_parser.py', 'tests/test_http_parser.py']"
#6305,2021-11-13 11:54:56,2021-11-13 12:15:59,2,"['aiohttp/http_parser.py', 'tests/test_http_parser.py']"
#6276,2021-11-11 07:41:13,2021-11-11 09:41:13,26,"['aiohttp/client.py', 'aiohttp/client_exceptions.py', 'aiohttp/connector.py', 'aiohttp/formdata.py', 'aiohttp/helpers.py', 'aiohttp/http_parser.py', 'aiohttp/locks.py', 'aiohttp/multipart.py', 'aiohttp/pytest_plugin.py', 'aiohttp/resolver.py', 'aiohttp/streams.py', 'aiohttp/test_utils.py', 'aiohttp/tracing.py', 'aiohttp/web_middlewares.py', 'aiohttp/web_protocol.py', 'aiohttp/web_request.py', 'aiohttp/web_urldispatcher.py', 'examples/web_classview.py', 'examples/web_cookies.py', 'examples/web_rewrite_headers_middleware.py', 'examples/web_srv.py', 'examples/web_srv_route_deco.py', 'examples/web_srv_route_table.py', 'examples/web_ws.py', 'tests/test___all__.py', 'tests/test_http_parser.py']"
#6201,2021-11-01 21:49:29,2021-11-01 23:49:29,3,"['aiohttp/__init__.py', 'docs/conf.py', 'tests/test___all__.py']"
#6183,2021-10-31 19:18:10,2021-10-31 20:18:10,2,"['aiohttp/helpers.py', 'tests/test_helpers.py']"
#6182,2021-10-31 17:03:06,2021-10-31 19:03:06,2,"['aiohttp/http_parser.py', 'tests/test_http_parser.py']"
#6181,2021-10-31 08:55:33,2021-10-31 10:55:32,2,"['aiohttp/helpers.py', 'tests/test_helpers.py']"
#6180,2021-11-03 18:53:55,2021-11-03 20:53:54,4,"['aiohttp/client_reqrep.py', 'aiohttp/helpers.py', 'aiohttp/web_request.py', 'tests/test_helpers.py']"
#6179,2021-10-30 16:04:27,2021-10-30 16:04:27,2,"['aiohttp/web_urldispatcher.py', 'tests/test_web_urldispatcher.py']"
#6178,2021-10-30 10:33:52,2021-10-30 19:33:52,2,"['aiohttp/client.py', 'tests/test_client_session.py']"
#6152,2021-10-28 15:34:01,2021-10-28 17:34:00,3,"['aiohttp/test_utils.py', 'docs/conf.py', 'tests/test_test_utils.py']"
#6147,2021-10-27 16:41:43,2021-10-27 19:41:42,2,"['aiohttp/base_protocol.py', 'tests/test_base_protocol.py']"
#6145,2021-10-27 16:08:06,2021-10-27 19:08:06,2,"['aiohttp/web_fileresponse.py', 'tests/test_web_sendfile_functional.py']"
#6144,2021-10-29 16:20:21,2021-10-29 19:20:20,2,"['setup.py', 'tests/test_http_parser.py']"
#6143,2021-10-27 14:24:35,2021-10-27 17:24:35,2,"['setup.py', 'tests/test_http_parser.py']"
#6137,2021-10-27 12:04:11,2021-10-27 12:04:11,3,"['aiohttp/web_app.py', 'aiohttp/web_middlewares.py', 'aiohttp/web_urldispatcher.py']"
#6135,2021-10-27 11:41:38,2021-10-27 12:04:11,3,"['aiohttp/web_app.py', 'aiohttp/web_middlewares.py', 'aiohttp/web_urldispatcher.py']"
#6129,2021-10-31 18:09:30,2021-10-31 19:09:29,2,"['aiohttp/client.py', 'tests/test_client_session.py']"
#6127,2021-10-24 10:55:20,2021-10-24 13:55:19,2,"['aiohttp/http_writer.py', 'aiohttp/multipart.py']"
#6121,2021-10-24 08:25:41,2021-10-24 11:25:41,2,"['aiohttp/client_reqrep.py', 'tests/test_client_functional.py']"
#6111,2021-10-20 12:33:40,2021-10-20 12:33:39,2,"['aiohttp/http_parser.py', 'tests/test_cookiejar.py']"
#6108,2021-10-20 11:55:00,2021-10-20 13:55:00,2,"['aiohttp/client_reqrep.py', 'setup.py']"
#6105,2021-10-19 23:54:58,2021-10-20 01:54:58,7,"['aiohttp/test_utils.py', 'tests/test_client_fingerprint.py', 'tests/test_client_request.py', 'tests/test_connector.py', 'tests/test_proxy_functional.py', 'tests/test_streams.py', 'tests/test_web_app.py']"
#6104,2021-10-19 23:52:39,2021-10-20 01:52:38,13,"['aiohttp/web_request.py', 'tests/test_client_functional.py', 'tests/test_client_request.py', 'tests/test_client_response.py', 'tests/test_client_session.py', 'tests/test_connector.py', 'tests/test_proxy.py', 'tests/test_proxy_functional.py', 'tests/test_run_app.py', 'tests/test_streams.py', 'tests/test_web_app.py', 'tests/test_web_functional.py', 'tests/test_web_urldispatcher.py']"
#6081,2021-10-16 12:10:35,2021-10-16 14:10:34,9,"['aiohttp/connector.py', 'aiohttp/helpers.py', 'aiohttp/test_utils.py', 'tests/conftest.py', 'tests/test_client_functional.py', 'tests/test_connector.py', 'tests/test_loop.py', 'tests/test_proxy_functional.py', 'tests/test_worker.py']"
#6074,2021-10-19 08:40:57,2021-10-19 09:40:57,3,"['tests/autobahn/client/client.py', 'tests/autobahn/server/server.py', 'tests/autobahn/test_autobahn.py']"
