file,fileSet
catalyst/contrib/data/collate_fn.py,['catalyst/utils/misc.py']
catalyst/utils/misc.py,"['catalyst/contrib/data/collate_fn.py', 'catalyst/contrib/__main__.py', 'catalyst/contrib/callbacks/__init__.py', 'catalyst/contrib/data/cv/dataset.py', 'catalyst/contrib/data/nlp/__init__.py', 'catalyst/contrib/utils/__init__.py', 'catalyst/contrib/utils/cv/__init__.py', 'catalyst/contrib/utils/pandas.py', 'catalyst/data/sampler.py', 'catalyst/data/sampler_inbatch.py', 'catalyst/data/tests/test_sampler_inbatch.py', 'catalyst/dl/__main__.py', 'catalyst/metrics/functional.py', 'catalyst/settings.py', 'catalyst/utils/__init__.py', 'setup.py', 'catalyst/contrib/utils/tests/test_misc.py', 'catalyst/core/runner.py', 'catalyst/data/__init__.py', 'catalyst/data/loader.py', 'catalyst/dl/scripts/run.py', 'catalyst/dl/scripts/tune.py', 'catalyst/runners/runner.py', 'catalyst/utils/__init__.py', 'catalyst/utils/loaders.py', 'catalyst/utils/torch.py', 'catalyst/callbacks/checkpoint.py', 'catalyst/callbacks/control_flow.py', 'catalyst/callbacks/criterion.py', 'catalyst/callbacks/early_stop.py', 'catalyst/callbacks/logging.py', 'catalyst/callbacks/metric.py', 'catalyst/callbacks/metrics/cmc_score.py', 'catalyst/callbacks/optimizer.py', 'catalyst/callbacks/scheduler.py', 'catalyst/callbacks/tests/test_control_flow_callback.py', 'catalyst/callbacks/tests/test_early_stop.py', 'catalyst/callbacks/tests/test_periodic_loader_callback.py', 'catalyst/callbacks/tests/test_wrapper_callback.py', 'catalyst/callbacks/validation.py', 'catalyst/contrib/callbacks/alchemy_logger.py', 'catalyst/contrib/callbacks/confusion_matrix_logger.py', 'catalyst/contrib/callbacks/inference_callback.py', 'catalyst/contrib/callbacks/knn_metric.py', 'catalyst/contrib/callbacks/mask_inference.py', 'catalyst/contrib/callbacks/neptune_logger.py', 'catalyst/contrib/callbacks/telegram_logger.py', 'catalyst/contrib/callbacks/wandb_logger.py', 'catalyst/core/callback.py', 'catalyst/core/legacy.py', 'catalyst/core/runner.py', 'catalyst/runners/runner.py', 'catalyst/runners/supervised.py', 'catalyst/utils/__init__.py', 'tests/_tests_scripts/core_batch_overfit_callback.py', 'catalyst/core/callbacks/optimizer.py', 'catalyst/core/tests/test_optimizer_callback.py']"
catalyst/contrib/scripts/run.py,"['catalyst/runners/runner.py', 'setup.py', 'tests/__init__.py', 'tests/misc.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py']"
catalyst/runners/runner.py,"['catalyst/contrib/scripts/run.py', 'setup.py', 'tests/__init__.py', 'tests/misc.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py', 'catalyst/callbacks/__init__.py', 'catalyst/callbacks/checkpoint.py', 'catalyst/callbacks/profiler.py', 'catalyst/core/callback.py', 'catalyst/core/logger.py', 'catalyst/core/runner.py', 'catalyst/loggers/comet.py', 'catalyst/loggers/console.py', 'catalyst/loggers/csv.py', 'catalyst/loggers/mlflow.py', 'catalyst/loggers/neptune.py', 'catalyst/loggers/tensorboard.py', 'catalyst/loggers/wandb.py', 'catalyst/runners/__init__.py', 'catalyst/runners/supervised.py', 'catalyst/__init__.py', 'catalyst/callbacks/checkpoint.py', 'catalyst/dl/scripts/run.py', 'catalyst/runners/config.py', 'catalyst/runners/hydra.py', 'tests/catalyst/callbacks/test_checkpoint.py', 'catalyst/callbacks/profiler.py', 'setup.py', 'tests/pipelines/test_runner.py', 'catalyst/metrics/__init__.py', 'catalyst/metrics/_accuracy.py', 'catalyst/metrics/_additive.py', 'catalyst/metrics/_functional_metric.py', 'catalyst/metrics/_hitrate.py', 'catalyst/metrics/_map.py', 'catalyst/metrics/_mrr.py', 'catalyst/metrics/_ndcg.py', 'examples/catalyst_rl/ddpg.py', 'examples/catalyst_rl/dqn.py', 'examples/reinforcement_learning/ddpg.py', 'examples/reinforcement_learning/dqn.py', 'examples/reinforcement_learning/reinforce.py', 'tests/catalyst/metrics/test_additive.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_vae.py', 'catalyst/contrib/datasets/cifar.py', 'catalyst/contrib/nn/criterion/__init__.py', 'catalyst/contrib/nn/criterion/ntxent.py', 'catalyst/data/dataset/__init__.py', 'catalyst/data/dataset/self_supervised.py', 'catalyst/runners/__init__.py', 'catalyst/runners/config.py', 'catalyst/runners/self_supervised.py', 'examples/catalyst_contrastive/simCLR.py', 'tests/catalyst/contrib/nn/test_criterion.py', 'tests/pipelines/test_config_contrastive.py', 'tests/pipelines/test_contrastive.py', 'tests/pipelines/test_sklearn_classifier_mnist.py', 'tests/catalyst/runners/test_runner.py', 'catalyst/callbacks/batch_transform.py', 'catalyst/callbacks/metrics/__init__.py', 'catalyst/callbacks/metrics/scikit_learn.py', 'catalyst/metrics/__init__.py', 'catalyst/metrics/_functional_metric.py', 'catalyst/registry.py', 'tests/pipelines/test_finetune2.py', 'tests/pipelines/test_multilabel_classification.py', 'catalyst/callbacks/metrics/segmentation.py', 'catalyst/callbacks/onnx.py', 'catalyst/callbacks/quantization.py', 'catalyst/callbacks/tracing.py', 'catalyst/core/runner.py', 'catalyst/data/__init__.py', 'catalyst/metrics/_additive.py', 'catalyst/metrics/_segmentation.py', 'catalyst/runners/supervised.py', 'examples/mnist_stages/runner.py', 'tests/catalyst/callbacks/test_optuna.py', 'tests/catalyst/callbacks/test_quantization.py', 'tests/catalyst/callbacks/test_tracing.py', 'tests/catalyst/callbacks/test_transform_kornia.py', 'tests/catalyst/tests/test_distillation.py', 'tests/catalyst/tests/test_finetune2.py', 'tests/catalyst/tests/test_gan.py', 'tests/catalyst/tests/test_mnist.py', 'tests/catalyst/tests/test_mnist_custom.py', 'tests/catalyst/tests/test_mnist_multicriterion.py', 'tests/catalyst/tests/test_mnist_multimodel.py', 'tests/catalyst/tests/test_mnist_multioptimizer.py', 'tests/catalyst/tests/test_optuna.py', 'tests/catalyst/tests/test_vae.py', 'tests/catalyst/utils/test_quantization.py', 'catalyst/tests/test_mnist.py', 'catalyst/__version__.py', 'catalyst/callbacks/metric_aggregation.py', 'catalyst/callbacks/tests/test_aggregation.py', 'catalyst/contrib/data/tests/test_nifti.py', 'catalyst/core/runner.py', 'catalyst/data/loader.py', 'catalyst/data/transforms.py', 'catalyst/engines/amp.py', 'catalyst/engines/apex.py', 'catalyst/engines/torch.py', 'catalyst/loggers/console.py', 'catalyst/loggers/csv.py', 'catalyst/loggers/mlflow.py', 'catalyst/loggers/tensorboard.py', 'catalyst/metrics/_auc.py', 'catalyst/metrics/_classification.py', 'catalyst/metrics/_segmentation.py', 'catalyst/metrics/functional/__init__.py', 'catalyst/metrics/functional/_auc.py', 'catalyst/metrics/functional/_hitrate.py', 'catalyst/metrics/tests/test_classification.py', 'catalyst/metrics/tests/test_segmentation.py', 'catalyst/runners/config.py', 'catalyst/runners/hydra.py', 'catalyst/tests/test_distillation.py', 'catalyst/tests/test_multihead_classification.py', 'catalyst/__version__.py', 'catalyst/contrib/utils/__init__.py', 'catalyst/contrib/utils/thresholds.py', 'catalyst/dl/scripts/run.py', 'catalyst/runners/config.py', 'catalyst/runners/hydra.py', 'catalyst/callbacks/__init__.py', 'catalyst/callbacks/optimizer.py', 'catalyst/callbacks/tests/test_optimizer_callback.py', 'catalyst/core/runner.py', 'catalyst/experiments/config.py', 'catalyst/experiments/supervised.py', 'catalyst/utils/components.py', 'catalyst/contrib/utils/tests/test_misc.py', 'catalyst/core/runner.py', 'catalyst/data/__init__.py', 'catalyst/data/loader.py', 'catalyst/dl/scripts/run.py', 'catalyst/dl/scripts/tune.py', 'catalyst/utils/__init__.py', 'catalyst/utils/loaders.py', 'catalyst/utils/misc.py', 'catalyst/utils/torch.py', 'catalyst/callbacks/checkpoint.py', 'catalyst/callbacks/control_flow.py', 'catalyst/callbacks/criterion.py', 'catalyst/callbacks/early_stop.py', 'catalyst/callbacks/logging.py', 'catalyst/callbacks/metric.py', 'catalyst/callbacks/metrics/cmc_score.py', 'catalyst/callbacks/optimizer.py', 'catalyst/callbacks/scheduler.py', 'catalyst/callbacks/tests/test_control_flow_callback.py', 'catalyst/callbacks/tests/test_early_stop.py', 'catalyst/callbacks/tests/test_periodic_loader_callback.py', 'catalyst/callbacks/tests/test_wrapper_callback.py', 'catalyst/callbacks/validation.py', 'catalyst/contrib/callbacks/alchemy_logger.py', 'catalyst/contrib/callbacks/confusion_matrix_logger.py', 'catalyst/contrib/callbacks/inference_callback.py', 'catalyst/contrib/callbacks/knn_metric.py', 'catalyst/contrib/callbacks/mask_inference.py', 'catalyst/contrib/callbacks/neptune_logger.py', 'catalyst/contrib/callbacks/telegram_logger.py', 'catalyst/contrib/callbacks/wandb_logger.py', 'catalyst/core/callback.py', 'catalyst/core/legacy.py', 'catalyst/core/runner.py', 'catalyst/runners/supervised.py', 'catalyst/utils/__init__.py', 'catalyst/utils/misc.py', 'tests/_tests_scripts/core_batch_overfit_callback.py']"
setup.py,"['catalyst/contrib/scripts/run.py', 'catalyst/runners/runner.py', 'tests/__init__.py', 'tests/misc.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py', 'catalyst/callbacks/misc.py', 'catalyst/callbacks/profiler.py', 'catalyst/runners/runner.py', 'tests/pipelines/test_runner.py', 'catalyst/registry.py', 'catalyst/settings.py', 'catalyst/core/logger.py', 'catalyst/core/runner.py', 'catalyst/loggers/__init__.py', 'catalyst/loggers/neptune.py', 'catalyst/settings.py', 'catalyst/tests/test_finetune2.py', 'catalyst/metrics/functional/_hitrate.py', 'catalyst/metrics/functional/tests/test_hitrate.py', 'catalyst/contrib/data/__init__.py', 'catalyst/contrib/data/nifti/__init__.py', 'catalyst/contrib/data/nifti/reader.py', 'catalyst/contrib/data/tests/__init__.py', 'catalyst/contrib/data/tests/test_nifti.py', 'catalyst/settings.py', 'catalyst/contrib/__main__.py', 'catalyst/contrib/callbacks/__init__.py', 'catalyst/contrib/data/cv/dataset.py', 'catalyst/contrib/data/nlp/__init__.py', 'catalyst/contrib/utils/__init__.py', 'catalyst/contrib/utils/cv/__init__.py', 'catalyst/contrib/utils/pandas.py', 'catalyst/data/sampler.py', 'catalyst/data/sampler_inbatch.py', 'catalyst/data/tests/test_sampler_inbatch.py', 'catalyst/dl/__main__.py', 'catalyst/metrics/functional.py', 'catalyst/settings.py', 'catalyst/utils/__init__.py', 'catalyst/utils/misc.py']"
tests/__init__.py,"['catalyst/contrib/scripts/run.py', 'catalyst/runners/runner.py', 'setup.py', 'tests/misc.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py']"
tests/misc.py,"['catalyst/contrib/scripts/run.py', 'catalyst/runners/runner.py', 'setup.py', 'tests/__init__.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py']"
tests/pipelines/test_classification.py,"['catalyst/contrib/scripts/run.py', 'catalyst/runners/runner.py', 'setup.py', 'tests/__init__.py', 'tests/misc.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py', 'catalyst/callbacks/batch_transform.py', 'catalyst/callbacks/metrics/__init__.py', 'catalyst/callbacks/metrics/scikit_learn.py', 'catalyst/metrics/__init__.py', 'catalyst/metrics/_functional_metric.py', 'catalyst/registry.py', 'tests/pipelines/test_finetune2.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/catalyst/engines/test_device.py', 'tests/pipelines/__init__.py', 'tests/pipelines/test_config_runner.py', 'tests/pipelines/test_distillation.py', 'tests/pipelines/test_finetune.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_optuna.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py']"
tests/pipelines/test_gan.py,"['catalyst/contrib/scripts/run.py', 'catalyst/runners/runner.py', 'setup.py', 'tests/__init__.py', 'tests/misc.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py', 'catalyst/callbacks/batch_transform.py', 'catalyst/callbacks/metrics/__init__.py', 'catalyst/callbacks/metrics/scikit_learn.py', 'catalyst/metrics/__init__.py', 'catalyst/metrics/_functional_metric.py', 'catalyst/registry.py', 'tests/pipelines/test_finetune2.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/catalyst/engines/test_device.py', 'tests/pipelines/__init__.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_config_runner.py', 'tests/pipelines/test_distillation.py', 'tests/pipelines/test_finetune.py', 'tests/pipelines/test_metric_learning.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_optuna.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py']"
tests/pipelines/test_metric_learning.py,"['catalyst/contrib/scripts/run.py', 'catalyst/runners/runner.py', 'setup.py', 'tests/__init__.py', 'tests/misc.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py', 'catalyst/callbacks/metrics/cmc_score.py', 'catalyst/callbacks/mixup.py', 'catalyst/callbacks/sklearn_model.py', 'catalyst/contrib/utils/__init__.py', 'catalyst/contrib/utils/report.py', 'catalyst/data/__init__.py', 'catalyst/data/sampler.py', 'catalyst/data/sampler_inbatch.py', 'catalyst/metrics/_cmc_score.py', 'examples/self_supervised/barlow_twins.py', 'examples/self_supervised/common.py', 'tests/catalyst/callbacks/test_metric.py', 'catalyst/callbacks/batch_transform.py', 'catalyst/callbacks/metrics/__init__.py', 'catalyst/callbacks/metrics/scikit_learn.py', 'catalyst/metrics/__init__.py', 'catalyst/metrics/_functional_metric.py', 'catalyst/registry.py', 'tests/pipelines/test_finetune2.py', 'tests/pipelines/test_multilabel_classification.py', 'tests/catalyst/engines/test_device.py', 'tests/pipelines/__init__.py', 'tests/pipelines/test_classification.py', 'tests/pipelines/test_config_runner.py', 'tests/pipelines/test_distillation.py', 'tests/pipelines/test_finetune.py', 'tests/pipelines/test_gan.py', 'tests/pipelines/test_mnist.py', 'tests/pipelines/test_mnist_custom.py', 'tests/pipelines/test_mnist_multicriterion.py', 'tests/pipelines/test_mnist_multimodel.py', 'tests/pipelines/test_mnist_multioptimizer.py', 'tests/pipelines/test_multihead_classification.py', 'tests/pipelines/test_optuna.py', 'tests/pipelines/test_recsys.py', 'tests/pipelines/test_regression.py', 'tests/pipelines/test_vae.py']"
