key,time,commitTime,PythonfileNum,pythonFile
#6932,2022-03-04 18:02:59,2022-03-04 10:02:59,4,"['examples/modern_data_stack_assets/modern_data_stack_assets/constants.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/setup_airbyte.py', 'python_modules/libraries/dagster-airbyte/dagster_airbyte/resources.py', 'python_modules/libraries/dagster-airbyte/dagster_airbyte/utils.py']"
#6931,2022-03-04 17:36:01,2022-03-04 11:36:01,4,"['python_modules/dagster/dagster/core/definitions/run_request.py', 'python_modules/dagster/dagster/core/definitions/run_status_sensor_definition.py', 'python_modules/dagster/dagster/daemon/sensor.py', 'python_modules/dagster/dagster_tests/daemon_tests/test_sensor_run.py']"
#6930,2022-03-06 03:37:42,2022-03-05 19:37:41,2,"['.buildkite/dagster-buildkite/dagster_buildkite/steps/dagster.py', 'python_modules/dagster/dagster/core/storage/event_log/sql_event_log.py']"
#6928,2022-03-04 22:54:35,2022-03-04 16:54:35,2,"['examples/docs_snippets/docs_snippets/concepts/solids_pipelines/dynamic.py', 'examples/docs_snippets/docs_snippets_tests/concepts_tests/solids_pipelines_tests/test_pipelines.py']"
#6921,2022-03-03 23:41:31,2022-03-03 15:41:30,2,"['python_modules/dagster/dagster/core/selector/subset_selector.py', 'python_modules/dagster/dagster_tests/core_tests/selector_tests/test_subset_selector.py']"
#6914,2022-03-03 20:34:08,2022-03-03 12:34:08,4,"['examples/modern_data_stack_assets/modern_data_stack_assets/assets.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/constants.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/setup_airbyte.py', 'examples/modern_data_stack_assets/setup.py']"
#6912,2022-03-03 19:11:59,2022-03-03 13:11:59,3,"['python_modules/dagster/dagster/core/events/log.py', 'python_modules/dagster/dagster/serdes/serdes.py', 'python_modules/dagster/dagster_tests/general_tests/compat_tests/test_back_compat.py']"
#6891,2022-03-03 20:12:26,2022-03-03 12:12:26,3,"['python_modules/dagster/dagster/core/asset_defs/asset_group.py', 'python_modules/dagster/dagster/core/definitions/repository_definition.py', 'python_modules/dagster/dagster_tests/core_tests/asset_defs_tests/test_asset_group.py']"
#6888,2022-03-03 01:13:59,2022-03-02 17:13:59,2,"['python_modules/dagster/dagster/core/storage/runs/sqlite/sqlite_run_storage.py', 'python_modules/libraries/dagster-aws/dagster_aws_tests/ecs_tests/launcher_tests/conftest.py']"
#6884,2022-03-03 15:16:55,2022-03-03 07:16:54,2,"['python_modules/dagster/dagster/core/asset_defs/asset_group.py', 'python_modules/dagster/dagster_tests/core_tests/asset_defs_tests/test_asset_group.py']"
#6883,2022-03-03 20:12:17,2022-03-03 12:12:17,3,"['python_modules/dagster/dagster/core/definitions/decorators/solid.py', 'python_modules/dagster/dagster/core/definitions/input.py', 'python_modules/dagster/dagster_tests/core_tests/test_nothing_dependencies.py']"
#6879,2022-03-03 16:34:47,2022-03-03 08:34:47,5,"['examples/software_defined_assets/software_defined_assets/repo.py', 'examples/software_defined_assets/software_defined_assets/spark_weather_assets_group.py', 'examples/software_defined_assets/software_defined_assets/weather_assets_group.py', 'examples/software_defined_assets/software_defined_assets_tests/test_spark_weather_assets_group.py', 'examples/software_defined_assets/software_defined_assets_tests/test_weather_assets_group.py']"
#6872,2022-03-02 22:29:57,2022-03-02 14:29:57,3,"['python_modules/dagster/dagster/core/executor/base.py', 'python_modules/dagster/dagster/core/executor/step_delegating/step_handler/base.py', 'python_modules/dagster/setup.py']"
#6868,2022-03-02 22:20:15,2022-03-02 14:20:15,6,"['python_modules/libraries/dagster-fivetran/dagster_fivetran/__init__.py', 'python_modules/libraries/dagster-fivetran/dagster_fivetran/ops.py', 'python_modules/libraries/dagster-fivetran/dagster_fivetran/resources.py', 'python_modules/libraries/dagster-fivetran/dagster_fivetran_tests/test_ops.py', 'python_modules/libraries/dagster-fivetran/dagster_fivetran_tests/test_resources.py', 'python_modules/libraries/dagster-fivetran/dagster_fivetran_tests/utils.py']"
#6867,2022-03-02 13:23:18,2022-03-02 08:23:17,18,"['python_modules/dagster-graphql/dagster_graphql_tests/graphql/test_instigation.py', 'python_modules/dagster/dagster/core/definitions/configurable.py', 'python_modules/dagster/dagster/core/definitions/node_definition.py', 'python_modules/dagster/dagster/core/definitions/pipeline_base.py', 'python_modules/dagster/dagster/core/execution/context/compute.py', 'python_modules/dagster/dagster/core/execution/context/system.py', 'python_modules/dagster/dagster/core/execution/context_creation_pipeline.py', 'python_modules/dagster/dagster/core/execution/plan/inputs.py', 'python_modules/dagster/dagster/core/executor/base.py', 'python_modules/dagster/dagster/core/executor/step_delegating/step_handler/base.py', 'python_modules/dagster/dagster/core/host_representation/represented.py', 'python_modules/dagster/dagster/core/storage/event_log/base.py', 'python_modules/dagster/dagster/core/storage/file_manager.py', 'python_modules/dagster/dagster/core/storage/output_manager.py', 'python_modules/dagster/dagster/core/storage/root_input_manager.py', 'python_modules/dagster/dagster/core/workspace/context.py', 'python_modules/dagster/dagster/serdes/config_class.py', 'python_modules/libraries/dagster-aws/dagster_aws/utils/__init__.py']"
#6865,2022-03-02 22:22:20,2022-03-02 14:22:19,7,"['python_modules/dagster/dagster/core/asset_defs/asset_partitions.py', 'python_modules/dagster/dagster/core/asset_defs/assets_job.py', 'python_modules/dagster/dagster/core/asset_defs/decorators.py', 'python_modules/dagster/dagster/core/asset_defs/source_asset.py', 'python_modules/dagster/dagster/core/execution/context/input.py', 'python_modules/dagster/dagster_tests/core_tests/asset_defs_tests/test_partitioned_assets.py', 'python_modules/libraries/dagster-dbt/dagster_dbt/asset_defs.py']"
#6862,2022-03-02 00:08:51,2022-03-01 16:08:51,10,"['examples/modern_data_stack_assets/modern_data_stack_assets/__init__.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/assets.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/constants.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/create_data.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/forecasting.py', 'examples/modern_data_stack_assets/modern_data_stack_assets/pandas_io_manager.py', 'examples/modern_data_stack_assets/modern_data_stack_assets_tests/test_repo_loads.py', 'examples/modern_data_stack_assets/setup.py', 'python_modules/dagster/dagster/core/host_representation/external_data.py', 'python_modules/libraries/dagster-dbt/dagster_dbt/asset_defs.py']"
#6859,2022-03-02 02:42:44,2022-03-01 18:42:43,3,"['python_modules/dagster/dagster/core/asset_defs/asset_group.py', 'python_modules/dagster/dagster/core/definitions/job_definition.py', 'python_modules/dagster/dagster_tests/core_tests/asset_defs_tests/test_asset_group.py']"
#6855,2022-03-02 02:52:28,2022-03-01 18:52:27,2,"['python_modules/libraries/dagster-slack/dagster_slack/hooks.py', 'python_modules/libraries/dagster-slack/dagster_slack/resources.py']"
#6850,2022-03-02 18:58:44,2022-03-02 12:58:44,2,"['python_modules/libraries/dagster-aws/dagster_aws/ecs/tasks.py', 'python_modules/libraries/dagster-aws/dagster_aws_tests/ecs_tests/launcher_tests/conftest.py']"
#6845,2022-03-01 17:38:44,2022-03-01 09:38:44,2,"['python_modules/dagster/dagster/api/snapshot_repository.py', 'python_modules/dagster/dagster/api/snapshot_sensor.py']"
#6843,2022-03-01 16:56:19,2022-03-01 08:56:19,4,"['python_modules/dagster-graphql/dagster_graphql/schema/instance.py', 'python_modules/dagster/dagster/daemon/cli/__init__.py', 'python_modules/dagster/dagster/daemon/controller.py', 'python_modules/dagster/dagster_tests/daemon_tests/test_dagster_daemon_health.py']"
#6841,2022-03-02 18:28:52,2022-03-02 10:28:52,2,"['python_modules/dagster/dagster/core/storage/runs/sql_run_storage.py', 'python_modules/dagster/dagster/core/storage/runs/sqlite/sqlite_run_storage.py']"
#6836,2022-02-28 22:44:07,2022-02-28 16:44:07,3,"['python_modules/libraries/dagster-aws/dagster_aws/ecs/launcher.py', 'python_modules/libraries/dagster-aws/dagster_aws_tests/ecs_tests/launcher_tests/test_launching.py', 'python_modules/libraries/dagster-aws/dagster_aws_tests/ecs_tests/stubbed_ecs.py']"
#6831,2022-02-28 18:08:26,2022-02-28 12:08:25,2,"['python_modules/dagster/dagster/core/definitions/policy.py', 'python_modules/libraries/dagster-postgres/dagster_postgres/utils.py']"
#6821,2022-03-01 16:10:31,2022-03-01 10:10:31,9,"['python_modules/dagster-graphql/dagster_graphql/schema/solids.py', 'python_modules/dagster/dagster/core/launcher/default_run_launcher.py', 'python_modules/dagster/dagster/core/workspace/context.py', 'python_modules/dagster/dagster/core/workspace/workspace.py', 'python_modules/dagster/dagster/daemon/backfill.py', 'python_modules/dagster/dagster/daemon/sensor.py', 'python_modules/dagster/dagster/daemon/workspace.py', 'python_modules/dagster/dagster/scheduler/scheduler.py', 'python_modules/dagster/dagster_tests/scheduler_tests/test_scheduler_run.py']"
#6818,2022-03-04 22:56:05,2022-03-04 16:56:04,3,"['examples/docs_snippets/docs_snippets/concepts/solids_pipelines/retries.py', 'examples/docs_snippets/docs_snippets_tests/concepts_tests/solids_pipelines_tests/test_pipelines.py', 'python_modules/dagster/dagster/core/definitions/events.py']"
#6810,2022-03-04 01:05:20,2022-03-03 17:05:19,4,"['python_modules/dagster/dagster/core/definitions/schedule_definition.py', 'python_modules/dagster/dagster/utils/schedules.py', 'python_modules/dagster/dagster_tests/core_tests/definitions_tests/decorators_tests/test_schedule.py', 'python_modules/dagster/dagster_tests/scheduler_tests/test_schedule_iterator.py']"
#6807,2022-02-25 19:42:31,2022-02-25 13:42:31,2,"['python_modules/dagster/dagster/daemon/sensor.py', 'python_modules/dagster/dagster_tests/daemon_tests/test_sensor_run.py']"
#6802,2022-03-01 16:43:41,2022-03-01 08:43:41,8,"['python_modules/libraries/dagster-aws/dagster_aws/s3/utils.py', 'python_modules/libraries/dagster-aws/dagster_aws/secretsmanager/__init__.py', 'python_modules/libraries/dagster-aws/dagster_aws/secretsmanager/resources.py', 'python_modules/libraries/dagster-aws/dagster_aws/secretsmanager/secrets.py', 'python_modules/libraries/dagster-aws/dagster_aws/utils/__init__.py', 'python_modules/libraries/dagster-aws/dagster_aws_tests/conftest.py', 'python_modules/libraries/dagster-aws/dagster_aws_tests/secretsmanager_tests/__init__.py', 'python_modules/libraries/dagster-aws/dagster_aws_tests/secretsmanager_tests/test_secrets.py']"
#6801,2022-03-01 00:19:29,2022-02-28 16:19:28,3,"['python_modules/dagster-test/dagster_test/graph_job_op_toys/big_honkin_asset_graph.py', 'python_modules/dagster-test/dagster_test/graph_job_op_toys/long_asset_keys.py', 'python_modules/dagster-test/dagster_test/graph_job_op_toys/repo.py']"
#6800,2022-02-28 21:53:29,2022-02-28 13:53:29,14,"['python_modules/dagster/dagster/api/get_server_id.py', 'python_modules/dagster/dagster/api/list_repositories.py', 'python_modules/dagster/dagster/api/notebook_data.py', 'python_modules/dagster/dagster/api/snapshot_execution_plan.py', 'python_modules/dagster/dagster/api/snapshot_partition.py', 'python_modules/dagster/dagster/api/snapshot_pipeline.py', 'python_modules/dagster/dagster/api/snapshot_repository.py', 'python_modules/dagster/dagster/api/snapshot_schedule.py', 'python_modules/dagster/dagster/api/snapshot_sensor.py', 'python_modules/dagster/dagster/core/host_representation/external.py', 'python_modules/dagster/dagster/core/host_representation/repository_location.py', 'python_modules/dagster/dagster/grpc/client.py', 'python_modules/dagster/dagster/grpc/impl.py', 'python_modules/dagster/dagster/serdes/serdes.py']"
#6790,2022-02-24 23:02:30,2022-02-24 15:02:29,2,"['python_modules/dagster/dagster/core/definitions/job_definition.py', 'python_modules/dagster/dagster_tests/core_tests/definitions_tests/test_job.py']"
#6787,2022-02-24 23:07:50,2022-02-24 15:07:50,2,"['examples/docs_snippets/docs_snippets/guides/dagster/reexecution/reexecution_api.py', 'examples/docs_snippets/docs_snippets/guides/dagster/reexecution/unreliable_job.py']"
#6785,2022-02-25 16:48:26,2022-02-25 08:48:26,15,"['python_modules/dagster/dagster/core/definitions/preset.py', 'python_modules/dagster/dagster/core/execution/plan/handle.py', 'python_modules/dagster/dagster/core/execution/plan/inputs.py', 'python_modules/dagster/dagster/core/execution/plan/step.py', 'python_modules/dagster/dagster/core/host_representation/external_data.py', 'python_modules/dagster/dagster/core/host_representation/handle.py', 'python_modules/dagster/dagster/core/snap/execution_plan_snapshot.py', 'python_modules/dagster/dagster/core/system_config/composite_descent.py', 'python_modules/dagster/dagster/core/utils.py', 'python_modules/dagster/dagster/daemon/types.py', 'python_modules/dagster/dagster/grpc/server.py', 'python_modules/dagster/dagster/grpc/types.py', 'python_modules/dagster/dagster/serdes/ipc.py', 'python_modules/dagster/dagster/utils/error.py', 'python_modules/dagster/dagster/utils/log.py']"
#6784,2022-02-25 00:59:46,2022-02-24 16:59:45,3,"['python_modules/dagster/dagster/core/execution/execute_in_process.py', 'python_modules/dagster/dagster/core/execution/execute_in_process_result.py', 'python_modules/dagster/dagster_tests/execution_tests/test_execute_in_process.py']"
#6777,2022-02-24 02:33:10,2022-02-23 18:33:09,6,"['python_modules/libraries/dagster-dbt/dagster_dbt/asset_defs.py', 'python_modules/libraries/dagster-dbt/dagster_dbt_tests/cli/test_resources.py', 'python_modules/libraries/dagster-dbt/dagster_dbt_tests/cli/test_solids.py', 'python_modules/libraries/dagster-dbt/dagster_dbt_tests/rpc/conftest.py', 'python_modules/libraries/dagster-dbt/dagster_dbt_tests/test_asset_defs.py', 'python_modules/libraries/dagster-dbt/setup.py']"
#6776,2022-02-24 17:10:13,2022-02-24 09:10:12,2,"['python_modules/dagster/dagster/core/definitions/graph_definition.py', 'python_modules/dagster/dagster/core/definitions/op_definition.py']"
