file,fileSet
setup.py,"['src/datasets/arrow_reader.py', 'src/datasets/utils/py_utils.py', 'tests/test_info_utils.py', 'tests/test_load.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/features/__init__.py', 'src/datasets/features/audio.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'src/datasets/iterable_dataset.py', 'src/datasets/packaged_modules/json/json.py', 'src/datasets/table.py', 'tests/features/test_audio.py', 'tests/features/test_features.py', 'tests/features/test_image.py', 'tests/test_arrow_dataset.py', 'tests/test_arrow_writer.py', 'tests/test_dataset_cards.py', 'tests/test_dataset_dict.py', 'tests/test_table.py', 'metrics/mauve/mauve.py', 'datasets/svhn/svhn.py', 'src/datasets/streaming.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/test_streaming_download_manager.py', 'datasets/big_patent/big_patent.py', 'datasets/gem/gem.py', 'datasets/multilingual_librispeech/multilingual_librispeech.py', 'datasets/sem_eval_2020_task_11/sem_eval_2020_task_11.py', 'src/datasets/arrow_dataset.py', 'src/datasets/features/features.py', 'src/datasets/fingerprint.py', 'src/datasets/utils/metadata.py', 'src/datasets/utils/readme.py', 'tests/test_packaged_modules.py', 'datasets/big_patent/big_patent.py', 'datasets/gem/gem.py', 'datasets/multilingual_librispeech/multilingual_librispeech.py', 'datasets/sem_eval_2020_task_11/sem_eval_2020_task_11.py', 'src/datasets/arrow_dataset.py', 'src/datasets/features/features.py', 'src/datasets/fingerprint.py', 'src/datasets/utils/metadata.py', 'src/datasets/utils/readme.py', 'tests/test_packaged_modules.py', 'src/datasets/utils/file_utils.py', 'src/datasets/utils/streaming_download_manager.py', 'datasets/arabic_speech_corpus/arabic_speech_corpus.py', 'datasets/common_language/common_language.py', 'datasets/common_voice/common_voice.py', 'datasets/covost2/covost2.py', 'datasets/librispeech_asr/librispeech_asr.py', 'datasets/lj_speech/lj_speech.py', 'datasets/openslr/openslr.py', 'datasets/superb/superb.py', 'datasets/timit_asr/timit_asr.py', 'datasets/vivos/vivos.py', 'src/datasets/__init__.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/config.py', 'src/datasets/features/__init__.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'tests/features/test_array_xd.py', 'tests/features/test_audio.py', 'tests/features/test_image.py', 'tests/utils.py', 'tests/test_search.py', 'src/datasets/arrow_dataset.py', 'src/datasets/dataset_dict.py', 'tests/test_upstream_hub.py', 'src/datasets/arrow_dataset.py', 'src/datasets/dataset_dict.py', 'tests/test_upstream_hub.py', 'metrics/comet/comet.py', 'src/datasets/builder.py', 'src/datasets/config.py', 'src/datasets/data_files.py', 'src/datasets/load.py', 'src/datasets/utils/file_utils.py', 'tests/conftest.py', 'tests/test_data_files.py', 'tests/test_load.py', 'tests/test_metric_common.py', 'tests/utils.py', 'src/datasets/__init__.py', 'src/datasets/inspect.py', 'src/datasets/arrow_writer.py', 'src/datasets/builder.py', 'src/datasets/utils/py_utils.py', 'docs/source/conf.py', 'src/datasets/inspect.py', 'src/datasets/splits.py', 'src/datasets/builder.py', 'src/datasets/config.py', 'src/datasets/load.py', 'src/datasets/packaged_modules/__init__.py', 'src/datasets/utils/download_manager.py', 'src/datasets/utils/file_utils.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/test_features.py', 'tests/test_load.py', 'tests/test_streaming_download_manager.py', 'tests/utils.py', 'src/datasets/__init__.py', 'src/datasets/arrow_dataset.py', 'src/datasets/dataset_dict.py', 'src/datasets/features/__init__.py', 'src/datasets/features/audio.py', 'src/datasets/features/features.py', 'src/datasets/features/translation.py', 'src/datasets/formatting/formatting.py', 'src/datasets/formatting/jax_formatter.py', 'src/datasets/formatting/tf_formatter.py', 'src/datasets/formatting/torch_formatter.py', 'tests/features/__init__.py', 'tests/features/test_audio.py', 'tests/features/test_features.py']"
src/datasets/arrow_reader.py,"['setup.py', 'src/datasets/utils/py_utils.py', 'tests/test_info_utils.py', 'tests/test_load.py', 'src/datasets/arrow_dataset.py', 'src/datasets/commands/convert.py', 'src/datasets/features/features.py', 'src/datasets/load.py', 'src/datasets/table.py', 'src/datasets/utils/py_utils.py', 'tests/features/test_features.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/builder.py', 'src/datasets/formatting/formatting.py', 'src/datasets/load.py', 'src/datasets/metric.py', 'src/datasets/packaged_modules/json/json.py', 'src/datasets/utils/file_utils.py']"
src/datasets/utils/py_utils.py,"['setup.py', 'src/datasets/arrow_reader.py', 'tests/test_info_utils.py', 'tests/test_load.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/builder.py', 'src/datasets/data_files.py', 'src/datasets/dataset_dict.py', 'src/datasets/io/csv.py', 'src/datasets/io/json.py', 'src/datasets/load.py', 'src/datasets/search.py', 'src/datasets/utils/download_manager.py', 'src/datasets/utils/file_utils.py', 'tests/test_arrow_dataset.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_reader.py', 'src/datasets/commands/convert.py', 'src/datasets/features/features.py', 'src/datasets/load.py', 'src/datasets/table.py', 'tests/features/test_features.py', 'src/datasets/builder.py', 'src/datasets/data_files.py', 'src/datasets/load.py', 'tests/test_data_files.py', 'tests/test_load.py', 'src/datasets/features/features.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/combine.py', 'src/datasets/dataset_dict.py', 'src/datasets/features/audio.py', 'src/datasets/features/image.py', 'src/datasets/formatting/formatting.py', 'src/datasets/table.py', 'src/datasets/utils/__init__.py', 'tests/features/test_array_xd.py', 'tests/test_arrow_dataset.py', 'tests/test_table.py', 'tests/test_caching.py', 'src/datasets/info.py', 'src/datasets/utils/__init__.py', 'src/datasets/builder.py', 'src/datasets/utils/download_manager.py', 'tests/test_caching.py', 'setup.py', 'src/datasets/arrow_writer.py', 'src/datasets/builder.py', 'src/datasets/arrow_dataset.py', 'datasets/ncslgr/ncslgr.py', 'src/datasets/__init__.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/io/json.py', 'src/datasets/search.py', 'src/datasets/utils/__init__.py', 'src/datasets/utils/file_utils.py', 'src/datasets/utils/tqdm_utils.py']"
tests/test_info_utils.py,"['setup.py', 'src/datasets/arrow_reader.py', 'src/datasets/utils/py_utils.py', 'tests/test_load.py']"
tests/test_load.py,"['setup.py', 'src/datasets/arrow_reader.py', 'src/datasets/utils/py_utils.py', 'tests/test_info_utils.py', 'src/datasets/arrow_dataset.py', 'src/datasets/builder.py', 'src/datasets/dataset_dict.py', 'src/datasets/info.py', 'src/datasets/load.py', 'tests/test_inspect.py', 'tests/test_upstream_hub.py', 'src/datasets/load.py', 'src/datasets/packaged_modules/csv/csv.py', 'src/datasets/packaged_modules/json/json.py', 'src/datasets/packaged_modules/text/text.py', 'src/datasets/utils/download_manager.py', 'src/datasets/utils/mock_download_manager.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/conftest.py', 'src/datasets/builder.py', 'src/datasets/data_files.py', 'src/datasets/load.py', 'src/datasets/utils/py_utils.py', 'tests/test_data_files.py', 'src/datasets/commands/dummy_data.py', 'src/datasets/commands/run_beam.py', 'src/datasets/inspect.py', 'src/datasets/load.py', 'src/datasets/utils/patching.py', 'tests/test_dataset_common.py', 'tests/test_hf_gcp.py', 'tests/test_metric_common.py', 'src/datasets/load.py', 'src/datasets/config.py', 'src/datasets/data_files.py', 'src/datasets/load.py', 'src/datasets/streaming.py', 'src/datasets/utils/file_utils.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/conftest.py', 'tests/hub_fixtures.py', 'src/datasets/packaged_modules/csv/csv.py', 'tests/conftest.py', 'src/datasets/packaged_modules/csv/csv.py', 'src/datasets/streaming.py', 'src/datasets/utils/patching.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/conftest.py', 'metrics/comet/comet.py', 'setup.py', 'src/datasets/builder.py', 'src/datasets/config.py', 'src/datasets/data_files.py', 'src/datasets/load.py', 'src/datasets/utils/file_utils.py', 'tests/conftest.py', 'tests/test_data_files.py', 'tests/test_metric_common.py', 'tests/utils.py', 'src/datasets/builder.py', 'src/datasets/commands/run_beam.py', 'src/datasets/commands/test.py', 'src/datasets/load.py', 'src/datasets/utils/file_utils.py', 'src/datasets/config.py', 'src/datasets/load.py', 'src/datasets/utils/file_utils.py', 'src/datasets/load.py', 'src/datasets/load.py', 'src/datasets/config.py', 'src/datasets/filesystems/__init__.py', 'src/datasets/filesystems/compression.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/conftest.py', 'tests/test_extract.py', 'tests/test_file_utils.py', 'tests/test_filesystem.py', 'tests/test_streaming_download_manager.py', 'tests/utils.py', 'src/datasets/utils/streaming_download_manager.py', 'src/datasets/load.py', 'src/datasets/utils/__init__.py', 'src/datasets/utils/file_utils.py', 'src/datasets/utils/filelock.py', 'setup.py', 'src/datasets/builder.py', 'src/datasets/config.py', 'src/datasets/load.py', 'src/datasets/packaged_modules/__init__.py', 'src/datasets/utils/download_manager.py', 'src/datasets/utils/file_utils.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/test_features.py', 'tests/test_streaming_download_manager.py', 'tests/utils.py', 'src/datasets/builder.py', 'src/datasets/utils/download_manager.py', 'src/datasets/utils/file_utils.py', 'src/datasets/utils/mock_download_manager.py']"
src/datasets/features/audio.py,"['tests/features/test_audio.py', 'setup.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/features/__init__.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'src/datasets/iterable_dataset.py', 'src/datasets/packaged_modules/json/json.py', 'src/datasets/table.py', 'tests/features/test_audio.py', 'tests/features/test_features.py', 'tests/features/test_image.py', 'tests/test_arrow_dataset.py', 'tests/test_arrow_writer.py', 'tests/test_dataset_cards.py', 'tests/test_dataset_dict.py', 'tests/test_table.py', 'src/datasets/arrow_dataset.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'src/datasets/formatting/formatting.py', 'src/datasets/table.py', 'tests/features/test_audio.py', 'tests/features/test_image.py', 'src/datasets/features/features.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/combine.py', 'src/datasets/dataset_dict.py', 'src/datasets/features/image.py', 'src/datasets/formatting/formatting.py', 'src/datasets/table.py', 'src/datasets/utils/__init__.py', 'src/datasets/utils/py_utils.py', 'tests/features/test_array_xd.py', 'tests/test_arrow_dataset.py', 'tests/test_table.py', 'src/datasets/arrow_writer.py', 'src/datasets/features/features.py', 'tests/features/test_audio.py', 'tests/features/test_audio.py', 'tests/features/test_audio.py', 'setup.py', 'src/datasets/__init__.py', 'src/datasets/arrow_dataset.py', 'src/datasets/dataset_dict.py', 'src/datasets/features/__init__.py', 'src/datasets/features/features.py', 'src/datasets/features/translation.py', 'src/datasets/formatting/formatting.py', 'src/datasets/formatting/jax_formatter.py', 'src/datasets/formatting/tf_formatter.py', 'src/datasets/formatting/torch_formatter.py', 'tests/features/__init__.py', 'tests/features/test_audio.py', 'tests/features/test_features.py']"
tests/features/test_audio.py,"['src/datasets/features/audio.py', 'setup.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/features/__init__.py', 'src/datasets/features/audio.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'src/datasets/iterable_dataset.py', 'src/datasets/packaged_modules/json/json.py', 'src/datasets/table.py', 'tests/features/test_features.py', 'tests/features/test_image.py', 'tests/test_arrow_dataset.py', 'tests/test_arrow_writer.py', 'tests/test_dataset_cards.py', 'tests/test_dataset_dict.py', 'tests/test_table.py', 'src/datasets/arrow_dataset.py', 'src/datasets/features/audio.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'src/datasets/formatting/formatting.py', 'src/datasets/table.py', 'tests/features/test_image.py', 'datasets/arabic_speech_corpus/arabic_speech_corpus.py', 'datasets/common_language/common_language.py', 'datasets/common_voice/common_voice.py', 'datasets/covost2/covost2.py', 'datasets/librispeech_asr/librispeech_asr.py', 'datasets/lj_speech/lj_speech.py', 'datasets/openslr/openslr.py', 'datasets/superb/superb.py', 'datasets/timit_asr/timit_asr.py', 'datasets/vivos/vivos.py', 'setup.py', 'src/datasets/__init__.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/config.py', 'src/datasets/features/__init__.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'tests/features/test_array_xd.py', 'tests/features/test_image.py', 'tests/utils.py', 'src/datasets/iterable_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/features/audio.py', 'src/datasets/features/features.py', 'src/datasets/features/audio.py', 'src/datasets/features/audio.py', 'setup.py', 'src/datasets/__init__.py', 'src/datasets/arrow_dataset.py', 'src/datasets/dataset_dict.py', 'src/datasets/features/__init__.py', 'src/datasets/features/audio.py', 'src/datasets/features/features.py', 'src/datasets/features/translation.py', 'src/datasets/formatting/formatting.py', 'src/datasets/formatting/jax_formatter.py', 'src/datasets/formatting/tf_formatter.py', 'src/datasets/formatting/torch_formatter.py', 'tests/features/__init__.py', 'tests/features/test_features.py']"
.github/hub/update_hub_repositories.py,"['datasets/evidence_infer_treatment/evidence_infer_treatment.py', 'datasets/timit_asr/timit_asr.py', 'tests/features/test_image.py']"
datasets/evidence_infer_treatment/evidence_infer_treatment.py,"['.github/hub/update_hub_repositories.py', 'datasets/timit_asr/timit_asr.py', 'tests/features/test_image.py']"
datasets/timit_asr/timit_asr.py,"['.github/hub/update_hub_repositories.py', 'datasets/evidence_infer_treatment/evidence_infer_treatment.py', 'tests/features/test_image.py', 'datasets/arabic_speech_corpus/arabic_speech_corpus.py', 'datasets/common_language/common_language.py', 'datasets/common_voice/common_voice.py', 'datasets/covost2/covost2.py', 'datasets/librispeech_asr/librispeech_asr.py', 'datasets/lj_speech/lj_speech.py', 'datasets/openslr/openslr.py', 'datasets/superb/superb.py', 'datasets/vivos/vivos.py', 'setup.py', 'src/datasets/__init__.py', 'src/datasets/arrow_dataset.py', 'src/datasets/arrow_writer.py', 'src/datasets/config.py', 'src/datasets/features/__init__.py', 'src/datasets/features/features.py', 'src/datasets/features/image.py', 'tests/features/test_array_xd.py', 'tests/features/test_audio.py', 'tests/features/test_image.py', 'tests/utils.py', 'datasets/ami/ami.py', 'datasets/arabic_speech_corpus/arabic_speech_corpus.py', 'datasets/common_language/common_language.py', 'datasets/common_voice/common_voice.py', 'datasets/covost2/covost2.py', 'datasets/librispeech_asr/librispeech_asr.py', 'datasets/lj_speech/lj_speech.py', 'datasets/openslr/openslr.py', 'datasets/vivos/vivos.py', 'src/datasets/streaming.py', 'src/datasets/utils/streaming_download_manager.py', 'tests/test_streaming_download_manager.py']"
