key,time,commitTime,PythonfileNum,pythonFile
#8302,2021-12-22 15:08:58,2021-12-22 15:08:58,2,"['rest_framework/utils/serializer_helpers.py', 'tests/test_serializer.py']"
#8301,2021-12-22 15:09:12,2021-12-22 15:08:58,2,"['rest_framework/utils/serializer_helpers.py', 'tests/test_serializer.py']"
#8297,2021-12-15 15:16:38,2021-12-15 15:16:38,2,"['rest_framework/decorators.py', 'tests/test_decorators.py']"
#8291,2021-12-13 13:08:40,2021-12-15 15:16:38,2,"['rest_framework/decorators.py', 'tests/test_decorators.py']"
#8226,2021-12-06 15:32:34,2021-12-06 16:32:33,2,"['rest_framework/fields.py', 'rest_framework/schemas/coreapi.py']"
#8165,2021-09-14 12:45:56,2021-09-14 14:45:55,2,"['rest_framework/serializers.py', 'tests/test_serializer_lists.py']"
#8116,2021-08-06 09:10:59,2021-08-06 05:10:58,2,"['rest_framework/serializers.py', 'tests/schemas/test_openapi.py']"
#8067,2021-07-01 14:04:44,2021-07-01 17:04:44,2,"['rest_framework/fields.py', 'tests/test_fields.py']"
#8064,2021-07-01 14:04:44,2021-07-01 17:04:44,2,"['rest_framework/fields.py', 'tests/test_fields.py']"
#8041,2021-08-06 09:10:59,2021-08-06 05:10:58,2,"['rest_framework/serializers.py', 'tests/schemas/test_openapi.py']"
#7874,2021-03-26 12:27:10,2021-03-26 12:27:10,6,"['rest_framework/pagination.py', 'rest_framework/relations.py', 'rest_framework/request.py', 'rest_framework/routers.py', 'rest_framework/templatetags/rest_framework.py', 'rest_framework/test.py']"
#7739,2021-03-03 11:15:40,2021-03-03 03:15:39,3,"['rest_framework/views.py', 'tests/conftest.py', 'tests/test_atomic_requests.py']"
#7724,2021-03-09 11:34:18,2021-03-09 14:34:18,2,"['rest_framework/utils/serializer_helpers.py', 'tests/test_bound_fields.py']"
#7718,2021-03-09 10:49:03,2021-03-09 05:49:03,2,"['rest_framework/fields.py', 'tests/test_fields.py']"
#7706,2021-03-09 11:34:18,2021-03-09 14:34:18,2,"['rest_framework/utils/serializer_helpers.py', 'tests/test_bound_fields.py']"
#7647,2021-01-06 13:13:34,2021-01-06 14:13:34,2,"['rest_framework/exceptions.py', 'tests/test_validation_error.py']"
#7641,2021-03-10 12:03:15,2021-03-10 13:03:15,3,"['rest_framework/renderers.py', 'tests/schemas/test_openapi.py', 'tests/schemas/views.py']"
#7632,2021-08-06 09:14:53,2021-08-06 12:14:52,2,"['rest_framework/fields.py', 'tests/test_fields.py']"
#7609,2021-03-16 12:53:39,2021-03-16 15:53:39,2,"['rest_framework/filters.py', 'tests/test_filters.py']"
#7597,2021-03-17 13:28:38,2021-03-17 15:28:38,2,"['rest_framework/relations.py', 'tests/test_relations.py']"
#7589,2021-04-05 09:28:03,2021-04-05 10:28:03,2,"['tests/test_status.py', 'tests/test_validators.py']"
#7571,2020-10-09 11:16:16,2020-10-09 13:16:15,2,"['rest_framework/authtoken/models.py', 'tests/test_authtoken.py']"
#7548,2020-09-23 14:39:07,2020-09-23 15:39:06,3,"['rest_framework/renderers.py', 'rest_framework/templatetags/rest_framework.py', 'tests/test_templatetags.py']"
#7526,2020-09-08 14:42:02,2020-09-08 11:42:01,4,"['rest_framework/pagination.py', 'rest_framework/renderers.py', 'rest_framework/serializers.py', 'rest_framework/utils/urls.py']"
#7523,2020-09-07 18:00:18,2020-09-07 19:00:17,5,"['tests/conftest.py', 'tests/schemas/test_coreapi.py', 'tests/test_model_serializer.py', 'tests/test_permissions.py', 'tests/test_urlpatterns.py']"
#7521,2020-09-05 08:02:27,2020-09-05 09:02:27,3,"['rest_framework/renderers.py', 'rest_framework/utils/field_mapping.py', 'tests/test_fields.py']"
#7513,2020-10-09 09:48:04,2020-10-09 10:48:03,2,"['rest_framework/authentication.py', 'tests/test_request.py']"
