key,time,commitTime,PythonfileNum,pythonFile
#1735,2022-03-07 22:44:26,2022-03-07 14:44:25,5,"['gluoncv/auto/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/tasks/__init__.py']"
#1726,2022-02-02 20:45:59,2022-02-03 04:45:58,5,"['gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/doublehead_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py', 'scripts/detection/faster_rcnn/train_doublehead_rcnn.py']"
#1722,2022-01-09 05:01:44,2022-01-09 13:01:44,2,"['gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/shufflenet.py']"
#1718,2021-12-21 21:45:32,2021-12-21 13:45:32,5,"['gluoncv/auto/__init__.py', 'gluoncv/auto/estimators/constants.py', 'gluoncv/auto/estimators/image_classification/image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'setup.py']"
#1717,2021-12-17 18:15:58,2021-12-17 10:15:57,4,"['gluoncv/auto/estimators/base_estimator.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/tasks/image_classification.py', 'tests/auto/test_auto_tasks.py']"
#1697,2021-08-06 05:53:36,2021-08-05 19:53:35,4,"['gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py']"
#1695,2021-08-03 21:34:01,2021-08-03 11:34:00,2,"['gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py']"
#1692,2021-07-30 19:13:31,2021-07-30 09:13:31,2,"['gluoncv/auto/estimators/base_estimator.py', 'gluoncv/auto/tasks/image_classification.py']"
#1691,2021-07-28 00:08:52,2021-07-27 17:08:52,6,"['gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/tasks/image_classification.py', 'tests/auto/test_auto_tasks.py', 'tests/auto/test_hybrid_auto_tasks.py', 'tests/auto/test_torch_auto_estimators.py', 'tests/auto/test_torch_auto_tasks.py']"
#1688,2021-07-26 04:28:25,2021-07-25 18:28:25,2,"['gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'tests/auto/test_torch_auto_estimators.py']"
#1687,2021-07-25 02:41:54,2021-07-24 16:41:54,2,"['gluoncv/auto/tasks/image_classification.py', 'gluoncv/auto/tasks/utils.py']"
#1686,2021-07-24 05:15:28,2021-07-23 22:15:28,6,"['gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/tasks/image_classification.py', 'tests/auto/test_auto_tasks.py', 'tests/auto/test_torch_auto_estimators.py']"
#1685,2021-07-22 23:32:32,2021-07-22 16:32:32,8,"['gluoncv/auto/data/dataset.py', 'gluoncv/auto/estimators/__init__.py', 'gluoncv/auto/estimators/utils.py', 'gluoncv/utils/__init__.py', 'gluoncv/utils/random.py', 'gluoncv/utils/viz/bbox.py', 'gluoncv/utils/viz/image.py', 'tests/auto/test_torch_auto_estimators.py']"
#1683,2021-07-22 17:19:59,2021-07-22 10:19:59,15,"['gluoncv/auto/data/dataset.py', 'gluoncv/auto/estimators/__init__.py', 'gluoncv/auto/estimators/base_estimator.py', 'gluoncv/auto/estimators/torch_image_classification/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/utils/constants.py', 'gluoncv/auto/estimators/torch_image_classification/utils/metrics.py', 'gluoncv/auto/estimators/torch_image_classification/utils/model.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/utils/scheduler.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/estimators/utils.py', 'tests/auto/test_torch_auto_estimators.py']"
#1677,2021-07-13 00:23:45,2021-07-12 14:23:44,3,"['gluoncv/auto/data/dataset.py', 'tests/auto/test_auto_data.py', 'tests/unittests/test_data_datasets.py']"
#1672,2021-06-14 15:04:38,2021-06-14 05:04:38,6,"['gluoncv/auto/data/dataset.py', 'gluoncv/auto/estimators/center_net/center_net.py', 'gluoncv/auto/estimators/faster_rcnn/faster_rcnn.py', 'gluoncv/auto/estimators/ssd/ssd.py', 'gluoncv/auto/estimators/yolo/yolo.py', 'tests/auto/test_auto_estimators.py']"
#1671,2021-06-09 21:46:34,2021-06-09 11:46:34,5,"['gluoncv/auto/estimators/ssd/default.py', 'gluoncv/auto/estimators/ssd/ssd.py', 'gluoncv/auto/estimators/yolo/default.py', 'gluoncv/auto/estimators/yolo/yolo.py', 'tests/auto/test_auto_estimators.py']"
