file,fileSet
gluoncv/auto/__init__.py,"['gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/tasks/__init__.py', 'gluoncv/auto/estimators/constants.py', 'gluoncv/auto/estimators/image_classification/image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'setup.py']"
gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py,"['gluoncv/auto/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/tasks/__init__.py', 'gluoncv/auto/__init__.py', 'gluoncv/auto/estimators/constants.py', 'gluoncv/auto/estimators/image_classification/image_classification.py', 'setup.py', 'gluoncv/auto/estimators/base_estimator.py', 'gluoncv/auto/tasks/image_classification.py', 'tests/auto/test_auto_tasks.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/utils/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/tasks/image_classification.py', 'tests/auto/test_auto_tasks.py', 'tests/auto/test_hybrid_auto_tasks.py', 'tests/auto/test_torch_auto_estimators.py', 'tests/auto/test_torch_auto_tasks.py', 'tests/auto/test_torch_auto_estimators.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/tasks/image_classification.py', 'tests/auto/test_auto_tasks.py', 'tests/auto/test_torch_auto_estimators.py', 'gluoncv/auto/data/dataset.py', 'gluoncv/auto/estimators/__init__.py', 'gluoncv/auto/estimators/base_estimator.py', 'gluoncv/auto/estimators/torch_image_classification/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/utils/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/utils/constants.py', 'gluoncv/auto/estimators/torch_image_classification/utils/metrics.py', 'gluoncv/auto/estimators/torch_image_classification/utils/model.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/utils/scheduler.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/estimators/utils.py', 'tests/auto/test_torch_auto_estimators.py']"
gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py,"['gluoncv/auto/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/tasks/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/__init__.py', 'gluoncv/auto/data/dataset.py', 'gluoncv/auto/estimators/__init__.py', 'gluoncv/auto/estimators/base_estimator.py', 'gluoncv/auto/estimators/torch_image_classification/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/utils/constants.py', 'gluoncv/auto/estimators/torch_image_classification/utils/metrics.py', 'gluoncv/auto/estimators/torch_image_classification/utils/model.py', 'gluoncv/auto/estimators/torch_image_classification/utils/scheduler.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py', 'gluoncv/auto/estimators/utils.py', 'tests/auto/test_torch_auto_estimators.py']"
gluoncv/auto/estimators/torch_image_classification/utils/utils.py,"['gluoncv/auto/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/tasks/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/tasks/image_classification.py', 'tests/auto/test_auto_tasks.py', 'tests/auto/test_torch_auto_estimators.py', 'gluoncv/auto/data/dataset.py', 'gluoncv/auto/estimators/__init__.py', 'gluoncv/auto/estimators/base_estimator.py', 'gluoncv/auto/estimators/torch_image_classification/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/default.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/utils/constants.py', 'gluoncv/auto/estimators/torch_image_classification/utils/metrics.py', 'gluoncv/auto/estimators/torch_image_classification/utils/model.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/utils/scheduler.py', 'gluoncv/auto/estimators/utils.py', 'tests/auto/test_torch_auto_estimators.py']"
gluoncv/auto/tasks/__init__.py,"['gluoncv/auto/__init__.py', 'gluoncv/auto/estimators/torch_image_classification/torch_image_classification.py', 'gluoncv/auto/estimators/torch_image_classification/utils/optimizer.py', 'gluoncv/auto/estimators/torch_image_classification/utils/utils.py']"
gluoncv/model_zoo/model_zoo.py,"['gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/doublehead_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py', 'scripts/detection/faster_rcnn/train_doublehead_rcnn.py', 'gluoncv/model_zoo/shufflenet.py', 'gluoncv/model_zoo/danet.py', 'gluoncv/model_zoo/resnext.py', 'gluoncv/data/__init__.py', 'gluoncv/data/kinetics700/__init__.py', 'gluoncv/data/kinetics700/classification.py', 'gluoncv/model_zoo/action_recognition/__init__.py', 'gluoncv/model_zoo/action_recognition/i3d_slow.py', 'gluoncv/model_zoo/model_store.py', 'scripts/action-recognition/test_recognizer.py', 'gluoncv/model_zoo/action_recognition/actionrec_resnetv1b.py', 'docs/tutorials/depth/test_monodepth2_posenet.py', 'docs/tutorials/depth/train_monodepth2.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/monodepthv2/monodepth2.py', 'gluoncv/model_zoo/monodepthv2/monodepth2_posenet.py', 'gluoncv/data/kitti/kitti_dataset.py', 'gluoncv/model_zoo/monodepthv2/__init__.py', 'gluoncv/model_zoo/monodepthv2/layers.py', 'gluoncv/model_zoo/monodepthv2/monodepth2.py', 'gluoncv/model_zoo/monodepthv2/monodepth2_posenet.py', 'gluoncv/model_zoo/monodepthv2/pose_decoder.py', 'gluoncv/model_zoo/monodepthv2/resnet_encoder.py', 'scripts/depth/options.py', 'scripts/depth/test.py', 'scripts/depth/test_pose.py', 'scripts/depth/train.py', 'scripts/depth/trainer.py', 'gluoncv/data/__init__.py', 'gluoncv/data/kitti/__init__.py', 'gluoncv/data/kitti/kitti_dataset.py', 'gluoncv/data/kitti/kitti_utils.py', 'gluoncv/data/kitti/mono_dataset.py', 'gluoncv/model_zoo/monodepthv2/__init__.py', 'gluoncv/model_zoo/monodepthv2/depth_decoder.py', 'gluoncv/model_zoo/monodepthv2/layers.py', 'gluoncv/model_zoo/monodepthv2/monodepth2.py', 'gluoncv/model_zoo/monodepthv2/resnet_encoder.py', 'gluoncv/utils/filesystem.py', 'scripts/depth/options.py', 'scripts/depth/test.py', 'scripts/depth/train.py', 'scripts/depth/trainer.py', 'scripts/depth/utils.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/ssd/presets.py', 'gluoncv/model_zoo/ssd/resnet_v1b_ssd.py', 'gluoncv/loss.py', 'gluoncv/model_zoo/attention.py', 'gluoncv/model_zoo/danet.py', 'gluoncv/model_zoo/segbase.py', 'scripts/segmentation/train.py', 'gluoncv/model_zoo/__init__.py', 'gluoncv/model_zoo/fastscnn.py', 'gluoncv/model_zoo/segbase.py', 'scripts/segmentation/test.py', 'scripts/segmentation/train.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/rcnn/rcnn.py', 'gluoncv/model_zoo/resnest.py', 'gluoncv/nn/splat.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/faster_rcnn.py', 'gluoncv/model_zoo/resnest.py', 'gluoncv/nn/splat.py', 'scripts/classification/imagenet/train_horovod.py', 'gluoncv/data/__init__.py', 'gluoncv/data/pascal_voc/detection.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/faster_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py', 'scripts/detection/faster_rcnn/train_faster_rcnn.py', 'gluoncv/model_zoo/deeplabv3.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/resnest.py', 'gluoncv/model_zoo/segbase.py', 'scripts/segmentation/test.py', 'scripts/segmentation/train.py', 'gluoncv/model_zoo/ssd/anchor.py', 'gluoncv/model_zoo/ssd/presets.py', 'gluoncv/model_zoo/ssd/ssd.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/resnest.py', 'gluoncv/nn/dropblock.py', 'gluoncv/nn/splat.py', 'gluoncv/utils/transforms.py', 'scripts/classification/imagenet/train_horovod.py', 'tests/unittests/test_model_zoo.py', 'gluoncv/model_zoo/hrnet.py', 'gluoncv/model_zoo/model_store.py', 'docs/tutorials/datasets/mhp_v1.py', 'docs/tutorials/segmentation/demo_icnet.py', 'gluoncv/data/__init__.py', 'gluoncv/data/mhp.py', 'gluoncv/loss.py', 'gluoncv/model_zoo/icnet.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/segbase.py', 'gluoncv/utils/filesystem.py', 'gluoncv/utils/viz/segmentation.py', 'scripts/datasets/mhp_v1.py', 'scripts/segmentation/test.py', 'scripts/segmentation/train.py', 'gluoncv/model_zoo/deeplabv3.py', 'gluoncv/data/transforms/presets/rcnn.py', 'gluoncv/model_zoo/__init__.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/faster_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/rcnn_target.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/mask_rcnn.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/predefined_models.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/rcnn_target.py', 'gluoncv/model_zoo/rcnn/rcnn.py', 'gluoncv/model_zoo/rcnn/rpn/__init__.py', 'gluoncv/model_zoo/rcnn/rpn/anchor.py', 'gluoncv/model_zoo/rcnn/rpn/bbox_clip.py', 'gluoncv/model_zoo/rcnn/rpn/proposal.py', 'gluoncv/model_zoo/rcnn/rpn/rpn.py', 'gluoncv/model_zoo/rcnn/rpn/rpn_target.py', 'scripts/detection/faster_rcnn/train_faster_rcnn.py', 'scripts/instance/mask_rcnn/train_mask_rcnn.py', 'setup.py', 'gluoncv/data/transforms/mask.py', 'gluoncv/model_zoo/center_net/center_net.py', 'gluoncv/model_zoo/center_net/deconv_resnet.py', 'gluoncv/model_zoo/center_net/duc_mobilenet.py', 'gluoncv/model_zoo/model_store.py', 'scripts/detection/center_net/train_center_net.py', 'tests/unittests/test_utils_parallel.py', 'gluoncv/model_zoo/__init__.py', 'gluoncv/model_zoo/hrnet.py']"
gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py,"['gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/doublehead_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py', 'scripts/detection/faster_rcnn/train_doublehead_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/data_parallel.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/data_parallel.py', 'scripts/detection/faster_rcnn/train_faster_rcnn.py', 'scripts/instance/mask_rcnn/train_mask_rcnn.py', 'gluoncv/data/transforms/presets/rcnn.py', 'gluoncv/model_zoo/__init__.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/faster_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/rcnn_target.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/mask_rcnn.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/predefined_models.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/rcnn_target.py', 'gluoncv/model_zoo/rcnn/rcnn.py', 'gluoncv/model_zoo/rcnn/rpn/__init__.py', 'gluoncv/model_zoo/rcnn/rpn/anchor.py', 'gluoncv/model_zoo/rcnn/rpn/bbox_clip.py', 'gluoncv/model_zoo/rcnn/rpn/proposal.py', 'gluoncv/model_zoo/rcnn/rpn/rpn.py', 'gluoncv/model_zoo/rcnn/rpn/rpn_target.py', 'scripts/detection/faster_rcnn/train_faster_rcnn.py', 'scripts/instance/mask_rcnn/train_mask_rcnn.py', 'setup.py']"
gluoncv/model_zoo/rcnn/faster_rcnn/doublehead_rcnn.py,"['gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py', 'scripts/detection/faster_rcnn/train_doublehead_rcnn.py']"
gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py,"['gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/doublehead_rcnn.py', 'scripts/detection/faster_rcnn/train_doublehead_rcnn.py', 'gluoncv/data/__init__.py', 'gluoncv/data/pascal_voc/detection.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/faster_rcnn.py', 'scripts/detection/faster_rcnn/train_faster_rcnn.py', 'gluoncv/data/transforms/presets/rcnn.py', 'gluoncv/model_zoo/__init__.py', 'gluoncv/model_zoo/model_store.py', 'gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/faster_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/rcnn_target.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/mask_rcnn.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/predefined_models.py', 'gluoncv/model_zoo/rcnn/mask_rcnn/rcnn_target.py', 'gluoncv/model_zoo/rcnn/rcnn.py', 'gluoncv/model_zoo/rcnn/rpn/__init__.py', 'gluoncv/model_zoo/rcnn/rpn/anchor.py', 'gluoncv/model_zoo/rcnn/rpn/bbox_clip.py', 'gluoncv/model_zoo/rcnn/rpn/proposal.py', 'gluoncv/model_zoo/rcnn/rpn/rpn.py', 'gluoncv/model_zoo/rcnn/rpn/rpn_target.py', 'scripts/detection/faster_rcnn/train_faster_rcnn.py', 'scripts/instance/mask_rcnn/train_mask_rcnn.py', 'setup.py']"
scripts/detection/faster_rcnn/train_doublehead_rcnn.py,"['gluoncv/model_zoo/model_zoo.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/__init__.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/doublehead_rcnn.py', 'gluoncv/model_zoo/rcnn/faster_rcnn/predefined_models.py']"
