file,fileSet
scripts/processing/__main__.py,"['scripts/processing/clean_tok_corpus.py', 'scripts/processing/clean_tok_corpus.py', 'scripts/processing/clean_tok_corpus.py']"
scripts/processing/clean_tok_corpus.py,"['scripts/processing/__main__.py', 'scripts/processing/__main__.py', 'scripts/processing/__main__.py']"
docs/conf.py,"['src/gluonnlp/attention_cell.py', 'docs/examples/question_answering/squad_utils.py', 'docs/md2ipynb.py', 'scripts/datasets/general_nlp_benchmark/prepare_glue.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/datasets/pretrain_corpus/prepare_gutenberg.py', 'scripts/datasets/question_answering/prepare_searchqa.py', 'scripts/datasets/question_answering/prepare_squad.py', 'scripts/question_answering/commands/generate_commands.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/utils/lazy_imports.py', 'tests/test_models.py', 'tools/batch/submit-job.py', 'docs/tutorials/question_answering/squad_utils.py', 'src/gluonnlp/__init__.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/base.py', 'src/gluonnlp/data/filtering.py', 'src/gluonnlp/data/tokenizers/base.py', 'src/gluonnlp/data/tokenizers/spacy.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/base.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/gpt2.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/models/xlmr.py', 'src/gluonnlp/op.py', 'src/gluonnlp/utils/misc.py', 'src/gluonnlp/data/vocab.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/utils/misc.py', 'src/gluonnlp/utils/parameter.py', 'docs/md2ipynb.py', 'src/gluonnlp/embedding/embed_loader.py']"
src/gluonnlp/attention_cell.py,"['docs/conf.py', 'scripts/conversion_toolkits/convert_mt5.py', 'scripts/conversion_toolkits/convert_t5.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/mt5.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/models/transformer.py', 'tests/test_models.py', 'tests/test_models_mt5.py', 'tests/test_models_t5.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/utils/testing.py', 'tests/test_models.py', 'tests/test_models_t5.py', 'scripts/conversion_toolkits/convert_t5.py', 'setup.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/op.py', 'tests/test_data_tokenizers.py', 'tests/test_models.py', 'tests/test_models_t5.py', 'src/gluonnlp/__init__.py', 'tests/test_attention_cell.py', 'scripts/question_answering/run_squad.py', 'tests/test_attention_cell.py', 'scripts/benchmarks/benchmark_utils.py', 'tools/batch/question_answering/parse_squad_results.py', 'docs/examples/question_answering/squad_utils.py', 'scripts/question_answering/models.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/machine_translation/train_transformer.py', 'scripts/question_answering/commands/generate_commands.py', 'scripts/question_answering/run_squad.py', 'src/gluonnlp/data/sampler.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/gpt2.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/optimizer.py', 'src/gluonnlp/utils/testing.py', 'tests/test_models.py', 'tests/test_models_bart.py', 'tests/test_models_bert.py', 'tests/test_models_electra.py', 'tests/test_models_gpt2.py', 'tests/test_models_mobilebert.py', 'tests/test_models_roberta.py', 'tests/test_models_transformer.py', 'tests/test_models_xlmr.py', 'tests/test_optimizer.py', 'tools/batch/wait-job.py', 'docs/conf.py', 'docs/tutorials/question_answering/squad_utils.py', 'src/gluonnlp/__init__.py', 'src/gluonnlp/base.py', 'src/gluonnlp/data/filtering.py', 'src/gluonnlp/data/tokenizers/base.py', 'src/gluonnlp/data/tokenizers/spacy.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/base.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/gpt2.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/models/xlmr.py', 'src/gluonnlp/op.py', 'src/gluonnlp/utils/misc.py', 'scripts/pretraining/pretraining_utils.py', 'scripts/question_answering/models.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/loss.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/gpt2.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/op.py', 'tests/test_attention_cell.py', 'tests/test_data_tokenizers.py', 'tests/test_embedding.py', 'tests/test_gluon_block.py', 'tests/test_layers.py', 'tests/test_models.py', 'tests/test_models_albert.py', 'tests/test_models_gpt2.py', 'tests/test_models_transformer.py', 'tests/test_op.py', 'tests/test_sequence_sampler.py', 'tests/test_utils_misc.py', 'tests/test_utils_parameter.py', 'scripts/question_answering/run_squad.py', 'src/gluonnlp/models/bert.py', 'scripts/conversion_toolkits/convert_electra.py', 'scripts/conversion_toolkits/convert_fairseq_bart.py', 'scripts/conversion_toolkits/convert_fairseq_roberta.py', 'scripts/conversion_toolkits/convert_mobilebert.py', 'scripts/machine_translation/evaluate_transformer.py', 'scripts/machine_translation/train_transformer.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/transformer.py', 'tests/test_models_bart.py', 'tests/test_models_transformer.py', 'src/gluonnlp/__init__.py', 'src/gluonnlp/embedding/__init__.py', 'src/gluonnlp/embedding/_constants.py', 'src/gluonnlp/embedding/embed_loader.py', 'src/gluonnlp/op.py', 'tests/test_embedding.py', 'scripts/conversion_toolkits/convert_electra.py', 'scripts/conversion_toolkits/convert_fairseq_bart.py', 'scripts/conversion_toolkits/convert_fairseq_roberta.py', 'scripts/conversion_toolkits/convert_mobilebert.py', 'scripts/machine_translation/evaluate_transformer.py', 'scripts/machine_translation/train_transformer.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/transformer.py', 'tests/test_models_bart.py', 'tests/test_models_transformer.py', 'setup.py', 'src/gluonnlp/data/tokenizers.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/models/xlmr.py', 'src/gluonnlp/utils/testing.py', 'tests/test_attention_cell.py', 'tests/test_models_albert.py', 'tests/test_models_bert.py', 'tests/test_models_electra.py', 'tests/test_models_mobilebert.py', 'tests/test_models_roberta.py', 'tests/test_models_xlmr.py']"
scripts/benchmarks/benchmark_utils.py,"['setup.py', 'tests/test_models.py', 'setup.py', 'src/gluonnlp/attention_cell.py', 'tools/batch/question_answering/parse_squad_results.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'scripts/machine_translation/train_transformer.py', 'scripts/question_answering/commands/generate_commands.py', 'scripts/question_answering/run_squad.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/data/sampler.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/gpt2.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/optimizer.py', 'src/gluonnlp/utils/testing.py', 'tests/test_models.py', 'tests/test_models_bart.py', 'tests/test_models_bert.py', 'tests/test_models_electra.py', 'tests/test_models_gpt2.py', 'tests/test_models_mobilebert.py', 'tests/test_models_roberta.py', 'tests/test_models_transformer.py', 'tests/test_models_xlmr.py', 'tests/test_optimizer.py', 'tools/batch/wait-job.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/utils/lazy_imports.py', 'src/gluonnlp/utils/misc.py', 'tests/test_models.py', 'tests/test_models_roberta.py', 'tools/batch/submit-job.py', 'docs/conf.py', 'scripts/datasets/pretrain_corpus/prepare_gutenberg.py', 'scripts/datasets/question_answering/prepare_searchqa.py', 'scripts/datasets/question_answering/prepare_squad.py', 'scripts/question_answering/commands/generate_commands.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/utils/lazy_imports.py', 'tests/test_models.py', 'tools/batch/submit-job.py', 'scripts/machine_translation/train_transformer.py', 'setup.py', 'src/gluonnlp/data/tokenizers.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'scripts/benchmarks/benchmark_hf.py', 'scripts/conversion_toolkits/convert_electra.py', 'scripts/conversion_toolkits/convert_fairseq_xlmr.py', 'scripts/conversion_toolkits/convert_mobilebert.py', 'scripts/conversion_toolkits/convert_tf_hub_model.py', 'scripts/preprocess/apply_subword.py', 'scripts/preprocess/learn_subword.py', 'scripts/pretraining/pretraining_utils.py', 'scripts/question_answering/run_squad.py', 'setup.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/op.py', 'src/gluonnlp/utils/misc.py', 'tests/test_models.py', 'tests/test_models_bart.py', 'tests/test_op.py', 'tests/test_utils_misc.py']"
setup.py,"['scripts/benchmarks/benchmark_utils.py', 'tests/test_models.py', 'scripts/pretraining/torch/bert/prepare_quickthought.py', 'scripts/pretraining/torch/bert/run_pretraining.py', 'src/gluonnlp/torch/__init__.py', 'src/gluonnlp/torch/data/__init__.py', 'src/gluonnlp/torch/data/batchify.py', 'src/gluonnlp/torch/models/bert.py', 'src/gluonnlp/torch/optimizers/__init__.py', 'src/gluonnlp/torch/optimizers/fused_lans.py', 'src/gluonnlp/torch/optimizers/schedules.py', 'src/gluonnlp/utils/__init__.py', 'src/gluonnlp/utils/shm.py', 'src/gluonnlp/utils/misc.py', 'tests/test_utils_misc.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/conversion_toolkits/convert_t5.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/op.py', 'tests/test_data_tokenizers.py', 'tests/test_models.py', 'tests/test_models_t5.py', 'src/gluonnlp/base.py', 'src/gluonnlp/utils/lazy_imports.py', 'src/gluonnlp/utils/misc.py', 'tests/test_utils_misc.py', 'src/gluonnlp/data/tokenizers/huggingface.py', 'src/gluonnlp/cli/average_checkpoint.py', 'scripts/datasets/general_nlp_benchmark/prepare_glue.py', 'scripts/datasets/pretrain_corpus/prepare_wikipedia.py', 'src/gluonnlp/utils/lazy_imports.py', 'tests/data_cli/test_glue.py', 'tests/data_cli/test_wikipedia.py', 'scripts/question_answering/run_squad.py', 'scripts/question_answering/squad_utils.py', 'src/gluonnlp/utils/preprocessing.py', 'src/gluonnlp/__init__.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/machine_translation/train_transformer.py', 'src/gluonnlp/data/tokenizers.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'scripts/benchmarks/benchmark_hf.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/conversion_toolkits/convert_electra.py', 'scripts/conversion_toolkits/convert_fairseq_xlmr.py', 'scripts/conversion_toolkits/convert_mobilebert.py', 'scripts/conversion_toolkits/convert_tf_hub_model.py', 'scripts/preprocess/apply_subword.py', 'scripts/preprocess/learn_subword.py', 'scripts/pretraining/pretraining_utils.py', 'scripts/question_answering/run_squad.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/op.py', 'src/gluonnlp/utils/misc.py', 'tests/test_models.py', 'tests/test_models_bart.py', 'tests/test_op.py', 'tests/test_utils_misc.py', 'scripts/machine_translation/__init__.py', 'scripts/machine_translation/evaluate_transformer.py', 'scripts/machine_translation/train_transformer.py', 'src/gluonnlp/__init__.py', 'src/gluonnlp/cli/average_checkpoint.py', 'src/gluonnlp/data/sampler.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/sequence_sampler.py', 'tests/test_data_sampler.py', 'tests/test_sequence_sampler.py', 'scripts/conversion_toolkits/convert_electra.py', 'scripts/conversion_toolkits/convert_fairseq_bart.py', 'scripts/conversion_toolkits/convert_fairseq_roberta.py', 'scripts/conversion_toolkits/convert_mobilebert.py', 'scripts/machine_translation/evaluate_transformer.py', 'scripts/machine_translation/train_transformer.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/transformer.py', 'tests/test_models_bart.py', 'tests/test_models_transformer.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/data/tokenizers.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/models/xlmr.py', 'src/gluonnlp/utils/testing.py', 'tests/test_attention_cell.py', 'tests/test_models_albert.py', 'tests/test_models_bert.py', 'tests/test_models_electra.py', 'tests/test_models_mobilebert.py', 'tests/test_models_roberta.py', 'tests/test_models_xlmr.py', 'src/gluonnlp/__init__.py', 'src/gluonnlp/utils/version.py']"
tests/test_models.py,"['scripts/benchmarks/benchmark_utils.py', 'setup.py', 'scripts/conversion_toolkits/convert_mt5.py', 'scripts/conversion_toolkits/convert_t5.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/mt5.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/models/transformer.py', 'tests/test_models_mt5.py', 'tests/test_models_t5.py', 'src/gluonnlp/utils/misc.py', 'src/gluonnlp/utils/tvm_utils.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/utils/testing.py', 'tests/test_models_t5.py', 'scripts/conversion_toolkits/convert_t5.py', 'setup.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/t5.py', 'src/gluonnlp/op.py', 'tests/test_data_tokenizers.py', 'tests/test_models_t5.py', 'scripts/datasets/general_nlp_benchmark/prepare_glue.py', 'scripts/machine_translation/evaluate_transformer.py', 'scripts/machine_translation/train_transformer.py', 'scripts/question_answering/run_squad.py', 'src/gluonnlp/cli/average_checkpoint.py', 'src/gluonnlp/data/sampler.py', 'src/gluonnlp/data/tokenizers/yttm.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/sequence_sampler.py', 'src/gluonnlp/utils/misc.py', 'src/gluonnlp/utils/parameter.py', 'tests/test_data_sampler.py', 'tests/test_data_tokenizers.py', 'tests/test_models_transformer.py', 'tests/test_utils_misc.py', 'tests/test_utils_parameter.py', 'tools/batch/question_answering/parse_squad_results.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/machine_translation/train_transformer.py', 'scripts/question_answering/commands/generate_commands.py', 'scripts/question_answering/run_squad.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/data/sampler.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/gpt2.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/optimizer.py', 'src/gluonnlp/utils/testing.py', 'tests/test_models_bart.py', 'tests/test_models_bert.py', 'tests/test_models_electra.py', 'tests/test_models_gpt2.py', 'tests/test_models_mobilebert.py', 'tests/test_models_roberta.py', 'tests/test_models_transformer.py', 'tests/test_models_xlmr.py', 'tests/test_optimizer.py', 'tools/batch/wait-job.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'scripts/benchmarks/benchmark_utils.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/utils/lazy_imports.py', 'src/gluonnlp/utils/misc.py', 'tests/test_models_roberta.py', 'tools/batch/submit-job.py', 'docs/conf.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/datasets/pretrain_corpus/prepare_gutenberg.py', 'scripts/datasets/question_answering/prepare_searchqa.py', 'scripts/datasets/question_answering/prepare_squad.py', 'scripts/question_answering/commands/generate_commands.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/utils/lazy_imports.py', 'tools/batch/submit-job.py', 'src/gluonnlp/cli/average_checkpoint.py', 'tests/process_cli/test_average_checkpoint.py', 'scripts/pretraining/pretraining_utils.py', 'scripts/question_answering/models.py', 'src/gluonnlp/attention_cell.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/loss.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/gpt2.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/roberta.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/models/transformer_xl.py', 'src/gluonnlp/op.py', 'tests/test_attention_cell.py', 'tests/test_data_tokenizers.py', 'tests/test_embedding.py', 'tests/test_gluon_block.py', 'tests/test_layers.py', 'tests/test_models_albert.py', 'tests/test_models_gpt2.py', 'tests/test_models_transformer.py', 'tests/test_op.py', 'tests/test_sequence_sampler.py', 'tests/test_utils_misc.py', 'tests/test_utils_parameter.py', 'scripts/datasets/general_nlp_benchmark/prepare_glue.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/models/transformer.py', 'src/gluonnlp/utils/misc.py', 'src/gluonnlp/utils/parameter.py', 'src/gluonnlp/utils/preprocessing.py', 'tests/test_layers.py', 'tests/test_utils_misc.py', 'conftest.py', 'src/gluonnlp/models/gpt2.py', 'tests/test_models_albert.py', 'tests/test_models_bart.py', 'tests/test_models_bert.py', 'tests/test_models_electra.py', 'tests/test_models_gpt2.py', 'tests/test_models_roberta.py', 'tests/test_models_xlmr.py', 'conftest.py', 'tests/test_attention_cell.py', 'tests/test_models_bert.py', 'tests/test_models_electra.py', 'tests/test_optimizer.py', 'conftest.py', 'tests/test_optimizer.py', 'scripts/benchmarks/benchmark_gluonnlp.py', 'scripts/benchmarks/benchmark_hf.py', 'scripts/benchmarks/benchmark_utils.py', 'scripts/conversion_toolkits/convert_electra.py', 'scripts/conversion_toolkits/convert_fairseq_xlmr.py', 'scripts/conversion_toolkits/convert_mobilebert.py', 'scripts/conversion_toolkits/convert_tf_hub_model.py', 'scripts/preprocess/apply_subword.py', 'scripts/preprocess/learn_subword.py', 'scripts/pretraining/pretraining_utils.py', 'scripts/question_answering/run_squad.py', 'setup.py', 'src/gluonnlp/layers.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bart.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/op.py', 'src/gluonnlp/utils/misc.py', 'tests/test_models_bart.py', 'tests/test_op.py', 'tests/test_utils_misc.py', 'scripts/datasets/__main__.py', 'scripts/datasets/pretrain_corpus/prepare_bookcorpus.py', 'scripts/datasets/pretrain_corpus/prepare_openwebtext.py', 'scripts/datasets/pretrain_corpus/prepare_wikipedia.py', 'scripts/machine_translation/train_transformer.py', 'scripts/pretraining/data_preprocessing.py', 'scripts/pretraining/pretraining_utils.py', 'scripts/pretraining/run_electra.py', 'scripts/question_answering/eval_utils.py', 'scripts/question_answering/models.py', 'scripts/question_answering/run_squad.py', 'src/gluonnlp/data/tokenizers.py', 'src/gluonnlp/models/albert.py', 'src/gluonnlp/models/bert.py', 'src/gluonnlp/models/electra.py', 'src/gluonnlp/models/mobilebert.py', 'src/gluonnlp/op.py', 'src/gluonnlp/utils/misc.py', 'src/gluonnlp/utils/parameter.py', 'tests/test_models_albert.py', 'src/gluonnlp/models/__init__.py', 'src/gluonnlp/utils/lazy_imports.py', 'tests/test_models_xlmr.py', 'scripts/question_answering/squad_utils.py', 'src/gluonnlp/utils/__init__.py', 'src/gluonnlp/utils/lazy_imports.py', 'src/gluonnlp/utils/misc.py', 'src/gluonnlp/utils/preprocessing.py', 'tests/test_models_xlmr.py', 'tests/test_utils_misc.py', 'tests/test_utils_preprocessing.py', 'tests/test_data_loading.py']"
scripts/pretraining/torch/bert/prepare_quickthought.py,"['scripts/pretraining/torch/bert/run_pretraining.py', 'setup.py', 'src/gluonnlp/torch/__init__.py', 'src/gluonnlp/torch/data/__init__.py', 'src/gluonnlp/torch/data/batchify.py', 'src/gluonnlp/torch/models/bert.py', 'src/gluonnlp/torch/optimizers/__init__.py', 'src/gluonnlp/torch/optimizers/fused_lans.py', 'src/gluonnlp/torch/optimizers/schedules.py', 'src/gluonnlp/utils/__init__.py', 'src/gluonnlp/utils/shm.py']"
scripts/pretraining/torch/bert/run_pretraining.py,"['scripts/pretraining/torch/bert/prepare_quickthought.py', 'setup.py', 'src/gluonnlp/torch/__init__.py', 'src/gluonnlp/torch/data/__init__.py', 'src/gluonnlp/torch/data/batchify.py', 'src/gluonnlp/torch/models/bert.py', 'src/gluonnlp/torch/optimizers/__init__.py', 'src/gluonnlp/torch/optimizers/fused_lans.py', 'src/gluonnlp/torch/optimizers/schedules.py', 'src/gluonnlp/utils/__init__.py', 'src/gluonnlp/utils/shm.py']"
src/gluonnlp/torch/__init__.py,"['scripts/pretraining/torch/bert/prepare_quickthought.py', 'scripts/pretraining/torch/bert/run_pretraining.py', 'setup.py', 'src/gluonnlp/torch/data/__init__.py', 'src/gluonnlp/torch/data/batchify.py', 'src/gluonnlp/torch/models/bert.py', 'src/gluonnlp/torch/optimizers/__init__.py', 'src/gluonnlp/torch/optimizers/fused_lans.py', 'src/gluonnlp/torch/optimizers/schedules.py', 'src/gluonnlp/utils/__init__.py', 'src/gluonnlp/utils/shm.py', 'scripts/conversion_toolkits/convert_tf_hub_model.py', 'src/gluonnlp/__init__.py', 'src/gluonnlp/base.py', 'src/gluonnlp/torch/attention_cell.py', 'src/gluonnlp/torch/layers.py', 'src/gluonnlp/torch/models/__init__.py', 'src/gluonnlp/torch/models/bert.py', 'src/gluonnlp/torch/models/transformer.py', 'src/gluonnlp/torch/utils.py', 'src/gluonnlp/utils/misc.py', 'tests/torch/test_attention_cell_torch.py', 'tests/torch/test_bert_torch.py', 'tests/torch/test_layers_torch.py']"
