key,time,commitTime,PythonfileNum,pythonFile
#3505,2022-04-15 17:39:00,2022-04-15 10:38:59,2,"['horovod/tensorflow/gradient_aggregation_eager.py', 'test/parallel/test_tensorflow2_keras.py']"
#3499,2022-04-01 16:57:44,2022-04-01 09:57:43,2,"['horovod/tensorflow/gradient_aggregation_eager.py', 'test/parallel/test_tensorflow2_keras.py']"
#3496,2022-03-31 23:05:48,2022-03-31 16:05:46,2,"['horovod/tensorflow/gradient_aggregation_eager.py', 'test/parallel/test_tensorflow2_keras.py']"
#3490,2022-03-25 21:32:14,2022-03-25 14:32:14,3,"['horovod/runner/elastic/discovery.py', 'test/single/test_elastic_discovery.py', 'test/single/test_elastic_driver.py']"
#3489,2022-03-31 15:17:17,2022-03-31 17:17:16,2,"['horovod/runner/gloo_run.py', 'test/integration/test_spark.py']"
#3409,2022-03-12 20:56:37,2022-03-12 21:56:37,22,"['horovod/ray/elastic.py', 'horovod/ray/elastic_v2.py', 'horovod/runner/__init__.py', 'horovod/runner/common/util/hosts.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'horovod/spark/driver/driver_service.py', 'horovod/spark/runner.py', 'test/integration/elastic_common.py', 'test/integration/elastic_spark_common.py', 'test/integration/test_interactiverun.py', 'test/integration/test_spark.py', 'test/integration/test_spark_lightning.py', 'test/integration/test_spark_torch.py', 'test/integration/test_static_run.py', 'test/single/test_elastic_driver.py', 'test/single/test_ray_elastic.py', 'test/single/test_ray_elastic_v2.py', 'test/single/test_run.py', 'test/utils/spark_common.py']"
#3403,2022-02-26 19:20:30,2022-02-26 11:20:29,10,"['horovod/common/util.py', 'horovod/spark/keras/tensorflow.py', 'horovod/tensorflow/keras/__init__.py', 'horovod/tensorflow/keras/callbacks.py', 'setup.py', 'test/integration/test_spark.py', 'test/integration/test_spark_keras.py', 'test/parallel/test_tensorflow.py', 'test/parallel/test_tensorflow2_keras.py', 'test/parallel/test_tensorflow_keras.py']"
#3369,2022-01-21 04:02:08,2022-01-20 20:02:08,8,"['horovod/spark/keras/estimator.py', 'horovod/spark/keras/remote.py', 'horovod/spark/lightning/datamodule.py', 'horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py', 'horovod/spark/torch/estimator.py', 'horovod/spark/torch/remote.py', 'test/integration/test_spark_lightning.py']"
#3362,2022-01-21 04:02:57,2022-01-21 09:32:57,5,"['horovod/spark/common/store.py', 'horovod/spark/keras/estimator.py', 'horovod/spark/lightning/estimator.py', 'horovod/spark/torch/estimator.py', 'test/integration/test_spark_lightning.py']"
#3358,2022-01-16 10:15:40,2022-01-16 02:15:40,3,"['horovod/runner/js_run.py', 'test/single/test_run.py', 'test/utils/common.py']"
#3332,2022-01-03 10:33:38,2022-01-03 11:33:38,3,"['.github/gen-workflow-ci.py', 'examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'test/integration/test_spark_lightning.py']"
#3319,2022-01-24 14:06:50,2022-01-24 06:06:49,14,"['horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'horovod/runner/__init__.py', 'horovod/runner/elastic/discovery.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'test/integration/data/elastic_tensorflow2_main.py', 'test/integration/data/elastic_tensorflow_keras_main.py', 'test/integration/data/elastic_tensorflow_main.py', 'test/integration/data/elastic_torch_main.py', 'test/integration/elastic_common.py', 'test/single/test_ray_elastic_v2.py']"
#3318,2021-12-15 14:47:14,2021-12-15 15:47:14,3,"['.github/gen-workflow-ci.py', 'examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'test/integration/test_spark_lightning.py']"
#3301,2021-12-16 07:31:48,2021-12-16 08:31:48,2,"['.github/gen-workflow-ci.py', 'setup.py']"
#3299,2022-03-08 13:04:39,2022-03-08 14:04:38,13,"['horovod/_keras/__init__.py', 'horovod/common/util.py', 'horovod/keras/__init__.py', 'horovod/mxnet/__init__.py', 'horovod/mxnet/mpi_ops.py', 'horovod/tensorflow/__init__.py', 'horovod/tensorflow/keras/__init__.py', 'horovod/tensorflow/mpi_ops.py', 'horovod/torch/__init__.py', 'horovod/torch/mpi_ops.py', 'test/parallel/base_test_mxnet.py', 'test/parallel/test_tensorflow.py', 'test/parallel/test_torch.py']"
#3291,2021-12-11 08:20:19,2021-12-11 09:20:18,2,"['.github/gen-workflow-ci.py', 'test/parallel/test_torch.py']"
#3289,2021-11-24 13:54:53,2021-11-24 14:54:53,4,"['horovod/spark/common/store.py', 'horovod/spark/lightning/remote.py', 'horovod/spark/torch/remote.py', 'test/integration/test_spark_lightning.py']"
#3280,2021-11-19 02:36:01,2021-11-18 18:36:01,2,"['horovod/common/basics.py', 'test/parallel/test_torch.py']"
#3279,2021-11-23 07:11:40,2021-11-24 14:54:53,4,"['horovod/spark/common/store.py', 'horovod/spark/lightning/remote.py', 'horovod/spark/torch/remote.py', 'test/integration/test_spark_lightning.py']"
#3274,2021-11-22 15:46:03,2021-11-22 23:46:03,2,"['horovod/spark/common/util.py', 'test/utils/spark_common.py']"
#3265,2021-11-08 18:16:17,2021-11-08 10:16:17,2,"['horovod/spark/common/util.py', 'test/utils/spark_common.py']"
#3263,2021-11-23 10:43:56,2021-11-23 11:43:55,2,"['examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'test/integration/test_spark_lightning.py']"
#3261,2022-01-17 17:07:31,2022-01-17 18:07:31,2,"['cmake/build_utils.py', 'setup.py']"
#3259,2021-11-08 03:38:00,2021-11-23 11:43:55,4,"['examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'test/integration/test_spark_lightning.py', '.github/gen-workflow-ci.py', 'test/single/test_buildkite.py']"
#3258,2021-11-08 19:26:40,2021-11-08 11:26:40,6,"['horovod/mxnet/mpi_ops.py', 'horovod/spark/keras/remote.py', 'horovod/spark/lightning/remote.py', 'horovod/spark/torch/remote.py', 'horovod/tensorflow/mpi_ops.py', 'horovod/torch/mpi_ops.py']"
#3255,2021-11-04 15:17:34,2021-11-08 10:16:17,2,"['horovod/spark/common/util.py', 'test/utils/spark_common.py']"
#3253,2021-11-08 18:59:24,2021-11-08 10:59:23,4,"['horovod/data/data_loader_base.py', 'horovod/spark/lightning/datamodule.py', 'horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py']"
#3239,2021-10-26 23:49:10,2021-10-26 16:49:10,3,"['horovod/data/data_loader_base.py', 'horovod/spark/lightning/datamodule.py', 'horovod/spark/lightning/remote.py']"
#3230,2021-11-17 07:05:10,2021-11-16 23:05:10,6,"['horovod/ray/adapter.py', 'horovod/ray/elastic.py', 'horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'test/single/test_ray.py', 'test/single/test_ray_elastic_v2.py']"
#3222,2021-10-14 16:51:59,2021-10-14 09:51:58,2,"['examples/elastic/tensorflow2/tensorflow2_keras_mnist_elastic.py', 'examples/pytorch/pytorch_mnist.py']"
#3216,2021-10-12 20:25:15,2021-10-12 13:25:15,2,"['horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py']"
#3215,2021-10-12 08:06:43,2021-10-12 10:06:43,2,"['.github/gen-workflow-ci.py', '.github/get-changed-code-files.py']"
#3214,2021-10-11 20:47:07,2021-10-11 13:47:06,3,"['horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py', 'test/integration/test_spark_lightning.py']"
#3201,2021-10-07 02:05:29,2021-10-06 19:05:28,3,"['examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py']"
#3194,2021-10-05 21:28:51,2021-10-05 14:28:50,3,"['setup.py', 'test/parallel/test_torch.py', 'test/single/test_ray_elastic.py']"
#3191,2021-10-04 03:24:37,2021-10-03 20:24:37,3,"['horovod/spark/keras/estimator.py', 'horovod/spark/keras/util.py', 'test/integration/test_spark_keras.py']"
#3190,2021-11-17 07:05:10,2021-11-16 23:05:10,6,"['horovod/ray/adapter.py', 'horovod/ray/elastic.py', 'horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'test/single/test_ray.py', 'test/single/test_ray_elastic_v2.py']"
#3186,2021-09-30 17:34:27,2021-09-30 10:34:27,3,"['examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py']"
#3175,2021-10-04 01:43:17,2021-10-03 18:43:16,2,"['.github/gen-workflow-ci.py', 'test/parallel/test_torch.py']"
#3155,2021-09-08 19:26:23,2021-09-08 21:26:23,2,"['.github/gen-workflow-ci.py', 'test/single/test_buildkite.py']"
#3153,2021-09-09 16:15:19,2021-09-09 09:15:18,2,"['examples/spark/keras/keras_spark_mnist.py', 'horovod/spark/keras/remote.py']"
#3148,2021-10-04 09:23:07,2021-10-04 05:23:07,2,"['horovod/runner/mpi_run.py', 'test/integration/test_static_run.py']"
#3144,2021-10-21 20:44:14,2021-10-22 04:44:13,3,"['horovod/torch/elastic/sampler.py', 'horovod/torch/elastic/state.py', 'test/single/test_torch_elastic.py']"
#3139,2021-10-06 04:00:58,2021-10-05 21:00:57,4,"['horovod/common/basics.py', 'horovod/torch/__init__.py', 'horovod/torch/mpi_ops.py', 'test/parallel/test_torch.py']"
#3137,2021-09-02 16:18:59,2021-09-02 21:48:58,2,"['docs/mocks.py', 'horovod/spark/common/store.py']"
#3134,2021-09-02 23:57:48,2021-09-03 01:57:48,4,"['docs/mocks.py', 'horovod/ray/runner.py', 'horovod/ray/strategy.py', 'test/single/test_ray.py']"
#3128,2021-10-20 21:26:05,2021-10-20 23:26:04,4,"['horovod/tensorflow/__init__.py', 'horovod/tensorflow/functions.py', 'horovod/tensorflow/mpi_ops.py', 'test/parallel/test_tensorflow.py']"
#3122,2021-08-30 21:49:36,2021-08-30 14:49:35,2,"['horovod/spark/common/store.py', 'horovod/spark/lightning/remote.py']"
#3120,2021-08-19 17:10:12,2021-08-19 10:10:12,2,"['horovod/data/data_loader_base.py', 'horovod/spark/lightning/datamodule.py']"
#3117,2021-08-18 11:46:57,2021-08-18 04:46:57,2,"['horovod/spark/lightning/estimator.py', 'setup.py']"
#3114,2021-08-19 17:09:39,2021-08-19 10:09:39,4,"['examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py', 'test/integration/test_spark_lightning.py']"
#3099,2021-08-23 19:52:49,2021-08-26 15:48:08,3,"['test/integration/test_spark_keras.py', 'horovod/spark/common/store.py', 'horovod/spark/keras/remote.py']"
#3097,2021-08-26 15:06:28,2021-08-26 17:06:27,4,"['horovod/tensorflow/mpi_ops.py', 'horovod/torch/mpi_ops.py', 'test/parallel/test_tensorflow.py', 'test/parallel/test_torch.py']"
#3089,2021-08-09 18:19:30,2021-08-09 11:19:30,3,"['horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/remote.py', 'test/integration/test_spark_lightning.py']"
