file,fileSet
horovod/tensorflow/gradient_aggregation_eager.py,"['test/parallel/test_tensorflow2_keras.py', 'test/parallel/test_tensorflow2_keras.py', 'test/parallel/test_tensorflow2_keras.py']"
test/parallel/test_tensorflow2_keras.py,"['horovod/tensorflow/gradient_aggregation_eager.py', 'horovod/tensorflow/gradient_aggregation_eager.py', 'horovod/tensorflow/gradient_aggregation_eager.py', 'horovod/common/util.py', 'horovod/spark/keras/tensorflow.py', 'horovod/tensorflow/keras/__init__.py', 'horovod/tensorflow/keras/callbacks.py', 'setup.py', 'test/integration/test_spark.py', 'test/integration/test_spark_keras.py', 'test/parallel/test_tensorflow.py', 'test/parallel/test_tensorflow_keras.py', 'horovod/_keras/__init__.py', 'horovod/common/basics.py', 'horovod/common/process_sets.py', 'horovod/common/util.py', 'horovod/mxnet/mpi_ops.py', 'horovod/runner/http/http_server.py', 'horovod/tensorflow/__init__.py', 'horovod/tensorflow/keras/__init__.py', 'horovod/tensorflow/mpi_ops.py', 'horovod/torch/mpi_ops.py', 'test/parallel/test_process_sets_multi_comm.py', 'test/parallel/test_process_sets_static.py', 'test/parallel/test_tensorflow.py']"
horovod/runner/elastic/discovery.py,"['test/single/test_elastic_discovery.py', 'test/single/test_elastic_driver.py', 'horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'horovod/runner/__init__.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'test/integration/data/elastic_tensorflow2_main.py', 'test/integration/data/elastic_tensorflow_keras_main.py', 'test/integration/data/elastic_tensorflow_main.py', 'test/integration/data/elastic_torch_main.py', 'test/integration/elastic_common.py', 'test/single/test_ray_elastic_v2.py']"
test/single/test_elastic_discovery.py,"['horovod/runner/elastic/discovery.py', 'test/single/test_elastic_driver.py']"
test/single/test_elastic_driver.py,"['horovod/runner/elastic/discovery.py', 'test/single/test_elastic_discovery.py', 'horovod/ray/elastic.py', 'horovod/ray/elastic_v2.py', 'horovod/runner/__init__.py', 'horovod/runner/common/util/hosts.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'horovod/spark/driver/driver_service.py', 'horovod/spark/runner.py', 'test/integration/elastic_common.py', 'test/integration/elastic_spark_common.py', 'test/integration/test_interactiverun.py', 'test/integration/test_spark.py', 'test/integration/test_spark_lightning.py', 'test/integration/test_spark_torch.py', 'test/integration/test_static_run.py', 'test/single/test_ray_elastic.py', 'test/single/test_ray_elastic_v2.py', 'test/single/test_run.py', 'test/utils/spark_common.py']"
horovod/runner/gloo_run.py,"['test/integration/test_spark.py', 'horovod/ray/elastic.py', 'horovod/ray/elastic_v2.py', 'horovod/runner/__init__.py', 'horovod/runner/common/util/hosts.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/launch.py', 'horovod/spark/driver/driver_service.py', 'horovod/spark/runner.py', 'test/integration/elastic_common.py', 'test/integration/elastic_spark_common.py', 'test/integration/test_interactiverun.py', 'test/integration/test_spark.py', 'test/integration/test_spark_lightning.py', 'test/integration/test_spark_torch.py', 'test/integration/test_static_run.py', 'test/single/test_elastic_driver.py', 'test/single/test_ray_elastic.py', 'test/single/test_ray_elastic_v2.py', 'test/single/test_run.py', 'test/utils/spark_common.py', 'horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'horovod/runner/__init__.py', 'horovod/runner/elastic/discovery.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/launch.py', 'test/integration/data/elastic_tensorflow2_main.py', 'test/integration/data/elastic_tensorflow_keras_main.py', 'test/integration/data/elastic_tensorflow_main.py', 'test/integration/data/elastic_torch_main.py', 'test/integration/elastic_common.py', 'test/single/test_ray_elastic_v2.py', 'test/integration/test_interactiverun.py']"
test/integration/test_spark.py,"['horovod/runner/gloo_run.py', 'horovod/ray/elastic.py', 'horovod/ray/elastic_v2.py', 'horovod/runner/__init__.py', 'horovod/runner/common/util/hosts.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'horovod/spark/driver/driver_service.py', 'horovod/spark/runner.py', 'test/integration/elastic_common.py', 'test/integration/elastic_spark_common.py', 'test/integration/test_interactiverun.py', 'test/integration/test_spark_lightning.py', 'test/integration/test_spark_torch.py', 'test/integration/test_static_run.py', 'test/single/test_elastic_driver.py', 'test/single/test_ray_elastic.py', 'test/single/test_ray_elastic_v2.py', 'test/single/test_run.py', 'test/utils/spark_common.py', 'horovod/common/util.py', 'horovod/spark/keras/tensorflow.py', 'horovod/tensorflow/keras/__init__.py', 'horovod/tensorflow/keras/callbacks.py', 'setup.py', 'test/integration/test_spark_keras.py', 'test/parallel/test_tensorflow.py', 'test/parallel/test_tensorflow2_keras.py', 'test/parallel/test_tensorflow_keras.py', 'docs/mocks.py', 'horovod/spark/common/store.py', 'horovod/spark/keras/remote.py', 'horovod/spark/lightning/remote.py', 'horovod/spark/torch/remote.py', 'setup.py', 'docs/mocks.py', 'examples/pytorch/pytorch_lightning_mnist.py', 'examples/spark/pytorch/pytorch_lightning_spark_mnist.py', 'examples/spark/pytorch/pytorch_lightning_spark_mnist_legacy.py', 'horovod/spark/common/estimator.py', 'horovod/spark/common/params.py', 'horovod/spark/common/store.py', 'horovod/spark/common/util.py', 'horovod/spark/keras/util.py', 'horovod/spark/lightning/__init__.py', 'horovod/spark/lightning/estimator.py', 'horovod/spark/lightning/legacy.py', 'horovod/spark/lightning/remote.py', 'horovod/spark/lightning/util.py', 'horovod/torch/__init__.py', 'setup.py', 'test/integration/test_spark_lightning.py', 'test/single/test_ray.py', 'test/utils/spark_common.py', 'examples/spark/keras/keras_spark3_rossmann.py', 'examples/spark/keras/keras_spark_rossmann_estimator.py', 'examples/spark/keras/keras_spark_rossmann_run.py']"
horovod/ray/elastic.py,"['horovod/ray/elastic_v2.py', 'horovod/runner/__init__.py', 'horovod/runner/common/util/hosts.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'horovod/spark/driver/driver_service.py', 'horovod/spark/runner.py', 'test/integration/elastic_common.py', 'test/integration/elastic_spark_common.py', 'test/integration/test_interactiverun.py', 'test/integration/test_spark.py', 'test/integration/test_spark_lightning.py', 'test/integration/test_spark_torch.py', 'test/integration/test_static_run.py', 'test/single/test_elastic_driver.py', 'test/single/test_ray_elastic.py', 'test/single/test_ray_elastic_v2.py', 'test/single/test_run.py', 'test/utils/spark_common.py', 'horovod/ray/adapter.py', 'horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'test/single/test_ray.py', 'test/single/test_ray_elastic_v2.py', 'horovod/ray/adapter.py', 'horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'test/single/test_ray.py', 'test/single/test_ray_elastic_v2.py', 'horovod/ray/__init__.py', 'horovod/ray/runner.py', 'horovod/ray/strategy.py', 'horovod/ray/utils.py', 'horovod/ray/worker.py', 'test/single/test_ray.py']"
horovod/ray/elastic_v2.py,"['horovod/ray/elastic.py', 'horovod/runner/__init__.py', 'horovod/runner/common/util/hosts.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'horovod/spark/driver/driver_service.py', 'horovod/spark/runner.py', 'test/integration/elastic_common.py', 'test/integration/elastic_spark_common.py', 'test/integration/test_interactiverun.py', 'test/integration/test_spark.py', 'test/integration/test_spark_lightning.py', 'test/integration/test_spark_torch.py', 'test/integration/test_static_run.py', 'test/single/test_elastic_driver.py', 'test/single/test_ray_elastic.py', 'test/single/test_ray_elastic_v2.py', 'test/single/test_run.py', 'test/utils/spark_common.py', 'horovod/ray/runner.py', 'horovod/runner/__init__.py', 'horovod/runner/elastic/discovery.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'test/integration/data/elastic_tensorflow2_main.py', 'test/integration/data/elastic_tensorflow_keras_main.py', 'test/integration/data/elastic_tensorflow_main.py', 'test/integration/data/elastic_torch_main.py', 'test/integration/elastic_common.py', 'test/single/test_ray_elastic_v2.py', 'horovod/ray/adapter.py', 'horovod/ray/elastic.py', 'horovod/ray/runner.py', 'test/single/test_ray.py', 'test/single/test_ray_elastic_v2.py', 'horovod/ray/adapter.py', 'horovod/ray/elastic.py', 'horovod/ray/runner.py', 'test/single/test_ray.py', 'test/single/test_ray_elastic_v2.py']"
horovod/runner/__init__.py,"['horovod/ray/elastic.py', 'horovod/ray/elastic_v2.py', 'horovod/runner/common/util/hosts.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'horovod/spark/driver/driver_service.py', 'horovod/spark/runner.py', 'test/integration/elastic_common.py', 'test/integration/elastic_spark_common.py', 'test/integration/test_interactiverun.py', 'test/integration/test_spark.py', 'test/integration/test_spark_lightning.py', 'test/integration/test_spark_torch.py', 'test/integration/test_static_run.py', 'test/single/test_elastic_driver.py', 'test/single/test_ray_elastic.py', 'test/single/test_ray_elastic_v2.py', 'test/single/test_run.py', 'test/utils/spark_common.py', 'horovod/ray/elastic_v2.py', 'horovod/ray/runner.py', 'horovod/runner/elastic/discovery.py', 'horovod/runner/elastic/driver.py', 'horovod/runner/elastic/settings.py', 'horovod/runner/gloo_run.py', 'horovod/runner/launch.py', 'test/integration/data/elastic_tensorflow2_main.py', 'test/integration/data/elastic_tensorflow_keras_main.py', 'test/integration/data/elastic_tensorflow_main.py', 'test/integration/data/elastic_torch_main.py', 'test/integration/elastic_common.py', 'test/single/test_ray_elastic_v2.py', 'horovod/runner/launch.py']"
