key,time,commitTime,PythonfileNum,pythonFile
#7816,2022-02-28 12:08:44,2022-02-28 13:08:44,2,"['kivy/tests/test_uix_videoplayer.py', 'kivy/uix/videoplayer.py']"
#7786,2022-02-07 06:34:48,2022-02-07 07:34:47,4,"['examples/miscellaneous/multiple_dropfile.py', 'kivy/core/window/__init__.py', 'kivy/core/window/window_pygame.py', 'kivy/core/window/window_sdl2.py']"
#7773,2022-01-30 16:57:34,2022-01-30 17:57:33,2,"['doc/sources/conf.py', 'kivy/tools/gallery.py']"
#7744,2022-01-30 21:26:49,2022-01-30 22:26:49,2,"['kivy/core/window/__init__.py', 'kivy/uix/behaviors/focus.py']"
#7726,2022-01-22 14:15:45,2022-01-22 11:15:45,2,"['kivy/core/window/__init__.py', 'kivy/input/motionevent.py']"
#7703,2021-11-23 12:52:11,2021-11-23 21:52:10,2,"['kivy/lang/builder.py', 'kivy/lang/parser.py']"
#7691,2021-12-10 17:13:11,2021-12-10 18:13:10,2,"['kivy/base.py', 'kivy/input/motionevent.py']"
#7684,2021-12-25 16:44:01,2021-12-25 17:44:00,2,"['examples/demo/touchtracer/main.py', 'kivy/core/window/window_sdl2.py']"
#7672,2021-10-30 12:12:27,2021-10-30 21:12:27,4,"['kivy/clock.py', 'kivy/effects/dampedscroll.py', 'kivy/effects/kinetic.py', 'kivy/effects/scroll.py']"
#7659,2021-10-31 17:54:55,2021-10-31 18:54:54,2,"['kivy/input/motionevent.py', 'kivy/tests/test_motion_event.py']"
#7658,2022-02-02 00:38:28,2022-02-02 01:38:27,13,"['kivy/base.py', 'kivy/core/window/__init__.py', 'kivy/eventmanager/__init__.py', 'kivy/input/motionevent.py', 'kivy/input/providers/mouse.py', 'kivy/uix/dropdown.py', 'kivy/uix/modalview.py', 'kivy/uix/relativelayout.py', 'kivy/uix/sandbox.py', 'kivy/uix/scatter.py', 'kivy/uix/screenmanager.py', 'kivy/uix/scrollview.py', 'kivy/uix/widget.py']"
#7648,2021-10-28 20:36:04,2021-10-28 22:36:03,2,"['kivy/base.py', 'kivy/core/window/__init__.py']"
#7637,2021-09-28 20:00:36,2021-09-29 01:30:36,6,"['examples/miscellaneous/custom_titlebar.py', 'kivy/config.py', 'kivy/core/window/__init__.py', 'kivy/core/window/window_sdl2.py', 'kivy/input/providers/wm_common.py', 'kivy/tests/test_window_info.py']"
#7603,2021-09-19 15:39:42,2021-09-20 00:39:41,2,"['examples/tutorials/pong/main.py', 'examples/tutorials/pong/steps/step5/main.py']"
#7517,2021-05-05 23:17:10,2021-05-06 01:17:10,4,"['kivy/core/__init__.py', 'kivy/factory.py', 'kivy/lang/parser.py', 'kivy/modules/__init__.py']"
#7492,2021-05-02 22:11:09,2021-05-03 00:11:09,2,"['kivy/input/providers/mouse.py', 'kivy/tests/test_mouse_hover_event.py']"
#7484,2021-04-22 18:01:20,2021-04-22 20:01:20,2,"['kivy/core/window/__init__.py', 'kivy/tests/test_window_base.py']"
#7471,2021-04-08 12:25:40,2021-04-08 14:25:40,2,"['kivy/uix/image.py', 'kivy/uix/video.py']"
#7461,2021-04-01 18:32:06,2021-04-01 20:32:06,2,"['kivy/tests/common.py', 'kivy/tests/test_uix_asyncimage.py']"
#7449,2021-04-08 07:40:38,2021-04-08 09:40:38,3,"['kivy/core/window/__init__.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/textinput.py']"
