file,fileSet
kivy/tests/test_uix_videoplayer.py,['kivy/uix/videoplayer.py']
kivy/uix/videoplayer.py,"['kivy/tests/test_uix_videoplayer.py', 'kivy/core/video/__init__.py', 'kivy/uix/layout.py', 'kivy/uix/pagelayout.py', 'kivy/uix/scrollview.py', 'kivy/uix/video.py', 'examples/widgets/tabbed_panel_showcase.py', 'kivy/loader.py']"
examples/miscellaneous/multiple_dropfile.py,"['kivy/core/window/__init__.py', 'kivy/core/window/window_pygame.py', 'kivy/core/window/window_sdl2.py']"
kivy/core/window/__init__.py,"['examples/miscellaneous/multiple_dropfile.py', 'kivy/core/window/window_pygame.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/behaviors/focus.py', 'kivy/input/motionevent.py', 'kivy/base.py', 'kivy/eventmanager/__init__.py', 'kivy/input/motionevent.py', 'kivy/input/providers/mouse.py', 'kivy/uix/dropdown.py', 'kivy/uix/modalview.py', 'kivy/uix/relativelayout.py', 'kivy/uix/sandbox.py', 'kivy/uix/scatter.py', 'kivy/uix/screenmanager.py', 'kivy/uix/scrollview.py', 'kivy/uix/widget.py', 'kivy/base.py', 'examples/miscellaneous/custom_titlebar.py', 'kivy/config.py', 'kivy/core/window/window_sdl2.py', 'kivy/input/providers/wm_common.py', 'kivy/tests/test_window_info.py', 'kivy/tests/test_window_base.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/textinput.py', 'kivy/core/window/window_sdl2.py', 'kivy/input/providers/wm_common.py', 'kivy/metrics.py', 'kivy/base.py', 'kivy/metrics.py', 'kivy/tests/conftest.py', 'kivy/tests/fixtures.py', 'kivy/tests/test_metrics.py', 'kivy/tests/test_properties.py', 'setup.py', 'kivy/core/window/window_pygame.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/behaviors/focus.py', 'kivy/uix/textinput.py', 'examples/demo/kivycatalog/main.py', 'examples/demo/pictures/main.py', 'examples/demo/shadereditor/main.py', 'examples/demo/showcase/main.py', 'examples/demo/touchtracer/main.py', 'examples/keyboard/main.py', 'examples/settings/main.py', 'kivy/lang/__init__.py', 'kivy/lang/builder.py', 'kivy/lang/parser.py', 'kivy/loader.py', 'kivy/network/urlrequest.py', 'kivy/tools/pep8checker/pep8kivy.py', 'kivy/uix/vkeyboard.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/textinput.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/textinput.py', 'kivy/core/window/window_sdl2.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/actionbar.py', 'kivy/uix/carousel.py', 'kivy/uix/colorpicker.py', 'kivy/uix/image.py', 'kivy/uix/progressbar.py', 'kivy/uix/recycleview/__init__.py', 'kivy/uix/rst.py', 'kivy/uix/scatter.py', 'kivy/uix/screenmanager.py', 'kivy/uix/scrollview.py', 'kivy/uix/slider.py', 'kivy/uix/textinput.py', 'kivy/uix/widget.py', 'examples/miscellaneous/on_textedit_event.py', 'kivy/core/window/window_sdl2.py', 'kivy/core/window/window_sdl2.py', 'examples/miscellaneous/custom_titlebar.py', 'kivy/config.py', 'kivy/core/window/window_sdl2.py', 'kivy/input/providers/wm_common.py', 'kivy/tests/test_window_info.py', 'doc/gallery.py', 'examples/widgets/asyncimage.py', 'examples/widgets/unicode_textinput.py', 'kivy/atlas.py', 'kivy/cache.py', 'kivy/core/audio/audio_pygame.py', 'kivy/core/video/video_pyglet.py', 'kivy/core/window/window_pygame.py', 'kivy/graphics/__init__.py', 'kivy/input/postproc/dejitter.py', 'kivy/input/providers/androidjoystick.py', 'kivy/lang/builder.py', 'kivy/modules/console.py', 'kivy/modules/inspector.py', 'kivy/modules/screen.py', 'kivy/multistroke.py', 'kivy/parser.py', 'kivy/tests/common.py', 'kivy/tests/test_uix_textinput.py', 'kivy/tools/packaging/pyinstaller_hooks/__init__.py', 'kivy/uix/accordion.py', 'kivy/uix/behaviors/drag.py', 'kivy/uix/gesturesurface.py', 'kivy/uix/label.py', 'kivy/uix/screenmanager.py', 'kivy/uix/settings.py', 'kivy/uix/vkeyboard.py', 'kivy/config.py', 'examples/shader/plasma.py', 'examples/shader/rotated.py', 'examples/shader/shadertree.py']"
kivy/core/window/window_pygame.py,"['examples/miscellaneous/multiple_dropfile.py', 'kivy/core/window/__init__.py', 'kivy/core/window/window_sdl2.py', 'kivy/core/window/__init__.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/behaviors/focus.py', 'kivy/uix/textinput.py', 'doc/gallery.py', 'examples/widgets/asyncimage.py', 'examples/widgets/unicode_textinput.py', 'kivy/atlas.py', 'kivy/cache.py', 'kivy/core/audio/audio_pygame.py', 'kivy/core/video/video_pyglet.py', 'kivy/core/window/__init__.py', 'kivy/graphics/__init__.py', 'kivy/input/postproc/dejitter.py', 'kivy/input/providers/androidjoystick.py', 'kivy/lang/builder.py', 'kivy/modules/console.py', 'kivy/modules/inspector.py', 'kivy/modules/screen.py', 'kivy/multistroke.py', 'kivy/parser.py', 'kivy/tests/common.py', 'kivy/tests/test_uix_textinput.py', 'kivy/tools/packaging/pyinstaller_hooks/__init__.py', 'kivy/uix/accordion.py', 'kivy/uix/behaviors/drag.py', 'kivy/uix/gesturesurface.py', 'kivy/uix/label.py', 'kivy/uix/screenmanager.py', 'kivy/uix/settings.py', 'kivy/uix/vkeyboard.py']"
kivy/core/window/window_sdl2.py,"['examples/miscellaneous/multiple_dropfile.py', 'kivy/core/window/__init__.py', 'kivy/core/window/window_pygame.py', 'examples/demo/touchtracer/main.py', 'examples/miscellaneous/custom_titlebar.py', 'kivy/config.py', 'kivy/core/window/__init__.py', 'kivy/input/providers/wm_common.py', 'kivy/tests/test_window_info.py', 'kivy/core/window/__init__.py', 'kivy/uix/textinput.py', 'kivy/core/window/__init__.py', 'kivy/input/providers/wm_common.py', 'kivy/metrics.py', 'kivy/core/window/__init__.py', 'kivy/core/window/window_pygame.py', 'kivy/uix/behaviors/focus.py', 'kivy/uix/textinput.py', 'kivy/core/window/__init__.py', 'kivy/uix/textinput.py', 'kivy/core/window/__init__.py', 'kivy/uix/textinput.py', 'kivy/core/window/__init__.py', 'kivy/core/window/__init__.py', 'examples/miscellaneous/on_textedit_event.py', 'kivy/core/window/__init__.py', 'kivy/core/window/__init__.py', 'examples/miscellaneous/custom_titlebar.py', 'kivy/config.py', 'kivy/core/window/__init__.py', 'kivy/input/providers/wm_common.py', 'kivy/tests/test_window_info.py', 'examples/keyboard/main.py', 'kivy/uix/vkeyboard.py', 'kivy/__init__.py', 'kivy/core/spelling/spelling_osxappkit.py', 'kivy/core/text/__init__.py', 'kivy/multistroke.py', 'kivy/uix/behaviors/compoundselection.py', 'kivy/uix/behaviors/focus.py', 'kivy/uix/dropdown.py', 'kivy/uix/gesturesurface.py', 'kivy/uix/layout.py', 'kivy/uix/popup.py']"
doc/sources/conf.py,['kivy/tools/gallery.py']
kivy/tools/gallery.py,['doc/sources/conf.py']
kivy/uix/behaviors/focus.py,"['kivy/core/window/__init__.py', 'kivy/core/window/__init__.py', 'kivy/core/window/window_pygame.py', 'kivy/core/window/window_sdl2.py', 'kivy/uix/textinput.py', 'kivy/__init__.py', 'kivy/core/spelling/spelling_osxappkit.py', 'kivy/core/text/__init__.py', 'kivy/core/window/window_sdl2.py', 'kivy/multistroke.py', 'kivy/uix/behaviors/compoundselection.py', 'kivy/uix/dropdown.py', 'kivy/uix/gesturesurface.py', 'kivy/uix/layout.py', 'kivy/uix/popup.py']"
kivy/input/motionevent.py,"['kivy/core/window/__init__.py', 'kivy/base.py', 'kivy/tests/test_motion_event.py', 'kivy/base.py', 'kivy/core/window/__init__.py', 'kivy/eventmanager/__init__.py', 'kivy/input/providers/mouse.py', 'kivy/uix/dropdown.py', 'kivy/uix/modalview.py', 'kivy/uix/relativelayout.py', 'kivy/uix/sandbox.py', 'kivy/uix/scatter.py', 'kivy/uix/screenmanager.py', 'kivy/uix/scrollview.py', 'kivy/uix/widget.py', 'kivy/input/providers/mouse.py', 'kivy/tests/async_common.py', 'kivy/tests/common.py', 'kivy/tests/test_app.py', 'kivy/tests/test_mouse_multitouchsim.py', 'kivy/input/providers/mouse.py', 'kivy/tests/test_mouse_hover_event.py', 'kivy/tests/test_mouse_multitouchsim.py']"
