key,time,commitTime,PythonfileNum,pythonFile
#2203,2021-10-18 21:46:11,2021-10-18 14:46:10,2,"['databricks/koalas/groupby.py', 'databricks/koalas/indexes/base.py']"
#2174,2021-06-17 22:38:51,2021-06-17 15:38:51,2,"['databricks/koalas/internal.py', 'databricks/koalas/typedef/typehints.py']"
#2173,2021-06-15 06:50:54,2021-06-15 15:50:54,2,"['databricks/koalas/indexes/base.py', 'databricks/koalas/tests/indexes/test_base.py']"
#2172,2021-06-11 13:59:40,2021-06-11 22:59:40,2,"['databricks/koalas/plot/plotly.py', 'databricks/koalas/tests/plot/test_frame_plot_matplotlib.py']"
#2166,2021-06-09 03:15:48,2021-06-08 20:15:48,3,"['databricks/koalas/__init__.py', 'databricks/koalas/tests/test_stats.py', 'setup.py']"
#2141,2021-04-08 04:59:26,2021-04-08 13:59:25,4,"['databricks/koalas/indexing.py', 'databricks/koalas/tests/test_indexing.py', 'databricks/koalas/tests/test_ops_on_diff_frames.py', 'setup.py']"
#2132,2021-04-01 02:37:48,2021-03-31 19:37:48,3,"['databricks/koalas/accessors.py', 'databricks/koalas/groupby.py', 'databricks/koalas/tests/test_categorical.py']"
#2130,2021-03-31 21:26:03,2021-03-31 14:26:03,3,"['databricks/koalas/missing/series.py', 'databricks/koalas/series.py', 'databricks/koalas/tests/test_series.py']"
#2129,2021-03-31 19:18:23,2021-03-31 12:18:23,3,"['databricks/koalas/missing/series.py', 'databricks/koalas/series.py', 'databricks/koalas/tests/test_series.py']"
#2128,2021-03-31 20:32:37,2021-03-31 21:32:36,6,"['databricks/koalas/frame.py', 'databricks/koalas/missing/frame.py', 'databricks/koalas/missing/series.py', 'databricks/koalas/series.py', 'databricks/koalas/tests/test_dataframe.py', 'databricks/koalas/tests/test_series.py']"
#2127,2021-03-31 20:36:11,2021-03-31 13:36:11,6,"['databricks/koalas/accessors.py', 'databricks/koalas/frame.py', 'databricks/koalas/groupby.py', 'databricks/koalas/series.py', 'databricks/koalas/tests/test_categorical.py', 'databricks/koalas/tests/test_series_string.py']"
#2126,2021-03-30 22:47:57,2021-03-30 15:47:57,2,"['databricks/koalas/accessors.py', 'databricks/koalas/tests/test_categorical.py']"
#2125,2021-03-30 21:01:21,2021-03-30 14:01:21,2,"['databricks/koalas/frame.py', 'databricks/koalas/tests/test_categorical.py']"
#2124,2021-03-30 19:55:52,2021-03-30 12:55:52,2,"['databricks/koalas/groupby.py', 'databricks/koalas/tests/test_categorical.py']"
#2123,2021-03-29 20:58:04,2021-03-29 13:58:03,6,"['databricks/koalas/accessors.py', 'databricks/koalas/frame.py', 'databricks/koalas/groupby.py', 'databricks/koalas/series.py', 'databricks/koalas/tests/test_typedef.py', 'databricks/koalas/typedef/typehints.py']"
