file,fileSet
localstack/utils/container_utils/container_client.py,"['localstack/utils/container_utils/docker_cmd_client.py', 'localstack/utils/container_utils/docker_sdk_client.py', 'tests/integration/docker_utils/test_docker.py', 'localstack/cli/localstack.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/utils/bootstrap.py', 'localstack/utils/container_utils/__init__.py', 'localstack/utils/container_utils/docker_cmd_client.py', 'localstack/utils/container_utils/docker_sdk_client.py', 'localstack/utils/docker_utils.py', 'tests/bootstrap/test_cli.py', 'tests/integration/docker_utils/conftest.py', 'tests/integration/docker_utils/test_docker.py', 'tests/unit/test_dockerclient.py', 'tests/unit/test_misc.py']"
localstack/utils/container_utils/docker_cmd_client.py,"['localstack/utils/container_utils/container_client.py', 'localstack/utils/container_utils/docker_sdk_client.py', 'tests/integration/docker_utils/test_docker.py', 'localstack/cli/localstack.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/utils/bootstrap.py', 'localstack/utils/container_utils/__init__.py', 'localstack/utils/container_utils/container_client.py', 'localstack/utils/container_utils/docker_sdk_client.py', 'localstack/utils/docker_utils.py', 'tests/bootstrap/test_cli.py', 'tests/integration/docker_utils/conftest.py', 'tests/integration/docker_utils/test_docker.py', 'tests/unit/test_dockerclient.py', 'tests/unit/test_misc.py']"
localstack/utils/container_utils/docker_sdk_client.py,"['localstack/utils/container_utils/container_client.py', 'localstack/utils/container_utils/docker_cmd_client.py', 'tests/integration/docker_utils/test_docker.py', 'localstack/cli/localstack.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/utils/bootstrap.py', 'localstack/utils/container_utils/__init__.py', 'localstack/utils/container_utils/container_client.py', 'localstack/utils/container_utils/docker_cmd_client.py', 'localstack/utils/docker_utils.py', 'tests/bootstrap/test_cli.py', 'tests/integration/docker_utils/conftest.py', 'tests/integration/docker_utils/test_docker.py', 'tests/unit/test_dockerclient.py', 'tests/unit/test_misc.py']"
tests/integration/docker_utils/test_docker.py,"['localstack/utils/container_utils/container_client.py', 'localstack/utils/container_utils/docker_cmd_client.py', 'localstack/utils/container_utils/docker_sdk_client.py', 'localstack/cli/localstack.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/utils/bootstrap.py', 'localstack/utils/container_utils/__init__.py', 'localstack/utils/container_utils/container_client.py', 'localstack/utils/container_utils/docker_cmd_client.py', 'localstack/utils/container_utils/docker_sdk_client.py', 'localstack/utils/docker_utils.py', 'tests/bootstrap/test_cli.py', 'tests/integration/docker_utils/conftest.py', 'tests/unit/test_dockerclient.py', 'tests/unit/test_misc.py', 'localstack/utils/docker_utils.py', 'tests/integration/docker_utils/conftest.py', 'localstack/utils/docker_utils.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/utils/bootstrap.py', 'localstack/utils/docker_utils.py', 'tests/integration/test_lambda.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/services/awslambda/lambda_utils.py', 'localstack/utils/common.py', 'localstack/utils/docker_utils.py', 'tests/integration/test_lambda.py', 'localstack/aws/protocol/parser.py', 'localstack/aws/scaffold.py', 'localstack/aws/skeleton.py', 'localstack/config.py', 'localstack/dashboard/infra.py', 'localstack/services/dynamodb/server.py', 'localstack/services/es/cluster_manager.py', 'localstack/services/es/es_api.py', 'localstack/services/install.py', 'localstack/services/internal.py', 'localstack/services/plugins.py', 'localstack/services/routing.py', 'localstack/utils/analytics/client.py', 'localstack/utils/analytics/publisher.py', 'localstack/utils/bootstrap.py', 'localstack/utils/docker_utils.py', 'localstack/utils/patch.py', 'localstack/utils/persistence.py', 'tests/integration/fixtures.py', 'tests/integration/test_ses.py', 'tests/unit/aws/test_skeleton.py', 'tests/unit/services/test_routing.py', 'tests/unit/test_common.py', 'tests/unit/test_lambda.py', 'tests/unit/utils/test_common.py', 'localstack/services/cloudformation/models/sns.py', 'localstack/services/sqs/sqs_listener.py', 'localstack/utils/cloudformation/template_deployer.py', 'localstack/utils/common.py', 'localstack/utils/run.py', 'localstack/utils/docker_utils.py', 'localstack/config.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/services/awslambda/lambda_utils.py', 'localstack/utils/docker_utils.py', 'tests/integration/lambdas/lambda_python_version.py', 'tests/integration/test_lambda.py', 'tests/conftest.py', 'tests/integration/lambdas/lambda_integration.py', 'tests/integration/test_elasticsearch.py', 'tests/integration/test_kinesis.py', 'tests/integration/test_lambda.py', 'tests/integration/test_s3.py', 'tests/integration/test_serverless.py', 'tests/integration/test_terraform.py', 'tests/unit/aws/test_scaffold.py', 'tests/unit/cli/test_cli.py', 'tests/unit/cli/test_lpm.py', 'tests/unit/services/es/test_cluster_manager.py', 'tests/unit/test_lambda.py', 'localstack/utils/docker_utils.py', 'localstack/services/cloudformation/models/awslambda.py', 'tests/integration/cloudformation/test_cloudformation_lambda.py', 'tests/integration/docker_utils/__init__.py', 'tests/integration/docker_utils/conftest.py']"
localstack/utils/aws/aws_stack.py,"['localstack/utils/testutil.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/cloudformation/models/apigateway.py', 'localstack/utils/cloudformation/template_deployer.py', 'tests/integration/test_api_gateway.py', 'tests/unit/test_apigateway.py', 'localstack/services/firehose/provider.py', 'tests/integration/conftest.py', 'tests/integration/test_firehose.py', 'localstack/utils/cloudformation/template_deployer.py', 'tests/integration/test_cloudformation.py', 'tests/integration/test_cloudwatch.py', 'localstack/services/firehose/firehose_api.py', 'localstack/services/generic_proxy.py', 'tests/integration/fixtures.py', 'tests/integration/test_firehose.py', 'localstack/dashboard/infra.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/apigateway_starter.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/cloudformation/cloudformation_api.py', 'localstack/services/dynamodb/dynamodb_listener.py', 'localstack/services/infra.py', 'localstack/services/s3/s3_listener.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/aws/templating.py', 'localstack/utils/common.py', 'localstack/utils/kinesis/kclipy_helper.py', 'localstack/utils/kinesis/kinesis_connector.py', 'localstack/utils/testutil.py', 'tests/integration/test_api_gateway.py', 'tests/integration/test_lambda.py', 'tests/integration/test_s3.py', 'tests/unit/test_lambda.py', 'tests/integration/test_s3.py', 'localstack/services/apigateway/helpers.py', 'tests/unit/utils/aws/test_aws_stack.py', 'localstack/services/firehose/firehose_api.py', 'tests/integration/test_firehose.py', 'localstack/services/cloudformation/cloudformation_starter.py', 'localstack/services/cloudformation/models/secretsmanager.py', 'localstack/utils/cloudformation/template_deployer.py', 'tests/integration/cloudformation/test_cloudformation_secretsmanager.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/ssm/ssm_listener.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/cloudwatch/cloudwatch_util.py', 'tests/integration/test_lambda.py', 'localstack/services/cloudformation/models/iam.py', 'tests/integration/test_cloudformation.py', 'localstack/contrib/thundra.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/services/awslambda/lambda_utils.py', 'localstack/utils/aws/dead_letter_queue.py', 'tests/unit/test_lambda.py', 'localstack/constants.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/stepfunctions/stepfunctions_utils.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/common.py', 'tests/integration/test_api_gateway.py', 'localstack/config.py', 'localstack/plugins.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/utils/aws/request_context.py', 'localstack/utils/common.py', 'tests/integration/lambdas/lambda_integration.py', 'tests/integration/test_integration.py', 'tests/integration/test_lambda.py', 'tests/integration/test_multiregion.py', 'localstack/services/cloudformation/cloudformation_api.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/cloudformation/template_deployer.py', 'localstack/utils/cloudformation/template_preparer.py', 'localstack/utils/common.py', 'localstack/utils/generic/wait_utils.py', 'tests/integration/cloudformation/__init__.py', 'tests/integration/cloudformation/test_cloudformation_changesets.py', 'tests/integration/cloudformation/test_cloudformation_stacks.py', 'tests/integration/fixtures.py', 'tests/integration/test_cloudformation.py', 'tests/integration/util.py', 'tests/unit/utils/test_common.py']"
localstack/utils/testutil.py,"['localstack/utils/aws/aws_stack.py', 'localstack/aws/protocol/serializer.py', 'localstack/config.py', 'localstack/dashboard/infra.py', 'localstack/services/s3/s3_listener.py', 'localstack/services/sns/sns_listener.py', 'localstack/utils/aws/aws_models.py', 'localstack/utils/common.py', 'localstack/utils/kinesis/kclipy_helper.py', 'localstack/utils/persistence.py', 'tests/integration/test_s3.py', 'localstack/dashboard/infra.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/apigateway_starter.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/cloudformation/cloudformation_api.py', 'localstack/services/dynamodb/dynamodb_listener.py', 'localstack/services/infra.py', 'localstack/services/s3/s3_listener.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/aws/templating.py', 'localstack/utils/common.py', 'localstack/utils/kinesis/kclipy_helper.py', 'localstack/utils/kinesis/kinesis_connector.py', 'tests/integration/test_api_gateway.py', 'tests/integration/test_lambda.py', 'tests/integration/test_s3.py', 'tests/unit/test_lambda.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/awslambda/lambda_utils.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/events/events_listener.py', 'localstack/services/logs/logs_listener.py', 'tests/integration/test_events.py', 'localstack/services/edge.py', 'localstack/services/s3/s3_utils.py', 'localstack/utils/common.py', 'localstack/utils/docker_utils.py', 'tests/integration/test_s3.py', 'tests/unit/test_s3.py', 'tests/integration/test_lambda.py', 'localstack/services/awslambda/lambda_api.py', 'tests/integration/cloudformation/test_cloudformation_apigateway.py', 'tests/integration/test_lambda.py', 'tests/integration/test_logs.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/services/edge.py', 'localstack/services/route53/route53_listener.py', 'tests/integration/test_dynamodb.py', 'tests/integration/test_lambda.py', 'tests/integration/test_route53.py', 'localstack/config.py', 'localstack/constants.py', 'localstack/services/infra.py', 'localstack/utils/analytics/__init__.py', 'localstack/utils/analytics/client.py', 'localstack/utils/analytics/event_publisher.py', 'localstack/utils/analytics/events.py', 'localstack/utils/analytics/logger.py', 'localstack/utils/analytics/metadata.py', 'localstack/utils/analytics/publisher.py', 'localstack/utils/bootstrap.py', 'tests/conftest.py', 'tests/integration/conftest.py', 'tests/unit/utils/analytics/__init__.py', 'tests/unit/utils/analytics/test_client.py', 'tests/unit/utils/analytics/test_logger.py', 'tests/unit/utils/analytics/test_metadata.py', 'tests/unit/utils/analytics/test_publisher.py']"
localstack/services/moto.py,"['tests/integration/test_moto.py', 'localstack/aws/api/core.py', 'localstack/aws/skeleton.py', 'localstack/services/cloudwatch/cloudwatch_listener.py', 'localstack/services/cloudwatch/provider.py', 'localstack/services/edge.py', 'localstack/services/providers.py', 'tests/integration/test_moto.py']"
tests/integration/test_moto.py,"['localstack/services/moto.py', 'localstack/aws/api/core.py', 'localstack/aws/skeleton.py', 'localstack/services/cloudwatch/cloudwatch_listener.py', 'localstack/services/cloudwatch/provider.py', 'localstack/services/edge.py', 'localstack/services/moto.py', 'localstack/services/providers.py']"
localstack/services/apigateway/apigateway_listener.py,"['tests/integration/test_api_gateway.py', 'localstack/services/apigateway/context.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/apigateway/integration.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/cloudformation/models/apigateway.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/cloudformation/template_deployer.py', 'tests/integration/test_api_gateway.py', 'tests/unit/test_apigateway.py', 'localstack/utils/common.py', 'tests/unit/test_apigateway.py', 'localstack/services/apigateway/helpers.py', 'localstack/utils/http_utils.py', 'tests/integration/test_api_gateway.py', 'tests/unit/test_apigateway.py', 'tests/unit/test_http_utils.py', 'localstack/services/apigateway/apigateway_starter.py', 'tests/integration/test_api_gateway.py', 'localstack/dashboard/infra.py', 'localstack/services/apigateway/apigateway_starter.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/cloudformation/cloudformation_api.py', 'localstack/services/dynamodb/dynamodb_listener.py', 'localstack/services/infra.py', 'localstack/services/s3/s3_listener.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/aws/templating.py', 'localstack/utils/common.py', 'localstack/utils/kinesis/kclipy_helper.py', 'localstack/utils/kinesis/kinesis_connector.py', 'localstack/utils/testutil.py', 'tests/integration/test_api_gateway.py', 'tests/integration/test_lambda.py', 'tests/integration/test_s3.py', 'tests/unit/test_lambda.py', 'localstack/aws/api/sqs/__init__.py', 'localstack/services/providers.py', 'localstack/services/sqs/provider.py', 'tests/integration/test_edge.py', 'tests/integration/test_events.py', 'tests/integration/test_s3.py', 'tests/integration/test_sqs.py', 'tests/unit/test_sqs.py', 'localstack/utils/http_utils.py', 'tests/integration/test_api_gateway.py', 'tests/unit/test_apigateway.py', 'tests/unit/test_http_utils.py', 'localstack/utils/aws/templating.py', 'localstack/utils/common.py', 'tests/integration/test_api_gateway.py', 'tests/unit/test_apigateway.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/apigateway/helpers.py', 'tests/integration/lambdas/lambda_echo.py', 'tests/integration/test_api_gateway.py', 'tests/integration/test_api_gateway.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/awslambda/lambda_api.py', 'tests/integration/lambdas/lambda_echo.py', 'tests/integration/test_api_gateway.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/awslambda/lambda_utils.py', 'localstack/services/edge.py', 'localstack/utils/aws/aws_responses.py', 'tests/unit/test_lambda.py', 'tests/integration/test_api_gateway.py', 'localstack/constants.py', 'localstack/services/stepfunctions/stepfunctions_utils.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/common.py', 'tests/integration/test_api_gateway.py', 'tests/integration/test_api_gateway.py', 'localstack/config.py', 'localstack/plugins.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/awslambda/lambda_executors.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/aws/request_context.py', 'localstack/utils/common.py', 'tests/integration/lambdas/lambda_integration.py', 'tests/integration/test_integration.py', 'tests/integration/test_lambda.py', 'tests/integration/test_multiregion.py']"
tests/integration/test_api_gateway.py,"['localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/helpers.py', 'tests/integration/awslambda/test_lambda_integration.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/cloudformation/models/apigateway.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/cloudformation/template_deployer.py', 'tests/unit/test_apigateway.py', 'localstack/services/install.py', 'localstack/services/opensearch/cluster.py', 'tests/integration/awslambda/functions/lambda_integration.py', 'tests/integration/awslambda/test_lambda_integration.py', 'tests/integration/fixtures.py', 'tests/integration/test_config_service.py', 'tests/integration/test_iam.py', 'tests/integration/test_kinesis.py', 'tests/integration/test_opensearch.py', 'tests/unit/cli/test_cli.py', 'localstack/utils/http_utils.py', 'tests/unit/utils/test_http_utils.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/utils/http_utils.py', 'tests/unit/test_apigateway.py', 'tests/unit/test_http_utils.py', 'tests/integration/lambdas/lambda_integration.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/apigateway_starter.py', 'localstack/dashboard/infra.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/apigateway_starter.py', 'localstack/services/awslambda/lambda_api.py', 'localstack/services/cloudformation/cloudformation_api.py', 'localstack/services/dynamodb/dynamodb_listener.py', 'localstack/services/infra.py', 'localstack/services/s3/s3_listener.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/aws/templating.py', 'localstack/utils/common.py', 'localstack/utils/kinesis/kclipy_helper.py', 'localstack/utils/kinesis/kinesis_connector.py', 'localstack/utils/testutil.py', 'tests/integration/test_lambda.py', 'tests/integration/test_s3.py', 'tests/unit/test_lambda.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/utils/http_utils.py', 'tests/unit/test_apigateway.py', 'tests/unit/test_http_utils.py', 'tests/integration/test_lambda.py', 'tests/integration/test_s3.py', 'tests/integration/test_security.py', 'localstack/services/edge.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/utils/aws/templating.py', 'localstack/utils/common.py', 'tests/unit/test_apigateway.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/helpers.py', 'tests/integration/lambdas/lambda_echo.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/helpers.py', 'localstack/services/awslambda/lambda_api.py', 'tests/integration/lambdas/lambda_echo.py', 'tests/unit/test_lambda.py', 'tests/integration/docker/test_docker.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/utils/http_utils.py', 'tests/unit/utils/test_http_utils.py', 'localstack/constants.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/stepfunctions/stepfunctions_utils.py', 'localstack/utils/aws/aws_responses.py', 'localstack/utils/aws/aws_stack.py', 'localstack/utils/common.py', 'localstack/services/apigateway/apigateway_listener.py', 'localstack/services/apigateway/apigateway_starter.py', 'localstack/services/apigateway/helpers.py']"
