key,time,commitTime,PythonfileNum,pythonFile
#1936,2022-04-16 00:32:30,2022-04-16 15:40:11,22,"['ludwig/api.py', 'ludwig/combiners/combiners.py', 'ludwig/marshmallow/__init__.py', 'ludwig/marshmallow/marshmallow_schema_utils.py', 'ludwig/marshmallow/test_classes.py', 'ludwig/models/ecd.py', 'ludwig/models/trainer.py', 'ludwig/modules/optimization_modules.py', 'ludwig/utils/schema.py', 'scripts/extract_schema.py', 'tests/integration_tests/test_custom_components.py', 'tests/ludwig/combiners/test_combiners.py', 'tests/ludwig/marshmallow/test_fields_misc.py', 'tests/ludwig/marshmallow/test_fields_optimization.py', 'tests/ludwig/marshmallow/test_marshmallow_misc.py', 'tests/ludwig/utils/test_validate_config_combiner.py', 'tests/ludwig/utils/test_validate_config_misc.py', 'tests/ludwig/utils/test_validate_config_trainer.py', 'ludwig/validation/__init__.py', 'ludwig/validation/marshmallow_utils.py', 'ludwig/validation/schema.py', 'ludwig/validation/test_classes.py']"
#1930,2022-04-14 16:07:56,2022-04-14 09:07:56,4,"['ludwig/models/trainer.py', 'tests/integration_tests/test_preprocessing.py', 'tests/integration_tests/test_trainer.py', 'tests/integration_tests/utils.py']"
#1928,2022-04-14 03:17:40,2022-04-13 20:17:40,3,"['ludwig/data/preprocessing.py', 'ludwig/utils/defaults.py', 'tests/integration_tests/test_preprocessing.py']"
#1910,2022-04-13 01:29:42,2022-04-12 18:29:42,2,"['ludwig/backend/_ray112_compat.py', 'ludwig/backend/ray.py']"
#1907,2022-04-12 17:57:59,2022-04-12 10:57:58,3,"['ludwig/utils/defaults.py', 'tests/ludwig/utils/test_defaults.py', 'tests/ludwig/utils/test_validate_config_combiner.py']"
#1906,2022-04-12 14:52:44,2022-04-12 07:52:44,2,"['ludwig/hyperopt/execution.py', 'tests/integration_tests/test_hyperopt_ray.py']"
#1904,2022-04-13 08:39:42,2022-04-13 01:39:42,4,"['ludwig/features/feature_utils.py', 'ludwig/features/text_feature.py', 'tests/ludwig/features/test_feature_utils.py', 'tests/ludwig/features/test_sequence_features.py']"
#1901,2022-04-12 01:10:53,2022-04-11 18:10:52,7,"['ludwig/backend/base.py', 'ludwig/data/cache/manager.py', 'ludwig/data/dataset/ray.py', 'ludwig/data/preprocessing.py', 'ludwig/utils/data_utils.py', 'tests/integration_tests/test_cache_manager.py', 'tests/ludwig/utils/test_data_utils.py']"
#1900,2022-04-11 18:00:28,2022-04-11 11:00:28,2,"['ludwig/automl/auto_tune_config.py', 'ludwig/constants.py']"
#1894,2022-04-09 18:44:02,2022-04-09 11:44:01,3,"['ludwig/contribs/mlflow/__init__.py', 'ludwig/contribs/mlflow/_ray_111/__init__.py', 'ludwig/contribs/mlflow/_ray_111/mlflow.py']"
#1893,2022-04-09 03:48:14,2022-04-09 13:48:14,6,"['ludwig/data/cache/util.py', 'ludwig/features/feature_utils.py', 'ludwig/hyperopt/execution.py', 'ludwig/utils/data_utils.py', 'ludwig/utils/misc_utils.py', 'tests/ludwig/utils/test_data_utils.py']"
