key,time,commitTime,PythonfileNum,pythonFile
#5110,2022-02-04 13:49:57,2022-02-04 14:49:57,2,"['mitmproxy/proxy/server.py', 'mitmproxy/proxy/server_hooks.py']"
#5108,2022-02-04 13:49:57,2022-02-04 14:49:57,2,"['mitmproxy/proxy/server.py', 'mitmproxy/proxy/server_hooks.py']"
#5078,2022-01-18 22:32:38,2022-01-18 23:32:38,2,"['mitmproxy/http.py', 'test/mitmproxy/test_http.py']"
#5075,2022-01-18 11:34:09,2022-01-18 12:34:09,2,"['mitmproxy/tls.py', 'test/mitmproxy/test_tls.py']"
#5054,2022-01-18 22:32:38,2022-01-18 23:32:38,2,"['mitmproxy/http.py', 'test/mitmproxy/test_http.py']"
#5020,2021-12-27 15:58:24,2021-12-27 16:58:24,2,"['mitmproxy/proxy/layers/http/__init__.py', 'test/mitmproxy/proxy/layers/test_websocket.py']"
#5017,2021-12-27 15:58:26,2021-12-27 16:58:24,2,"['mitmproxy/proxy/layers/http/__init__.py', 'test/mitmproxy/proxy/layers/test_websocket.py']"
#5007,2021-12-20 21:10:07,2021-12-20 16:10:06,4,"['examples/contrib/change_upstream_proxy.py', 'mitmproxy/addons/clientplayback.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/tunnel.py']"
#4981,2021-12-20 21:05:41,2021-12-20 16:10:06,4,"['examples/contrib/change_upstream_proxy.py', 'mitmproxy/addons/clientplayback.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/tunnel.py']"
#4964,2021-11-27 13:11:24,2021-11-27 14:11:23,3,"['mitmproxy/addons/script.py', 'test/mitmproxy/addons/test_script.py', 'test/mitmproxy/data/addonscripts/error.py']"
#4910,2021-11-19 12:04:20,2021-11-19 12:04:20,2,"['mitmproxy/types.py', 'test/mitmproxy/test_types.py']"
#4909,2021-11-18 07:26:05,2021-11-18 07:26:05,2,"['mitmproxy/addons/dumper.py', 'test/mitmproxy/addons/test_dumper.py']"
#4905,2021-11-17 16:53:44,2021-11-17 16:53:43,3,"['mitmproxy/tools/console/commandexecutor.py', 'mitmproxy/tools/console/grideditor/editors.py', 'test/mitmproxy/tools/console/test_integration.py']"
#4902,2021-11-17 16:53:46,2021-11-19 12:04:20,7,"['mitmproxy/types.py', 'test/mitmproxy/test_types.py', 'mitmproxy/addons/dumper.py', 'test/mitmproxy/addons/test_dumper.py', 'mitmproxy/tools/console/commandexecutor.py', 'mitmproxy/tools/console/grideditor/editors.py', 'test/mitmproxy/tools/console/test_integration.py']"
#4897,2021-11-11 08:37:00,2021-11-11 01:37:00,2,"['mitmproxy/net/tls.py', 'setup.py']"
#4882,2021-10-31 20:23:05,2021-10-31 21:23:04,2,"['mitmproxy/addons/clientplayback.py', 'test/mitmproxy/addons/test_clientplayback.py']"
#4877,2022-01-18 02:03:57,2022-01-18 12:34:09,2,"['mitmproxy/tls.py', 'test/mitmproxy/test_tls.py']"
#4876,2021-10-31 20:23:06,2021-10-31 21:23:04,2,"['mitmproxy/addons/clientplayback.py', 'test/mitmproxy/addons/test_clientplayback.py']"
#4872,2021-10-21 11:20:13,2021-10-21 13:20:13,2,"['mitmproxy/contentviews/grpc.py', 'test/mitmproxy/contentviews/test_grpc.py']"
#4871,2021-10-19 11:25:22,2021-10-19 13:25:22,3,"['mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/layers/http/_http1.py', 'test/mitmproxy/proxy/layers/http/test_http.py']"
#4870,2021-10-19 11:24:48,2021-10-19 13:25:22,3,"['mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/layers/http/_http1.py', 'test/mitmproxy/proxy/layers/http/test_http.py']"
#4858,2021-10-13 11:16:50,2021-10-13 13:16:49,2,"['mitmproxy/contentviews/grpc.py', 'test/mitmproxy/contentviews/test_grpc.py']"
#4856,2021-10-12 21:07:14,2021-10-12 23:07:14,2,"['mitmproxy/contentviews/__init__.py', 'mitmproxy/tools/console/flowview.py']"
#4851,2021-10-12 11:32:56,2021-10-12 13:32:56,5,"['examples/addons/contentview-custom-grpc.py', 'mitmproxy/contentviews/__init__.py', 'mitmproxy/contentviews/grpc.py', 'test/examples/test_examples.py', 'test/mitmproxy/contentviews/test_grpc.py']"
#4842,2021-10-08 11:08:36,2021-10-08 07:08:36,2,"['mitmproxy/addons/clientplayback.py', 'test/mitmproxy/addons/test_clientplayback.py']"
#4819,2021-09-23 18:03:52,2021-09-23 20:03:52,7,"['mitmproxy/addons/view.py', 'mitmproxy/net/http/http1/read.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/layers/http/_http1.py', 'test/mitmproxy/addons/test_view.py', 'test/mitmproxy/net/http/http1/test_read.py', 'test/mitmproxy/proxy/layers/http/test_http.py']"
#4811,2021-09-23 13:55:43,2021-09-23 14:55:43,2,"['mitmproxy/tools/web/app.py', 'test/mitmproxy/tools/web/test_app.py']"
#4806,2021-09-14 12:59:35,2021-09-14 14:59:35,2,"['mitmproxy/tools/console/master.py', 'setup.py']"
#4805,2021-09-16 08:53:37,2021-09-16 09:53:36,2,"['mitmproxy/certs.py', 'test/mitmproxy/test_certs.py']"
#4779,2021-08-25 11:35:38,2021-08-25 13:35:37,2,"['mitmproxy/tools/web/app.py', 'test/mitmproxy/tools/web/test_app.py']"
#4777,2021-08-23 19:35:31,2021-08-23 21:35:31,2,"['mitmproxy/log.py', 'test/mitmproxy/addons/test_command_history.py']"
#4772,2021-08-23 07:15:56,2021-08-23 09:15:56,4,"['mitmproxy/proxy/context.py', 'mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'test/mitmproxy/proxy/tutils.py']"
#4762,2021-08-18 14:12:40,2021-08-18 16:12:39,2,"['mitmproxy/__init__.py', 'test/mitmproxy/tools/web/test_app.py']"
#4758,2021-08-23 07:15:58,2021-08-23 09:15:56,4,"['mitmproxy/proxy/context.py', 'mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'test/mitmproxy/proxy/tutils.py']"
#4744,2021-08-09 15:41:05,2021-08-09 17:41:05,2,"['mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/addons/test_tlsconfig.py']"
#4735,2021-08-10 06:18:57,2021-08-10 08:11:17,2,"['mitmproxy/net/encoding.py', 'test/mitmproxy/net/test_encoding.py']"
#4733,2021-08-04 12:59:48,2021-08-04 14:59:48,2,"['mitmproxy/proxy/layers/websocket.py', 'test/mitmproxy/proxy/layers/test_websocket.py']"
#4728,2021-08-03 15:15:46,2021-08-03 16:59:42,3,"['mitmproxy/addons/upstream_auth.py', 'mitmproxy/test/tflow.py', 'test/mitmproxy/addons/test_upstream_auth.py']"
#4725,2021-08-02 18:32:01,2021-08-02 20:32:01,3,"['mitmproxy/addons/export.py', 'test/mitmproxy/addons/test_export.py', 'test/mitmproxy/test_optmanager.py']"
#4722,2021-08-02 14:45:41,2021-08-02 16:45:40,2,"['mitmproxy/addons/asgiapp.py', 'test/mitmproxy/addons/test_asgiapp.py']"
#4721,2021-08-02 13:15:06,2021-08-02 15:15:05,2,"['mitmproxy/addons/tlsconfig.py', 'test/mitmproxy/addons/test_tlsconfig.py']"
#4719,2021-08-02 12:23:56,2021-08-02 14:23:56,2,"['mitmproxy/proxy/layers/websocket.py', 'test/mitmproxy/proxy/layers/test_websocket.py']"
#4718,2021-08-02 18:32:01,2021-08-02 20:32:01,3,"['mitmproxy/addons/export.py', 'test/mitmproxy/addons/test_export.py', 'test/mitmproxy/test_optmanager.py']"
#4717,2021-09-22 02:24:39,2021-08-02 16:45:40,2,"['mitmproxy/addons/asgiapp.py', 'test/mitmproxy/addons/test_asgiapp.py']"
#4714,2021-08-02 18:32:01,2021-08-02 20:32:01,3,"['mitmproxy/addons/export.py', 'test/mitmproxy/addons/test_export.py', 'test/mitmproxy/test_optmanager.py']"
#4713,2021-08-02 13:15:08,2021-08-02 15:15:05,2,"['mitmproxy/addons/tlsconfig.py', 'test/mitmproxy/addons/test_tlsconfig.py']"
#4706,2021-08-02 12:40:28,2021-07-29 14:51:19,2,"['mitmproxy/http.py', 'mitmproxy/proxy/layers/http/__init__.py']"
#4705,2021-08-03 12:43:21,2021-08-03 14:34:12,2,"['mitmproxy/io/io.py', 'test/mitmproxy/io/test_io.py']"
#4702,2021-11-22 09:29:48,2021-09-04 00:24:33,6,"['examples/contrib/tls_passthrough.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'mitmproxy/proxy/server.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_tls.py']"
#4701,2021-08-02 12:23:58,2021-08-02 14:23:56,2,"['mitmproxy/proxy/layers/websocket.py', 'test/mitmproxy/proxy/layers/test_websocket.py']"
#4694,2021-07-21 07:23:28,2021-07-21 09:23:27,4,"['mitmproxy/addons/tlsconfig.py', 'mitmproxy/certs.py', 'mitmproxy/net/tls.py', 'test/mitmproxy/test_certs.py']"
#4693,2021-08-02 17:18:22,2021-08-02 13:18:22,3,"['mitmproxy/tools/console/keybindings.py', 'mitmproxy/tools/console/options.py', 'test/mitmproxy/tools/console/test_integration.py']"
#4687,2021-07-19 09:25:22,2021-07-19 06:25:21,2,"['mitmproxy/connection.py', 'test/mitmproxy/test_connection.py']"
#4683,2021-07-16 08:04:58,2021-07-15 17:09:58,4,"['mitmproxy/proxy/events.py', 'mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'test/mitmproxy/proxy/test_layer.py']"
#4680,2021-07-15 09:33:20,2021-07-15 11:33:20,3,"['mitmproxy/proxy/layers/http/__init__.py', 'test/mitmproxy/proxy/layers/http/test_http.py', 'test/mitmproxy/proxy/layers/http/test_http2.py']"
#4679,2021-07-15 07:55:57,2021-07-15 09:55:57,2,"['mitmproxy/addons/dumper.py', 'mitmproxy/addons/termlog.py']"
#4678,2021-07-15 10:02:28,2021-07-15 11:54:03,2,"['mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/proxy/layers/test_tls.py']"
#4674,2021-07-12 14:37:48,2021-07-12 16:35:25,12,"['docs/scripts/api-events.py', 'examples/contrib/jsondump.py', 'mitmproxy/addons/dumper.py', 'mitmproxy/addons/save.py', 'mitmproxy/eventsequence.py', 'mitmproxy/proxy/layers/websocket.py', 'mitmproxy/test/tflow.py', 'test/mitmproxy/addons/test_dumper.py', 'test/mitmproxy/addons/test_save.py', 'test/mitmproxy/proxy/layers/test_websocket.py', 'test/mitmproxy/test_eventsequence.py', 'test/mitmproxy/test_flowfilter.py']"
#4666,2021-07-09 18:15:38,2021-07-09 20:15:38,7,"['docs/scripts/api-events.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'mitmproxy/proxy/server.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_modes.py', 'test/mitmproxy/proxy/layers/test_tls.py']"
#4665,2021-07-09 18:15:42,2021-07-09 20:15:38,7,"['docs/scripts/api-events.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'mitmproxy/proxy/server.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_modes.py', 'test/mitmproxy/proxy/layers/test_tls.py']"
#4660,2021-06-24 15:03:36,2021-06-24 17:03:35,2,"['mitmproxy/addons/tlsconfig.py', 'mitmproxy/connection.py']"
#4659,2021-06-24 14:42:21,2021-06-24 16:42:21,5,"['mitmproxy/connection.py', 'mitmproxy/proxy/layers/tcp.py', 'test/mitmproxy/proxy/layers/test_tcp.py', 'test/mitmproxy/proxy/test_layer.py', 'test/mitmproxy/proxy/tutils.py']"
#4655,2021-06-24 14:42:23,2021-06-24 16:42:21,5,"['mitmproxy/connection.py', 'mitmproxy/proxy/layers/tcp.py', 'test/mitmproxy/proxy/layers/test_tcp.py', 'test/mitmproxy/proxy/test_layer.py', 'test/mitmproxy/proxy/tutils.py']"
#4654,2021-06-24 14:13:57,2021-06-24 16:13:56,3,"['mitmproxy/io/compat.py', 'test/helper_tools/dumperview.py', 'test/helper_tools/inspect_dumpfile.py']"
#4653,2021-06-24 13:54:08,2021-06-24 15:54:07,4,"['mitmproxy/certs.py', 'mitmproxy/net/tls.py', 'mitmproxy/proxy/layers/tls.py', 'mitmproxy/test/tflow.py']"
#4630,2021-06-09 22:23:52,2021-06-09 23:59:44,2,"['mitmproxy/addons/tlsconfig.py', 'test/helper_tools/loggrep.py']"
#4625,2021-06-09 10:26:19,2021-06-09 03:26:19,2,"['mitmproxy/http.py', 'test/mitmproxy/test_http.py']"
#4614,2021-08-02 17:18:23,2021-08-02 13:18:22,3,"['mitmproxy/tools/console/keybindings.py', 'mitmproxy/tools/console/options.py', 'test/mitmproxy/tools/console/test_integration.py']"
#4612,2021-06-15 08:39:48,2021-06-15 04:39:48,2,"['mitmproxy/http.py', 'test/mitmproxy/test_http.py']"
#4608,2021-05-28 18:38:27,2021-05-28 14:38:27,11,"['mitmproxy/addons/__init__.py', 'mitmproxy/addons/comment.py', 'mitmproxy/flow.py', 'mitmproxy/flowfilter.py', 'mitmproxy/io/compat.py', 'mitmproxy/tools/console/defaultkeys.py', 'mitmproxy/tools/console/flowdetailview.py', 'mitmproxy/version.py', 'test/mitmproxy/addons/test_comment.py', 'test/mitmproxy/test_flow.py', 'test/mitmproxy/test_flowfilter.py']"
#4594,2021-05-11 14:03:39,2021-05-11 16:03:39,3,"['mitmproxy/proxy/layers/tls.py', 'test/helper_tools/loggrep.py', 'test/mitmproxy/proxy/layers/test_tls.py']"
#4590,2021-05-11 09:17:10,2021-05-11 11:17:09,4,"['docs/build.py', 'release/cibuild.py', 'release/deploy.py', 'setup.py']"
#4587,2021-05-27 09:40:42,2021-05-27 05:40:41,16,"['examples/contrib/all_markers.py', 'mitmproxy/addons/core.py', 'mitmproxy/flow.py', 'mitmproxy/flowfilter.py', 'mitmproxy/io/compat.py', 'mitmproxy/tools/console/common.py', 'mitmproxy/types.py', 'mitmproxy/utils/emoji.py', 'mitmproxy/version.py', 'test/mitmproxy/addons/test_core.py', 'test/mitmproxy/addons/test_view.py', 'test/mitmproxy/io/test_compat.py', 'test/mitmproxy/test_flow.py', 'test/mitmproxy/test_flowfilter.py', 'test/mitmproxy/test_types.py', 'test/mitmproxy/utils/test_emoji.py']"
#4585,2021-05-08 20:13:15,2021-05-08 16:13:15,2,"['mitmproxy/addons/browser.py', 'test/mitmproxy/addons/test_browser.py']"
#4576,2021-06-24 14:13:58,2021-06-24 16:13:56,3,"['mitmproxy/io/compat.py', 'test/helper_tools/dumperview.py', 'test/helper_tools/inspect_dumpfile.py']"
#4557,2021-05-27 09:51:02,2021-05-27 11:51:01,2,"['mitmproxy/certs.py', 'test/mitmproxy/test_certs.py']"
#4551,2021-05-11 14:03:42,2021-05-11 16:03:39,3,"['mitmproxy/proxy/layers/tls.py', 'test/helper_tools/loggrep.py', 'test/mitmproxy/proxy/layers/test_tls.py']"
#4547,2021-06-24 15:03:38,2021-07-09 20:15:38,8,"['docs/scripts/api-events.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'mitmproxy/proxy/server.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_modes.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'mitmproxy/connection.py']"
