file,fileSet
mitmproxy/proxy/server.py,"['mitmproxy/proxy/server_hooks.py', 'mitmproxy/proxy/server_hooks.py', 'examples/contrib/tls_passthrough.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'docs/scripts/api-events.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_modes.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'docs/scripts/api-events.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_modes.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'docs/scripts/api-events.py', 'mitmproxy/addons/tlsconfig.py', 'mitmproxy/proxy/layers/tls.py', 'test/mitmproxy/addons/test_tlsconfig.py', 'test/mitmproxy/proxy/layers/test_modes.py', 'test/mitmproxy/proxy/layers/test_tls.py', 'mitmproxy/connection.py', 'test/mitmproxy/proxy/test_server.py']"
mitmproxy/proxy/server_hooks.py,"['mitmproxy/proxy/server.py', 'mitmproxy/proxy/server.py']"
mitmproxy/http.py,"['test/mitmproxy/test_http.py', 'test/mitmproxy/test_http.py', 'mitmproxy/proxy/layers/http/__init__.py', 'test/mitmproxy/test_http.py', 'test/mitmproxy/test_http.py']"
test/mitmproxy/test_http.py,"['mitmproxy/http.py', 'mitmproxy/http.py', 'mitmproxy/http.py', 'mitmproxy/http.py', 'mitmproxy/flow.py']"
mitmproxy/tls.py,"['test/mitmproxy/test_tls.py', 'test/mitmproxy/test_tls.py']"
test/mitmproxy/test_tls.py,"['mitmproxy/tls.py', 'mitmproxy/tls.py']"
mitmproxy/proxy/layers/http/__init__.py,"['test/mitmproxy/proxy/layers/test_websocket.py', 'test/mitmproxy/proxy/layers/test_websocket.py', 'examples/contrib/change_upstream_proxy.py', 'mitmproxy/addons/clientplayback.py', 'mitmproxy/proxy/tunnel.py', 'examples/contrib/change_upstream_proxy.py', 'mitmproxy/addons/clientplayback.py', 'mitmproxy/proxy/tunnel.py', 'mitmproxy/proxy/layers/http/_http1.py', 'test/mitmproxy/proxy/layers/http/test_http.py', 'mitmproxy/proxy/layers/http/_http1.py', 'test/mitmproxy/proxy/layers/http/test_http.py', 'mitmproxy/addons/view.py', 'mitmproxy/net/http/http1/read.py', 'mitmproxy/proxy/layers/http/_http1.py', 'test/mitmproxy/addons/test_view.py', 'test/mitmproxy/net/http/http1/test_read.py', 'test/mitmproxy/proxy/layers/http/test_http.py', 'mitmproxy/http.py', 'test/mitmproxy/proxy/layers/http/test_http.py', 'test/mitmproxy/proxy/layers/http/test_http2.py', 'mitmproxy/proxy/layers/http/_http2.py', 'mitmproxy/proxy/layers/http/_http_h2.py', 'test/mitmproxy/proxy/layers/http/test_http2.py', 'mitmproxy/net/http/status_codes.py', 'mitmproxy/proxy/layers/http/_base.py', 'mitmproxy/proxy/layers/http/_http1.py', 'mitmproxy/proxy/layers/http/_http2.py', 'test/mitmproxy/proxy/layers/http/test_http1.py', 'test/mitmproxy/proxy/layers/http/test_http2.py', 'test/mitmproxy/proxy/layers/http/test_http2.py', 'test/mitmproxy/proxy/layers/http/test_http.py', 'mitmproxy/proxy/layers/http/_http2.py', 'mitmproxy/proxy/layers/http/_http_h2.py', 'test/mitmproxy/proxy/layers/http/test_http2.py', 'test/mitmproxy/proxy/layers/http/test_http.py']"
test/mitmproxy/proxy/layers/test_websocket.py,"['mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/layers/websocket.py', 'mitmproxy/proxy/layers/websocket.py', 'mitmproxy/proxy/layers/websocket.py', 'docs/scripts/api-events.py', 'examples/contrib/jsondump.py', 'mitmproxy/addons/dumper.py', 'mitmproxy/addons/save.py', 'mitmproxy/eventsequence.py', 'mitmproxy/proxy/layers/websocket.py', 'mitmproxy/test/tflow.py', 'test/mitmproxy/addons/test_dumper.py', 'test/mitmproxy/addons/test_save.py', 'test/mitmproxy/test_eventsequence.py', 'test/mitmproxy/test_flowfilter.py']"
examples/contrib/change_upstream_proxy.py,"['mitmproxy/addons/clientplayback.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/tunnel.py', 'mitmproxy/addons/clientplayback.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/tunnel.py']"
mitmproxy/addons/clientplayback.py,"['examples/contrib/change_upstream_proxy.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/tunnel.py', 'examples/contrib/change_upstream_proxy.py', 'mitmproxy/proxy/layers/http/__init__.py', 'mitmproxy/proxy/tunnel.py', 'test/mitmproxy/addons/test_clientplayback.py', 'test/mitmproxy/addons/test_clientplayback.py', 'test/mitmproxy/addons/test_clientplayback.py', 'mitmproxy/addons/serverplayback.py', 'mitmproxy/proxy/protocol/http_replay.py', 'test/mitmproxy/addons/test_clientplayback.py']"
