key,time,commitTime,PythonfileNum,pythonFile
#5669,2022-01-07 15:34:55,2022-01-07 10:34:54,2,"['ml-agents/setup.py', 'utils/validate_versions.py']"
#5668,2022-01-14 22:10:05,2022-01-14 17:10:05,3,"['gym-unity/gym_unity/__init__.py', 'ml-agents-envs/mlagents_envs/__init__.py', 'ml-agents/mlagents/trainers/__init__.py']"
#5626,2021-12-02 17:03:44,2021-12-02 09:03:44,8,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_settings.py', 'ml-agents/mlagents/trainers/tests/torch/test_action_model.py', 'ml-agents/mlagents/trainers/torch/action_model.py', 'ml-agents/mlagents/trainers/torch/distributions.py', 'ml-agents/mlagents/trainers/torch/model_serialization.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
#5622,2021-11-18 22:37:23,2021-11-18 14:37:22,8,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_settings.py', 'ml-agents/mlagents/trainers/tests/torch/test_action_model.py', 'ml-agents/mlagents/trainers/torch/action_model.py', 'ml-agents/mlagents/trainers/torch/distributions.py', 'ml-agents/mlagents/trainers/torch/model_serialization.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
#5621,2021-11-30 16:20:40,2021-12-02 09:03:44,8,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_settings.py', 'ml-agents/mlagents/trainers/tests/torch/test_action_model.py', 'ml-agents/mlagents/trainers/torch/action_model.py', 'ml-agents/mlagents/trainers/torch/distributions.py', 'ml-agents/mlagents/trainers/torch/model_serialization.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
#5619,2021-11-18 17:56:12,2021-11-18 14:37:22,8,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_settings.py', 'ml-agents/mlagents/trainers/tests/torch/test_action_model.py', 'ml-agents/mlagents/trainers/torch/action_model.py', 'ml-agents/mlagents/trainers/torch/distributions.py', 'ml-agents/mlagents/trainers/torch/model_serialization.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
#5615,2021-11-16 16:53:38,2021-12-02 09:03:44,8,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_settings.py', 'ml-agents/mlagents/trainers/tests/torch/test_action_model.py', 'ml-agents/mlagents/trainers/torch/action_model.py', 'ml-agents/mlagents/trainers/torch/distributions.py', 'ml-agents/mlagents/trainers/torch/model_serialization.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
#5599,2021-11-18 15:39:00,2021-12-02 09:03:44,8,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_settings.py', 'ml-agents/mlagents/trainers/tests/torch/test_action_model.py', 'ml-agents/mlagents/trainers/torch/action_model.py', 'ml-agents/mlagents/trainers/torch/distributions.py', 'ml-agents/mlagents/trainers/torch/model_serialization.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
#5595,2021-11-02 17:06:23,2021-11-02 13:06:23,4,"['ml-agents/mlagents/trainers/poca/trainer.py', 'ml-agents/mlagents/trainers/ppo/trainer.py', 'ml-agents/mlagents/trainers/sac/trainer.py', 'ml-agents/mlagents/trainers/tests/test_trainers.py']"
#5593,2021-11-16 22:16:55,2021-12-02 09:03:44,8,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_settings.py', 'ml-agents/mlagents/trainers/tests/torch/test_action_model.py', 'ml-agents/mlagents/trainers/torch/action_model.py', 'ml-agents/mlagents/trainers/torch/distributions.py', 'ml-agents/mlagents/trainers/torch/model_serialization.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
#5586,2021-10-18 14:06:33,2021-10-18 10:06:33,3,"['ml-agents/mlagents/trainers/subprocess_env_manager.py', 'ml-agents/mlagents/trainers/tests/test_training_analytics_side_channel.py', 'ml-agents/mlagents/trainers/training_analytics_side_channel.py']"
#5568,2021-10-13 13:28:10,2021-10-13 09:28:10,7,"['ml-agents-envs/mlagents_envs/communicator_objects/unity_rl_initialization_input_pb2.py', 'ml-agents-envs/mlagents_envs/environment.py', 'ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/learn.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_learn.py', 'ml-agents/mlagents/trainers/tests/test_settings.py']"
#5553,2021-10-07 17:10:21,2021-10-07 10:10:20,5,"['ml-agents-envs/mlagents_envs/rpc_communicator.py', 'ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/subprocess_env_manager.py', 'ml-agents/mlagents/trainers/tests/test_subprocess_env_manager.py']"
#5546,2021-09-23 19:31:25,2021-09-23 15:31:24,2,"['ml-agents/mlagents/trainers/tests/torch/test_reward_providers/test_gail.py', 'ml-agents/mlagents/trainers/torch/components/reward_providers/gail_reward_provider.py']"
#5540,2021-09-17 20:16:59,2021-09-17 16:16:59,2,"['gym-unity/gym_unity/tests/test_gym.py', 'gym-unity/setup.py']"
#5538,2021-09-30 16:06:30,2021-09-30 12:06:29,5,"['ml-agents/mlagents/trainers/poca/optimizer_torch.py', 'ml-agents/mlagents/trainers/ppo/optimizer_torch.py', 'ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_config_conversion.py', 'ml-agents/mlagents/trainers/tests/test_settings.py']"
#5525,2021-09-14 23:33:23,2021-09-14 16:33:23,6,"['ml-agents/mlagents/trainers/directory_utils.py', 'ml-agents/mlagents/trainers/learn.py', 'ml-agents/mlagents/trainers/model_saver/torch_model_saver.py', 'ml-agents/mlagents/trainers/tests/test_trainer_util.py', 'ml-agents/mlagents/trainers/tests/torch/saver/test_saver.py', 'ml-agents/mlagents/trainers/trainer/trainer_factory.py']"
#5519,2021-08-31 19:37:16,2021-08-31 12:37:16,2,"['ml-agents/tests/yamato/training_int_tests.py', 'ml-agents/tests/yamato/yamato_utils.py']"
#5512,2021-10-05 19:34:04,2021-10-05 12:34:03,2,"['ml-agents-envs/mlagents_envs/communicator_objects/training_analytics_pb2.py', 'ml-agents/mlagents/training_analytics_side_channel.py']"
#5511,2021-09-24 22:58:44,2021-09-24 15:58:43,4,"['ml-agents-envs/mlagents_envs/environment.py', 'ml-agents-envs/mlagents_envs/side_channel/__init__.py', 'ml-agents-envs/mlagents_envs/side_channel/default_training_analytics_side_channel.py', 'ml-agents/mlagents/training_analytics_side_channel.py']"
#5495,2021-08-18 18:04:28,2021-08-18 11:04:27,3,"['ml-agents/mlagents/trainers/settings.py', 'ml-agents/mlagents/trainers/tests/test_learn.py', 'ml-agents/mlagents/trainers/tests/test_settings.py']"
#5467,2021-07-23 00:50:19,2021-07-22 17:50:18,2,"['ml-agents/mlagents/trainers/cli_utils.py', 'ml-agents/mlagents/trainers/settings.py']"
#5449,2021-07-15 18:39:03,2021-07-15 11:39:03,4,"['ml-agents/mlagents/trainers/poca/optimizer_torch.py', 'ml-agents/mlagents/trainers/tests/torch/test_networks.py', 'ml-agents/mlagents/trainers/tests/torch/test_simple_rl.py', 'ml-agents/mlagents/trainers/torch/networks.py']"
