key,time,commitTime,PythonfileNum,pythonFile
#5362,2022-02-09 07:25:35,2022-02-08 23:25:35,2,"['mlflow/utils/logging_utils.py', 'tests/utils/test_logging_utils.py']"
#5355,2022-02-08 01:32:04,2022-02-08 02:32:03,2,"['mlflow/spark.py', 'tests/spark/test_spark_model_export.py']"
#5345,2022-02-04 16:40:13,2022-02-04 11:40:13,2,"['mlflow/models/evaluation/base.py', 'tests/models/test_evaluation.py']"
#5326,2022-01-28 01:45:26,2022-01-28 09:45:25,15,"['tests/catboost/test_catboost_model_export.py', 'tests/fastai/test_fastai_model_export.py', 'tests/gluon/test_gluon_model_export.py', 'tests/h2o/test_h2o_model_export.py', 'tests/keras/test_keras_model_export.py', 'tests/lightgbm/test_lightgbm_model_export.py', 'tests/models/test_cli.py', 'tests/onnx/test_onnx_model_export.py', 'tests/paddle/test_paddle_model_export.py', 'tests/prophet/test_prophet_model_export.py', 'tests/shap/test_log.py', 'tests/sklearn/test_sklearn_model_export.py', 'tests/spacy/test_spacy_model_export.py', 'tests/statsmodels/test_statsmodels_model_export.py', 'tests/xgboost/test_xgboost_model_export.py']"
#5312,2022-01-26 19:48:07,2022-01-26 11:48:05,3,"['mlflow/store/artifact/utils/models.py', 'tests/store/artifact/utils/test_model_utils.py', 'tests/store/model_registry/test_sqlalchemy_store.py']"
#5310,2022-01-28 03:37:15,2022-01-27 19:37:15,2,"['examples/hyperparam/search_hyperopt.py', 'examples/hyperparam/search_random.py']"
#5305,2022-01-25 02:14:46,2022-02-01 20:18:01,3,"['mlflow/onnx.py', 'mlflow/models/evaluation/base.py', 'tests/utils/test_databricks_utils.py']"
#5288,2022-01-21 06:07:19,2022-01-21 15:07:19,2,"['mlflow/data.py', 'tests/data/test_data.py']"
#5287,2022-01-22 01:16:49,2022-01-22 10:16:48,3,"['mlflow/types/schema.py', 'mlflow/types/utils.py', 'tests/types/test_schema.py']"
#5283,2022-01-18 07:13:44,2022-01-18 16:13:43,5,"['examples/hyperparam/train.py', 'examples/sklearn_elasticnet_diabetes/linux/train_diabetes.py', 'examples/sklearn_elasticnet_diabetes/osx/train_diabetes.py', 'mlflow/__init__.py', 'setup.py']"
#5273,2022-01-17 04:11:55,2022-01-17 12:11:54,2,"['mlflow/models/evaluation/default_evaluator.py', 'mlflow/sklearn/utils.py']"
#5268,2022-01-18 06:03:08,2022-01-18 15:03:07,11,"['examples/paddle/train_low_level_api.py', 'examples/shap/binary_classification.py', 'examples/shap/explainer_logging.py', 'examples/shap/multiclass_classification.py', 'examples/shap/regression.py', 'mlflow/paddle/__init__.py', 'mlflow/shap.py', 'tests/autologging/test_autologging_utils.py', 'tests/paddle/test_paddle_model_export.py', 'tests/shap/test_log.py', 'tests/shap/test_shap.py']"
#5267,2022-01-19 19:47:01,2022-01-19 11:47:00,5,"['mlflow/tracking/fluent.py', 'mlflow/utils/databricks_utils.py', 'mlflow/utils/mlflow_tags.py', 'tests/tracking/fluent/test_fluent.py', 'tests/utils/test_databricks_utils.py']"
#5256,2022-01-14 05:18:45,2022-01-14 13:18:44,8,"['mlflow/models/__init__.py', 'mlflow/models/evaluation/__init__.py', 'mlflow/models/evaluation/artifacts.py', 'mlflow/models/evaluation/base.py', 'mlflow/models/evaluation/default_evaluator.py', 'tests/models/test_default_evaluator.py', 'tests/models/test_evaluation.py', 'tests/resources/mlflow-test-plugin/mlflow_test_plugin/dummy_evaluator.py']"
#5249,2022-01-13 01:18:00,2022-01-13 10:17:59,4,"['mlflow/store/db_migrations/versions/0a8213491aaa_drop_duplicate_killed_constraint.py', 'mlflow/store/db_migrations/versions/cfd24bdc0731_update_run_status_constraint_with_killed.py', 'setup.py', 'tests/db/run_checks.py']"
#5234,2022-01-07 15:50:30,2022-01-08 00:50:30,4,"['mlflow/mleap.py', 'mlflow/spark.py', 'tests/mleap/test_mleap_model_export.py', 'tests/spark/test_spark_model_export.py']"
#5212,2022-01-04 18:09:26,2022-01-04 10:09:25,3,"['mlflow/models/model.py', 'mlflow/models/utils.py', 'tests/models/test_model.py']"
#5206,2021-12-31 07:06:12,2022-01-04 10:09:25,6,"['mlflow/models/model.py', 'mlflow/models/utils.py', 'tests/models/test_model.py', 'mlflow/lightgbm.py', 'tests/lightgbm/test_lightgbm_autolog.py', 'tests/sagemaker/mock/__init__.py']"
#5200,2022-01-14 20:35:19,2022-01-14 12:35:19,9,"['examples/lightgbm/lightgbm_native/train.py', 'examples/lightgbm/lightgbm_sklearn/train.py', 'examples/lightgbm/lightgbm_sklearn/utils.py', 'mlflow/lightgbm.py', 'mlflow/sklearn/__init__.py', 'mlflow/sklearn/utils.py', 'tests/autologging/test_autologging_behaviors_integration.py', 'tests/examples/test_examples.py', 'tests/lightgbm/test_lightgbm_autolog.py']"
#5194,2021-12-23 07:10:32,2021-12-23 16:10:31,2,"['mlflow/utils/databricks_utils.py', 'tests/utils/test_databricks_utils.py']"
#5189,2022-01-04 22:18:04,2022-01-04 14:18:04,2,"['mlflow/store/artifact/databricks_models_artifact_repo.py', 'tests/store/artifact/test_databricks_models_artifact_repo.py']"
#5186,2022-01-14 15:20:33,2022-01-14 23:20:32,5,"['examples/evaluation/evaluate_on_binary_classifier.py', 'examples/evaluation/evaluate_on_multiclass_classifier.py', 'examples/evaluation/evaluate_on_regressor.py', 'mlflow/models/evaluation/base.py', 'mlflow/models/evaluation/lift_curve.py']"
#5177,2021-12-16 09:32:05,2021-12-16 18:32:05,2,"['mlflow/utils/rest_utils.py', 'tests/utils/test_rest_utils.py']"
#5174,2021-12-24 01:41:42,2021-12-23 17:41:41,6,"['mlflow/tracking/context/databricks_job_context.py', 'mlflow/tracking/context/databricks_notebook_context.py', 'mlflow/utils/mlflow_tags.py', 'tests/tracking/context/test_databricks_job_context.py', 'tests/tracking/context/test_databricks_notebook_context.py', 'tests/tracking/fluent/test_fluent.py']"
#5167,2021-12-16 09:28:36,2021-12-16 17:28:36,3,"['mlflow/models/model.py', 'tests/models/test_model.py', 'tests/pyfunc/test_model_export_with_loader_module_and_data_path.py']"
#5149,2021-12-13 09:31:54,2021-12-13 17:31:54,4,"['mlflow/models/model.py', 'tests/models/test_model.py', 'tests/pyfunc/test_model_export_with_loader_module_and_data_path.py', 'tests/tracking/test_rest_tracking.py']"
#5140,2021-12-03 02:26:13,2021-12-02 18:26:13,3,"['mlflow/models/container/__init__.py', 'mlflow/sagemaker/__init__.py', 'tests/sagemaker/test_deployment.py']"
#5134,2021-12-03 04:38:34,2021-12-02 23:38:34,3,"['mlflow/pyfunc/__init__.py', 'tests/pyfunc/test_model_export_with_loader_module_and_data_path.py', 'tests/pyfunc/test_scoring_server.py']"
#5132,2021-12-22 00:19:39,2021-12-22 09:19:39,2,"['mlflow/utils/databricks_utils.py', 'tests/utils/test_databricks_utils.py']"
#5130,2021-12-24 04:05:18,2021-12-23 20:05:17,2,"['mlflow/lightgbm.py', 'tests/lightgbm/test_lightgbm_model_export.py']"
#5127,2021-11-30 08:34:43,2021-11-30 17:34:42,5,"['mlflow/__init__.py', 'mlflow/sagemaker/__init__.py', 'mlflow/utils/autologging_utils/__init__.py', 'mlflow/utils/file_utils.py', 'tests/entities/test_run_data.py']"
#5121,2021-12-07 00:25:07,2021-12-06 19:25:06,2,"['mlflow/server/prometheus_exporter.py', 'tests/server/test_prometheus_exporter.py']"
#5117,2021-11-30 15:17:04,2021-11-30 12:17:03,2,"['mlflow/projects/utils.py', 'tests/projects/test_utils.py']"
#5106,2021-11-30 16:33:49,2021-12-01 01:33:48,2,"['mlflow/sklearn/__init__.py', 'mlflow/sklearn/utils.py']"
#5105,2021-11-26 09:15:10,2021-11-26 18:15:09,3,"['mlflow/utils/class_utils.py', 'mlflow/xgboost/__init__.py', 'tests/utils/test_class_utils.py']"
#5099,2021-11-25 05:24:25,2021-11-25 13:24:24,2,"['mlflow/store/artifact/azure_blob_artifact_repo.py', 'tests/store/artifact/test_azure_blob_artifact_repo.py']"
#5092,2022-01-10 12:17:19,2022-01-10 20:17:19,10,"['mlflow/models/evaluation/artifacts.py', 'mlflow/models/evaluation/base.py', 'mlflow/models/evaluation/default_evaluator.py', 'mlflow/models/evaluation/evaluator_registry.py', 'mlflow/models/evaluation/lift_curve.py', 'mlflow/models/utils.py', 'mlflow/utils/string_utils.py', 'tests/models/test_default_evaluator.py', 'tests/models/test_evaluation.py', 'tests/resources/mlflow-test-plugin/mlflow_test_plugin/dummy_evaluator.py']"
#5088,2021-11-19 15:43:47,2021-11-20 00:43:46,2,"['mlflow/utils/environment.py', 'tests/utils/test_environment.py']"
#5085,2021-11-22 03:29:55,2021-11-22 12:29:55,17,"['dev/set_matrix.py', 'mlflow/pytorch/_pytorch_autolog.py', 'mlflow/sklearn/utils.py', 'mlflow/tracking/client.py', 'mlflow/xgboost/__init__.py', 'tests/autologging/test_autologging_safety_unit.py', 'tests/helper_functions.py', 'tests/resources/mlflow-test-plugin/setup.py', 'tests/shap/test_log.py', 'tests/store/artifact/test_databricks_artifact_repo.py', 'tests/store/artifact/test_gcs_artifact_repo.py', 'tests/tracking/context/test_databricks_job_context.py', 'tests/tracking/context/test_databricks_notebook_context.py', 'tests/tracking/fluent/test_fluent.py', 'tests/tracking/test_tracking.py', 'tests/utils/test_databricks_utils.py', 'tests/utils/test_uri.py']"
#5078,2021-11-29 05:25:05,2021-11-28 21:25:04,9,"['examples/xgboost/xgboost_native/train.py', 'examples/xgboost/xgboost_sklearn/train.py', 'examples/xgboost/xgboost_sklearn/utils.py', 'mlflow/sklearn/__init__.py', 'mlflow/sklearn/utils.py', 'mlflow/xgboost/__init__.py', 'tests/autologging/test_autologging_behaviors_integration.py', 'tests/examples/test_examples.py', 'tests/xgboost/test_xgboost_autolog.py']"
#5075,2021-11-17 01:10:59,2021-11-17 09:10:58,2,"['mlflow/pytorch/_pytorch_autolog.py', 'tests/pytorch/test_pytorch_autolog.py']"
#5070,2021-11-24 15:27:33,2021-11-24 10:27:32,4,"['mlflow/store/artifact/artifact_repository_registry.py', 'mlflow/store/artifact/http_artifact_repo.py', 'mlflow/store/artifact/mlflow_artifacts_repo.py', 'tests/store/artifact/test_mlflow_artifact_repo.py']"
#5069,2021-12-07 13:32:17,2021-12-07 21:32:15,8,"['mlflow/__init__.py', 'mlflow/models/__init__.py', 'mlflow/models/evaluation/__init__.py', 'mlflow/models/evaluation/base.py', 'mlflow/models/evaluation/evaluator_registry.py', 'tests/models/test_evaluation.py', 'tests/resources/mlflow-test-plugin/mlflow_test_plugin/dummy_evaluator.py', 'tests/resources/mlflow-test-plugin/setup.py']"
#5058,2021-11-19 04:11:49,2021-11-18 20:11:48,4,"['examples/supply_chain_security/train.py', 'mlflow/utils/environment.py', 'tests/examples/test_examples.py', 'tests/utils/test_environment.py']"
#5045,2021-12-01 01:44:14,2021-11-30 20:44:13,17,"['examples/mlflow_artifacts/example.py', 'mlflow/azure/client.py', 'mlflow/cli.py', 'mlflow/projects/utils.py', 'mlflow/server/__init__.py', 'mlflow/server/handlers.py', 'mlflow/store/artifact/databricks_artifact_repo.py', 'mlflow/store/artifact/http_artifact_repo.py', 'mlflow/store/artifact/mlflow_artifacts_repo.py', 'mlflow/store/tracking/__init__.py', 'mlflow/utils/cli_args.py', 'mlflow/utils/file_utils.py', 'mlflow/utils/rest_utils.py', 'mlflow/utils/uri.py', 'tests/store/artifact/test_mlflow_artifact_repo.py', 'tests/test_cli.py', 'tests/tracking/test_mlflow_artifacts.py']"
#5042,2021-11-10 15:15:41,2021-11-10 20:45:40,4,"['examples/pytorch/BertNewsClassification/bert_classification.py', 'examples/pytorch/IterativePruning/iterative_prune_mnist.py', 'examples/pytorch/IterativePruning/mnist.py', 'examples/pytorch/MNIST/mnist_autolog_example.py']"
#5039,2021-11-17 04:39:20,2021-11-17 13:39:19,14,"['mlflow/gluon/__init__.py', 'mlflow/gluon/_autolog.py', 'mlflow/lightgbm.py', 'mlflow/tensorflow/__init__.py', 'mlflow/tensorflow/_autolog.py', 'mlflow/utils/autologging_utils/safety.py', 'mlflow/xgboost/__init__.py', 'mlflow/xgboost/_autolog.py', 'tests/autologging/test_autologging_safety_unit.py', 'tests/fastai/test_fastai_autolog.py', 'tests/gluon/test_gluon_autolog.py', 'tests/lightgbm/test_lightgbm_autolog.py', 'tests/tensorflow/test_tensorflow2_autolog.py', 'tests/xgboost/test_xgboost_autolog.py']"
#5032,2021-11-09 19:53:47,2021-11-10 04:53:46,2,"['mlflow/cli.py', 'mlflow/utils/cli_args.py']"
#5028,2021-11-10 08:30:16,2021-11-10 16:30:15,12,"['mlflow/fastai/__init__.py', 'mlflow/gluon.py', 'mlflow/keras.py', 'mlflow/lightgbm.py', 'mlflow/paddle/__init__.py', 'mlflow/pyspark/ml/__init__.py', 'mlflow/pytorch/__init__.py', 'mlflow/sklearn/__init__.py', 'mlflow/spark.py', 'mlflow/statsmodels.py', 'mlflow/tensorflow.py', 'mlflow/xgboost.py']"
#5027,2022-01-10 22:43:09,2022-01-10 14:43:08,9,"['mlflow/store/artifact/databricks_models_artifact_repo.py', 'mlflow/store/artifact/models_artifact_repo.py', 'mlflow/store/artifact/utils/models.py', 'mlflow/store/model_registry/abstract_store.py', 'mlflow/store/model_registry/rest_store.py', 'mlflow/store/model_registry/sqlalchemy_store.py', 'tests/store/artifact/utils/test_model_utils.py', 'tests/store/model_registry/test_sqlalchemy_store.py', 'tests/tracking/test_model_registry.py']"
#5026,2021-11-09 02:53:15,2021-11-09 10:53:14,4,"['mlflow/utils/autologging_utils/__init__.py', 'mlflow/utils/autologging_utils/safety.py', 'tests/autologging/test_autologging_safety_unit.py', 'tests/autologging/test_autologging_utils.py']"
#5016,2021-12-07 03:50:16,2021-12-07 11:50:16,8,"['docs/source/conf.py', 'mlflow/models/utils.py', 'mlflow/pyfunc/__init__.py', 'mlflow/types/utils.py', 'setup.py', 'tests/models/test_model_input_examples.py', 'tests/sklearn/test_sklearn_autolog.py', 'tests/types/test_schema.py']"
#5014,2021-11-08 04:16:43,2021-11-08 13:16:43,2,"['dev/set_matrix.py', 'dev/show_package_release_dates.py']"
#5012,2021-11-05 21:49:10,2021-11-05 14:49:09,2,"['mlflow/tracking/fluent.py', 'tests/tracking/test_tracking.py']"
