file,fileSet
moto/cloudtrail/models.py,"['moto/cloudtrail/responses.py', 'moto/organizations/models.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail_eventselectors.py', 'tests/test_cloudtrail/test_cloudtrail_tags.py', 'tests/test_organizations/organizations_test_utils.py', 'tests/test_organizations/test_organizations_boto3.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'moto/__init__.py', 'moto/backend_index.py', 'moto/cloudtrail/__init__.py', 'moto/cloudtrail/exceptions.py', 'moto/cloudtrail/responses.py', 'moto/cloudtrail/urls.py', 'scripts/scaffold.py', 'tests/test_cloudtrail/__init__.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_server.py']"
moto/cloudtrail/responses.py,"['moto/cloudtrail/models.py', 'moto/organizations/models.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail_eventselectors.py', 'tests/test_cloudtrail/test_cloudtrail_tags.py', 'tests/test_organizations/organizations_test_utils.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/__init__.py', 'moto/backend_index.py', 'moto/cloudtrail/__init__.py', 'moto/cloudtrail/exceptions.py', 'moto/cloudtrail/models.py', 'moto/cloudtrail/urls.py', 'scripts/scaffold.py', 'tests/test_cloudtrail/__init__.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_server.py']"
moto/organizations/models.py,"['moto/cloudtrail/models.py', 'moto/cloudtrail/responses.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail_eventselectors.py', 'tests/test_cloudtrail/test_cloudtrail_tags.py', 'tests/test_organizations/organizations_test_utils.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/utils.py', 'tests/test_organizations/test_organizations_boto3.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/exceptions.py', 'moto/organizations/responses.py', 'moto/organizations/utils.py', 'tests/test_organizations/organizations_test_utils.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/exceptions.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/exceptions.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/exceptions.py', 'moto/organizations/responses.py', 'tests/test_organizations/test_organizations_boto3.py']"
tests/test_cloudtrail/test_cloudtrail.py,"['moto/cloudtrail/models.py', 'moto/cloudtrail/responses.py', 'moto/organizations/models.py', 'tests/test_cloudtrail/test_cloudtrail_eventselectors.py', 'tests/test_cloudtrail/test_cloudtrail_tags.py', 'tests/test_organizations/organizations_test_utils.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/cloudtrail/models.py', 'moto/cloudtrail/models.py', 'moto/__init__.py', 'moto/backend_index.py', 'moto/cloudtrail/__init__.py', 'moto/cloudtrail/exceptions.py', 'moto/cloudtrail/models.py', 'moto/cloudtrail/responses.py', 'moto/cloudtrail/urls.py', 'scripts/scaffold.py', 'tests/test_cloudtrail/__init__.py', 'tests/test_cloudtrail/test_server.py']"
tests/test_cloudtrail/test_cloudtrail_eventselectors.py,"['moto/cloudtrail/models.py', 'moto/cloudtrail/responses.py', 'moto/organizations/models.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail_tags.py', 'tests/test_organizations/organizations_test_utils.py', 'tests/test_organizations/test_organizations_boto3.py']"
tests/test_cloudtrail/test_cloudtrail_tags.py,"['moto/cloudtrail/models.py', 'moto/cloudtrail/responses.py', 'moto/organizations/models.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail_eventselectors.py', 'tests/test_organizations/organizations_test_utils.py', 'tests/test_organizations/test_organizations_boto3.py']"
tests/test_organizations/organizations_test_utils.py,"['moto/cloudtrail/models.py', 'moto/cloudtrail/responses.py', 'moto/organizations/models.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail_eventselectors.py', 'tests/test_cloudtrail/test_cloudtrail_tags.py', 'tests/test_organizations/test_organizations_boto3.py', 'moto/organizations/exceptions.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/utils.py', 'tests/test_organizations/test_organizations_boto3.py']"
tests/test_organizations/test_organizations_boto3.py,"['moto/cloudtrail/models.py', 'moto/cloudtrail/responses.py', 'moto/organizations/models.py', 'tests/test_cloudtrail/test_cloudtrail.py', 'tests/test_cloudtrail/test_cloudtrail_eventselectors.py', 'tests/test_cloudtrail/test_cloudtrail_tags.py', 'tests/test_organizations/organizations_test_utils.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/models.py', 'moto/organizations/models.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'tests/test_cloudformation/test_cloudformation_stack_crud.py', 'tests/test_cloudformation/test_cloudformation_stack_crud_boto3.py', 'tests/test_dynamodb2/test_dynamodb.py', 'tests/test_dynamodb2/test_dynamodb_table_without_range_key.py', 'tests/test_ec2/test_amis.py', 'tests/test_ec2/test_transit_gateway.py', 'tests/test_ec2/test_vpn_connections.py', 'tests/test_elbv2/test_elbv2.py', 'tests/test_iam/test_iam.py', 'tests/test_iam/test_iam_cloudformation.py', 'tests/test_kms/test_kms.py', 'tests/test_logs/test_integration.py', 'tests/test_mediapackage/test_mediapackage.py', 'tests/test_mediastore/test_mediastore.py', 'tests/test_mediastoredata/test_mediastoredata.py', 'tests/test_redshift/test_redshift.py', 'tests/test_sqs/test_sqs.py', 'tests/test_sts/test_sts.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/exceptions.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/utils.py', 'tests/test_organizations/organizations_test_utils.py', 'moto/organizations/exceptions.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/exceptions.py', 'moto/organizations/models.py', 'moto/organizations/responses.py', 'moto/organizations/exceptions.py', 'moto/organizations/models.py', 'moto/organizations/responses.py']"
moto/apigateway/exceptions.py,"['moto/apigateway/models.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'moto/firehose/models.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_apigateway/test_apigateway_deployments.py', 'tests/test_apigateway/test_apigateway_gatewayresponses.py', 'tests/test_apigateway/test_apigateway_stage.py', 'tests/test_firehose/test_firehose.py', 'moto/__init__.py', 'moto/apigateway/models.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'moto/apigatewayv2/__init__.py', 'moto/apigatewayv2/exceptions.py', 'moto/apigatewayv2/models.py', 'moto/apigatewayv2/responses.py', 'moto/apigatewayv2/urls.py', 'moto/awslambda/models.py', 'moto/awslambda/responses.py', 'moto/awslambda/urls.py', 'scripts/update_backend_index.py', 'setup.py', 'tests/test_apigateway/test_apigateway_vpclink.py', 'tests/test_apigatewayv2/__init__.py', 'tests/test_apigatewayv2/test_apigatewayv2.py', 'tests/test_apigatewayv2/test_apigatewayv2_authorizers.py', 'tests/test_apigatewayv2/test_apigatewayv2_integrationresponses.py', 'tests/test_apigatewayv2/test_apigatewayv2_integrations.py', 'tests/test_apigatewayv2/test_apigatewayv2_models.py', 'tests/test_apigatewayv2/test_apigatewayv2_reimport.py', 'tests/test_apigatewayv2/test_apigatewayv2_routes.py', 'tests/test_apigatewayv2/test_apigatewayv2_tags.py', 'tests/test_apigatewayv2/test_apigatewayv2_vpclinks.py', 'tests/test_apigatewayv2/test_server.py', 'tests/test_awslambda/test_lambda.py', 'moto/apigateway/models.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/models.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/models.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/models.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'moto/apigateway/utils.py', 'moto/core/models.py', 'tests/test_apigateway/test_apigateway_validators.py', 'moto/apigateway/responses.py', 'moto/awslambda/models.py', 'moto/cognitoidentity/responses.py', 'moto/ec2/models.py', 'moto/ec2/regions.py', 'moto/ec2/responses/transit_gateway_attachments.py', 'moto/ec2/responses/transit_gateways.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_cognitoidentity/test_cognitoidentity.py', 'tests/test_ec2/test_transit_gateway.py', 'tests/test_ec2/test_transit_gateway_cloudformation.py', 'tests/test_events/test_events.py', 'moto/apigateway/models.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py']"
moto/apigateway/models.py,"['moto/apigateway/exceptions.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'moto/firehose/models.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_apigateway/test_apigateway_deployments.py', 'tests/test_apigateway/test_apigateway_gatewayresponses.py', 'tests/test_apigateway/test_apigateway_stage.py', 'tests/test_firehose/test_firehose.py', 'moto/__init__.py', 'moto/apigateway/exceptions.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'moto/apigatewayv2/__init__.py', 'moto/apigatewayv2/exceptions.py', 'moto/apigatewayv2/models.py', 'moto/apigatewayv2/responses.py', 'moto/apigatewayv2/urls.py', 'moto/awslambda/models.py', 'moto/awslambda/responses.py', 'moto/awslambda/urls.py', 'scripts/update_backend_index.py', 'setup.py', 'tests/test_apigateway/test_apigateway_vpclink.py', 'tests/test_apigatewayv2/__init__.py', 'tests/test_apigatewayv2/test_apigatewayv2.py', 'tests/test_apigatewayv2/test_apigatewayv2_authorizers.py', 'tests/test_apigatewayv2/test_apigatewayv2_integrationresponses.py', 'tests/test_apigatewayv2/test_apigatewayv2_integrations.py', 'tests/test_apigatewayv2/test_apigatewayv2_models.py', 'tests/test_apigatewayv2/test_apigatewayv2_reimport.py', 'tests/test_apigatewayv2/test_apigatewayv2_routes.py', 'tests/test_apigatewayv2/test_apigatewayv2_tags.py', 'tests/test_apigatewayv2/test_apigatewayv2_vpclinks.py', 'tests/test_apigatewayv2/test_server.py', 'tests/test_awslambda/test_lambda.py', 'moto/core/custom_responses_mock.py', 'moto/core/models.py', 'moto/core/custom_responses_mock.py', 'moto/core/models.py', 'moto/core/responses_custom_registry.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/integration_parsers/__init__.py', 'moto/apigateway/integration_parsers/aws_parser.py', 'moto/apigateway/integration_parsers/http_parser.py', 'moto/apigateway/integration_parsers/unknown_parser.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_apigateway/test_apigateway_integration.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/exceptions.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/exceptions.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/responses.py', 'moto/apigateway/exceptions.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/exceptions.py', 'moto/apigateway/responses.py', 'moto/apigateway/urls.py', 'moto/apigateway/utils.py', 'moto/core/models.py', 'tests/test_apigateway/test_apigateway_validators.py', 'moto/apigateway/responses.py', 'moto/logs/responses.py', 'moto/sagemaker/responses.py', 'moto/transcribe/models.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/responses.py', 'moto/apigateway/responses.py', 'moto/batch/models.py', 'moto/elb/models.py', 'moto/elb/responses.py', 'moto/opsworks/models.py', 'moto/server.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/urls.py', 'moto/awslambda/models.py', 'moto/cloudformation/parsing.py', 'tests/test_apigateway/test_apigateway_cloudformation.py', 'tests/test_apigateway/test_server.py', 'moto/apigateway/exceptions.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py', 'moto/core/models.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_sns/test_publishing_boto3.py', 'moto/core/models.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_sns/test_publishing_boto3.py', 'tests/test_apigateway/test_apigateway.py', 'tests/test_apigateway/test_apigateway.py', 'moto/apigateway/responses.py', 'tests/test_apigateway/test_apigateway.py']"
