key,time,commitTime,PythonfileNum,pythonFile
#8604,2022-02-10 17:12:52,2022-02-10 11:56:41,3,"['netbox/extras/filtersets.py', 'netbox/extras/forms/filtersets.py', 'netbox/extras/tests/test_filtersets.py']"
#8578,2022-02-10 17:12:53,2022-02-10 12:07:09,2,"['netbox/extras/views.py', 'netbox/netbox/views/__init__.py']"
#8499,2022-02-01 20:53:12,2022-02-01 15:14:13,2,"['netbox/extras/api/views.py', 'netbox/extras/tests/test_api.py']"
#8476,2022-01-28 14:37:55,2022-01-28 11:58:29,2,"['netbox/ipam/tables/ip.py', 'netbox/tenancy/views.py']"
#8465,2022-01-28 19:12:50,2022-01-28 14:03:36,2,"['netbox/dcim/api/serializers.py', 'netbox/dcim/tests/test_api.py']"
#8377,2022-01-18 16:32:35,2022-01-18 11:09:12,4,"['netbox/dcim/migrations/0144_fix_cable_abs_length.py', 'netbox/dcim/tables/cables.py', 'netbox/dcim/tables/template_code.py', 'netbox/utilities/utils.py']"
#8367,2022-01-18 21:08:13,2022-01-18 15:36:21,3,"['netbox/ipam/filtersets.py', 'netbox/ipam/tables/ip.py', 'netbox/netbox/constants.py']"
#8358,2022-01-14 19:25:41,2022-01-14 14:23:58,2,"['netbox/extras/forms/customfields.py', 'netbox/utilities/forms/forms.py']"
#8342,2022-01-14 16:48:52,2022-01-13 19:13:28,3,"['netbox/circuits/api/serializers.py', 'netbox/dcim/api/serializers.py', 'netbox/extras/api/serializers.py']"
#8317,2022-01-11 20:38:36,2022-01-11 14:52:47,3,"['netbox/extras/models/customfields.py', 'netbox/extras/tests/test_customfields.py', 'netbox/utilities/forms/fields.py']"
#8314,2022-01-11 20:38:36,2022-01-11 15:02:10,2,"['netbox/extras/forms/customfields.py', 'netbox/extras/models/customfields.py']"
#8305,2022-01-10 20:38:53,2022-01-10 15:26:01,2,"['netbox/ipam/forms/models.py', 'netbox/ipam/tables/fhrp.py']"
#8293,2022-01-13 20:02:22,2022-01-13 15:10:06,2,"['netbox/ipam/models/ip.py', 'netbox/ipam/tables/ip.py']"
#8284,2022-01-08 06:15:36,2022-01-10 08:24:45,2,"['netbox/tenancy/api/serializers.py', 'netbox/tenancy/api/views.py']"
#8262,2022-01-08 06:15:35,2022-01-07 20:02:45,3,"['netbox/tenancy/api/serializers.py', 'netbox/tenancy/api/views.py', 'netbox/tenancy/views.py']"
#8231,2022-01-05 20:14:51,2022-01-05 11:23:11,2,"['netbox/ipam/views.py', 'netbox/netbox/views/generic.py']"
#8224,2022-01-04 18:59:35,2022-01-04 13:49:07,2,"['netbox/ipam/constants.py', 'netbox/ipam/forms/models.py']"
#8201,2022-01-03 15:22:18,2022-01-03 10:07:19,3,"['netbox/extras/migrations/0067_customfield_min_max_values.py', 'netbox/extras/models/customfields.py', 'netbox/extras/tests/test_customfields.py']"
#8194,2021-12-30 18:19:47,2021-12-30 13:19:18,2,"['netbox/users/admin/__init__.py', 'netbox/users/admin/forms.py']"
#8192,2021-12-30 17:03:08,2021-12-30 12:00:37,2,"['netbox/ipam/models/ip.py', 'netbox/ipam/views.py']"
#8187,2021-12-30 14:46:33,2021-12-30 09:41:35,2,"['netbox/utilities/tables.py', 'netbox/utilities/tests/test_tables.py']"
#8101,2021-12-20 18:42:17,2021-12-20 13:41:22,3,"['netbox/netbox/views/generic.py', 'netbox/utilities/templatetags/buttons.py', 'netbox/utilities/utils.py']"
#8097,2021-12-21 16:50:24,2021-12-21 11:53:31,3,"['netbox/dcim/api/views.py', 'netbox/utilities/utils.py', 'netbox/utilities/templatetags/helpers.py']"
#8096,2021-12-18 19:20:30,2021-12-18 14:19:57,2,"['netbox/ipam/models/fhrp.py', 'netbox/netbox/models.py']"
#8088,2021-12-16 17:44:48,2021-12-16 12:44:18,2,"['netbox/utilities/templatetags/helpers.py', 'netbox/utilities/utils.py']"
#8081,2021-12-15 16:56:28,2021-12-15 11:55:27,7,"['netbox/dcim/urls.py', 'netbox/ipam/forms/models.py', 'netbox/ipam/tests/test_views.py', 'netbox/ipam/urls.py', 'netbox/ipam/views.py', 'netbox/netbox/navigation_menu.py', 'netbox/virtualization/urls.py']"
#8057,2021-12-15 14:16:41,2021-12-13 16:51:59,2,"['netbox/netbox/views/generic.py', 'netbox/utilities/htmx.py']"
#8034,2021-12-29 16:57:53,2021-12-29 11:57:27,2,"['netbox/extras/forms/bulk_import.py', 'netbox/extras/tests/test_views.py']"
#8030,2021-12-09 20:20:13,2021-12-09 15:19:19,2,"['netbox/extras/migrations/0066_customfield_name_validation.py', 'netbox/extras/models/customfields.py']"
#8010,2021-12-08 16:09:02,2021-12-08 11:08:19,2,"['netbox/dcim/filtersets.py', 'netbox/dcim/tests/test_filtersets.py']"
#8001,2021-12-08 16:09:01,2021-12-08 10:45:27,2,"['netbox/wireless/migrations/0001_wireless.py', 'netbox/wireless/models.py']"
#7960,2021-12-03 20:14:06,2021-12-03 15:09:56,2,"['netbox/dcim/migrations/0137_relax_uniqueness_constraints.py', 'netbox/dcim/models/sites.py']"
#7925,2021-12-03 16:08:23,2021-12-03 10:51:24,2,"['netbox/tenancy/tables.py', 'netbox/utilities/tables.py']"
#7886,2021-11-19 20:36:49,2021-11-19 15:12:45,9,"['netbox/circuits/forms/filtersets.py', 'netbox/dcim/forms/filtersets.py', 'netbox/extras/forms/customfields.py', 'netbox/extras/forms/filtersets.py', 'netbox/ipam/forms/filtersets.py', 'netbox/tenancy/forms/filtersets.py', 'netbox/utilities/forms/forms.py', 'netbox/virtualization/forms/filtersets.py', 'netbox/wireless/forms/filtersets.py']"
#7884,2021-11-19 16:36:24,2021-11-19 10:27:56,3,"['netbox/dcim/tables/devices.py', 'netbox/dcim/tables/template_code.py', 'netbox/virtualization/tables.py']"
#7880,2021-11-19 16:36:33,2021-11-19 11:34:59,3,"['netbox/dcim/tables/template_code.py', 'netbox/ipam/api/views.py', 'netbox/ipam/models/fhrp.py']"
#7865,2021-11-18 14:35:10,2021-11-18 09:34:41,2,"['netbox/dcim/api/serializers.py', 'netbox/dcim/tests/test_api.py']"
#7864,2021-11-18 14:35:09,2021-11-18 09:27:45,2,"['netbox/dcim/api/serializers.py', 'netbox/dcim/tests/test_api.py']"
#7858,2021-11-17 16:04:15,2021-11-17 11:02:22,4,"['netbox/utilities/forms/fields.py', 'netbox/utilities/tables.py', 'netbox/utilities/testing/base.py', 'netbox/utilities/utils.py']"
#7851,2021-11-17 13:52:08,2021-11-17 08:48:09,2,"['netbox/virtualization/filtersets.py', 'netbox/virtualization/tests/test_filtersets.py']"
#7812,2021-11-17 17:42:14,2021-11-17 11:49:11,3,"['netbox/extras/api/serializers.py', 'netbox/extras/migrations/0065_imageattachment_change_logging.py', 'netbox/extras/models/models.py']"
#7809,2021-11-11 21:28:36,2021-11-11 16:16:54,4,"['netbox/extras/forms/models.py', 'netbox/extras/models/customfields.py', 'netbox/extras/models/models.py', 'netbox/extras/models/tags.py']"
#7771,2021-11-08 13:41:02,2021-11-08 08:34:10,2,"['netbox/tenancy/api/serializers.py', 'netbox/tenancy/tests/test_api.py']"
#7769,2021-11-11 19:45:56,2021-11-11 14:05:35,3,"['netbox/ipam/forms/models.py', 'netbox/ipam/models/fhrp.py', 'netbox/ipam/views.py']"
#7757,2021-11-09 22:10:38,2021-11-09 17:08:28,4,"['netbox/ipam/models/fhrp.py', 'netbox/ipam/views.py', 'netbox/tenancy/models/contacts.py', 'netbox/tenancy/views.py']"
