key,time,commitTime,PythonfileNum,pythonFile
#4752,2022-04-12 08:00:53,2022-04-12 16:00:52,8,"['docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'test/ut/retiarii/test_highlevel_apis.py']"
#4751,2022-04-12 08:00:17,2022-04-12 16:00:16,5,"['nni/common/serializer.py', 'nni/retiarii/execution/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'test/ut/retiarii/test_highlevel_apis.py', 'test/ut/sdk/test_serializer.py']"
#4749,2022-04-12 10:41:24,2022-04-12 18:41:24,10,"['docs/source/conf.py', 'docs/source/tutorials/pruning_quick_start_mnist.py', 'docs/source/tutorials/pruning_speedup.py', 'docs/source/tutorials/quantization_quick_start_mnist.py', 'docs/source/tutorials/quantization_speedup.py', 'examples/tutorials/pruning_quick_start_mnist.py', 'examples/tutorials/pruning_speedup.py', 'examples/tutorials/quantization_quick_start_mnist.py', 'examples/tutorials/quantization_speedup.py', 'examples/tutorials/scripts/compression_mnist_model.py']"
#4747,2022-04-11 05:56:33,2022-04-11 13:56:32,4,"['docs/extension/cardlinkitem.py', 'docs/extension/toctree_check.py', 'docs/source/conf.py', 'nni/algorithms/hpo/pbt_tuner.py']"
#4741,2022-04-07 12:08:51,2022-04-07 20:08:50,2,"['docs/source/conf.py', 'nni/retiarii/nn/pytorch/cell.py']"
#4739,2022-04-07 12:32:56,2022-04-07 20:32:56,4,"['nni/retiarii/experiment/pytorch.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'test/ut/retiarii/test_highlevel_apis.py']"
#4738,2022-04-07 10:29:15,2022-04-07 18:29:14,5,"['examples/nas/multi-trial/mnist/search.py', 'nni/common/version.py', 'nni/retiarii/integration.py', 'nni/retiarii/integration_api.py', 'test/ut/sdk/test_version.py']"
#4726,2022-04-02 01:46:51,2022-04-02 09:46:51,2,"['test/vso_tools/pack_dependencies.py', 'test/vso_tools/unpack_dependencies.py']"
#4721,2022-04-02 01:47:29,2022-04-02 09:47:28,19,"['nni/algorithms/compression/tensorflow/pruning/__init__.py', 'nni/algorithms/compression/tensorflow/pruning/one_shot_pruner.py', 'nni/algorithms/compression/v2/pytorch/base/__init__.py', 'nni/algorithms/compression/v2/pytorch/pruning/__init__.py', 'nni/algorithms/compression/v2/pytorch/pruning/tools/__init__.py', 'nni/algorithms/compression/v2/pytorch/pruning/tools/rl_env/__init__.py', 'nni/algorithms/compression/v2/pytorch/utils/__init__.py', 'nni/algorithms/feature_engineering/gbdt_selector/__init__.py', 'nni/algorithms/feature_engineering/gradient_selector/__init__.py', 'nni/compression/pytorch/quantization/literal.py', 'nni/compression/pytorch/quantization/observers.py', 'nni/compression/pytorch/quantization/settings.py', 'nni/compression/pytorch/quantization/utils.py', 'nni/compression/pytorch/quantization_speedup/__init__.py', 'nni/compression/pytorch/speedup/__init__.py', 'nni/compression/pytorch/utils/__init__.py', 'nni/compression/pytorch/utils/num_param_counter.py', 'nni/experiment/launcher.py', 'setup_ts.py']"
#4718,2022-03-30 12:26:52,2022-03-30 20:26:52,8,"['docs/source/tutorials/pruning_quick_start_mnist.py', 'docs/source/tutorials/quantization_quick_start_mnist.py', 'examples/model_compress/end2end_compression.py', 'examples/model_compress/pruning/basic_pruners_torch.py', 'examples/tutorials/pruning_quick_start_mnist.py', 'examples/tutorials/quantization_quick_start_mnist.py', 'nni/algorithms/compression/pytorch/pruning/dependency_aware_pruner.py', 'nni/algorithms/compression/v2/pytorch/pruning/tools/sparsity_allocator.py']"
#4708,2022-03-28 05:52:50,2022-03-28 13:52:49,2,"['docs/source/conf.py', 'docs/tools/translation_patch.py']"
#4707,2022-03-29 03:21:09,2022-03-29 11:21:08,2,"['docs/source/conf.py', 'nni/algorithms/hpo/tpe_tuner.py']"
#4700,2022-03-25 09:13:23,2022-03-25 17:13:22,3,"['nni/common/hpo_utils/dedup.py', 'nni/runtime/env_vars.py', 'nni/tools/gpu_tool/gpu_metrics_collector.py']"
