file,fileSet
docs/source/conf.py,"['docs/source/tutorials/hello_nas.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'test/ut/retiarii/test_highlevel_apis.py', 'docs/source/tutorials/pruning_quick_start_mnist.py', 'docs/source/tutorials/pruning_speedup.py', 'docs/source/tutorials/quantization_quick_start_mnist.py', 'docs/source/tutorials/quantization_speedup.py', 'examples/tutorials/pruning_quick_start_mnist.py', 'examples/tutorials/pruning_speedup.py', 'examples/tutorials/quantization_quick_start_mnist.py', 'examples/tutorials/quantization_speedup.py', 'examples/tutorials/scripts/compression_mnist_model.py', 'docs/extension/cardlinkitem.py', 'docs/extension/toctree_check.py', 'nni/algorithms/hpo/pbt_tuner.py', 'nni/retiarii/nn/pytorch/cell.py', 'docs/tools/translation_patch.py', 'nni/algorithms/hpo/tpe_tuner.py', 'docs/source/tutorials/hpo_quickstart_pytorch/main.py', 'docs/source/tutorials/hpo_quickstart_pytorch/model.py', 'docs/source/tutorials/hpo_quickstart_tensorflow/main.py', 'docs/source/tutorials/hpo_quickstart_tensorflow/model.py', 'examples/tutorials/hpo_quickstart_pytorch/main.py', 'examples/tutorials/hpo_quickstart_pytorch/model.py', 'examples/tutorials/hpo_quickstart_tensorflow/main.py', 'examples/tutorials/hpo_quickstart_tensorflow/model.py', 'nni/__init__.py', 'nni/algorithms/hpo/curvefitting_assessor/curvefitting_assessor.py', 'nni/algorithms/hpo/gridsearch_tuner.py', 'nni/algorithms/hpo/medianstop_assessor.py', 'nni/algorithms/hpo/random_tuner.py', 'nni/algorithms/hpo/tpe_tuner.py', 'nni/experiment/experiment.py', 'nni/runtime/log.py', 'nni/runtime/platform/standalone.py', 'docs/extension/codesnippetcard.py', 'docs/extension/tutorial_links.py', 'docs/extension/codesnippetcard.py', 'docs/extension/patch_autodoc.py', 'nni/compression/pytorch/speedup/jit_translate.py', 'nni/experiment/config/utils/internal.py', 'nni/experiment/config/utils/public.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/tools/nnictl/nnictl_utils.py', 'docs/extension/tutorial_links.py', 'nni/common/serializer.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/serializer.py', 'docs/source/tutorials/hello_nas.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/hello_nas.py', 'examples/tutorials/nasbench_as_dataset.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/serializer.py', 'nni/retiarii/strategy/__init__.py', 'nni/retiarii/strategy/rl.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/retiarii/utils.py', 'docs/source/tutorials/hpo_quickstart_tensorflow/main.py', 'docs/source/tutorials/hpo_quickstart_tensorflow/model.py', 'examples/tutorials/hpo_quickstart_tensorflow/main.py', 'examples/tutorials/hpo_quickstart_tensorflow/model.py', 'nni/algorithms/hpo/random_tuner.py', 'nni/algorithms/hpo/tpe_tuner.py', 'nni/retiarii/nn/pytorch/hypermodule.py', 'nni/retiarii/nn/pytorch/nn.py', 'nni/retiarii/utils.py', 'nni/typehint.py', 'docs/source/tutorials/hello_nas.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/hello_nas.py', 'examples/tutorials/nasbench_as_dataset.py', 'nni/experiment/launcher.py', 'nni/tools/jupyter_extension/management.py', 'nni/tools/nnictl/legacy_launcher.py', 'nni/tools/nnictl/nnictl.py', 'docs/extension/cardlinkitem.py', 'docs/extension/inplace_translation.py', 'docs/extension/patch_docutils.py', 'docs/source/tutorials/nas_quick_start_mnist.py', 'docs/source/tutorials/nni_experiment.py', 'docs/tools/chineselink.py', 'examples/tutorials/nas_quick_start_mnist.py', 'examples/tutorials/nni_experiment.py', 'examples/tutorials/scripts/trial_sklearn.py']"
docs/source/tutorials/hello_nas.py,"['docs/source/conf.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'test/ut/retiarii/test_highlevel_apis.py', 'docs/source/conf.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/hello_nas.py', 'examples/tutorials/nasbench_as_dataset.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/serializer.py', 'nni/retiarii/strategy/__init__.py', 'nni/retiarii/strategy/rl.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/retiarii/utils.py', 'docs/source/conf.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/hello_nas.py', 'examples/tutorials/nasbench_as_dataset.py']"
examples/tutorials/hello_nas.py,"['docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'test/ut/retiarii/test_highlevel_apis.py', 'docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/nasbench_as_dataset.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/serializer.py', 'nni/retiarii/strategy/__init__.py', 'nni/retiarii/strategy/rl.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/retiarii/utils.py', 'docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/nasbench_as_dataset.py']"
nni/retiarii/evaluator/pytorch/cgo/evaluator.py,"['docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'test/ut/retiarii/test_highlevel_apis.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/execution/cgo_engine.py', 'test/retiarii_test/cgo_mnasnet/test.py', 'test/ut/retiarii/test_cgo_engine.py', 'nni/algorithms/compression/v2/pytorch/utils/constructor_helper.py', 'nni/common/serializer.py', 'nni/retiarii/serializer.py', 'test/ut/retiarii/test_cgo_engine.py', 'test/ut/sdk/test_serializer.py', 'nni/algorithms/compression/v2/pytorch/utils/constructor_helper.py', 'nni/common/serializer.py', 'nni/retiarii/serializer.py', 'test/ut/retiarii/test_cgo_engine.py', 'test/ut/sdk/test_serializer.py', 'nni/retiarii/evaluator/pytorch/cgo/accelerator.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/common/device.py', 'nni/retiarii/codegen/pytorch.py', 'nni/retiarii/evaluator/pytorch/cgo/__init__.py', 'nni/retiarii/evaluator/pytorch/cgo/accelerator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/execution/cgo_engine.py', 'nni/retiarii/execution/logical_optimizer/logical_plan.py', 'nni/retiarii/execution/logical_optimizer/opt_dedup_input.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/graph.py', 'nni/retiarii/integration.py', 'nni/retiarii/operation.py', 'nni/retiarii/operation_def/torch_op_def.py', 'test/retiarii_test/cgo/darts_model.py', 'test/retiarii_test/cgo/ops.py', 'test/retiarii_test/cgo/test.py', 'test/retiarii_test/cgo_mnasnet/base_mnasnet.py', 'test/retiarii_test/cgo_mnasnet/mutator.py', 'test/retiarii_test/cgo_mnasnet/test.py', 'test/retiarii_test/darts/test.py', 'test/ut/retiarii/test_cgo_engine.py', 'test/ut/retiarii/test_engine.py']"
nni/retiarii/evaluator/pytorch/cgo/trainer.py,"['docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'test/ut/retiarii/test_highlevel_apis.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/execution/cgo_engine.py', 'test/retiarii_test/cgo_mnasnet/test.py', 'test/ut/retiarii/test_cgo_engine.py', 'nni/retiarii/evaluator/pytorch/cgo/accelerator.py', 'nni/common/device.py', 'nni/retiarii/codegen/pytorch.py', 'nni/retiarii/evaluator/pytorch/cgo/__init__.py', 'nni/retiarii/evaluator/pytorch/cgo/accelerator.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/execution/cgo_engine.py', 'nni/retiarii/execution/logical_optimizer/logical_plan.py', 'nni/retiarii/execution/logical_optimizer/opt_dedup_input.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/graph.py', 'nni/retiarii/integration.py', 'nni/retiarii/operation.py', 'nni/retiarii/operation_def/torch_op_def.py', 'test/retiarii_test/cgo/darts_model.py', 'test/retiarii_test/cgo/ops.py', 'test/retiarii_test/cgo/test.py', 'test/retiarii_test/cgo_mnasnet/base_mnasnet.py', 'test/retiarii_test/cgo_mnasnet/mutator.py', 'test/retiarii_test/cgo_mnasnet/test.py', 'test/retiarii_test/darts/test.py', 'test/ut/retiarii/test_cgo_engine.py', 'test/ut/retiarii/test_engine.py']"
nni/retiarii/nn/pytorch/cell.py,"['docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'test/ut/retiarii/test_highlevel_apis.py', 'docs/source/conf.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/graph.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/hypermodule.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/strategy/rl.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/retiarii/nn/pytorch/__init__.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/hypermodule.py', 'nni/retiarii/nn/pytorch/mutation_utils.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/nn/pytorch/nn.py', 'nni/retiarii/serializer.py', 'test/ut/retiarii/test_highlevel_apis.py', 'docs/extension/patch_autodoc.py', 'docs/source/conf.py', 'nni/compression/pytorch/speedup/jit_translate.py', 'nni/experiment/config/utils/internal.py', 'nni/experiment/config/utils/public.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/tools/nnictl/nnictl_utils.py', 'docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/hello_nas.py', 'examples/tutorials/nasbench_as_dataset.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/serializer.py', 'nni/retiarii/strategy/__init__.py', 'nni/retiarii/strategy/rl.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/retiarii/utils.py', 'nni/retiarii/codegen/pytorch.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/operation_def/torch_op_def.py', 'test/ut/retiarii/test_highlevel_apis.py']"
nni/retiarii/nn/pytorch/nasbench101.py,"['docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/cell.py', 'test/ut/retiarii/test_highlevel_apis.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/graph.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/hypermodule.py', 'nni/retiarii/strategy/rl.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/retiarii/nn/pytorch/__init__.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/hypermodule.py', 'nni/retiarii/nn/pytorch/mutation_utils.py', 'nni/retiarii/nn/pytorch/nn.py', 'nni/retiarii/serializer.py', 'test/ut/retiarii/test_highlevel_apis.py', 'docs/extension/patch_autodoc.py', 'docs/source/conf.py', 'nni/compression/pytorch/speedup/jit_translate.py', 'nni/experiment/config/utils/internal.py', 'nni/experiment/config/utils/public.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/tools/nnictl/nnictl_utils.py', 'docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'docs/source/tutorials/nasbench_as_dataset.py', 'examples/tutorials/hello_nas.py', 'examples/tutorials/nasbench_as_dataset.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/serializer.py', 'nni/retiarii/strategy/__init__.py', 'nni/retiarii/strategy/rl.py', 'nni/retiarii/strategy/tpe_strategy.py', 'nni/retiarii/utils.py', 'nni/retiarii/codegen/pytorch.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/utils.py', 'test/ut/retiarii/debug_mnist_pytorch.py', 'test/ut/retiarii/test_convert.py', 'test/ut/retiarii/test_convert_basic.py', 'test/ut/retiarii/test_convert_models.py', 'test/ut/retiarii/test_convert_operators.py', 'test/ut/retiarii/test_convert_pytorch.py', 'test/ut/retiarii/test_highlevel_apis.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/utils.py', 'test/ut/retiarii/test_highlevel_apis.py', 'examples/nas/multi-trial/nasbench101/network.py', 'examples/nas/multi-trial/nasbench201/network.py', 'nni/nas/benchmarks/constants.py', 'nni/retiarii/execution/benchmark.py', 'nni/retiarii/execution/python.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/trial_entry.py', 'examples/nas/multi-trial/nasbench101/base_ops.py', 'examples/nas/multi-trial/nasbench101/network.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/nn/pytorch/utils.py', 'nni/retiarii/strategy/bruteforce.py', 'nni/retiarii/utils.py', 'test/ut/retiarii/test_highlevel_apis.py']"
test/ut/retiarii/test_highlevel_apis.py,"['docs/source/conf.py', 'docs/source/tutorials/hello_nas.py', 'examples/tutorials/hello_nas.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/evaluator/pytorch/cgo/trainer.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/common/serializer.py', 'nni/retiarii/execution/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'test/ut/sdk/test_serializer.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/nn/pytorch/__init__.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/hypermodule.py', 'nni/retiarii/nn/pytorch/mutation_utils.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/nn/pytorch/nn.py', 'nni/retiarii/serializer.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/serializer.py', 'nni/retiarii/utils.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/codegen/pytorch.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/utils.py', 'test/ut/retiarii/debug_mnist_pytorch.py', 'test/ut/retiarii/test_convert.py', 'test/ut/retiarii/test_convert_basic.py', 'test/ut/retiarii/test_convert_models.py', 'test/ut/retiarii/test_convert_operators.py', 'test/ut/retiarii/test_convert_pytorch.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/hub/__init__.py', 'nni/retiarii/hub/pytorch/__init__.py', 'nni/retiarii/hub/pytorch/mobilenetv3.py', 'nni/retiarii/hub/pytorch/nasbench101.py', 'nni/retiarii/hub/pytorch/nasbench201.py', 'nni/retiarii/hub/pytorch/nasnet.py', 'nni/retiarii/hub/pytorch/proxylessnas.py', 'nni/retiarii/hub/pytorch/shufflenet.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/mutator.py', 'test/ut/retiarii/test_space_hub.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/graph.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/codegen/pytorch.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/cell.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/operation_def/torch_op_def.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/nn/pytorch/utils.py', 'nni/retiarii/evaluator/functional.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/execution/benchmark.py', 'nni/retiarii/execution/cgo_engine.py', 'nni/retiarii/execution/python.py', 'nni/retiarii/execution/utils.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/integration_api.py', 'nni/retiarii/strategy/local_debug_strategy.py', 'nni/retiarii/strategy/utils.py', 'examples/nas/multi-trial/nasbench201/base_ops.py', 'examples/nas/multi-trial/nasbench201/network.py', 'nni/retiarii/nn/pytorch/component.py', 'docs/en_US/conf.py', 'examples/nas/oneshot/spos/blocks.py', 'examples/nas/oneshot/spos/multi_trial.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/converter/utils.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/graph.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/operation.py', 'nni/retiarii/strategy/bruteforce.py', 'nni/retiarii/strategy/utils.py', 'examples/nas/multi-trial/nasbench101/base_ops.py', 'examples/nas/multi-trial/nasbench101/network.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/nn/pytorch/nasbench101.py', 'nni/retiarii/nn/pytorch/utils.py', 'nni/retiarii/strategy/bruteforce.py', 'nni/retiarii/utils.py', 'nni/retiarii/nn/pytorch/__init__.py', 'nni/retiarii/nn/pytorch/hypermodule.py', 'nni/retiarii/operation_def/torch_op_def.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/__init__.py', 'nni/retiarii/execution/api.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/execution/python.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/graph.py', 'nni/retiarii/integration.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/serializer.py', 'nni/retiarii/trial_entry.py', 'nni/retiarii/utils.py', 'test/ut/retiarii/debug_mnist_pytorch.py', 'test/ut/retiarii/test_engine.py', 'test/ut/retiarii/test_mutator.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/graph.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/operation_def/torch_op_def.py', 'test/ut/retiarii/test_strategy.py', 'nni/retiarii/converter/graph_gen.py', 'nni/retiarii/converter/op_types.py', 'nni/retiarii/nn/pytorch/__init__.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/component.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/nn/pytorch/utils.py']"
nni/common/serializer.py,"['nni/retiarii/execution/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'test/ut/retiarii/test_highlevel_apis.py', 'test/ut/sdk/test_serializer.py', 'docs/extension/tutorial_links.py', 'docs/source/conf.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/serializer.py', 'nni/algorithms/compression/v2/pytorch/utils/constructor_helper.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/serializer.py', 'test/ut/retiarii/test_cgo_engine.py', 'test/ut/sdk/test_serializer.py', 'test/ut/sdk/imported/_test_serializer_py38.py', 'test/ut/sdk/test_serializer.py', 'test/ut/sdk/test_serializer.py', 'nni/retiarii/evaluator/functional.py', 'nni/retiarii/evaluator/pytorch/lightning.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/execution/python.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/graph.py', 'nni/retiarii/integration.py', 'nni/retiarii/nn/pytorch/mutator.py', 'test/ut/retiarii/test_graph.py', 'nni/algorithms/compression/v2/pytorch/utils/constructor_helper.py', 'nni/retiarii/evaluator/pytorch/cgo/evaluator.py', 'nni/retiarii/serializer.py', 'test/ut/retiarii/test_cgo_engine.py', 'test/ut/sdk/test_serializer.py', 'examples/nas/multi-trial/mnist/search.py', 'nni/retiarii/integration.py', 'nni/retiarii/serializer.py', 'test/ut/sdk/test_serializer.py', 'examples/model_compress/pruning/v2/activation_pruning_torch.py', 'examples/model_compress/pruning/v2/admm_pruning_torch.py', 'examples/model_compress/pruning/v2/auto_compress_pruner.py', 'examples/model_compress/pruning/v2/fpgm_pruning_torch.py', 'examples/model_compress/pruning/v2/iterative_pruning_torch.py', 'examples/model_compress/pruning/v2/level_pruning_torch.py', 'examples/model_compress/pruning/v2/movement_pruning_glue.py', 'examples/model_compress/pruning/v2/norm_pruning_torch.py', 'examples/model_compress/pruning/v2/slim_pruning_torch.py', 'examples/model_compress/pruning/v2/taylorfo_pruning_torch.py', 'nni/algorithms/compression/v2/pytorch/base/compressor.py', 'nni/algorithms/compression/v2/pytorch/pruning/auto_compress_pruner.py', 'nni/algorithms/compression/v2/pytorch/pruning/basic_pruner.py', 'nni/algorithms/compression/v2/pytorch/pruning/iterative_pruner.py', 'nni/algorithms/compression/v2/pytorch/pruning/movement_pruner.py', 'nni/algorithms/compression/v2/pytorch/pruning/tools/base.py', 'nni/algorithms/compression/v2/pytorch/pruning/tools/sparsity_allocator.py', 'nni/algorithms/compression/v2/pytorch/pruning/tools/task_generator.py', 'nni/algorithms/compression/v2/pytorch/utils/__init__.py', 'nni/algorithms/compression/v2/pytorch/utils/constructor_helper.py', 'test/ut/compression/v2/test_iterative_pruner_torch.py', 'test/ut/compression/v2/test_pruner_torch.py', 'test/ut/compression/v2/test_pruning_tools_torch.py', 'nni/__init__.py', 'test/ut/sdk/test_serializer.py']"
nni/retiarii/execution/api.py,"['nni/common/serializer.py', 'nni/retiarii/nn/pytorch/mutator.py', 'test/ut/retiarii/test_highlevel_apis.py', 'test/ut/sdk/test_serializer.py', 'nni/retiarii/__init__.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/execution/python.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/graph.py', 'nni/retiarii/integration.py', 'nni/retiarii/mutator.py', 'nni/retiarii/nn/pytorch/api.py', 'nni/retiarii/nn/pytorch/mutator.py', 'nni/retiarii/serializer.py', 'nni/retiarii/trial_entry.py', 'nni/retiarii/utils.py', 'test/ut/retiarii/debug_mnist_pytorch.py', 'test/ut/retiarii/test_engine.py', 'test/ut/retiarii/test_highlevel_apis.py', 'test/ut/retiarii/test_mutator.py', 'nni/retiarii/execution/base.py', 'nni/retiarii/execution/cgo_engine.py', 'nni/retiarii/execution/interface.py', 'nni/retiarii/experiment/pytorch.py', 'nni/retiarii/strategy/tpe_strategy.py', 'test/ut/retiarii/test_strategy.py']"
