key,time,commitTime,PythonfileNum,pythonFile
#7853,2022-02-24 00:12:44,2022-02-22 11:19:36,2,"['numba/np/arraymath.py', 'numba/tests/test_array_reductions.py']"
#7815,2022-02-18 20:31:06,2022-02-11 09:47:13,2,"['numba/cuda/compiler.py', 'numba/cuda/dispatcher.py']"
#7792,2022-02-02 16:31:42,2022-01-31 18:22:07,5,"['numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py']"
#7791,2022-02-02 16:31:42,2022-01-31 18:22:07,5,"['numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py']"
#7787,2022-01-26 13:56:37,2022-01-26 12:36:53,2,"['numba/tests/gdb/test_array_arg.py', 'numba/tests/test_gdb_dwarf.py']"
#7752,2022-01-25 00:54:04,2022-01-26 12:36:53,2,"['numba/tests/gdb/test_array_arg.py', 'numba/tests/test_gdb_dwarf.py']"
#7730,2022-01-26 20:48:02,2022-01-14 12:51:40,3,"['numba/core/errors.py', 'numba/core/lowering.py', 'numba/tests/test_debuginfo.py']"
#7726,2022-01-26 17:07:25,2022-01-12 15:57:57,2,"['numba/core/debuginfo.py', 'numba/tests/test_debuginfo.py']"
#7642,2021-12-13 23:19:30,2021-12-10 13:45:12,2,"['numba/core/debuginfo.py', 'numba/tests/test_debuginfo.py']"
#7607,2022-01-21 23:17:09,2021-12-03 14:50:11,2,"['numba/cuda/decorators.py', 'numba/cuda/tests/cudadrv/test_linker.py']"
#7600,2021-12-07 00:09:29,2021-11-29 12:07:54,2,"['numba/misc/numba_sysinfo.py', 'numba/np/ufunc/parallel.py']"
#7545,2021-11-18 22:21:03,2021-11-09 10:01:19,2,"['numba/core/typing/builtins.py', 'numba/tests/test_dictobject.py']"
#7517,2021-11-02 22:03:32,2021-11-01 14:11:26,2,"['numba/core/targetconfig.py', 'numba/tests/test_compiler_flags.py']"
#7507,2021-11-24 00:04:03,2021-11-18 12:27:28,2,"['numba/core/base.py', 'numba/tests/test_practical_lowering_issues.py']"
#7496,2021-11-04 21:32:21,2021-11-02 17:39:40,2,"['numba/cuda/types.py', 'numba/cuda/compiler.py']"
#7474,2021-10-11 22:37:54,2021-10-11 10:57:50,2,"['numba/cpython/unicode.py', 'numba/tests/test_unicode.py']"
#7460,2021-12-15 00:12:19,2021-12-14 15:29:42,4,"['numba/core/itanium_mangler.py', 'numba/cuda/cudaimpl.py', 'numba/cuda/testing.py', 'numba/cuda/tests/cudapy/test_intrinsics.py']"
#7420,2021-10-27 20:00:02,2021-09-20 12:52:43,3,"['numba/core/config.py', 'numba/core/ir_utils.py', 'numba/core/postproc.py']"
#7394,2021-11-01 23:34:02,2021-09-10 15:13:31,4,"['numba/core/inline_closurecall.py', 'numba/cpython/rangeobj.py', 'numba/tests/test_comprehension.py', 'numba/tests/test_range.py']"
#7380,2021-11-19 23:32:10,2021-11-11 18:20:26,6,"['numba/core/inline_closurecall.py', 'numba/core/ir_utils.py', 'numba/tests/support.py', 'numba/tests/test_closure.py', 'numba/tests/test_copy_propagate.py', 'numba/tests/test_ir_inlining.py']"
#7365,2021-11-19 23:32:10,2021-11-11 18:20:26,6,"['numba/core/inline_closurecall.py', 'numba/core/ir_utils.py', 'numba/tests/support.py', 'numba/tests/test_closure.py', 'numba/tests/test_copy_propagate.py', 'numba/tests/test_ir_inlining.py']"
#7359,2021-12-07 00:09:17,2021-12-06 17:56:43,2,"['numba/np/arrayobj.py', 'numba/core/base.py']"
#7356,2021-09-21 22:33:46,2021-09-20 18:34:07,3,"['numba/tests/test_serialize.py', 'numba/cloudpickle/cloudpickle.py', 'numba/cloudpickle/cloudpickle_fast.py']"
#7355,2021-09-27 14:44:22,2021-09-21 15:07:12,3,"['numba/tests/test_record_dtype.py', 'numba/core/types/npytypes.py', 'numba/tests/test_ndarray_subclasses.py']"
#7295,2021-08-19 20:36:21,2021-08-10 16:52:35,2,"['numba/core/lowering.py', 'numba/tests/test_generators.py']"
#7286,2021-08-19 20:36:15,2021-08-06 10:19:08,2,"['numba/stencils/stencil.py', 'numba/tests/test_stencils.py']"
#7280,2021-08-17 22:36:37,2021-08-09 13:43:20,3,"['numba/tests/support.py', 'numba/tests/test_parallel_backend.py', 'numba/tests/test_pycc.py']"
#7276,2021-10-14 22:32:15,2021-09-29 11:47:28,3,"['numba/core/dispatcher.py', 'numba/tests/parfors_max_label_error.py', 'numba/tests/test_retargeting.py']"
#7258,2021-08-04 17:08:38,2021-08-03 20:39:38,2,"['numba/tests/test_ssa.py', 'numba/core/lowering.py']"
#7214,2021-08-11 20:04:25,2021-07-20 12:40:08,3,"['numba/cuda/decorators.py', 'numba/cuda/tests/cudapy/test_debuginfo.py', 'numba/cuda/tests/cudapy/test_warning.py']"
#7180,2021-07-30 19:31:04,2021-07-22 11:07:21,3,"['numba/cuda/api.py', 'numba/cuda/testing.py', 'numba/cuda/tests/cudadrv/test_managed_alloc.py']"
#7178,2021-07-28 23:37:40,2021-07-06 21:22:09,2,"['numba/cuda/testing.py', 'numba/cuda/tests/cudapy/test_ipc.py']"
#7158,2021-06-29 18:58:04,2021-06-29 12:52:28,3,"['numba/core/compiler.py', 'numba/core/typed_passes.py', 'numba/tests/test_withlifting.py']"
#7150,2021-10-18 22:03:28,2021-09-29 13:31:30,3,"['numba/core/types/functions.py', 'numba/core/typing/context.py', 'numba/core/utils.py']"
#7136,2021-06-24 19:26:51,2021-06-24 17:34:11,2,"['numba/tests/test_dispatcher.py', 'numba/tests/test_extending.py']"
#7131,2021-10-06 23:08:29,2021-06-21 15:18:14,3,"['numba/core/types/functions.py', 'numba/np/arrayobj.py', 'numba/tests/test_array_methods.py']"
#7120,2021-11-24 00:00:58,2021-08-17 10:55:02,4,"['numba/core/typeinfer.py', 'numba/core/typing/arraydecl.py', 'numba/tests/test_globals.py', 'numba/tests/test_indexing.py']"
#7111,2021-11-22 23:03:16,2021-07-05 21:36:40,4,"['numba/core/base.py', 'numba/core/types/abstract.py', 'numba/core/types/functions.py', 'numba/core/types/misc.py']"
#7041,2021-11-19 23:31:44,2021-05-26 10:46:46,2,"['numba/cuda/target.py', 'numba/cuda/tests/cudapy/test_const_string.py']"
#7017,2021-05-12 20:42:40,2021-05-12 10:11:25,2,"['numba/core/serialize.py', 'numba/tests/test_parallel_backend.py']"
#6979,2021-06-22 19:59:35,2021-04-28 13:55:18,2,"['numba/cpython/numbers.py', 'numba/tests/test_globals.py']"
#6970,2021-04-23 21:58:17,2021-04-23 17:43:27,3,"['numba/cuda/compiler.py', 'numba/cuda/initialize.py', 'numba/cuda/target.py']"
#6969,2021-05-25 22:43:59,2021-05-14 14:31:26,2,"['numba/core/inline_closurecall.py', 'numba/core/ssa.py']"
#6919,2021-04-19 22:30:00,2021-04-12 22:05:59,4,"['numba/cuda/cudadecl.py', 'numba/cuda/cudaimpl.py', 'numba/cuda/stubs.py', 'numba/cuda/tests/cudapy/test_intrinsics.py']"
#6907,2021-06-25 18:55:06,2021-04-12 12:29:36,2,"['numba/core/types/misc.py', 'numba/tests/test_conversion.py']"
#6903,2021-05-26 21:20:01,2021-04-28 20:57:09,3,"['numba/core/typing/npydecl.py', 'numba/np/npyimpl.py', 'numba/tests/npyufunc/test_ufunc.py']"
#6879,2021-04-19 22:29:53,2021-04-12 22:51:04,2,"['numba/cuda/tests/cudapy/test_localmem.py', 'numba/cuda/tests/cudapy/test_sm_creation.py']"
#6841,2021-06-23 21:51:27,2021-06-21 11:31:04,2,"['numba/cuda/compiler.py', 'numba/cuda/tests/cudapy/test_debuginfo.py']"
#6840,2021-05-24 21:43:56,2021-05-20 11:26:07,2,"['numba/cuda/tests/cudapy/test_constmem.py', 'numba/cuda/tests/cudapy/test_cooperative_groups.py']"
#6830,2021-03-17 19:53:12,2021-03-17 12:03:10,2,"['numba/misc/dummyarray.py', 'numba/cuda/tests/cudadrv/test_cuda_ndarray.py']"
#6827,2021-03-17 19:53:35,2021-03-15 21:43:14,2,"['numba/cuda/cudadrv/devicearray.py', 'numba/cuda/tests/cudapy/test_cuda_array_interface.py']"
#6824,2021-03-17 19:53:12,2021-03-16 14:21:42,4,"['numba/core/config.py', 'numba/cuda/tests/cudadrv/test_cuda_ndarray.py', 'numba/misc/dummyarray.py', 'numba/tests/test_dummyarray.py']"
#6821,2021-03-23 22:55:51,2021-03-15 14:45:59,2,"['numba/np/ufunc/gufunc.py', 'numba/tests/npyufunc/test_gufunc.py']"
#6802,2021-05-25 22:42:59,2021-05-25 11:44:40,2,"['numba/cuda/cudadrv/nvvm.py', 'numba/cuda/decorators.py']"
#6773,2021-03-04 00:17:42,2021-03-02 16:49:41,2,"['numba/np/ufunc/gufunc.py', 'numba/tests/npyufunc/test_gufunc.py']"
#6768,2021-03-17 19:53:22,2021-03-16 09:33:49,3,"['numba/np/arrayobj.py', 'numba/tests/test_array_methods.py', 'numba/tests/test_dyn_array.py']"
#6719,2021-02-19 23:57:31,2021-02-15 13:03:23,3,"['numba/cuda/codegen.py', 'numba/cuda/cudadrv/nvvm.py', 'numba/cuda/tests/cudapy/test_compiler.py']"
#6715,2021-02-24 21:17:00,2021-02-11 14:58:29,2,"['numba/core/ir_utils.py', 'numba/tests/test_remove_dead.py']"
