file,fileSet
numba/np/arraymath.py,"['numba/tests/test_array_reductions.py', 'numba/tests/test_np_functions.py', 'numba/tests/test_array_reductions.py']"
numba/tests/test_array_reductions.py,"['numba/np/arraymath.py', 'numba/np/arraymath.py', 'numba/core/lowering.py', 'numba/core/removerefctpass.py', 'numba/tests/test_nrt.py']"
numba/cuda/compiler.py,"['numba/cuda/dispatcher.py', 'numba/cuda/types.py', 'numba/cuda/initialize.py', 'numba/cuda/target.py', 'numba/cuda/tests/cudapy/test_debuginfo.py', 'numba/cuda/cudadrv/devicearray.py', 'numba/cuda/cudadrv/driver.py', 'numba/cuda/decorators.py', 'numba/cuda/simulator/cudadrv/devicearray.py', 'numba/cuda/tests/cudadrv/test_runtime.py', 'numba/core/types/functions.py', 'numba/core/typing/templates.py', 'numba/cuda/tests/cudapy/test_errors.py', 'numba/tests/test_errorhandling.py', 'numba/core/types/functions.py', 'numba/core/typing/templates.py', 'numba/cuda/tests/cudapy/test_errors.py', 'numba/tests/test_errorhandling.py', 'numba/cuda/codegen.py', 'numba/cuda/cudadrv/nvvm.py', 'numba/cuda/tests/cudapy/test_debuginfo.py', 'numba/cuda/tests/cudapy/test_array_args.py', 'numba/core/bytecode.py', 'numba/core/caching.py', 'numba/core/callwrapper.py', 'numba/core/compiler.py', 'numba/core/cpu.py', 'numba/core/dispatcher.py', 'numba/core/environment.py', 'numba/core/extending.py', 'numba/core/ir.py', 'numba/core/lowering.py', 'numba/core/pythonapi.py', 'numba/core/serialize.py', 'numba/np/ufunc/dufunc.py', 'numba/np/ufunc/ufuncbuilder.py', 'numba/tests/test_dispatcher.py', 'numba/tests/test_extending.py', 'numba/tests/test_withlifting.py', 'numba/typed/typeddict.py']"
numba/cuda/dispatcher.py,['numba/cuda/compiler.py']
numba/core/config.py,"['numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py', 'numba/core/ir_utils.py', 'numba/core/postproc.py', 'numba/cuda/tests/cudadrv/test_cuda_ndarray.py', 'numba/misc/dummyarray.py', 'numba/tests/test_dummyarray.py', 'numba/cuda/tests/cudadrv/test_cuda_ndarray.py', 'numba/misc/dummyarray.py', 'numba/tests/test_dummyarray.py']"
numba/misc/numba_gdbinfo.py,"['numba/core/config.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py', 'numba/core/config.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py']"
numba/tests/gdb/test_pretty_print.py,"['numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py', 'numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb_support.py', 'numba/tests/test_cli.py']"
numba/tests/gdb_support.py,"['numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/test_cli.py', 'numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/test_cli.py']"
numba/tests/test_cli.py,"['numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py', 'numba/core/config.py', 'numba/misc/numba_gdbinfo.py', 'numba/tests/gdb/test_pretty_print.py', 'numba/tests/gdb_support.py']"
numba/tests/gdb/test_array_arg.py,"['numba/tests/test_gdb_dwarf.py', 'numba/tests/test_gdb_dwarf.py']"
