key,time,commitTime,PythonfileNum,pythonFile
#46078,2022-02-20 09:49:26,2022-02-20 01:49:26,4,"['pandas/core/window/rolling.py', 'pandas/tests/window/test_groupby.py', 'pandas/tests/window/test_rolling.py', 'pandas/tests/window/test_timeseries_window.py']"
#46065,2022-02-19 20:53:29,2022-02-20 01:49:26,4,"['pandas/core/window/rolling.py', 'pandas/tests/window/test_groupby.py', 'pandas/tests/window/test_rolling.py', 'pandas/tests/window/test_timeseries_window.py']"
#46012,2022-02-16 13:14:54,2022-02-16 05:14:54,2,"['pandas/tests/dtypes/test_inference.py', 'pandas/tests/dtypes/test_missing.py']"
#46009,2022-02-16 13:33:13,2022-02-16 05:33:13,3,"['pandas/tests/extension/arrow/arrays.py', 'pandas/tests/extension/arrow/test_bool.py', 'pandas/tests/extension/arrow/test_timestamp.py']"
#46007,2022-02-16 13:31:02,2022-02-16 14:31:02,2,"['pandas/core/internals/blocks.py', 'pandas/tests/io/formats/test_to_csv.py']"
#46006,2022-02-16 13:35:33,2022-02-16 14:35:33,2,"['pandas/core/arrays/period.py', 'pandas/tests/extension/test_period.py']"
#45997,2022-02-16 13:36:22,2022-02-16 05:36:21,7,"['pandas/core/arrays/floating.py', 'pandas/core/arrays/integer.py', 'pandas/core/arrays/numeric.py', 'pandas/core/arrays/string_.py', 'pandas/core/groupby/ops.py', 'pandas/io/stata.py', 'pandas/tests/frame/methods/test_astype.py']"
#45996,2022-02-15 18:55:09,2022-02-15 10:55:08,5,"['pandas/_testing/contexts.py', 'pandas/tests/io/parser/common/test_file_buffer_url.py', 'pandas/tests/io/parser/test_encoding.py', 'pandas/tests/io/pytables/conftest.py', 'pandas/tests/io/test_pickle.py']"
#45992,2022-02-15 02:09:48,2022-02-14 18:09:48,16,"['pandas/plotting/_matplotlib/compat.py', 'pandas/plotting/_matplotlib/core.py', 'pandas/plotting/_matplotlib/tools.py', 'pandas/tests/plotting/common.py', 'pandas/tests/plotting/conftest.py', 'pandas/tests/plotting/frame/test_frame.py', 'pandas/tests/plotting/frame/test_frame_color.py', 'pandas/tests/plotting/frame/test_frame_groupby.py', 'pandas/tests/plotting/frame/test_frame_subplots.py', 'pandas/tests/plotting/frame/test_hist_box_by.py', 'pandas/tests/plotting/test_boxplot_method.py', 'pandas/tests/plotting/test_converter.py', 'pandas/tests/plotting/test_datetimelike.py', 'pandas/tests/plotting/test_hist_method.py', 'pandas/tests/plotting/test_misc.py', 'pandas/tests/plotting/test_series.py']"
#45988,2022-02-15 00:57:56,2022-02-14 16:57:55,8,"['pandas/tests/arrays/categorical/conftest.py', 'pandas/tests/arrays/categorical/test_api.py', 'pandas/tests/arrays/categorical/test_indexing.py', 'pandas/tests/arrays/categorical/test_operators.py', 'pandas/tests/arrays/categorical/test_repr.py', 'pandas/tests/arrays/sparse/test_arithmetics.py', 'pandas/tests/arrays/sparse/test_constructors.py', 'pandas/tests/arrays/sparse/test_unary.py']"
#45987,2022-02-15 01:00:55,2022-02-14 20:00:54,5,"['pandas/conftest.py', 'pandas/core/groupby/groupby.py', 'pandas/tests/groupby/conftest.py', 'pandas/tests/groupby/test_size.py', 'pandas/tests/groupby/transform/test_transform.py']"
#45985,2022-02-16 13:34:55,2022-02-16 14:34:55,2,"['pandas/core/indexes/base.py', 'pandas/tests/indexes/base_class/test_indexing.py']"
#45983,2022-02-16 13:06:37,2022-02-16 14:06:37,3,"['pandas/core/generic.py', 'pandas/tests/frame/methods/test_drop.py', 'pandas/tests/series/methods/test_drop.py']"
#45976,2022-02-14 04:55:01,2022-02-13 20:55:00,10,"['pandas/tests/apply/test_str.py', 'pandas/tests/arithmetic/test_numeric.py', 'pandas/tests/arithmetic/test_timedelta64.py', 'pandas/tests/frame/test_query_eval.py', 'pandas/tests/indexes/test_setops.py', 'pandas/tests/io/parser/test_parse_dates.py', 'pandas/tests/io/test_html.py', 'pandas/tests/series/test_ufunc.py', 'pandas/tests/test_multilevel.py', 'pandas/tests/test_nanops.py']"
#45967,2022-02-17 16:06:46,2022-02-17 08:06:46,4,"['pandas/core/array_algos/putmask.py', 'pandas/core/internals/blocks.py', 'pandas/tests/frame/indexing/test_where.py', 'pandas/tests/series/indexing/test_setitem.py']"
#45956,2022-02-15 00:57:13,2022-02-14 16:57:13,3,"['pandas/core/algorithms.py', 'pandas/core/arrays/masked.py', 'pandas/core/dtypes/dtypes.py']"
#45954,2022-02-16 13:27:30,2022-02-16 08:27:30,2,"['pandas/core/common.py', 'pandas/tests/test_common.py']"
#45951,2022-02-15 00:56:45,2022-02-14 16:56:44,3,"['pandas/core/arrays/boolean.py', 'pandas/core/arrays/masked.py', 'pandas/core/arrays/numeric.py']"
#45949,2022-02-15 00:58:51,2022-02-14 16:58:51,9,"['pandas/_testing/_io.py', 'pandas/tests/io/excel/test_readers.py', 'pandas/tests/io/json/test_pandas.py', 'pandas/tests/io/parser/common/test_file_buffer_url.py', 'pandas/tests/io/parser/test_network.py', 'pandas/tests/io/test_feather.py', 'pandas/tests/io/test_html.py', 'pandas/tests/io/test_parquet.py', 'pandas/tests/io/xml/test_xml.py']"
#45947,2022-02-12 18:33:19,2022-02-12 10:33:18,2,"['pandas/tests/tseries/frequencies/test_inference.py', 'pandas/tseries/frequencies.py']"
#45931,2022-02-17 16:02:12,2022-02-17 11:02:11,2,"['asv_bench/benchmarks/multiindex_object.py', 'pandas/core/indexes/multi.py']"
#45928,2022-02-15 17:54:34,2022-02-15 23:24:32,9,"['pandas/core/shared_docs.py', 'pandas/io/common.py', 'pandas/io/excel/_base.py', 'pandas/io/excel/_odfreader.py', 'pandas/io/excel/_openpyxl.py', 'pandas/io/excel/_pyxlsb.py', 'pandas/io/excel/_xlrd.py', 'pandas/io/formats/xml.py', 'pandas/io/xml.py']"
#45925,2022-02-11 10:12:13,2022-02-11 02:12:13,2,"['pandas/core/window/rolling.py', 'pandas/tests/window/test_apply.py']"
#45920,2022-02-11 00:55:01,2022-02-10 19:55:01,2,"['pandas/core/generic.py', 'pandas/plotting/_core.py']"
#45910,2022-02-10 14:17:24,2022-02-10 06:17:24,5,"['pandas/conftest.py', 'pandas/tests/frame/indexing/test_where.py', 'pandas/tests/io/parser/test_parse_dates.py', 'pandas/tests/tseries/offsets/test_offsets_properties.py', 'pandas/tests/tseries/offsets/test_ticks.py']"
#45906,2022-02-11 01:01:32,2022-02-10 17:01:31,2,"['pandas/tests/frame/test_reductions.py', 'pandas/tests/generic/test_generic.py']"
#45864,2022-02-15 05:29:02,2022-02-14 21:29:01,3,"['pandas/tests/tslibs/test_api.py', 'pandas/tests/tslibs/test_ctime.py', 'setup.py']"
#45862,2022-02-07 23:35:54,2022-02-07 15:35:54,7,"['pandas/tests/arithmetic/test_timedelta64.py', 'pandas/tests/arrays/sparse/test_indexing.py', 'pandas/tests/frame/indexing/test_indexing.py', 'pandas/tests/frame/test_arithmetic.py', 'pandas/tests/frame/test_stack_unstack.py', 'pandas/tests/indexes/period/test_tools.py', 'pandas/tests/io/parser/test_textreader.py']"
#45854,2022-02-09 00:28:39,2022-02-08 19:28:38,2,"['asv_bench/benchmarks/frame_ctor.py', 'pandas/core/dtypes/cast.py']"
#45852,2022-02-09 00:29:01,2022-02-08 16:29:01,3,"['pandas/core/frame.py', 'pandas/core/groupby/ops.py', 'pandas/core/internals/concat.py']"
#45849,2022-02-09 01:29:06,2022-02-08 17:29:05,5,"['pandas/core/arrays/boolean.py', 'pandas/core/arrays/masked.py', 'pandas/core/arrays/numeric.py', 'pandas/tests/arrays/boolean/test_arithmetic.py', 'pandas/tests/arrays/masked/test_arithmetic.py']"
#45845,2022-02-10 21:22:24,2022-02-10 13:22:24,14,"['pandas/conftest.py', 'pandas/core/indexes/base.py', 'pandas/core/indexes/numeric.py', 'pandas/tests/arrays/categorical/test_constructors.py', 'pandas/tests/base/test_misc.py', 'pandas/tests/groupby/test_groupby.py', 'pandas/tests/indexes/multi/test_setops.py', 'pandas/tests/indexes/test_any_index.py', 'pandas/tests/indexes/test_base.py', 'pandas/tests/indexes/test_common.py', 'pandas/tests/indexes/test_numpy_compat.py', 'pandas/tests/indexes/test_setops.py', 'pandas/tests/indexing/test_coercion.py', 'pandas/tests/series/methods/test_value_counts.py']"
#45844,2022-02-09 00:58:14,2022-02-08 16:58:14,4,"['pandas/core/dtypes/cast.py', 'pandas/tests/indexing/test_coercion.py', 'pandas/tests/series/indexing/test_setitem.py', 'pandas/tests/series/methods/test_fillna.py']"
#45843,2022-02-06 20:12:47,2022-02-06 12:12:46,12,"['pandas/conftest.py', 'pandas/tests/apply/test_str.py', 'pandas/tests/frame/indexing/test_where.py', 'pandas/tests/frame/methods/test_shift.py', 'pandas/tests/indexes/period/test_constructors.py', 'pandas/tests/indexing/test_loc.py', 'pandas/tests/io/json/test_json_table_schema.py', 'pandas/tests/io/parser/test_parse_dates.py', 'pandas/tests/io/pytables/test_round_trip.py', 'pandas/tests/io/pytables/test_select.py', 'pandas/tests/io/test_fsspec.py', 'pandas/tests/io/test_parquet.py']"
#45842,2022-02-07 13:51:34,2022-02-07 05:51:34,5,"['pandas/tests/arrays/sparse/test_array.py', 'pandas/tests/base/test_constructors.py', 'pandas/tests/indexes/test_frozen.py', 'pandas/tests/window/test_groupby.py', 'pandas/tests/window/test_timeseries_window.py']"
#45838,2022-02-09 08:04:41,2022-02-09 03:04:41,3,"['asv_bench/benchmarks/join_merge.py', 'pandas/core/reshape/merge.py', 'pandas/tests/reshape/merge/test_merge.py']"
#45837,2022-02-11 19:46:51,2022-02-11 11:46:50,6,"['pandas/core/arrays/boolean.py', 'pandas/core/dtypes/cast.py', 'pandas/core/internals/blocks.py', 'pandas/tests/arrays/boolean/test_construction.py', 'pandas/tests/dtypes/cast/test_downcast.py', 'pandas/tests/frame/indexing/test_where.py']"
#45826,2022-02-04 21:37:55,2022-02-04 13:37:55,4,"['pandas/tests/frame/test_nonunique_indexes.py', 'pandas/tests/frame/test_reductions.py', 'pandas/tests/io/sas/test_sas7bdat.py', 'pandas/tests/series/indexing/test_xs.py']"
#45820,2022-02-04 16:37:14,2022-02-04 11:37:13,2,"['pandas/core/groupby/generic.py', 'pandas/tests/groupby/transform/test_transform.py']"
#45817,2022-02-09 01:28:42,2022-02-08 17:28:42,4,"['pandas/core/construction.py', 'pandas/core/dtypes/astype.py', 'pandas/core/internals/construction.py', 'pandas/tests/frame/test_constructors.py']"
#45812,2022-02-04 15:53:00,2022-02-04 07:53:00,8,"['pandas/compat/__init__.py', 'pandas/tests/io/conftest.py', 'pandas/tests/io/parser/test_network.py', 'pandas/tests/io/test_user_agent.py', 'pandas/tests/io/xml/test_xml.py', 'pandas/tests/test_sorting.py', 'pandas/tests/window/test_numba.py', 'pandas/tests/window/test_online.py']"
#45808,2022-02-04 21:18:23,2022-02-04 22:18:23,2,"['pandas/io/formats/style.py', 'pandas/tests/io/formats/style/test_highlight.py']"
#45796,2022-02-04 16:05:18,2022-02-04 08:05:18,2,"['pandas/core/internals/blocks.py', 'pandas/tests/indexing/test_coercion.py']"
#45795,2022-02-06 22:34:09,2022-02-06 17:34:08,9,"['pandas/io/excel/_base.py', 'pandas/io/excel/_odswriter.py', 'pandas/io/excel/_openpyxl.py', 'pandas/io/excel/_xlsxwriter.py', 'pandas/io/excel/_xlwt.py', 'pandas/io/formats/excel.py', 'pandas/tests/io/excel/test_openpyxl.py', 'pandas/tests/io/excel/test_writers.py', 'pandas/tests/io/excel/test_xlwt.py']"
#45794,2022-02-04 21:39:02,2022-02-04 16:39:01,2,"['pandas/io/excel/_odswriter.py', 'pandas/tests/io/excel/test_writers.py']"
#45791,2022-02-03 03:05:37,2022-02-02 19:05:37,3,"['pandas/core/generic.py', 'pandas/core/internals/blocks.py', 'pandas/tests/frame/methods/test_interpolate.py']"
#45785,2022-02-09 00:25:51,2022-02-09 01:25:51,2,"['pandas/core/indexes/multi.py', 'pandas/tests/frame/indexing/test_indexing.py']"
#45784,2022-02-03 03:01:03,2022-02-03 04:01:03,2,"['pandas/core/indexing.py', 'pandas/tests/series/indexing/test_indexing.py']"
#45768,2022-02-02 02:54:11,2022-02-01 18:54:10,5,"['pandas/core/internals/blocks.py', 'pandas/tests/arrays/interval/test_interval.py', 'pandas/tests/arrays/test_period.py', 'pandas/tests/frame/indexing/test_where.py', 'pandas/tests/series/indexing/test_setitem.py']"
#45767,2022-02-02 00:31:48,2022-02-01 16:31:48,5,"['pandas/core/indexes/base.py', 'pandas/core/indexes/datetimelike.py', 'pandas/core/indexes/interval.py', 'pandas/core/indexes/multi.py', 'pandas/core/indexes/numeric.py']"
#45750,2022-02-01 22:09:43,2022-02-01 14:09:43,4,"['pandas/core/array_algos/putmask.py', 'pandas/core/dtypes/cast.py', 'pandas/core/internals/blocks.py', 'pandas/tests/series/indexing/test_setitem.py']"
#45749,2022-02-03 03:03:53,2022-02-03 05:03:53,3,"['pandas/core/internals/blocks.py', 'pandas/tests/frame/methods/test_replace.py', 'pandas/tests/series/methods/test_replace.py']"
#45746,2022-02-01 13:25:38,2022-02-01 05:25:38,2,"['pandas/core/internals/blocks.py', 'pandas/tests/series/methods/test_fillna.py']"
#45742,2022-02-01 00:04:54,2022-01-31 16:04:54,2,"['pandas/core/arrays/datetimelike.py', 'pandas/core/internals/blocks.py']"
#45732,2022-01-31 17:25:59,2022-01-31 09:25:58,12,"['pandas/tests/io/conftest.py', 'pandas/tests/io/excel/test_readers.py', 'pandas/tests/io/json/test_pandas.py', 'pandas/tests/io/parser/common/test_file_buffer_url.py', 'pandas/tests/io/parser/test_network.py', 'pandas/tests/io/test_feather.py', 'pandas/tests/io/test_html.py', 'pandas/tests/io/test_parquet.py', 'pandas/tests/io/test_s3.py', 'pandas/tests/io/xml/test_to_xml.py', 'pandas/tests/io/xml/test_xml.py', 'pandas/tests/test_downstream.py']"
#45725,2022-02-03 03:03:53,2022-02-03 05:03:53,3,"['pandas/core/internals/blocks.py', 'pandas/tests/frame/methods/test_replace.py', 'pandas/tests/series/methods/test_replace.py']"
