file,fileSet
platformio/package/pack.py,"['tests/package/test_pack.py', 'platformio/commands/package.py', 'platformio/package/unpack.py']"
tests/package/test_pack.py,['platformio/package/pack.py']
platformio/app.py,"['platformio/maintenance.py', 'platformio/builder/main.py', 'platformio/builder/tools/pioide.py', 'platformio/builder/tools/piolib.py', 'platformio/builder/tools/piomisc.py', 'platformio/builder/tools/platformio.py', 'platformio/commands/check/defect.py', 'platformio/commands/check/tools/base.py', 'platformio/commands/ci.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/debug/process/gdb.py', 'platformio/fs.py', 'platformio/package/lockfile.py', 'platformio/package/manager/base.py', 'platformio/project/generator.py', 'platformio/project/helpers.py', 'platformio/project/options.py', 'platformio/builder/main.py', 'platformio/builder/tools/pioide.py', 'platformio/commands/check/command.py', 'platformio/commands/check/tools/clangtidy.py', 'platformio/commands/check/tools/cppcheck.py', 'platformio/commands/check/tools/pvsstudio.py', 'platformio/commands/home/rpc/handlers/app.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/commands/lib/command.py', 'platformio/commands/project.py', 'platformio/commands/remote/client/agent_service.py', 'platformio/commands/remote/client/run_or_test.py', 'platformio/commands/run/command.py', 'platformio/commands/run/helpers.py', 'platformio/commands/system/command.py', 'platformio/commands/test/helpers.py', 'platformio/commands/test/native.py', 'platformio/commands/test/processor.py', 'platformio/debug/config/base.py', 'platformio/ide/projectgenerator.py', 'platformio/package/manager/platform.py', 'platformio/package/manager/tool.py', 'platformio/platform/base.py', 'platformio/project/config.py', 'platformio/project/helpers.py', 'platformio/project/options.py', 'tests/package/test_manager.py', 'tests/test_examples.py', 'tests/test_projectconf.py', 'platformio/builder/main.py', 'platformio/builder/tools/pioide.py', 'platformio/builder/tools/piolib.py', 'platformio/builder/tools/piomisc.py', 'platformio/builder/tools/platformio.py', 'platformio/commands/check/defect.py', 'platformio/commands/check/tools/base.py', 'platformio/commands/ci.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/debug/process/gdb.py', 'platformio/fs.py', 'platformio/package/lockfile.py', 'platformio/package/manager/base.py', 'platformio/project/generator.py', 'platformio/project/helpers.py', 'platformio/project/options.py', 'platformio/__init__.py', 'platformio/clients/http.py', 'platformio/commands/home/rpc/handlers/os.py', 'platformio/commands/upgrade.py', 'platformio/package/download.py', 'platformio/package/manifest/parser.py', 'platformio/package/manifest/schema.py', 'platformio/util.py', 'platformio/builder/main.py', 'platformio/builder/tools/pioide.py', 'platformio/builder/tools/piolib.py', 'platformio/builder/tools/piomisc.py', 'platformio/builder/tools/platformio.py', 'platformio/commands/check/defect.py', 'platformio/commands/check/tools/base.py', 'platformio/commands/ci.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/debug/process/gdb.py', 'platformio/fs.py', 'platformio/package/lockfile.py', 'platformio/package/manager/base.py', 'platformio/project/generator.py', 'platformio/project/helpers.py', 'platformio/project/options.py', 'platformio/proc.py']"
platformio/maintenance.py,"['platformio/app.py', 'platformio/exception.py']"
platformio/commands/pkg.py,"['platformio/package/commands/exec.py', 'platformio/commands/exec.py']"
platformio/package/commands/exec.py,"['platformio/commands/pkg.py', 'platformio/commands/exec.py']"
platformio/commands/exec.py,"['platformio/commands/pkg.py', 'platformio/package/commands/exec.py']"
platformio/project/config.py,"['tests/test_projectconf.py', 'platformio/project/options.py', 'tests/test_projectconf.py', 'tests/test_projectconf.py', 'platformio/app.py', 'platformio/builder/main.py', 'platformio/builder/tools/pioide.py', 'platformio/commands/check/command.py', 'platformio/commands/check/tools/clangtidy.py', 'platformio/commands/check/tools/cppcheck.py', 'platformio/commands/check/tools/pvsstudio.py', 'platformio/commands/home/rpc/handlers/app.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/commands/lib/command.py', 'platformio/commands/project.py', 'platformio/commands/remote/client/agent_service.py', 'platformio/commands/remote/client/run_or_test.py', 'platformio/commands/run/command.py', 'platformio/commands/run/helpers.py', 'platformio/commands/system/command.py', 'platformio/commands/test/helpers.py', 'platformio/commands/test/native.py', 'platformio/commands/test/processor.py', 'platformio/debug/config/base.py', 'platformio/ide/projectgenerator.py', 'platformio/package/manager/platform.py', 'platformio/package/manager/tool.py', 'platformio/platform/base.py', 'platformio/project/helpers.py', 'platformio/project/options.py', 'tests/package/test_manager.py', 'tests/test_examples.py', 'tests/test_projectconf.py', 'platformio/commands/debug.py', 'platformio/debug/config/base.py', 'platformio/debug/helpers.py', 'platformio/commands/project.py', 'platformio/builder/tools/piolib.py', 'platformio/builder/tools/pioproject.py', 'tests/test_projectconf.py', 'tests/test_projectconf.py', 'tests/test_projectconf.py', 'platformio/commands/home/rpc/handlers/os.py', 'platformio/fs.py', 'platformio/package/manifest/parser.py', 'tests/test_projectconf.py', 'tests/test_projectconf.py']"
tests/test_projectconf.py,"['platformio/project/config.py', 'platformio/project/config.py', 'platformio/project/options.py', 'platformio/project/config.py', 'platformio/app.py', 'platformio/builder/main.py', 'platformio/builder/tools/pioide.py', 'platformio/commands/check/command.py', 'platformio/commands/check/tools/clangtidy.py', 'platformio/commands/check/tools/cppcheck.py', 'platformio/commands/check/tools/pvsstudio.py', 'platformio/commands/home/rpc/handlers/app.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/commands/lib/command.py', 'platformio/commands/project.py', 'platformio/commands/remote/client/agent_service.py', 'platformio/commands/remote/client/run_or_test.py', 'platformio/commands/run/command.py', 'platformio/commands/run/helpers.py', 'platformio/commands/system/command.py', 'platformio/commands/test/helpers.py', 'platformio/commands/test/native.py', 'platformio/commands/test/processor.py', 'platformio/debug/config/base.py', 'platformio/ide/projectgenerator.py', 'platformio/package/manager/platform.py', 'platformio/package/manager/tool.py', 'platformio/platform/base.py', 'platformio/project/config.py', 'platformio/project/helpers.py', 'platformio/project/options.py', 'tests/package/test_manager.py', 'tests/test_examples.py', 'platformio/commands/lib.py', 'platformio/builder/tools/piolib.py', 'platformio/builder/tools/pioproject.py', 'platformio/project/config.py', 'platformio/project/config.py', 'platformio/project/config.py', 'platformio/project/config.py', 'platformio/project/config.py']"
platformio/__main__.py,"['platformio/commands/system/command.py', 'platformio/commands/system/completion.py', 'setup.py', 'platformio/commands/home/rpc/handlers/piocore.py', 'platformio/commands/misc/__init__.py', 'platformio/commands/misc/command.py', 'platformio/commands/misc/completion.py', 'platformio/managers/core.py']"
platformio/commands/system/command.py,"['platformio/__main__.py', 'platformio/commands/system/completion.py', 'setup.py', 'platformio/app.py', 'platformio/builder/main.py', 'platformio/builder/tools/pioide.py', 'platformio/commands/check/command.py', 'platformio/commands/check/tools/clangtidy.py', 'platformio/commands/check/tools/cppcheck.py', 'platformio/commands/check/tools/pvsstudio.py', 'platformio/commands/home/rpc/handlers/app.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/commands/lib/command.py', 'platformio/commands/project.py', 'platformio/commands/remote/client/agent_service.py', 'platformio/commands/remote/client/run_or_test.py', 'platformio/commands/run/command.py', 'platformio/commands/run/helpers.py', 'platformio/commands/test/helpers.py', 'platformio/commands/test/native.py', 'platformio/commands/test/processor.py', 'platformio/debug/config/base.py', 'platformio/ide/projectgenerator.py', 'platformio/package/manager/platform.py', 'platformio/package/manager/tool.py', 'platformio/platform/base.py', 'platformio/project/config.py', 'platformio/project/helpers.py', 'platformio/project/options.py', 'tests/package/test_manager.py', 'tests/test_examples.py', 'tests/test_projectconf.py', 'platformio/fs.py', 'platformio/commands/system/prune.py', 'platformio/package/manager/core.py', 'platformio/package/manager/platform.py', 'platformio/package/meta.py', 'platformio/platform/_packages.py']"
platformio/commands/system/completion.py,"['platformio/__main__.py', 'platformio/commands/system/command.py', 'setup.py']"
setup.py,"['platformio/__main__.py', 'platformio/commands/system/command.py', 'platformio/commands/system/completion.py', 'platformio/commands/home/rpc/handlers/project.py', 'platformio/commands/project.py', 'platformio/project/generator.py', 'platformio/commands/lib.py', 'platformio/package/exception.py', 'platformio/package/manifest/schema.py', 'platformio/util.py', 'tests/test_pkgmanifest.py']"
