key,time,commitTime,PythonfileNum,pythonFile
#3605,2022-01-02 13:53:45,2022-01-02 13:53:45,20,"['pydantic/config.py', 'pydantic/fields.py', 'pydantic/json.py', 'pydantic/typing.py', 'setup.py', 'tests/mypy/modules/plugin_fail.py', 'tests/mypy/modules/plugin_success.py', 'tests/mypy/modules/success.py', 'tests/mypy/test_mypy.py', 'tests/test_decorator.py', 'tests/test_discrimated_union.py', 'tests/test_edge_cases.py', 'tests/test_errors.py', 'tests/test_forward_ref.py', 'tests/test_generics.py', 'tests/test_main.py', 'tests/test_private_attributes.py', 'tests/test_schema.py', 'tests/test_types.py', 'tests/test_utils.py']"
#3595,2021-12-31 14:44:09,2021-12-31 14:44:09,5,"['pydantic/config.py', 'pydantic/json.py', 'pydantic/main.py', 'pydantic/typing.py', 'tests/test_forward_ref.py']"
#3594,2021-12-30 13:49:43,2021-12-30 13:49:43,6,"['pydantic/class_validators.py', 'pydantic/main.py', 'pydantic/mypy.py', 'pydantic/typing.py', 'pydantic/utils.py', 'tests/mypy/test_mypy.py']"
#3583,2021-12-31 14:44:09,2021-12-31 14:44:09,5,"['pydantic/config.py', 'pydantic/json.py', 'pydantic/main.py', 'pydantic/typing.py', 'tests/test_forward_ref.py']"
#3579,2021-12-30 13:49:45,2021-12-30 13:49:43,6,"['pydantic/class_validators.py', 'pydantic/main.py', 'pydantic/mypy.py', 'pydantic/typing.py', 'pydantic/utils.py', 'tests/mypy/test_mypy.py']"
#3573,2021-12-29 16:51:36,2021-12-30 13:49:43,6,"['pydantic/class_validators.py', 'pydantic/main.py', 'pydantic/mypy.py', 'pydantic/typing.py', 'pydantic/utils.py', 'tests/mypy/test_mypy.py']"
#3552,2021-12-24 13:11:06,2021-12-24 13:11:05,7,"['pydantic/dataclasses.py', 'pydantic/datetime_parse.py', 'pydantic/generics.py', 'pydantic/mypy.py', 'pydantic/networks.py', 'pydantic/typing.py', 'pydantic/utils.py']"
#3551,2021-12-24 13:17:40,2021-12-24 14:17:39,2,"['pydantic/fields.py', 'tests/test_discrimated_union.py']"
#3547,2021-12-22 19:42:57,2021-12-22 20:42:56,4,"['docs/examples/schema_ad_hoc.py', 'pydantic/__init__.py', 'pydantic/tools.py', 'tests/test_tools.py']"
#3543,2021-12-22 19:39:18,2021-12-22 20:39:18,3,"['pydantic/fields.py', 'pydantic/utils.py', 'tests/test_types.py']"
#3542,2021-12-24 13:14:14,2021-12-24 14:14:13,3,"['docs/examples/exporting_models_json_forward_ref.py', 'pydantic/main.py', 'tests/test_json.py']"
#3507,2021-12-11 11:21:07,2021-12-11 12:21:06,3,"['pydantic/fields.py', 'pydantic/schema.py', 'tests/test_types.py']"
#3495,2021-12-07 09:36:41,2021-12-07 10:36:41,3,"['pydantic/config.py', 'pydantic/networks.py', 'pydantic/typing.py']"
#3452,2021-12-10 18:41:38,2021-12-11 05:41:37,2,"['pydantic/fields.py', 'tests/test_edge_cases.py']"
#3444,2021-12-10 18:41:37,2021-12-11 05:41:37,2,"['pydantic/fields.py', 'tests/test_edge_cases.py']"
#3434,2021-12-18 20:55:22,2021-12-18 22:55:22,3,"['docs/examples/schema_with_field.py', 'pydantic/schema.py', 'tests/test_schema.py']"
#3403,2021-11-18 22:40:15,2021-11-19 00:40:15,2,"['pydantic/typing.py', 'tests/test_forward_ref.py']"
#3374,2021-12-11 21:44:09,2021-12-11 22:44:09,2,"['pydantic/annotated_types.py', 'tests/test_annotated_types.py']"
#3327,2021-12-08 23:17:08,2021-12-08 15:17:08,2,"['docs/examples/models_errors2.py', 'docs/examples/models_errors3.py']"
#3254,2021-12-18 20:40:17,2021-12-18 21:40:16,4,"['docs/examples/settings_main.py', 'pydantic/__init__.py', 'pydantic/networks.py', 'tests/test_networks.py']"
#3247,2021-12-08 22:33:44,2021-12-09 07:33:43,2,"['pydantic/mypy.py', 'tests/mypy/modules/plugin_success.py']"
#3241,2021-12-19 16:08:26,2021-12-20 01:08:26,2,"['pydantic/main.py', 'tests/test_main.py']"
#3234,2021-12-19 16:08:26,2021-12-20 01:08:26,2,"['pydantic/main.py', 'tests/test_main.py']"
#3201,2021-12-19 10:37:31,2021-12-19 11:37:30,2,"['pydantic/main.py', 'tests/test_main.py']"
#3197,2021-12-08 21:52:26,2021-12-08 22:52:25,2,"['pydantic/schema.py', 'tests/test_schema.py']"
#3195,2021-12-19 10:37:30,2021-12-19 11:37:30,2,"['pydantic/main.py', 'tests/test_main.py']"
#3194,2021-12-08 21:50:47,2021-12-08 14:50:47,2,"['pydantic/env_settings.py', 'tests/test_settings.py']"
#3182,2021-12-19 10:41:51,2021-12-19 11:41:51,2,"['pydantic/main.py', 'tests/test_orm_mode.py']"
#3181,2021-12-19 10:41:51,2021-12-19 11:41:51,2,"['pydantic/main.py', 'tests/test_orm_mode.py']"
#3177,2021-09-05 22:44:17,2021-09-06 00:44:16,2,"['pydantic/decorator.py', 'tests/test_decorator.py']"
#3176,2021-09-05 22:33:37,2021-09-06 00:33:36,2,"['pydantic/decorator.py', 'tests/test_decorator.py']"
#3159,2021-12-18 20:56:14,2021-12-19 00:56:14,4,"['docs/build/exec_examples.py', 'docs/examples/settings_nested_env.py', 'pydantic/env_settings.py', 'tests/test_settings.py']"
#3138,2021-12-08 21:16:14,2021-12-08 22:16:13,2,"['pydantic/fields.py', 'tests/test_main.py']"
#3096,2021-09-03 22:05:36,2021-09-04 00:05:36,6,"['pydantic/datetime_parse.py', 'pydantic/fields.py', 'pydantic/generics.py', 'pydantic/schema.py', 'pydantic/utils.py', 'tests/test_utils.py']"
#3093,2021-09-04 14:32:22,2021-09-04 10:32:22,2,"['pydantic/dataclasses.py', 'tests/test_dataclasses.py']"
#3085,2021-09-03 20:56:11,2021-09-03 22:56:11,5,"['pydantic/fields.py', 'pydantic/main.py', 'pydantic/schema.py', 'pydantic/typing.py', 'pydantic/utils.py']"
#3062,2021-09-04 14:40:14,2021-09-04 16:40:14,5,"['pydantic/fields.py', 'pydantic/schema.py', 'pydantic/validators.py', 'tests/test_main.py', 'tests/test_schema.py']"
#3047,2021-09-04 14:59:23,2021-09-04 16:59:23,3,"['pydantic/annotated_types.py', 'pydantic/validators.py', 'tests/mypy/modules/success.py']"
#3043,2021-09-04 14:32:22,2021-09-04 10:32:22,2,"['pydantic/dataclasses.py', 'tests/test_dataclasses.py']"
#3018,2021-09-04 16:11:17,2021-09-04 11:11:17,2,"['pydantic/main.py', 'tests/test_edge_cases.py']"
#3008,2021-09-04 14:59:23,2021-09-04 16:59:23,3,"['pydantic/annotated_types.py', 'pydantic/validators.py', 'tests/mypy/modules/success.py']"
#3000,2021-07-19 18:25:05,2021-07-19 20:25:05,2,"['tests/test_main.py', 'tests/test_types.py']"
#2989,2021-09-04 16:32:29,2021-09-04 18:32:29,2,"['pydantic/main.py', 'tests/test_private_attributes.py']"
#2987,2021-09-04 09:36:30,2021-09-04 10:36:29,2,"['pydantic/generics.py', 'tests/test_generics.py']"
#2970,2021-09-04 17:53:32,2021-09-04 19:53:32,2,"['pydantic/env_settings.py', 'tests/test_settings.py']"
#2936,2021-09-04 17:53:32,2021-09-04 19:53:32,2,"['pydantic/env_settings.py', 'tests/test_settings.py']"
#2908,2021-09-05 09:25:47,2021-09-05 05:25:47,2,"['pydantic/mypy.py', 'tests/mypy/test_mypy.py']"
#2888,2021-09-04 19:06:08,2021-09-04 21:06:08,2,"['pydantic/networks.py', 'tests/test_networks.py']"
