key,time,commitTime,PythonfileNum,pythonFile
#3011,2022-01-26 16:16:11,2022-01-26 11:16:11,2,"['pyro/distributions/projected_normal.py', 'tests/distributions/conftest.py']"
#3010,2022-01-27 19:41:08,2022-01-27 14:41:08,7,"['pyro/distributions/__init__.py', 'pyro/distributions/log_normal_negative_binomial.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_log_normal_negative_binomial.py', 'tests/ops/test_special.py']"
#2991,2021-12-14 15:42:24,2021-12-14 10:42:24,2,"['pyro/params/param_store.py', 'pyro/primitives.py']"
#2975,2021-12-09 15:19:23,2021-12-09 10:19:22,2,"['examples/scanvi/scanvi.py', 'pyro/contrib/examples/scanvi_data.py']"
#2972,2021-11-28 22:53:39,2021-11-28 17:53:38,5,"['pyro/distributions/constraints.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/unit_cholesky.py', 'pyro/infer/autoguide/guides.py', 'tests/distributions/test_transforms.py']"
#2963,2021-11-11 19:03:58,2021-11-11 14:03:57,4,"['pyro/infer/autoguide/guides.py', 'tests/infer/autoguide/test_inference.py', 'tests/infer/autoguide/test_mean_field_entropy.py', 'tests/infer/reparam/test_neutra.py']"
#2962,2021-11-08 03:56:17,2021-11-07 22:56:16,4,"['docs/source/conf.py', 'pyro/__init__.py', 'pyro/infer/inspect.py', 'pyro/util.py']"
#2959,2021-11-05 17:47:34,2021-11-05 13:47:34,3,"['pyro/infer/inspect.py', 'pyro/ops/provenance.py', 'tests/infer/test_inspect.py']"
#2958,2021-11-02 11:45:01,2021-11-02 07:45:01,2,"['tests/contrib/oed/test_finite_spaces_eig.py', 'tests/infer/test_enum.py']"
#2955,2021-11-05 17:45:23,2021-11-05 17:45:22,3,"['pyro/infer/autoguide/__init__.py', 'pyro/infer/autoguide/effect.py', 'tests/infer/test_autoguide.py']"
#2953,2021-11-01 20:01:26,2021-11-01 16:01:26,9,"['pyro/infer/autoguide/__init__.py', 'pyro/infer/autoguide/effect.py', 'pyro/infer/elbo.py', 'pyro/infer/enum.py', 'pyro/infer/traceenum_elbo.py', 'pyro/poutine/__init__.py', 'pyro/poutine/guide.py', 'pyro/poutine/messenger.py', 'tests/infer/test_autoguide.py']"
#2952,2021-10-27 19:46:23,2021-10-27 15:46:23,6,"['examples/scanvi/scanvi.py', 'pyro/distributions/unit.py', 'pyro/infer/autoguide/gaussian.py', 'pyro/primitives.py', 'pyro/util.py', 'tests/infer/test_valid_models.py']"
#2948,2021-10-27 20:39:26,2021-10-27 16:39:25,5,"['pyro/distributions/unit.py', 'pyro/infer/autoguide/gaussian.py', 'pyro/infer/autoguide/guides.py', 'tests/infer/autoguide/test_gaussian.py', 'tests/infer/test_autoguide.py']"
#2946,2021-12-14 04:35:35,2021-12-13 23:35:35,3,"['pyro/infer/autoguide/gaussian.py', 'tests/infer/autoguide/test_gaussian.py', 'tests/infer/test_autoguide.py']"
#2943,2021-10-20 05:38:05,2021-10-20 01:38:04,7,"['pyro/infer/autoguide/gaussian.py', 'setup.py', 'tests/infer/autoguide/test_gaussian.py', 'tests/infer/test_autoguide.py', 'tests/infer/test_gradient.py', 'tests/infer/test_valid_models.py', 'tests/ops/test_gaussian.py']"
#2940,2021-10-05 17:51:42,2021-10-05 13:51:41,4,"['pyro/infer/autoguide/gaussian.py', 'pyro/infer/inspect.py', 'tests/infer/autoguide/test_gaussian.py', 'tests/infer/test_autoguide.py']"
#2936,2021-09-29 16:06:23,2021-09-29 12:06:23,5,"['pyro/infer/autoguide/__init__.py', 'pyro/infer/autoguide/guides.py', 'pyro/infer/autoguide/structured.py', 'pyro/infer/autoguide/utils.py', 'pyro/infer/reparam/structured.py']"
#2934,2021-09-22 23:57:41,2021-09-22 19:57:41,2,"['pyro/contrib/funsor/handlers/enum_messenger.py', 'setup.py']"
#2933,2021-09-21 16:00:21,2021-09-21 12:00:20,6,"['pyro/distributions/logistic.py', 'pyro/infer/inspect.py', 'pyro/poutine/runtime.py', 'tests/common.py', 'tests/infer/test_inspect.py', 'tests/poutine/test_runtime.py']"
#2929,2021-10-04 20:12:55,2021-10-04 16:12:54,9,"['pyro/infer/autoguide/__init__.py', 'pyro/infer/autoguide/gaussian.py', 'pyro/infer/autoguide/guides.py', 'pyro/infer/autoguide/structured.py', 'tests/infer/autoguide/__init__.py', 'tests/infer/autoguide/conftest.py', 'tests/infer/autoguide/test_gaussian.py', 'tests/infer/test_autoguide.py', 'tests/ops/test_gaussian.py']"
#2918,2021-09-07 16:21:48,2021-09-07 12:21:48,2,"['pyro/distributions/util.py', 'tests/distributions/test_util.py']"
#2917,2021-08-20 22:20:48,2021-08-20 18:20:47,3,"['pyro/util.py', 'tests/infer/test_enum.py', 'tests/infer/test_valid_models.py']"
#2914,2021-08-17 18:26:27,2021-08-17 14:26:26,2,"['pyro/params/param_store.py', 'tests/params/test_param.py']"
#2910,2021-08-16 23:14:27,2021-08-16 19:14:26,3,"['pyro/optim/optim.py', 'tests/common.py', 'tests/optim/test_optim.py']"
#2904,2021-07-20 23:45:35,2021-07-20 19:45:34,4,"['docs/source/conf.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/power.py', 'tests/distributions/test_transforms.py']"
#2898,2021-07-22 21:19:41,2021-07-22 17:19:41,8,"['examples/contrib/mue/FactorMuE.py', 'examples/contrib/mue/ProfileHMM.py', 'pyro/contrib/mue/dataloaders.py', 'pyro/contrib/mue/missingdatahmm.py', 'pyro/contrib/mue/models.py', 'tests/contrib/mue/test_dataloaders.py', 'tests/contrib/mue/test_missingdatahmm.py', 'tests/contrib/mue/test_statearrangers.py']"
#2896,2021-07-06 20:53:02,2021-07-06 13:53:01,2,"['pyro/infer/autoguide/guides.py', 'tests/infer/test_autoguide.py']"
#2895,2021-07-06 00:44:10,2021-07-05 17:44:10,3,"['pyro/distributions/__init__.py', 'pyro/distributions/logistic.py', 'tests/distributions/conftest.py']"
