file,fileSet
pyro/distributions/projected_normal.py,"['tests/distributions/conftest.py', 'pyro/distributions/stable.py', 'pyro/infer/reparam/__init__.py', 'pyro/infer/reparam/strategies.py', 'pyro/infer/reparam/transform.py', 'pyro/poutine/reparam_messenger.py', 'tests/infer/reparam/test_strategies.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/normalize.py', 'pyro/infer/reparam/projected_normal.py', 'pyro/ops/tensor_utils.py', 'tests/distributions/test_constraints.py', 'tests/distributions/test_transforms.py', 'tests/infer/test_autoguide.py', 'pyro/distributions/affine_beta.py', 'pyro/distributions/conjugate.py', 'pyro/distributions/multivariate_studentt.py', 'pyro/distributions/torch.py', 'pyro/distributions/torch_distribution.py', 'tests/distributions/test_distributions.py', 'pyro/distributions/__init__.py', 'pyro/distributions/constraints.py', 'pyro/distributions/von_mises_3d.py', 'pyro/infer/autoguide/guides.py', 'pyro/infer/autoguide/initialization.py', 'pyro/infer/autoguide/utils.py', 'pyro/infer/reparam/__init__.py', 'pyro/infer/reparam/projected_normal.py', 'tests/common.py', 'tests/distributions/conftest.py', 'tests/distributions/test_constraints.py', 'tests/distributions/test_distributions.py', 'tests/infer/reparam/test_projected_normal.py', 'tests/infer/test_autoguide.py']"
tests/distributions/conftest.py,"['pyro/distributions/projected_normal.py', 'pyro/distributions/__init__.py', 'pyro/distributions/log_normal_negative_binomial.py', 'pyro/ops/special.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_log_normal_negative_binomial.py', 'tests/ops/test_special.py', 'pyro/distributions/__init__.py', 'pyro/distributions/logistic.py', 'pyro/distributions/__init__.py', 'pyro/distributions/logistic.py', 'pyro/distributions/__init__.py', 'pyro/distributions/asymmetriclaplace.py', 'pyro/distributions/asymmetriclaplace.py', 'pyro/infer/reparam/loc_scale.py', 'tests/infer/reparam/test_loc_scale.py', 'pyro/distributions/__init__.py', 'pyro/distributions/asymmetriclaplace.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_skewed.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_skewed.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_bivariate_von_mises.py', 'pyro/ops/special.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_bivariate_von_mises.py', 'tests/ops/test_special.py', 'pyro/distributions/torch.py', 'pyro/distributions/__init__.py', 'pyro/distributions/multivariate_studentt.py', 'pyro/distributions/softlaplace.py', 'tests/distributions/test_distributions.py', 'examples/contrib/forecast/bart.py', 'examples/lkj.py', 'pyro/distributions/lkj.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_lkj.py', 'tests/infer/test_autoguide.py', 'pyro/distributions/__init__.py', 'pyro/distributions/constraints.py', 'pyro/distributions/lkj.py', 'pyro/distributions/torch_patch.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/cholesky.py', 'tests/distributions/test_constraints.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_transforms.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_skewed.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_skewed.py', 'pyro/distributions/affine_beta.py', 'pyro/distributions/testing/__init__.py', 'pyro/distributions/testing/gof.py', 'pyro/distributions/testing/special.py', 'tests/common.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_von_mises.py', 'tests/distributions/testing/test_special.py', 'pyro/distributions/__init__.py', 'pyro/distributions/constraints.py', 'pyro/distributions/projected_normal.py', 'pyro/distributions/von_mises_3d.py', 'pyro/infer/autoguide/guides.py', 'pyro/infer/autoguide/initialization.py', 'pyro/infer/autoguide/utils.py', 'pyro/infer/reparam/__init__.py', 'pyro/infer/reparam/projected_normal.py', 'tests/common.py', 'tests/distributions/test_constraints.py', 'tests/distributions/test_distributions.py', 'tests/infer/reparam/test_projected_normal.py', 'tests/infer/test_autoguide.py', 'pyro/distributions/__init__.py', 'pyro/distributions/affine_beta.py', 'pyro/distributions/__init__.py', 'pyro/distributions/constraints.py', 'pyro/distributions/ordered_logistic.py', 'tests/distributions/test_ordered_logistic.py', 'tests/infer/test_valid_models.py', 'pyro/distributions/__init__.py', 'pyro/distributions/constraints.py', 'pyro/distributions/extended.py', 'pyro/distributions/transforms/generalized_channel_permute.py', 'tests/distributions/test_extended.py', 'pyro/contrib/forecast/util.py', 'pyro/distributions/torch.py', 'tests/contrib/forecast/test_util.py', 'tests/distributions/dist_fixture.py', 'pyro/distributions/__init__.py', 'pyro/distributions/multivariate_studentt.py', 'pyro/ops/gaussian.py', 'tests/distributions/test_mvt.py', 'pyro/distributions/__init__.py', 'pyro/distributions/stable.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_stable.py']"
pyro/distributions/__init__.py,"['pyro/distributions/log_normal_negative_binomial.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_log_normal_negative_binomial.py', 'tests/ops/test_special.py', 'pyro/distributions/logistic.py', 'tests/distributions/conftest.py', 'pyro/distributions/logistic.py', 'tests/distributions/conftest.py', 'pyro/distributions/asymmetriclaplace.py', 'tests/distributions/conftest.py', 'pyro/distributions/asymmetriclaplace.py', 'tests/distributions/conftest.py', 'pyro/distributions/sine_skewed.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_skewed.py', 'pyro/distributions/sine_bivariate_von_mises.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_bivariate_von_mises.py', 'tests/ops/test_special.py', 'pyro/distributions/multivariate_studentt.py', 'pyro/distributions/softlaplace.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'pyro/distributions/constraints.py', 'pyro/distributions/lkj.py', 'pyro/distributions/torch_patch.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/cholesky.py', 'tests/distributions/conftest.py', 'tests/distributions/test_constraints.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_transforms.py', 'pyro/distributions/sine_skewed.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_skewed.py', 'pyro/distributions/constraints.py', 'pyro/distributions/projected_normal.py', 'pyro/distributions/von_mises_3d.py', 'pyro/infer/autoguide/guides.py', 'pyro/infer/autoguide/initialization.py', 'pyro/infer/autoguide/utils.py', 'pyro/infer/reparam/__init__.py', 'pyro/infer/reparam/projected_normal.py', 'tests/common.py', 'tests/distributions/conftest.py', 'tests/distributions/test_constraints.py', 'tests/distributions/test_distributions.py', 'tests/infer/reparam/test_projected_normal.py', 'tests/infer/test_autoguide.py', 'pyro/distributions/affine_beta.py', 'tests/distributions/conftest.py', 'pyro/distributions/one_one_matching.py', 'tests/distributions/test_one_one_matching.py', 'tests/distributions/test_one_two_matching.py', 'pyro/distributions/coalescent.py', 'pyro/distributions/one_two_matching.py', 'setup.py', 'tests/distributions/test_one_two_matching.py', 'pyro/distributions/constraints.py', 'pyro/distributions/ordered_logistic.py', 'tests/distributions/conftest.py', 'tests/distributions/test_ordered_logistic.py', 'tests/infer/test_valid_models.py', 'pyro/contrib/forecast/util.py', 'pyro/distributions/zero_inflated.py', 'tests/distributions/test_shapes.py', 'tests/distributions/test_zero_inflated.py', 'tests/infer/test_enum.py', 'pyro/distributions/improper_uniform.py', 'pyro/infer/reparam/split.py', 'tests/distributions/test_improper_uniform.py', 'pyro/distributions/polya_gamma.py', 'tests/distributions/test_polya_gamma.py', 'pyro/contrib/epidemiology/seir.py', 'pyro/distributions/coalescent.py', 'tests/contrib/epidemiology/test_seir.py', 'tests/distributions/test_coalescent.py', 'docs/source/conf.py', 'pyro/distributions/torch.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/neural_autoregressive.py', 'pyro/infer/mcmc/util.py', 'pyro/infer/util.py', 'pyro/ops/einsum/adjoint.py', 'pyro/optim/dct_adam.py', 'pyro/optim/lr_scheduler.py', 'setup.py', 'tests/distributions/test_pickle.py', 'tests/distributions/test_von_mises.py', 'tests/infer/mcmc/test_valid_models.py', 'tests/ops/test_contract.py', 'tests/optim/test_optim.py', 'tests/poutine/test_poutines.py', 'pyro/distributions/constraints.py', 'pyro/distributions/extended.py', 'pyro/distributions/transforms/generalized_channel_permute.py', 'tests/distributions/conftest.py', 'tests/distributions/test_extended.py', 'pyro/contrib/forecast/util.py', 'pyro/distributions/hmm.py', 'tests/contrib/forecast/test_util.py', 'tests/distributions/test_hmm.py', 'pyro/distributions/torch_transform.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/affine_autoregressive.py', 'pyro/infer/autoguide/__init__.py', 'pyro/infer/autoguide/guides.py', 'pyro/infer/mcmc/hmc.py', 'tests/contrib/autoguide/test_inference.py', 'tests/infer/reparam/test_neutra.py', 'tests/infer/test_autoguide.py', 'pyro/distributions/hmm.py', 'pyro/infer/reparam/stable.py', 'tests/distributions/test_hmm.py', 'tests/infer/reparam/test_stable.py', 'pyro/distributions/hmm.py', 'tests/distributions/test_hmm.py', 'pyro/distributions/hmm.py', 'pyro/distributions/stable.py', 'pyro/infer/reparam/__init__.py', 'pyro/infer/reparam/loc_scale.py', 'pyro/infer/reparam/neutra.py', 'pyro/infer/reparam/reparam.py', 'pyro/infer/reparam/stable.py', 'pyro/infer/reparam/transform.py', 'pyro/ops/gaussian.py', 'pyro/poutine/reparam_messenger.py', 'tests/distributions/test_stable.py', 'tests/infer/mcmc/test_valid_models.py', 'tests/infer/reparam/__init__.py', 'tests/infer/reparam/test_loc_scale.py', 'tests/infer/reparam/test_neutra.py', 'tests/infer/reparam/test_stable.py', 'tests/infer/reparam/test_transform.py', 'tests/infer/test_inference.py', 'tests/infer/test_valid_models.py', 'pyro/distributions/reparameterize.py', 'pyro/distributions/stable.py', 'pyro/poutine/__init__.py', 'pyro/poutine/handlers.py', 'pyro/poutine/reparam_messenger.py', 'tests/distributions/test_reparameterize.py', 'tests/infer/mcmc/test_valid_models.py', 'tests/infer/test_inference.py', 'tests/infer/test_valid_models.py', 'pyro/distributions/hmm.py', 'pyro/ops/gamma_gaussian.py', 'tests/distributions/test_hmm.py', 'pyro/distributions/multivariate_studentt.py', 'pyro/ops/gaussian.py', 'tests/distributions/conftest.py', 'tests/distributions/test_mvt.py', 'pyro/distributions/zero_inflated.py', 'tests/distributions/test_zero_inflated.py', 'pyro/distributions/stable.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_stable.py']"
pyro/distributions/log_normal_negative_binomial.py,"['pyro/distributions/__init__.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_log_normal_negative_binomial.py', 'tests/ops/test_special.py']"
pyro/ops/special.py,"['pyro/distributions/__init__.py', 'pyro/distributions/log_normal_negative_binomial.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_log_normal_negative_binomial.py', 'tests/ops/test_special.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_bivariate_von_mises.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_bivariate_von_mises.py', 'tests/ops/test_special.py', 'examples/sir_hmc.py', 'pyro/contrib/epidemiology/compartmental.py', 'pyro/contrib/epidemiology/distributions.py', 'pyro/contrib/epidemiology/util.py', 'pyro/distributions/coalescent.py', 'pyro/distributions/conjugate.py', 'pyro/distributions/extended.py', 'pyro/distributions/hmm.py', 'pyro/ops/einsum/torch_log.py', 'pyro/ops/tensor_utils.py', 'tests/distributions/test_extended.py', 'tests/ops/test_special.py', 'tests/ops/test_tensor_utils.py', 'pyro/contrib/epidemiology/compartmental.py', 'pyro/contrib/epidemiology/distributions.py', 'pyro/distributions/conjugate.py', 'pyro/distributions/torch.py', 'tests/distributions/test_binomial.py', 'tests/ops/test_special.py']"
tests/distributions/test_distributions.py,"['pyro/distributions/__init__.py', 'pyro/distributions/log_normal_negative_binomial.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_log_normal_negative_binomial.py', 'tests/ops/test_special.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_skewed.py', 'tests/distributions/conftest.py', 'tests/distributions/test_sine_skewed.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_bivariate_von_mises.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_sine_bivariate_von_mises.py', 'tests/ops/test_special.py', 'pyro/distributions/softlaplace.py', 'pyro/distributions/__init__.py', 'pyro/distributions/multivariate_studentt.py', 'pyro/distributions/softlaplace.py', 'tests/distributions/conftest.py', 'examples/contrib/forecast/bart.py', 'examples/lkj.py', 'pyro/distributions/lkj.py', 'tests/distributions/conftest.py', 'tests/distributions/test_lkj.py', 'tests/infer/test_autoguide.py', 'pyro/distributions/__init__.py', 'pyro/distributions/constraints.py', 'pyro/distributions/lkj.py', 'pyro/distributions/torch_patch.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/cholesky.py', 'tests/distributions/conftest.py', 'tests/distributions/test_constraints.py', 'tests/distributions/test_transforms.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_skewed.py', 'tests/distributions/conftest.py', 'tests/distributions/test_sine_skewed.py', 'pyro/distributions/affine_beta.py', 'pyro/distributions/conjugate.py', 'pyro/distributions/multivariate_studentt.py', 'pyro/distributions/projected_normal.py', 'pyro/distributions/torch.py', 'pyro/distributions/torch_distribution.py', 'pyro/distributions/affine_beta.py', 'pyro/distributions/testing/__init__.py', 'pyro/distributions/testing/gof.py', 'pyro/distributions/testing/special.py', 'tests/common.py', 'tests/distributions/conftest.py', 'tests/distributions/test_von_mises.py', 'tests/distributions/testing/test_special.py', 'pyro/distributions/__init__.py', 'pyro/distributions/constraints.py', 'pyro/distributions/projected_normal.py', 'pyro/distributions/von_mises_3d.py', 'pyro/infer/autoguide/guides.py', 'pyro/infer/autoguide/initialization.py', 'pyro/infer/autoguide/utils.py', 'pyro/infer/reparam/__init__.py', 'pyro/infer/reparam/projected_normal.py', 'tests/common.py', 'tests/distributions/conftest.py', 'tests/distributions/test_constraints.py', 'tests/infer/reparam/test_projected_normal.py', 'tests/infer/test_autoguide.py', 'pyro/distributions/torch_distribution.py', 'pyro/distributions/torch_distribution.py', 'pyro/distributions/transforms/__init__.py', 'pyro/distributions/transforms/lower_cholesky_affine.py', 'tests/distributions/test_transforms.py', 'pyro/distributions/__init__.py', 'pyro/distributions/stable.py', 'tests/distributions/conftest.py', 'tests/distributions/test_stable.py']"
tests/distributions/test_log_normal_negative_binomial.py,"['pyro/distributions/__init__.py', 'pyro/distributions/log_normal_negative_binomial.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/ops/test_special.py']"
tests/ops/test_special.py,"['pyro/distributions/__init__.py', 'pyro/distributions/log_normal_negative_binomial.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_log_normal_negative_binomial.py', 'pyro/distributions/__init__.py', 'pyro/distributions/sine_bivariate_von_mises.py', 'pyro/ops/special.py', 'tests/distributions/conftest.py', 'tests/distributions/test_distributions.py', 'tests/distributions/test_sine_bivariate_von_mises.py', 'examples/sir_hmc.py', 'pyro/contrib/epidemiology/compartmental.py', 'pyro/contrib/epidemiology/distributions.py', 'pyro/contrib/epidemiology/util.py', 'pyro/distributions/coalescent.py', 'pyro/distributions/conjugate.py', 'pyro/distributions/extended.py', 'pyro/distributions/hmm.py', 'pyro/ops/einsum/torch_log.py', 'pyro/ops/special.py', 'pyro/ops/tensor_utils.py', 'tests/distributions/test_extended.py', 'tests/ops/test_tensor_utils.py', 'pyro/contrib/epidemiology/compartmental.py', 'pyro/contrib/epidemiology/distributions.py', 'pyro/distributions/conjugate.py', 'pyro/distributions/torch.py', 'pyro/ops/special.py', 'tests/distributions/test_binomial.py']"
pyro/params/param_store.py,"['pyro/primitives.py', 'tests/params/test_param.py', 'examples/air/main.py', 'pyro/nn/module.py', 'pyro/optim/optim.py', 'tests/infer/test_inference.py', 'tests/integration_tests/test_tracegraph_elbo.py', 'tests/optim/test_optim.py', 'pyro/nn/module.py', 'tests/nn/test_module.py']"
pyro/primitives.py,"['pyro/params/param_store.py', 'examples/scanvi/scanvi.py', 'pyro/distributions/unit.py', 'pyro/infer/autoguide/gaussian.py', 'pyro/util.py', 'tests/infer/test_valid_models.py', 'pyro/poutine/lift_messenger.py', 'pyro/infer/autoguide/guides.py', 'tests/infer/reparam/test_structured.py', 'tests/infer/test_autoguide.py', 'tests/infer/mcmc/test_valid_models.py', 'tests/infer/test_valid_models.py', 'pyro/util.py', 'tests/infer/test_autoguide.py', 'pyro/infer/util.py', 'tests/infer/test_valid_models.py', 'pyro/__init__.py', 'pyro/poutine/collapse_messenger.py', 'tests/infer/test_valid_models.py', 'pyro/poutine/messenger.py', 'pyro/poutine/plate_messenger.py', 'tests/infer/test_valid_models.py', 'pyro/optim/dct_adam.py', 'tests/test_primitives.py', 'pyro/__init__.py', 'pyro/contrib/forecast/forecaster.py', 'pyro/distributions/torch.py', 'pyro/infer/autoguide/guides.py', 'pyro/poutine/subsample_messenger.py', 'tests/contrib/forecast/test_forecaster.py', 'tests/infer/test_autoguide.py', 'tests/infer/test_valid_models.py', 'pyro/contrib/forecast/__init__.py', 'pyro/contrib/forecast/evaluate.py', 'pyro/contrib/forecast/forecaster.py', 'tests/contrib/forecast/test_evaluate.py', 'pyro/__init__.py', 'tests/infer/test_predictive.py', 'examples/cevae.py', 'tests/test_examples.py', 'pyro/contrib/oed/eig.py', 'pyro/infer/abstract_infer.py', 'pyro/infer/mcmc/util.py', 'pyro/infer/predictive.py', 'pyro/infer/svi.py', 'tests/infer/mcmc/test_mcmc_util.py', 'tests/infer/mcmc/test_nuts.py', 'tests/infer/test_abstract_infer.py', 'tests/params/test_module.py', 'tests/poutine/test_poutines.py']"
