key,time,commitTime,PythonfileNum,pythonFile
#11780,2022-02-07 14:26:18,2022-02-07 19:56:18,2,"['pytorch_lightning/strategies/dp.py', 'tests/accelerators/test_dp.py']"
#11764,2022-02-07 05:59:39,2022-02-07 00:59:39,4,"['pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/loggers/tensorboard.py', 'tests/loggers/test_csv.py', 'tests/loggers/test_tensorboard.py']"
#11740,2022-02-05 03:45:49,2022-02-04 22:45:48,2,"['pytorch_lightning/profiler/base.py', 'tests/profiler/test_profiler.py']"
#11716,2022-02-05 01:02:41,2022-02-05 02:02:41,2,"['pytorch_lightning/loggers/wandb.py', 'tests/loggers/test_wandb.py']"
#11708,2022-02-03 01:55:24,2022-02-02 17:55:24,2,"['pytorch_lightning/utilities/cloud_io.py', 'tests/utilities/test_cloud_io.py']"
#11700,2022-02-03 13:35:39,2022-02-03 19:05:38,2,"['pytorch_lightning/callbacks/progress/tqdm_progress.py', 'tests/callbacks/test_tqdm_progress_bar.py']"
#11696,2022-02-05 04:23:16,2022-02-04 20:23:16,5,"['pytorch_lightning/callbacks/finetuning.py', 'pytorch_lightning/trainer/trainer.py', 'tests/callbacks/test_finetuning_callback.py', 'tests/deprecated_api/test_remove_1-8.py', 'tests/trainer/test_trainer.py']"
#11690,2022-02-03 04:18:08,2022-02-03 09:48:07,2,"['pytorch_lightning/callbacks/progress/rich_progress.py', 'tests/callbacks/test_rich_progress_bar.py']"
#11689,2022-02-03 01:43:49,2022-02-03 07:13:48,3,"['pytorch_lightning/callbacks/progress/rich_progress.py', 'tests/callbacks/test_rich_progress_bar.py', 'tests/callbacks/test_tqdm_progress_bar.py']"
#11672,2022-02-02 22:44:00,2022-02-02 23:44:00,2,"['pytorch_lightning/utilities/cli.py', 'tests/utilities/test_cli.py']"
#11671,2022-02-02 20:44:43,2022-02-03 02:14:42,2,"['pytorch_lightning/profiler/simple.py', 'tests/profiler/test_profiler.py']"
#11668,2022-02-03 10:27:05,2022-02-03 15:57:05,5,"['pytorch_lightning/callbacks/progress/base.py', 'pytorch_lightning/callbacks/progress/rich_progress.py', 'pytorch_lightning/loops/dataloader/evaluation_loop.py', 'pytorch_lightning/trainer/trainer.py', 'tests/callbacks/test_rich_progress_bar.py']"
#11655,2022-02-07 11:07:22,2022-02-07 12:07:21,4,"['pytorch_lightning/callbacks/base.py', 'pytorch_lightning/trainer/configuration_validator.py', 'tests/callbacks/test_finetuning_callback.py', 'tests/deprecated_api/test_remove_1-8.py']"
#11648,2022-02-03 04:01:21,2022-02-03 04:01:20,2,"['pytorch_lightning/trainer/trainer.py', 'tests/trainer/test_supporters.py']"
#11637,2022-02-07 20:13:25,2022-02-07 12:13:24,4,"['pytorch_lightning/core/datamodule.py', 'pytorch_lightning/trainer/connectors/checkpoint_connector.py', 'tests/core/test_datamodules.py', 'tests/models/test_hooks.py']"
#11627,2022-02-03 02:29:27,2022-02-03 07:59:26,3,"['pytorch_lightning/callbacks/base.py', 'pytorch_lightning/trainer/configuration_validator.py', 'tests/deprecated_api/test_remove_1-8.py']"
#11620,2022-02-02 21:10:20,2022-02-02 22:10:19,2,"['pytorch_lightning/strategies/ipu.py', 'pytorch_lightning/trainer/trainer.py']"
#11606,2022-02-05 03:59:47,2022-02-05 04:59:46,2,"['pytorch_lightning/utilities/fetching.py', 'tests/utilities/test_fetching.py']"
#11594,2022-02-07 11:30:29,2022-02-07 17:00:29,2,"['pytorch_lightning/strategies/dp.py', 'tests/accelerators/test_dp.py']"
#11578,2022-02-07 14:15:27,2022-02-07 19:45:27,14,"['pl_examples/basic_examples/autoencoder.py', 'pl_examples/domain_templates/generative_adversarial_net.py', 'pytorch_lightning/callbacks/base.py', 'pytorch_lightning/core/hooks.py', 'pytorch_lightning/trainer/configuration_validator.py', 'tests/callbacks/test_callback_hook_outputs.py', 'tests/checkpointing/test_legacy_checkpoints.py', 'tests/core/test_metric_result_integration.py', 'tests/deprecated_api/test_remove_1-8.py', 'tests/models/test_hooks.py', 'tests/models/test_restore.py', 'tests/trainer/logging_/test_eval_loop_logging.py', 'tests/trainer/logging_/test_train_loop_logging.py', 'tests/trainer/test_trainer.py']"
#11577,2022-02-03 19:51:57,2022-02-04 01:21:56,8,"['pytorch_lightning/callbacks/base.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/loops/epoch/evaluation_epoch_loop.py', 'pytorch_lightning/trainer/configuration_validator.py', 'pytorch_lightning/tuner/lr_finder.py', 'tests/deprecated_api/test_remove_1-8.py', 'tests/trainer/logging_/test_train_loop_logging.py', 'tests/trainer/test_states.py']"
#11575,2022-02-03 09:35:32,2022-02-03 15:05:31,4,"['pytorch_lightning/trainer/connectors/data_connector.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/utilities/data.py', 'tests/trainer/connectors/test_data_connector.py']"
#11572,2022-02-03 04:25:17,2022-02-02 20:25:16,4,"['pytorch_lightning/strategies/ddp.py', 'pytorch_lightning/strategies/ddp_spawn.py', 'pytorch_lightning/strategies/parallel.py', 'pytorch_lightning/trainer/connectors/accelerator_connector.py']"
#11568,2022-02-03 04:14:34,2022-02-03 05:14:33,6,"['pytorch_lightning/callbacks/finetuning.py', 'pytorch_lightning/callbacks/pruning.py', 'pytorch_lightning/callbacks/stochastic_weight_avg.py', 'tests/callbacks/test_finetuning_callback.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/strategies/test_deepspeed_strategy.py']"
#11562,2022-02-02 19:57:08,2022-02-02 20:57:08,14,"['pytorch_lightning/callbacks/model_checkpoint.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/loops/base.py', 'pytorch_lightning/loops/epoch/training_epoch_loop.py', 'pytorch_lightning/loops/fit_loop.py', 'pytorch_lightning/trainer/connectors/checkpoint_connector.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/tuner/batch_size_scaling.py', 'pytorch_lightning/tuner/lr_finder.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/checkpointing/test_trainer_checkpoint.py', 'tests/core/test_metric_result_integration.py', 'tests/models/test_restore.py', 'tests/trainer/test_trainer.py']"
#11557,2022-02-02 22:43:13,2022-02-03 04:13:13,3,"['tests/deprecated_api/__init__.py', 'tests/helpers/utils.py', 'tests/utilities/test_data.py']"
#11556,2022-02-03 05:42:32,2022-02-03 11:12:31,4,"['pytorch_lightning/loops/fit_loop.py', 'pytorch_lightning/trainer/connectors/checkpoint_connector.py', 'pytorch_lightning/utilities/cloud_io.py', 'tests/models/test_restore.py']"
#11552,2022-02-02 20:19:35,2022-02-03 01:49:34,2,"['pytorch_lightning/loops/epoch/training_epoch_loop.py', 'tests/loops/epoch/test_training_epoch_loop.py']"
#11550,2022-02-03 02:26:09,2022-02-03 03:26:08,13,"['pytorch_lightning/trainer/connectors/signal_connector.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/tuner/batch_size_scaling.py', 'pytorch_lightning/tuner/lr_finder.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/deprecated_api/test_remove_2-0.py', 'tests/helpers/pipelines.py', 'tests/loops/test_loop_state_dict.py', 'tests/models/data/horovod/train_default_model.py', 'tests/models/test_cpu.py', 'tests/models/test_restore.py', 'tests/trainer/connectors/test_checkpoint_connector.py', 'tests/trainer/test_trainer.py']"
#11549,2022-02-02 22:10:01,2022-02-03 07:10:01,6,"['pytorch_lightning/core/optimizer.py', 'pytorch_lightning/strategies/deepspeed.py', 'pytorch_lightning/strategies/horovod.py', 'pytorch_lightning/strategies/strategy.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/tuner/lr_finder.py']"
#11537,2022-01-19 21:27:12,2022-01-19 13:27:12,14,"['pytorch_lightning/strategies/ddp.py', 'pytorch_lightning/strategies/ddp_spawn.py', 'pytorch_lightning/strategies/dp.py', 'pytorch_lightning/strategies/fully_sharded.py', 'pytorch_lightning/strategies/horovod.py', 'pytorch_lightning/strategies/ipu.py', 'pytorch_lightning/strategies/parallel.py', 'pytorch_lightning/strategies/single_device.py', 'pytorch_lightning/strategies/strategy.py', 'tests/strategies/test_ddp_spawn_strategy.py', 'tests/strategies/test_ddp_strategy.py', 'tests/strategies/test_single_device_strategy.py', 'tests/strategies/test_tpu_spawn.py', 'tests/trainer/test_trainer.py']"
#11536,2022-01-20 07:25:27,2022-01-19 23:25:26,7,"['pytorch_lightning/strategies/parallel.py', 'pytorch_lightning/strategies/single_device.py', 'pytorch_lightning/strategies/strategy.py', 'tests/strategies/test_ddp_spawn_strategy.py', 'tests/strategies/test_ddp_strategy.py', 'tests/strategies/test_single_device_strategy.py', 'tests/strategies/test_tpu_spawn.py']"
