file,fileSet
pytorch_lightning/strategies/dp.py,"['tests/accelerators/test_dp.py', 'tests/accelerators/test_dp.py', 'pytorch_lightning/strategies/ddp.py', 'pytorch_lightning/strategies/ddp_spawn.py', 'pytorch_lightning/strategies/fully_sharded.py', 'pytorch_lightning/strategies/horovod.py', 'pytorch_lightning/strategies/ipu.py', 'pytorch_lightning/strategies/parallel.py', 'pytorch_lightning/strategies/single_device.py', 'pytorch_lightning/strategies/strategy.py', 'tests/strategies/test_ddp_spawn_strategy.py', 'tests/strategies/test_ddp_strategy.py', 'tests/strategies/test_single_device_strategy.py', 'tests/strategies/test_tpu_spawn.py', 'tests/trainer/test_trainer.py']"
tests/accelerators/test_dp.py,"['pytorch_lightning/strategies/dp.py', 'pytorch_lightning/strategies/dp.py', 'pytorch_lightning/core/hooks.py', 'pytorch_lightning/core/lightning.py', 'tests/deprecated_api/test_remove_1-6.py', 'tests/accelerators/test_common.py', 'tests/accelerators/test_ddp_spawn.py', 'tests/core/test_metric_result_integration.py', 'tests/core/test_results.py', 'tests/helpers/utils.py', 'tests/models/data/horovod/train_default_model.py', 'tests/models/test_amp.py', 'tests/models/test_cpu.py', 'tests/models/test_gpu.py', 'tests/models/test_horovod.py', 'tests/models/test_onnx.py', 'tests/models/test_restore.py', 'tests/models/test_sync_batchnorm.py', 'tests/trainer/test_trainer.py', 'tests/utilities/test_auto_restart.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/core/memory.py', 'pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/utilities/memory.py', 'pytorch_lightning/utilities/model_summary.py', 'tests/accelerators/test_ddp_spawn.py', 'tests/deprecated_api/test_remove_1-6.py', 'tests/deprecated_api/test_remove_1-7.py', 'tests/utilities/test_model_summary.py']"
pytorch_lightning/loggers/csv_logs.py,"['pytorch_lightning/loggers/tensorboard.py', 'tests/loggers/test_csv.py', 'tests/loggers/test_tensorboard.py', 'pytorch_lightning/loggers/base.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/loggers/neptune.py', 'pytorch_lightning/loggers/tensorboard.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/utilities/logger.py', 'tests/loggers/test_base.py', 'tests/loggers/test_wandb.py', 'tests/utilities/test_logger.py', 'tests/loggers/test_all.py', 'pytorch_lightning/loggers/tensorboard.py', 'pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py', 'pytorch_lightning/trainer/trainer.py', 'tests/deprecated_api/test_remove_1-7.py', 'tests/loggers/test_csv.py', 'pytorch_lightning/core/datamodule.py', 'pytorch_lightning/core/grads.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/loops/training_batch_loop.py', 'pytorch_lightning/plugins/training_type/ddp_spawn.py', 'pytorch_lightning/plugins/training_type/deepspeed.py', 'pytorch_lightning/profiler/profilers.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/trainer/connectors/accelerator_connector.py', 'pytorch_lightning/trainer/connectors/data_connector.py', 'pytorch_lightning/trainer/connectors/logger_connector/result.py', 'pytorch_lightning/trainer/connectors/training_trick_connector.py', 'pytorch_lightning/trainer/logging.py', 'pytorch_lightning/trainer/model_hooks.py', 'pytorch_lightning/utilities/__init__.py', 'pytorch_lightning/utilities/distributed.py', 'pytorch_lightning/utilities/parsing.py', 'pytorch_lightning/utilities/warnings.py', 'tests/utilities/test_warnings.py']"
pytorch_lightning/loggers/tensorboard.py,"['pytorch_lightning/loggers/csv_logs.py', 'tests/loggers/test_csv.py', 'tests/loggers/test_tensorboard.py', 'pytorch_lightning/loggers/base.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/loggers/neptune.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/utilities/logger.py', 'tests/loggers/test_base.py', 'tests/loggers/test_wandb.py', 'tests/utilities/test_logger.py', 'pytorch_lightning/callbacks/early_stopping.py', 'pytorch_lightning/callbacks/finetuning.py', 'pytorch_lightning/callbacks/lr_monitor.py', 'pytorch_lightning/callbacks/progress/base.py', 'pytorch_lightning/core/saving.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/loops/epoch/training_epoch_loop.py', 'pytorch_lightning/trainer/callback_hook.py', 'pytorch_lightning/trainer/connectors/logger_connector/result.py', 'pytorch_lightning/trainer/optimizers.py', 'pytorch_lightning/tuner/batch_size_scaling.py', 'pytorch_lightning/tuner/lr_finder.py', 'pytorch_lightning/utilities/warnings.py', 'tests/deprecated_api/test_remove_1-8.py', 'tests/utilities/test_warnings.py', 'pytorch_lightning/plugins/training_type/ipu.py', 'pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py', 'pytorch_lightning/trainer/trainer.py', 'tests/deprecated_api/test_remove_1-7.py', 'tests/loggers/test_csv.py', 'tests/loggers/test_tensorboard.py', 'pytorch_lightning/callbacks/pruning.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/loggers/test_tube.py', 'pl_examples/domain_templates/reinforce_learn_ppo.py', 'pytorch_lightning/accelerators/accelerator.py', 'pytorch_lightning/callbacks/lr_monitor.py', 'pytorch_lightning/loggers/neptune.py', 'pytorch_lightning/loops/dataloader/evaluation_loop.py', 'pytorch_lightning/loops/fit_loop.py', 'pytorch_lightning/plugins/training_type/deepspeed.py', 'pytorch_lightning/plugins/training_type/ipu.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/trainer/connectors/accelerator_connector.py', 'pytorch_lightning/trainer/connectors/data_connector.py', 'pytorch_lightning/trainer/connectors/debugging_connector.py', 'pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py', 'pytorch_lightning/trainer/properties.py', 'pytorch_lightning/trainer/supporters.py', 'pytorch_lightning/utilities/argparse.py', 'pytorch_lightning/utilities/cloud_io.py', 'pytorch_lightning/utilities/device_parser.py', 'pytorch_lightning/utilities/distributed.py', 'pytorch_lightning/utilities/parsing.py', 'tests/trainer/logging_/test_eval_loop_logging.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/loggers/base.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/overrides/fairscale.py', 'pytorch_lightning/plugins/precision/apex_amp.py', 'pytorch_lightning/plugins/precision/double.py', 'pytorch_lightning/plugins/training_type/ddp_spawn.py', 'pytorch_lightning/plugins/training_type/ipu.py', 'pytorch_lightning/plugins/training_type/sharded.py', 'pytorch_lightning/plugins/training_type/sharded_spawn.py', 'pytorch_lightning/plugins/training_type/tpu_spawn.py', 'pytorch_lightning/trainer/callback_hook.py', 'pytorch_lightning/trainer/connectors/callback_connector.py', 'pytorch_lightning/trainer/connectors/checkpoint_connector.py', 'pytorch_lightning/trainer/connectors/logger_connector/result.py', 'pytorch_lightning/trainer/data_loading.py', 'pytorch_lightning/trainer/model_hooks.py', 'pytorch_lightning/trainer/optimizers.py', 'pytorch_lightning/trainer/properties.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/trainer/training_tricks.py', 'pytorch_lightning/utilities/distributed.py', 'pytorch_lightning/utilities/model_helpers.py', 'tests/checkpointing/test_checkpoint_callback_frequency.py', 'tests/core/test_metric_result_integration.py', 'tests/metrics/test_remove_1-5_metrics.py', 'tests/models/test_hooks.py', 'tests/trainer/logging_/test_logger_connector.py', 'tests/loggers/test_tensorboard.py', 'tests/loggers/test_all.py', 'tests/loggers/test_tensorboard.py']"
tests/loggers/test_csv.py,"['pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/loggers/tensorboard.py', 'tests/loggers/test_tensorboard.py', 'pytorch_lightning/core/saving.py', 'pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/loggers/tensorboard.py', 'pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py', 'pytorch_lightning/trainer/trainer.py', 'tests/deprecated_api/test_remove_1-7.py', 'pytorch_lightning/callbacks/gradient_accumulation_scheduler.py', 'pytorch_lightning/trainer/data_loading.py', 'tests/callbacks/test_gpu_stats_monitor.py', 'tests/callbacks/test_xla_stats_monitor.py', 'tests/tuner/test_lr_finder.py', 'tests/utilities/test_apply_func.py', 'tests/utilities/test_argparse.py']"
tests/loggers/test_tensorboard.py,"['pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/loggers/tensorboard.py', 'tests/loggers/test_csv.py', 'pytorch_lightning/plugins/training_type/ddp_spawn.py', 'pytorch_lightning/plugins/training_type/tpu_spawn.py', 'tests/helpers/runif.py', 'tests/loggers/test_all.py', 'tests/plugins/test_tpu_spawn.py', 'tests/utilities/test_all_gather_grad.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/core/test_datamodules.py', 'tests/helpers/runif.py', 'tests/models/test_hparams.py', 'tests/trainer/test_trainer.py', 'pytorch_lightning/plugins/training_type/ddp_spawn.py', 'pytorch_lightning/plugins/training_type/tpu_spawn.py', 'pytorch_lightning/loops/fit_loop.py', 'pytorch_lightning/loops/optimization/optimizer_loop.py', 'pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py', 'tests/trainer/optimization/test_manual_optimization.py', 'pytorch_lightning/loggers/tensorboard.py', 'pytorch_lightning/callbacks/finetuning.py', 'pytorch_lightning/callbacks/stochastic_weight_avg.py', 'pytorch_lightning/loops/dataloader/prediction_loop.py', 'pytorch_lightning/overrides/base.py', 'pytorch_lightning/overrides/torch_distributed.py', 'pytorch_lightning/plugins/training_type/ddp.py', 'pytorch_lightning/plugins/training_type/ddp_spawn.py', 'pytorch_lightning/profiler/xla.py', 'pytorch_lightning/trainer/data_loading.py', 'pytorch_lightning/trainer/supporters.py', 'pytorch_lightning/utilities/__init__.py', 'pytorch_lightning/utilities/apply_func.py', 'pytorch_lightning/utilities/auto_restart.py', 'pytorch_lightning/utilities/imports.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/profiler/test_profiler.py', 'tests/trainer/test_dataloaders.py', 'tests/utilities/test_auto_restart.py', 'pytorch_lightning/accelerators/tpu.py', 'pytorch_lightning/callbacks/quantization.py', 'pytorch_lightning/utilities/__init__.py', 'pytorch_lightning/utilities/imports.py', 'requirements/adjust_versions.py', 'tests/callbacks/test_quantization.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/models/test_torchscript.py', 'tests/profiler/test_profiler.py', 'tests/trainer/optimization/test_manual_optimization.py', 'benchmarks/test_basic_parity.py', 'pytorch_lightning/callbacks/finetuning.py', 'pytorch_lightning/callbacks/progress.py', 'pytorch_lightning/callbacks/stochastic_weight_avg.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/trainer/connectors/checkpoint_connector.py', 'pytorch_lightning/trainer/connectors/debugging_connector.py', 'pytorch_lightning/trainer/connectors/logger_connector/logger_connector.py', 'pytorch_lightning/trainer/connectors/optimizer_connector.py', 'pytorch_lightning/trainer/deprecated_api.py', 'pytorch_lightning/trainer/properties.py', 'pytorch_lightning/tuner/batch_size_scaling.py', 'pytorch_lightning/tuner/lr_finder.py', 'tests/callbacks/test_progress_bar.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/deprecated_api/test_remove_1-6.py', 'tests/trainer/loops/test_training_loop.py', 'tests/trainer/optimization/test_manual_optimization.py', 'tests/trainer/test_trainer.py', 'pytorch_lightning/loggers/tensorboard.py', 'pytorch_lightning/trainer/connectors/optimizer_connector.py', 'pytorch_lightning/trainer/training_loop.py', 'tests/callbacks/test_early_stopping.py', 'tests/models/test_hooks.py', 'tests/trainer/loops/test_training_loop.py', 'pytorch_lightning/loggers/tensorboard.py', 'tests/loggers/test_all.py', 'tests/conftest.py']"
pytorch_lightning/profiler/base.py,"['tests/profiler/test_profiler.py', 'pytorch_lightning/accelerators/gpu.py', 'pytorch_lightning/callbacks/gpu_stats_monitor.py', 'pytorch_lightning/core/mixins/device_dtype_mixin.py', 'pytorch_lightning/trainer/connectors/logger_connector/result.py', 'pytorch_lightning/utilities/imports.py', 'pytorch_lightning/utilities/memory.py', 'pytorch_lightning/utilities/model_summary.py', 'setup.py', 'tests/conftest.py', 'tests/trainer/test_trainer_cli.py', 'tests/utilities/test_argparse.py', 'tests/utilities/test_cli.py', 'tests/profiler/test_profiler.py', 'pytorch_lightning/profiler/__init__.py', 'pytorch_lightning/profiler/advanced.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/profiler/simple.py', 'pytorch_lightning/profiler/xla.py', 'tests/deprecated_api/test_remove_1-5.py', 'pytorch_lightning/loops/dataloader/evaluation_loop.py', 'pytorch_lightning/loops/epoch/evaluation_epoch_loop.py', 'pytorch_lightning/trainer/connectors/checkpoint_connector.py', 'pytorch_lightning/trainer/connectors/data_connector.py', 'pytorch_lightning/trainer/data_loading.py', 'pytorch_lightning/trainer/supporters.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/utilities/auto_restart.py', 'pytorch_lightning/utilities/fetching.py', 'pytorch_lightning/utilities/imports.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/core/test_metric_result_integration.py', 'tests/loops/test_loops.py', 'tests/trainer/test_supporters.py', 'tests/utilities/test_auto_restart.py', 'tests/utilities/test_fetching.py', 'pytorch_lightning/profiler/pytorch.py', 'tests/test_profiler.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/loops/training_batch_loop.py', 'pytorch_lightning/loops/training_epoch_loop.py', 'pytorch_lightning/plugins/training_type/deepspeed.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/trainer/callback_hook.py', 'pytorch_lightning/utilities/device_parser.py', 'pytorch_lightning/utilities/warnings.py', 'tests/deprecated_api/test_remove_1-5.py', 'pytorch_lightning/profiler/__init__.py', 'pytorch_lightning/profiler/advanced.py', 'pytorch_lightning/profiler/profilers.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/profiler/simple.py', 'tests/deprecated_api/test_remove_1-6.py']"
tests/profiler/test_profiler.py,"['pytorch_lightning/profiler/base.py', 'pytorch_lightning/profiler/simple.py', 'tests/profiler/test_xla_profiler.py', 'pytorch_lightning/profiler/simple.py', 'pytorch_lightning/loops/optimization/optimizer_loop.py', 'pytorch_lightning/profiler/__init__.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/profiler/xla.py', 'pytorch_lightning/plugins/__init__.py', 'pytorch_lightning/plugins/training_type/__init__.py', 'pytorch_lightning/plugins/training_type/single_device.py', 'pytorch_lightning/plugins/training_type/single_tpu.py', 'pytorch_lightning/trainer/connectors/accelerator_connector.py', 'tests/accelerators/test_accelerator_connector.py', 'tests/accelerators/test_cpu.py', 'tests/deprecated_api/test_remove_1-7.py', 'tests/plugins/test_checkpoint_io_plugin.py', 'tests/plugins/test_custom_plugin.py', 'tests/plugins/test_single_device_plugin.py', 'pytorch_lightning/distributed/dist.py', 'pytorch_lightning/overrides/base.py', 'pytorch_lightning/plugins/__init__.py', 'pytorch_lightning/plugins/training_type/__init__.py', 'pytorch_lightning/plugins/training_type/ddp.py', 'pytorch_lightning/plugins/training_type/ddp2.py', 'pytorch_lightning/plugins/training_type/deepspeed.py', 'pytorch_lightning/plugins/training_type/fully_sharded.py', 'pytorch_lightning/plugins/training_type/sharded.py', 'pytorch_lightning/trainer/connectors/accelerator_connector.py', 'tests/accelerators/test_accelerator_connector.py', 'tests/accelerators/test_tpu.py', 'tests/benchmarks/test_sharded_parity.py', 'tests/plugins/environments/torch_elastic_deadlock.py', 'tests/plugins/test_cluster_integration.py', 'tests/plugins/test_custom_plugin.py', 'tests/plugins/test_ddp_plugin.py', 'tests/plugins/test_ddp_plugin_with_comm_hook.py', 'tests/plugins/test_plugins_registry.py', 'tests/trainer/test_trainer.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/loops/dataloader/evaluation_loop.py', 'pytorch_lightning/loops/dataloader/prediction_loop.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/trainer/data_loading.py', 'tests/accelerators/test_accelerator_connector.py', 'tests/accelerators/test_ddp.py', 'tests/accelerators/test_multi_nodes_gpu.py', 'tests/callbacks/test_pruning.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/callbacks/test_tqdm_progress_bar.py', 'tests/checkpointing/test_checkpoint_callback_frequency.py', 'tests/conftest.py', 'tests/core/test_metric_result_integration.py', 'tests/helpers/runif.py', 'tests/lite/test_lite.py', 'tests/lite/test_parity.py', 'tests/models/test_hooks.py', 'tests/models/test_sync_batchnorm.py', 'tests/plugins/environments/torch_elastic_deadlock.py', 'tests/plugins/test_amp_plugins.py', 'tests/plugins/test_ddp_fully_sharded_with_full_state_dict.py', 'tests/plugins/test_ddp_plugin.py', 'tests/plugins/test_ddp_plugin_with_comm_hook.py', 'tests/plugins/test_deepspeed_plugin.py', 'tests/plugins/test_sharded_plugin.py', 'tests/trainer/logging_/test_train_loop_logging.py', 'tests/trainer/optimization/test_manual_optimization.py', 'tests/trainer/optimization/test_optimizers.py', 'tests/trainer/test_trainer.py', 'tests/utilities/test_all_gather_grad.py', 'tests/utilities/test_deepspeed_collate_checkpoint.py', 'tests/utilities/test_meta.py', 'tests/utilities/test_warnings.py', 'tests/callbacks/test_early_stopping.py', 'tests/callbacks/test_pruning.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/checkpointing/test_torch_saving.py', 'tests/deprecated_api/test_remove_1-7.py', 'tests/helpers/runif.py', 'tests/loggers/test_all.py', 'tests/models/test_cpu.py', 'tests/models/test_horovod.py', 'tests/plugins/test_ddp_spawn_plugin.py', 'tests/trainer/logging_/test_distributed_logging.py', 'tests/trainer/logging_/test_train_loop_logging.py', 'tests/trainer/properties/test_get_model.py', 'tests/trainer/test_data_loading.py', 'tests/trainer/test_trainer.py', 'tests/utilities/test_all_gather_grad.py', 'pytorch_lightning/callbacks/quantization.py', 'pytorch_lightning/distributed/dist.py', 'pytorch_lightning/plugins/training_type/ddp.py', 'pytorch_lightning/plugins/training_type/ddp_spawn.py', 'pytorch_lightning/trainer/connectors/accelerator_connector.py', 'pytorch_lightning/utilities/__init__.py', 'pytorch_lightning/utilities/auto_restart.py', 'pytorch_lightning/utilities/cloud_io.py', 'pytorch_lightning/utilities/imports.py', 'pytorch_lightning/utilities/seed.py', 'tests/callbacks/test_quantization.py', 'tests/conftest.py', 'tests/core/test_metric_result_integration.py', 'tests/helpers/datamodules.py', 'tests/loops/optimization/test_optimizer_loop.py', 'tests/loops/test_loops.py', 'tests/plugins/test_double_plugin.py', 'tests/trainer/connectors/test_checkpoint_connector.py', 'tests/trainer/connectors/test_signal_connector.py', 'tests/trainer/test_data_loading.py', 'tests/trainer/test_supporters.py', 'tests/utilities/test_auto_restart.py', 'pytorch_lightning/profiler/base.py', 'pytorch_lightning/core/optimizer.py', 'pytorch_lightning/profiler/pytorch.py', 'benchmarks/test_basic_parity.py', 'pl_examples/basic_examples/mnist_datamodule.py', 'pytorch_lightning/utilities/enums.py', 'tests/accelerators/test_accelerator_connector.py', 'tests/accelerators/test_cpu.py', 'tests/callbacks/test_gpu_stats_monitor.py', 'tests/callbacks/test_lambda_function.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/core/test_datamodules.py', 'tests/deprecated_api/test_remove_1-7.py', 'tests/loggers/test_all.py', 'tests/models/test_hooks.py', 'tests/plugins/test_amp_plugins.py', 'tests/plugins/test_ddp_plugin_with_comm_hook.py', 'tests/plugins/test_ddp_spawn_plugin.py', 'tests/plugins/test_deepspeed_plugin.py', 'tests/trainer/flags/test_min_max_epochs.py', 'tests/trainer/logging_/test_logger_connector.py', 'tests/trainer/test_dataloaders.py', 'tests/trainer/test_supporters.py', 'tests/trainer/test_trainer.py', 'tests/utilities/test_cli.py', 'tests/models/test_gpu.py', 'tests/models/test_tpu.py', 'tests/trainer/test_dataloaders.py', 'tests/trainer/test_trainer_cli.py', 'tests/utilities/test_apply_func_torchtext.py', 'tests/utilities/test_dtype_device_mixin.py', 'tests/utilities/test_model_summary.py', 'pl_examples/basic_examples/profiler_example.py', 'pytorch_lightning/profiler/pytorch.py', 'tests/helpers/__init__.py', 'tests/helpers/boring_model.py', 'pytorch_lightning/core/hooks.py', 'pytorch_lightning/profiler/pytorch.py', 'tests/deprecated_api/test_remove_1-5.py', 'pytorch_lightning/callbacks/finetuning.py', 'pytorch_lightning/callbacks/stochastic_weight_avg.py', 'pytorch_lightning/loops/dataloader/prediction_loop.py', 'pytorch_lightning/overrides/base.py', 'pytorch_lightning/overrides/torch_distributed.py', 'pytorch_lightning/plugins/training_type/ddp.py', 'pytorch_lightning/plugins/training_type/ddp_spawn.py', 'pytorch_lightning/profiler/xla.py', 'pytorch_lightning/trainer/data_loading.py', 'pytorch_lightning/trainer/supporters.py', 'pytorch_lightning/utilities/__init__.py', 'pytorch_lightning/utilities/apply_func.py', 'pytorch_lightning/utilities/auto_restart.py', 'pytorch_lightning/utilities/imports.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/loggers/test_tensorboard.py', 'tests/trainer/test_dataloaders.py', 'tests/utilities/test_auto_restart.py', 'pytorch_lightning/accelerators/tpu.py', 'pytorch_lightning/callbacks/quantization.py', 'pytorch_lightning/utilities/__init__.py', 'pytorch_lightning/utilities/imports.py', 'requirements/adjust_versions.py', 'tests/callbacks/test_quantization.py', 'tests/callbacks/test_stochastic_weight_avg.py', 'tests/loggers/test_tensorboard.py', 'tests/models/test_torchscript.py', 'tests/trainer/optimization/test_manual_optimization.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/trainer/properties.py', 'pytorch_lightning/trainer/trainer.py', 'tests/trainer/properties/log_dir.py', 'pytorch_lightning/profiler/__init__.py', 'pytorch_lightning/profiler/profilers.py', 'pytorch_lightning/profiler/xla.py', 'pytorch_lightning/trainer/trainer.py', 'tests/profiler/__init__.py', 'tests/profiler/test_xla_profiler.py']"
pytorch_lightning/loggers/wandb.py,"['tests/loggers/test_wandb.py', 'pytorch_lightning/loggers/base.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/loggers/neptune.py', 'pytorch_lightning/loggers/tensorboard.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/utilities/logger.py', 'tests/loggers/test_base.py', 'tests/loggers/test_wandb.py', 'tests/utilities/test_logger.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'tests/deprecated_api/test_remove_1-6.py', 'pytorch_lightning/callbacks/base.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'pytorch_lightning/callbacks/progress/rich_progress.py', 'pytorch_lightning/callbacks/rich_model_summary.py', 'pytorch_lightning/loggers/__init__.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/loggers/neptune.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/loggers/base.py', 'tests/loggers/test_wandb.py', 'tests/loggers/test_wandb.py', 'pytorch_lightning/core/decorators.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/overrides/data_parallel.py', 'pytorch_lightning/plugins/environments/lsf_environment.py', 'pytorch_lightning/plugins/training_type/deepspeed.py', 'pytorch_lightning/trainer/configuration_validator.py', 'pytorch_lightning/trainer/connectors/accelerator_connector.py', 'pytorch_lightning/trainer/connectors/checkpoint_connector.py', 'pytorch_lightning/trainer/connectors/data_connector.py', 'pytorch_lightning/trainer/connectors/debugging_connector.py', 'pytorch_lightning/trainer/data_loading.py', 'pytorch_lightning/trainer/properties.py', 'pytorch_lightning/trainer/trainer.py', 'pytorch_lightning/tuner/auto_gpu_select.py', 'pytorch_lightning/tuner/batch_size_scaling.py', 'pytorch_lightning/utilities/model_summary.py', 'pytorch_lightning/utilities/upgrade_checkpoint.py', 'tests/tuner/test_auto_gpu_select.py', 'tests/loggers/test_wandb.py', 'tests/deprecated_api/test_remove_1-5.py', 'tests/loggers/test_wandb.py', 'tests/loggers/test_wandb.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'pytorch_lightning/core/lightning.py', 'pytorch_lightning/loops/training_batch_loop.py', 'pytorch_lightning/loops/training_epoch_loop.py', 'pytorch_lightning/plugins/training_type/deepspeed.py', 'pytorch_lightning/profiler/base.py', 'pytorch_lightning/profiler/pytorch.py', 'pytorch_lightning/trainer/callback_hook.py', 'pytorch_lightning/utilities/device_parser.py', 'pytorch_lightning/utilities/warnings.py', 'tests/deprecated_api/test_remove_1-5.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'pytorch_lightning/loggers/base.py', 'tests/loggers/test_base.py', 'tests/loggers/test_wandb.py']"
tests/loggers/test_wandb.py,"['pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/loggers/base.py', 'pytorch_lightning/loggers/comet.py', 'pytorch_lightning/loggers/csv_logs.py', 'pytorch_lightning/loggers/mlflow.py', 'pytorch_lightning/loggers/neptune.py', 'pytorch_lightning/loggers/tensorboard.py', 'pytorch_lightning/loggers/test_tube.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/utilities/logger.py', 'tests/loggers/test_base.py', 'tests/utilities/test_logger.py', 'pytorch_lightning/loggers/base.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/loggers/wandb.py', 'pytorch_lightning/callbacks/early_stopping.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'tests/checkpointing/test_checkpoint_callback_frequency.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/deprecated_api/test_remove_1-6.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'tests/checkpointing/test_model_checkpoint.py', 'tests/deprecated_api/test_remove_1-4.py', 'pytorch_lightning/callbacks/model_checkpoint.py', 'pytorch_lightning/loggers/base.py', 'pytorch_lightning/loggers/wandb.py', 'tests/loggers/test_base.py']"
