key,time,commitTime,PythonfileNum,pythonFile
#72487,2022-02-09 06:10:06,2022-02-08 22:05:28,3,"['test/quantization/fx/test_quantize_fx.py', 'torch/ao/quantization/fx/quantization_patterns.py', 'torch/ao/quantization/utils.py']"
#72476,2022-02-08 22:52:34,2022-02-08 13:34:18,5,"['torch/utils/data/datapipes/map/callable.py', 'torch/utils/data/datapipes/map/combinatorics.py', 'torch/utils/data/datapipes/map/combining.py', 'torch/utils/data/datapipes/map/grouping.py', 'torch/utils/data/datapipes/map/utils.py']"
#72475,2022-02-08 22:52:34,2022-02-08 13:34:18,10,"['torch/utils/data/datapipes/iter/callable.py', 'torch/utils/data/datapipes/iter/combinatorics.py', 'torch/utils/data/datapipes/iter/combining.py', 'torch/utils/data/datapipes/iter/filelister.py', 'torch/utils/data/datapipes/iter/fileopener.py', 'torch/utils/data/datapipes/iter/grouping.py', 'torch/utils/data/datapipes/iter/routeddecoder.py', 'torch/utils/data/datapipes/iter/selecting.py', 'torch/utils/data/datapipes/iter/streamreader.py', 'torch/utils/data/datapipes/iter/utils.py']"
#72387,2022-02-09 02:10:28,2022-02-08 18:04:54,4,"['test/quantization/fx/test_quantize_fx.py', 'torch/ao/quantization/fx/_lower_to_native_backend.py', 'torch/ao/quantization/fx/quantization_patterns.py', 'torch/ao/quantization/utils.py']"
#72374,2022-02-08 22:52:33,2022-02-08 13:19:58,4,"['test/fx2trt/trt_lower/test_diagnostics.py', 'torch/fx/experimental/fx2trt/diagnostics.py', 'torch/fx/experimental/fx2trt/fx2trt.py', 'torch/fx/experimental/fx2trt/lower.py']"
#72367,2022-02-07 21:49:42,2022-02-07 13:45:10,6,"['test/package/package_d/__init__.py', 'test/package/package_d/imports_directly.py', 'test/package/package_d/imports_indirectly.py', 'test/package/package_d/subpackage_0/__init__.py', 'test/package/package_d/subpackage_0/subsubpackage_0/__init__.py', 'test/package/test_repackage.py']"
#72284,2022-02-07 16:56:39,2022-02-07 08:18:20,4,"['test/fx2trt/converters/acc_op/test_prod.py', 'test/fx_acc/test_acc_tracer.py', 'torch/fx/experimental/fx2trt/converters/acc_ops_converters.py', 'torch/fx/experimental/fx_acc/acc_ops.py']"
#72277,2022-02-04 14:10:24,2022-02-04 06:05:52,2,"['test/quantization/eager/test_quantize_eager_ptq.py', 'torch/nn/quantized/modules/embedding_ops.py']"
#72276,2022-02-04 14:10:23,2022-02-04 06:05:52,2,"['test/quantization/core/test_quantized_module.py', 'torch/nn/quantized/modules/embedding_ops.py']"
#72272,2022-02-04 01:42:33,2022-02-03 17:38:53,2,"['test/test_fx.py', 'torch/fx/interpreter.py']"
#72260,2022-02-04 07:55:05,2022-02-03 23:50:15,4,"['test/test_datapipe.py', 'torch/utils/data/datapipes/iter/__init__.py', 'torch/utils/data/datapipes/iter/filelister.py', 'torch/utils/data/datapipes/utils/common.py']"
#72233,2022-02-04 21:24:51,2022-02-04 13:20:49,2,"['tools/stats/export_slow_tests.py', 'tools/stats/import_test_stats.py']"
#72211,2022-02-08 03:46:28,2022-02-07 19:41:08,10,"['.circleci/cimodel/data/pytorch_build_definitions.py', '.circleci/cimodel/data/simple/docker_definitions.py', 'torch/_jit_internal.py', 'torch/distributed/algorithms/join.py', 'torch/distributed/elastic/multiprocessing/api.py', 'torch/futures/__init__.py', 'torch/fx/node.py', 'torch/nn/modules/module.py', 'torch/overrides.py', 'torch/utils/data/_typing.py']"
#72209,2022-02-03 22:51:03,2022-02-03 14:49:32,2,"['torch/utils/data/graph.py', 'torch/utils/data/graph_settings.py']"
#72200,2022-02-03 04:15:22,2022-02-03 07:14:03,2,"['test/forward_backward_compatibility/check_forward_backward_compatibility.py', 'torch/overrides.py']"
