key,time,commitTime,PythonfileNum,pythonFile
#6230,2022-02-16 16:02:04,2022-02-16 11:02:04,4,"['skimage/measure/__init__.py', 'skimage/measure/_marching_cubes_lewiner.py', 'skimage/measure/setup.py', 'skimage/measure/tests/test_marching_cubes.py']"
#6214,2022-01-28 09:06:36,2022-01-28 04:06:35,2,"['skimage/transform/_geometric.py', 'skimage/transform/tests/test_geometric.py']"
#6211,2022-01-27 16:48:56,2022-01-27 08:48:55,2,"['skimage/transform/_geometric.py', 'skimage/transform/tests/test_geometric.py']"
#6204,2022-01-25 19:49:53,2022-01-25 11:49:53,18,"['doc/examples/applications/plot_3d_structure_tensor.py', 'doc/examples/applications/plot_face_detection.py', 'doc/examples/applications/plot_human_mitosis.py', 'doc/examples/edges/plot_skeleton.py', 'doc/examples/segmentation/plot_euler_number.py', 'doc/examples/segmentation/plot_perimeters.py', 'skimage/draw/draw_nd.py', 'skimage/feature/_basic_features.py', 'skimage/feature/censure.py', 'skimage/feature/peak.py', 'skimage/feature/texture.py', 'skimage/filters/thresholding.py', 'skimage/measure/_regionprops_utils.py', 'skimage/measure/tests/test_regionprops.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/tests/test_skeletonize.py', 'skimage/morphology/tests/test_skeletonize_3d.py', 'skimage/restoration/non_local_means.py']"
#6191,2022-01-19 17:02:45,2022-01-19 18:02:44,2,"['skimage/transform/pyramids.py', 'skimage/transform/tests/test_pyramids.py']"
#6183,2022-02-08 15:45:21,2022-02-08 16:45:21,2,"['skimage/_shared/tests/test_utils.py', 'skimage/_shared/utils.py']"
#6169,2022-01-07 18:26:39,2022-01-07 13:26:38,2,"['skimage/exposure/histogram_matching.py', 'skimage/exposure/tests/test_histogram_matching.py']"
#6162,2022-01-07 08:18:10,2022-01-07 03:18:10,3,"['skimage/feature/__init__.py', 'skimage/feature/corner.py', 'skimage/feature/tests/test_corner.py']"
#6148,2022-01-04 08:26:05,2022-01-04 03:26:04,2,"['skimage/restoration/_denoise.py', 'skimage/restoration/tests/test_denoise.py']"
#6145,2022-01-04 10:15:39,2022-01-04 05:15:39,2,"['skimage/transform/pyramids.py', 'skimage/transform/tests/test_pyramids.py']"
#6109,2021-12-07 18:34:05,2021-12-07 13:34:04,2,"['setup.py', 'skimage/_build.py']"
#6097,2021-12-05 19:57:44,2021-12-05 14:57:44,2,"['skimage/data/__init__.py', 'skimage/data/tests/test_data.py']"
#6095,2021-12-05 20:01:53,2021-12-05 15:01:52,4,"['skimage/feature/tests/test_basic_features.py', 'skimage/transform/pyramids.py', 'skimage/transform/tests/test_pyramids.py', 'skimage/transform/tests/test_warps.py']"
#6089,2021-12-09 02:08:58,2021-12-08 21:08:58,2,"['skimage/data/_fetchers.py', 'skimage/measure/tests/test_blur_effect.py']"
#6073,2021-12-02 21:41:27,2021-12-02 16:41:26,23,"['skimage/_shared/tests/test_utils.py', 'skimage/_shared/utils.py', 'skimage/filters/_median.py', 'skimage/filters/rank/_percentile.py', 'skimage/filters/rank/bilateral.py', 'skimage/filters/rank/generic.py', 'skimage/filters/thresholding.py', 'skimage/measure/_find_contours.py', 'skimage/measure/_label.py', 'skimage/morphology/_flood_fill.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/binary.py', 'skimage/morphology/extrema.py', 'skimage/morphology/footprints.py', 'skimage/morphology/gray.py', 'skimage/morphology/grayreconstruct.py', 'skimage/restoration/_denoise.py', 'skimage/restoration/deconvolution.py', 'skimage/restoration/non_local_means.py', 'skimage/segmentation/_chan_vese.py', 'skimage/segmentation/active_contour_model.py', 'skimage/segmentation/morphsnakes.py', 'skimage/segmentation/slic_superpixels.py']"
#6057,2021-11-25 12:06:48,2021-11-25 07:06:47,6,"['setup.py', 'skimage/exposure/_adapthist.py', 'skimage/feature/template.py', 'skimage/filters/tests/test_thresholding.py', 'skimage/filters/thresholding.py', 'skimage/segmentation/slic_superpixels.py']"
#6046,2021-12-10 21:26:50,2021-12-11 06:26:49,2,"['skimage/measure/fit.py', 'skimage/measure/tests/test_fit.py']"
#6044,2021-11-17 17:51:20,2021-11-17 12:51:20,7,"['setup.py', 'skimage/_build.py', 'skimage/_shared/version_requirements.py', 'skimage/data/_fetchers.py', 'skimage/io/_plugins/pil_plugin.py', 'skimage/io/collection.py', 'skimage/segmentation/tests/test_random_walker.py']"
#6042,2021-11-16 18:43:42,2021-11-16 13:43:41,2,"['skimage/exposure/exposure.py', 'skimage/feature/sift.py']"
#6035,2021-11-22 03:14:45,2021-11-22 04:14:44,2,"['skimage/_shared/coord.py', 'skimage/_shared/tests/test_coord.py']"
