file,fileSet
skimage/measure/__init__.py,"['skimage/measure/_marching_cubes_lewiner.py', 'skimage/measure/setup.py', 'skimage/measure/tests/test_marching_cubes.py', 'doc/examples/filters/plot_blur_effect.py', 'skimage/filters/__init__.py', 'skimage/measure/_blur_effect.py', 'skimage/measure/tests/test_blur_effect.py', 'doc/examples/segmentation/plot_expand_labels.py', 'skimage/measure/_label.py', 'skimage/segmentation/__init__.py', 'skimage/segmentation/_expand_labels.py', 'skimage/segmentation/tests/test_expand_labels.py', 'doc/examples/edges/plot_active_contours.py', 'skimage/color/__init__.py', 'skimage/color/colorconv.py', 'skimage/data/__init__.py', 'skimage/morphology/convex_hull.py', 'skimage/morphology/tests/test_convex_hull.py', 'skimage/segmentation/active_contour_model.py', 'skimage/segmentation/tests/test_active_contour_model.py', 'skimage/transform/__init__.py', 'skimage/transform/radon_transform.py', 'doc/examples/segmentation/plot_euler_number.py', 'doc/examples/segmentation/plot_perimeters.py', 'skimage/measure/_regionprops.py', 'skimage/measure/_regionprops_utils.py', 'skimage/measure/tests/test_regionprops.py', 'skimage/measure/_regionprops.py', 'skimage/measure/_marching_cubes_classic.py', 'skimage/measure/tests/test_marching_cubes.py']"
skimage/measure/_marching_cubes_lewiner.py,"['skimage/measure/__init__.py', 'skimage/measure/setup.py', 'skimage/measure/tests/test_marching_cubes.py', 'skimage/measure/_marching_cubes_classic.py', 'skimage/measure/_find_contours.py', 'skimage/measure/tests/test_marching_cubes.py', 'skimage/measure/tests/test_marching_cubes.py']"
skimage/measure/setup.py,"['skimage/measure/__init__.py', 'skimage/measure/_marching_cubes_lewiner.py', 'skimage/measure/tests/test_marching_cubes.py']"
skimage/measure/tests/test_marching_cubes.py,"['skimage/measure/__init__.py', 'skimage/measure/_marching_cubes_lewiner.py', 'skimage/measure/setup.py', 'skimage/measure/_marching_cubes_lewiner.py', 'skimage/measure/__init__.py', 'skimage/measure/_marching_cubes_classic.py', 'skimage/measure/_marching_cubes_lewiner.py']"
skimage/transform/_geometric.py,"['skimage/transform/tests/test_geometric.py', 'skimage/transform/tests/test_geometric.py', 'doc/examples/transform/plot_geometric.py', 'skimage/transform/tests/test_geometric.py', 'skimage/color/colorconv.py', 'skimage/exposure/_adapthist.py', 'skimage/exposure/exposure.py', 'skimage/transform/radon_transform.py', 'skimage/util/dtype.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/filters/thresholding.py', 'skimage/transform/tests/test_geometric.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'doc/examples/color_exposure/plot_tinting_grayscale_images.py', 'doc/examples/edges/plot_line_hough_transform.py', 'doc/examples/numpy_operations/plot_view_as_blocks.py', 'doc/examples/transform/plot_radon_transform.py', 'doc/source/plots/hough_tf.py', 'skimage/viewer/plugins/color_histogram.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/transform/tests/test_hough_transform.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'doc/examples/edges/plot_line_hough_transform.py', 'doc/source/plots/hough_tf.py', 'skimage/transform/hough_transform.py', 'skimage/transform/tests/test_hough_transform.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'doc/examples/edges/plot_line_hough_transform.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/measure/fit.py', 'skimage/measure/tests/test_fit.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/filters/rank/tests/test_rank.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/filters/_sparse.py', 'skimage/filters/setup.py', 'skimage/filters/thresholding.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/color/colorconv.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/metrics/__init__.py', 'skimage/metrics/simple_metrics.py', 'skimage/metrics/tests/test_simple_metrics.py', 'benchmarks/benchmark_interpolation.py', 'doc/examples/registration/plot_opticalflow.py', 'skimage/_shared/utils.py', 'skimage/registration/_optical_flow.py', 'skimage/registration/tests/test_ilk.py', 'skimage/registration/tests/test_tvl1.py', 'skimage/transform/_warps.py', 'skimage/color/colorlabel.py', 'skimage/color/tests/test_colorlabel.py', 'skimage/transform/tests/test_geometric.py', 'doc/examples/features_detection/plot_brief.py', 'doc/examples/features_detection/plot_censure.py', 'doc/examples/features_detection/plot_orb.py', 'doc/examples/transform/plot_geometric.py', 'skimage/feature/tests/test_match.py', 'skimage/transform/tests/test_geometric.py', 'skimage/feature/texture.py', 'skimage/io/_plugins/pil_plugin.py', 'skimage/io/_plugins/util.py', 'skimage/measure/fit.py', 'skimage/measure/tests/test_fit.py', 'skimage/transform/radon_transform.py', 'skimage/transform/tests/test_geometric.py', 'skimage/transform/tests/test_geometric.py', 'skimage/transform/tests/test_geometric.py', 'skimage/_shared/_warnings.py', 'skimage/_shared/testing.py', 'skimage/feature/blob.py', 'skimage/filters/rank/generic.py', 'skimage/filters/rank/tests/test_rank.py', 'skimage/filters/tests/test_unsharp_mask.py', 'skimage/io/tests/test_mpl_imshow.py', 'skimage/measure/_regionprops.py', 'skimage/morphology/tests/test_grey.py', 'skimage/restoration/deconvolution.py', 'skimage/restoration/tests/test_denoise.py', 'skimage/restoration/uft.py', 'skimage/transform/integral.py', 'skimage/util/tests/test_dtype.py']"
skimage/transform/tests/test_geometric.py,"['skimage/transform/_geometric.py', 'skimage/transform/_geometric.py', 'doc/examples/transform/plot_geometric.py', 'skimage/transform/_geometric.py', 'skimage/_shared/utils.py', 'skimage/transform/_warps.py', 'skimage/transform/tests/test_hough_transform.py', 'skimage/transform/tests/test_integral.py', 'skimage/transform/tests/test_pyramids.py', 'skimage/transform/tests/test_radon_transform.py', 'skimage/transform/tests/test_warps.py', 'skimage/transform/_geometric.py', 'skimage/transform/_geometric.py', 'skimage/transform/_geometric.py', 'skimage/transform/_geometric.py', 'skimage/transform/_geometric.py', 'skimage/transform/_geometric.py']"
doc/examples/applications/plot_3d_structure_tensor.py,"['doc/examples/applications/plot_face_detection.py', 'doc/examples/applications/plot_human_mitosis.py', 'doc/examples/edges/plot_skeleton.py', 'doc/examples/segmentation/plot_euler_number.py', 'doc/examples/segmentation/plot_perimeters.py', 'skimage/draw/draw_nd.py', 'skimage/feature/_basic_features.py', 'skimage/feature/censure.py', 'skimage/feature/peak.py', 'skimage/feature/texture.py', 'skimage/filters/thresholding.py', 'skimage/measure/_regionprops_utils.py', 'skimage/measure/tests/test_regionprops.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/tests/test_skeletonize.py', 'skimage/morphology/tests/test_skeletonize_3d.py', 'skimage/restoration/non_local_means.py', 'doc/source/conf.py']"
doc/examples/applications/plot_face_detection.py,"['doc/examples/applications/plot_3d_structure_tensor.py', 'doc/examples/applications/plot_human_mitosis.py', 'doc/examples/edges/plot_skeleton.py', 'doc/examples/segmentation/plot_euler_number.py', 'doc/examples/segmentation/plot_perimeters.py', 'skimage/draw/draw_nd.py', 'skimage/feature/_basic_features.py', 'skimage/feature/censure.py', 'skimage/feature/peak.py', 'skimage/feature/texture.py', 'skimage/filters/thresholding.py', 'skimage/measure/_regionprops_utils.py', 'skimage/measure/tests/test_regionprops.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/tests/test_skeletonize.py', 'skimage/morphology/tests/test_skeletonize_3d.py', 'skimage/restoration/non_local_means.py', 'doc/examples/applications/plot_haar_extraction_selection_classification.py', 'doc/examples/applications/plot_morphology.py', 'doc/examples/color_exposure/plot_rgb_to_gray.py', 'doc/examples/edges/plot_contours.py', 'doc/examples/edges/plot_convex_hull.py', 'doc/examples/features_detection/plot_haar.py', 'doc/examples/segmentation/plot_multiotsu.py', 'doc/examples/segmentation/plot_segmentations.py', 'doc/ext/plot2rst.py', 'skimage/color/colorconv.py', 'skimage/data/__init__.py', 'skimage/feature/haar.py', 'skimage/filters/thresholding.py', 'skimage/io/_plugins/fits_plugin.py', 'skimage/measure/_find_contours.py', 'skimage/measure/_marching_cubes_classic.py', 'skimage/morphology/_deprecated.py', 'skimage/segmentation/_watershed.py', 'tools/generate_release_notes.py', 'doc/examples/applications/plot_coins_segmentation.py', 'doc/examples/applications/plot_geometric.py', 'doc/examples/applications/plot_haar_extraction_selection_classification.py', 'doc/examples/applications/plot_morphology.py', 'doc/examples/applications/plot_rank_filters.py', 'doc/examples/applications/plot_thresholding.py', 'doc/examples/developers/plot_max_tree.py', 'doc/examples/segmentation/plot_thresholding.py', 'doc/source/conf.py', 'skimage/feature/haar.py']"
doc/examples/applications/plot_human_mitosis.py,"['doc/examples/applications/plot_3d_structure_tensor.py', 'doc/examples/applications/plot_face_detection.py', 'doc/examples/edges/plot_skeleton.py', 'doc/examples/segmentation/plot_euler_number.py', 'doc/examples/segmentation/plot_perimeters.py', 'skimage/draw/draw_nd.py', 'skimage/feature/_basic_features.py', 'skimage/feature/censure.py', 'skimage/feature/peak.py', 'skimage/feature/texture.py', 'skimage/filters/thresholding.py', 'skimage/measure/_regionprops_utils.py', 'skimage/measure/tests/test_regionprops.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/tests/test_skeletonize.py', 'skimage/morphology/tests/test_skeletonize_3d.py', 'skimage/restoration/non_local_means.py', 'doc/examples/segmentation/plot_peak_local_max.py', 'doc/examples/segmentation/plot_watershed.py', 'skimage/feature/peak.py', 'doc/examples/applications/plot_3d_image_processing.py', 'doc/examples/color_exposure/plot_adapt_hist_eq_3d.py', 'skimage/data/__init__.py', 'skimage/data/_registry.py', 'skimage/data/tests/test_data.py', 'skimage/restoration/tests/test_restoration.py', 'skimage/data/_registry.py']"
doc/examples/edges/plot_skeleton.py,"['doc/examples/applications/plot_3d_structure_tensor.py', 'doc/examples/applications/plot_face_detection.py', 'doc/examples/applications/plot_human_mitosis.py', 'doc/examples/segmentation/plot_euler_number.py', 'doc/examples/segmentation/plot_perimeters.py', 'skimage/draw/draw_nd.py', 'skimage/feature/_basic_features.py', 'skimage/feature/censure.py', 'skimage/feature/peak.py', 'skimage/feature/texture.py', 'skimage/filters/thresholding.py', 'skimage/measure/_regionprops_utils.py', 'skimage/measure/tests/test_regionprops.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/tests/test_skeletonize.py', 'skimage/morphology/tests/test_skeletonize_3d.py', 'skimage/restoration/non_local_means.py', 'doc/examples/filters/plot_deconvolution.py', 'doc/examples/segmentation/plot_chan_vese.py', 'doc/examples/segmentation/plot_join_segmentations.py', 'doc/examples/segmentation/plot_metrics.py', 'doc/examples/segmentation/plot_morphsnakes.py', 'skimage/filters/tests/test_thresholding.py', 'skimage/filters/thresholding.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/tests/test_skeletonize.py', 'skimage/restoration/_denoise.py', 'skimage/restoration/deconvolution.py', 'skimage/restoration/tests/test_denoise.py', 'skimage/restoration/tests/test_restoration.py', 'skimage/segmentation/_chan_vese.py', 'skimage/segmentation/active_contour_model.py', 'skimage/segmentation/morphsnakes.py', 'skimage/segmentation/slic_superpixels.py', 'skimage/segmentation/tests/test_active_contour_model.py', 'skimage/segmentation/tests/test_chan_vese.py', 'skimage/segmentation/tests/test_morphsnakes.py', 'skimage/segmentation/tests/test_slic.py', 'doc/examples/applications/plot_coins_segmentation.py', 'doc/examples/applications/plot_rank_filters.py', 'doc/examples/edges/plot_contours.py', 'doc/examples/edges/plot_convex_hull.py', 'doc/examples/edges/plot_shapes.py', 'doc/examples/features_detection/plot_blob.py', 'doc/examples/features_detection/plot_corner.py', 'doc/examples/features_detection/plot_gabor.py', 'doc/examples/features_detection/plot_gabors_from_astronaut.py', 'doc/examples/features_detection/plot_glcm.py', 'doc/examples/features_detection/plot_multiblock_local_binary_pattern.py', 'doc/examples/numpy_operations/plot_camera_numpy.py', 'doc/examples/numpy_operations/plot_view_as_blocks.py', 'doc/examples/segmentation/plot_extrema.py', 'doc/examples/segmentation/plot_floodfill.py', 'doc/examples/segmentation/plot_marked_watershed.py', 'doc/examples/segmentation/plot_random_walker_segmentation.py', 'doc/examples/segmentation/plot_watershed.py', 'doc/examples/transform/plot_edge_modes.py', 'doc/examples/transform/plot_swirl.py', 'skimage/feature/util.py', 'benchmarks/benchmark_morphology.py', 'skimage/morphology/__init__.py', 'skimage/morphology/_skeletonize.py', 'skimage/morphology/tests/test_skeletonize.py', 'skimage/morphology/tests/test_skeletonize_3d.py']"
