key,time,commitTime,PythonfileNum,pythonFile
#15615,2022-02-17 22:04:43,2022-02-17 14:04:43,4,"['scipy/stats/__init__.py', 'scipy/stats/_distn_infrastructure.py', 'scipy/stats/_fit.py', 'scipy/stats/_result_classes.py']"
#15601,2022-02-18 09:48:22,2022-02-17 17:52:03,2,"['scipy/signal/_spectral_py.py', 'scipy/signal/tests/test_spectral.py']"
#15573,2022-02-21 08:25:43,2022-02-21 13:55:43,2,"['scipy/stats/_stats_py.py', 'scipy/stats/tests/test_stats.py']"
#15564,2022-02-09 14:40:01,2022-02-09 15:40:01,2,"['scipy/integrate/_quadpack_py.py', 'scipy/integrate/_quadrature.py']"
#15504,2022-02-03 23:12:16,2022-02-04 10:12:16,2,"['scipy/optimize/_minimize.py', 'scipy/optimize/tests/test_optimize.py']"
#15472,2022-01-27 03:04:28,2022-01-27 08:34:28,3,"['scipy/stats/_stats_py.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/tests/test_mstats_basic.py']"
#15455,2022-01-24 10:31:35,2022-01-24 11:31:35,2,"['scipy/optimize/_shgo.py', 'scipy/optimize/tests/test__shgo.py']"
#15453,2022-01-23 15:51:26,2022-01-23 16:51:25,2,"['scipy/optimize/_dual_annealing.py', 'scipy/optimize/tests/test__dual_annealing.py']"
#15452,2022-02-15 15:52:33,2022-02-15 16:52:33,2,"['scipy/stats/_stats_py.py', 'scipy/stats/tests/test_stats.py']"
#15440,2022-01-24 20:56:37,2022-01-25 02:26:36,2,"['dev.py', 'runtests.py']"
#15423,2022-02-03 09:28:21,2022-02-03 01:28:21,2,"['scipy/stats/_stats_py.py', 'scipy/stats/tests/test_stats.py']"
#15422,2022-01-19 03:47:49,2022-01-19 09:17:48,2,"['scipy/stats/_stats_py.py', 'scipy/stats/tests/test_axis_nan_policy.py']"
#15421,2022-01-16 09:49:57,2022-01-16 01:49:56,2,"['scipy/stats/_stats_py.py', 'scipy/stats/tests/test_stats.py']"
#15413,2022-01-15 15:41:23,2022-01-15 21:11:23,3,"['scipy/stats/_continuous_distns.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py']"
#15399,2022-01-12 21:35:43,2022-01-12 13:35:43,4,"['scipy/stats/_axis_nan_policy.py', 'scipy/stats/_stats_py.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/tests/test_stats.py']"
#15392,2022-01-15 04:37:01,2022-01-15 15:37:01,2,"['scipy/optimize/_differentialevolution.py', 'scipy/optimize/tests/test__differential_evolution.py']"
#15366,2022-01-14 20:32:05,2022-01-14 17:32:05,2,"['scipy/signal/_signaltools.py', 'scipy/signal/tests/test_signaltools.py']"
#15360,2022-01-10 12:02:58,2022-01-10 13:02:58,2,"['scipy/stats/_continuous_distns.py', 'scipy/stats/tests/test_distributions.py']"
#15347,2022-01-07 13:55:03,2022-01-07 14:55:02,2,"['scipy/stats/_stats_py.py', 'scipy/stats/tests/test_stats.py']"
#15341,2022-01-03 02:27:22,2022-01-03 03:27:22,2,"['scipy/optimize/_linprog_highs.py', 'scipy/optimize/tests/test_linprog.py']"
#15314,2022-01-03 16:34:27,2022-01-03 08:34:26,7,"['dev.py', 'doc/source/conf.py', 'pavement.py', 'runtests.py', 'tools/cythonize.py', 'tools/lint_diff.py', 'tools/validate_runtests_log.py']"
#15310,2022-01-05 13:03:48,2022-01-05 22:03:47,3,"['scipy/signal/tests/test_windows.py', 'scipy/signal/windows/__init__.py', 'scipy/signal/windows/_windows.py']"
#15302,2021-12-28 16:12:59,2021-12-28 17:12:59,15,"['scipy/_lib/_uarray/_backend.py', 'scipy/cluster/hierarchy.py', 'scipy/fft/_basic.py', 'scipy/integrate/_quadpack_py.py', 'scipy/integrate/_quadrature.py', 'scipy/interpolate/_bsplines.py', 'scipy/interpolate/_fitpack_impl.py', 'scipy/interpolate/_ndgriddata.py', 'scipy/io/matlab/_mio4.py', 'scipy/io/matlab/_mio5.py', 'scipy/io/tests/test_netcdf.py', 'scipy/linalg/_basic.py', 'scipy/linalg/_decomp_cholesky.py', 'scipy/ndimage/_filters.py', 'scipy/ndimage/_measurements.py']"
