file,fileSet
scipy/stats/__init__.py,"['scipy/stats/_distn_infrastructure.py', 'scipy/stats/_fit.py', 'scipy/stats/_result_classes.py', 'doc/source/tutorial/stats/plots/hinv_plot.py', 'doc/source/tutorial/stats/plots/nrou_plot2.py', 'scipy/_lib/tests/test_public_api.py', 'scipy/stats/_rvs_sampling.py', 'scipy/stats/_unuran/__init__.py', 'scipy/stats/sampling.py', 'scipy/stats/tests/test_sampling.py', 'tools/refguide_check.py', 'benchmarks/benchmarks/stats_sampling.py', 'scipy/stats/_unuran/__init__.py', 'scipy/stats/tests/test_sampling.py', 'benchmarks/benchmarks/stats_sampling.py', 'doc/source/tutorial/stats/plots/nrou_plot1.py', 'doc/source/tutorial/stats/plots/nrou_plot2.py', 'scipy/stats/_unuran/__init__.py', 'scipy/stats/tests/test_sampling.py', 'benchmarks/benchmarks/stats.py', 'benchmarks/benchmarks/stats_sampling.py', 'doc/source/tutorial/stats/plots/hinv_plot.py', 'scipy/stats/_rvs_sampling.py', 'scipy/stats/_unuran/__init__.py', 'scipy/stats/tests/test_sampling.py', 'scipy/stats/tests/test_stats.py', 'benchmarks/benchmarks/stats_sampling.py', 'scipy/stats/_unuran/__init__.py', 'scipy/stats/_unuran/setup.py', 'scipy/stats/tests/test_sampling.py', 'scipy/stats/_bootstrap.py', 'scipy/stats/tests/test_bootstrap.py', 'benchmarks/benchmarks/stats_sampling.py', 'scipy/_lib/_unuran_utils.py', 'scipy/stats/_generate_pyx.py', 'scipy/stats/_unuran/__init__.py', 'scipy/stats/_unuran/setup.py', 'scipy/stats/setup.py', 'scipy/stats/tests/test_sampling.py', 'scipy/stats/_bootstrap.py', 'scipy/stats/_hypotests.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/_hypotests.py', 'scipy/stats/stats.py', 'scipy/stats/_distn_infrastructure.py', 'scipy/stats/_entropy.py', 'scipy/stats/distributions.py', 'scipy/stats/morestats.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/studentized_range_mpmath_ref.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_fit.py', 'tools/unicode-check.py', 'benchmarks/benchmarks/stats.py', 'scipy/stats/_hypotests.py', 'scipy/stats/contingency.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/_bootstrap.py', 'scipy/stats/_common.py', 'scipy/stats/morestats.py', 'scipy/stats/tests/test_bootstrap.py', 'scipy/stats/_discrete_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/_generate_pyx.py', 'scipy/stats/setup.py', 'scipy/stats/tests/test_discrete_basic.py', 'scipy/stats/tests/test_discrete_distns.py', 'scipy/stats/_discrete_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_discrete_basic.py', 'scipy/stats/tests/test_discrete_distns.py', 'scipy/_lib/tests/test_import_cycles.py', 'scipy/stats/contingency.py', 'scipy/stats/tests/test_contingency.py', 'scipy/stats/_binomtest.py', 'scipy/stats/_common.py', 'scipy/stats/_relative_risk.py', 'scipy/stats/_result_classes.py', 'scipy/stats/contingency.py', 'scipy/stats/tests/test_relative_risk.py', 'scipy/stats/_hypotests.py', 'scipy/stats/_result_classes.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/integrate/__init__.py', 'scipy/integrate/_quad_vec.py', 'scipy/integrate/_quadrature.py', 'scipy/integrate/tests/test__quad_vec.py', 'scipy/integrate/tests/test_quadrature.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_fit.py', 'tools/refguide_check.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_multivariate.py', 'scipy/stats/tests/test_multivariate.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_distributions.py', 'tools/unicode-check.py', 'scipy/stats/_hypotests.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/_multivariate.py', 'scipy/stats/tests/test_multivariate.py', 'scipy/stats/_page_trend_test.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_discrete_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_discrete_distns.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/_lib/_util.py', 'scipy/stats/_stats_py.py', 'scipy/stats/_variation.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_variation.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_crosstab.py', 'scipy/stats/contingency.py', 'scipy/stats/tests/test_crosstab.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_hypotests.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/tests/test_stats.py', 'benchmarks/benchmarks/stats.py', 'scipy/stats/_hypotests.py', 'scipy/stats/contingency.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_distributions.py', 'tools/refguide_check.py', 'doc/source/tutorial/stats/plots/mgc_plot1.py', 'doc/source/tutorial/stats/plots/mgc_plot2.py', 'doc/source/tutorial/stats/plots/mgc_plot3.py', 'doc/source/tutorial/stats/plots/mgc_plot4.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_fit.py', 'scipy/stats/_rvs_sampling.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_discrete_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/_mannwhitneyu.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_mannwhitneyu.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/tests/test_stats.py']"
scipy/stats/_distn_infrastructure.py,"['scipy/stats/__init__.py', 'scipy/stats/_fit.py', 'scipy/stats/_result_classes.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_discrete_basic.py', 'scipy/stats/__init__.py', 'scipy/stats/_entropy.py', 'scipy/stats/distributions.py', 'scipy/stats/morestats.py', 'scipy/_lib/_util.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_discrete_distns.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_fit.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_discrete_basic.py', 'scipy/_lib/doccer.py', 'scipy/io/matlab/miobase.py', 'scipy/misc/doccer.py', 'scipy/misc/tests/test_doccer.py', 'scipy/ndimage/_ni_docstrings.py', 'scipy/ndimage/interpolation.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_multivariate.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_distributions.py', 'scipy/_lib/decorator.py', 'scipy/integrate/_ivp/ivp.py', 'scipy/integrate/tests/test_banded_ode_solvers.py', 'scipy/interpolate/interpolate.py', 'scipy/io/idl.py', 'scipy/io/matlab/tests/test_mio.py', 'scipy/linalg/tests/test_decomp_update.py', 'scipy/optimize/_shgo.py', 'scipy/optimize/_trustregion_constr/canonical_constraint.py', 'scipy/signal/tests/mpsig.py', 'scipy/spatial/_spherical_voronoi.py', 'scipy/spatial/tests/test_qhull.py', 'scipy/special/_generate_pyx.py', 'scipy/special/_mptestutils.py', 'scipy/special/_precompute/gammainc_asy.py', 'scipy/special/_precompute/lambertw.py', 'scipy/special/_precompute/loggamma.py', 'scipy/special/tests/test_cython_special.py', 'scipy/special/tests/test_mpmath.py', 'scipy/special/tests/test_precompute_gammainc.py', 'scipy/special/utils/datafunc.py', 'scipy/stats/morestats.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_morestats.py']"
scipy/stats/_fit.py,"['scipy/stats/__init__.py', 'scipy/stats/_distn_infrastructure.py', 'scipy/stats/_result_classes.py']"
scipy/stats/_result_classes.py,"['scipy/stats/__init__.py', 'scipy/stats/_distn_infrastructure.py', 'scipy/stats/_fit.py', 'doc/source/conf.py', 'tools/refguide_summaries.py', 'scipy/stats/__init__.py', 'scipy/stats/_binomtest.py', 'scipy/stats/_common.py', 'scipy/stats/_relative_risk.py', 'scipy/stats/contingency.py', 'scipy/stats/tests/test_relative_risk.py', 'scipy/stats/__init__.py', 'scipy/stats/_hypotests.py', 'scipy/stats/tests/test_hypotests.py']"
scipy/signal/_spectral_py.py,"['scipy/signal/tests/test_spectral.py', 'scipy/_lib/_docscrape.py', 'scipy/signal/_filter_design.py', 'scipy/signal/_signaltools.py', 'scipy/sparse/linalg/_isolve/_gcrotmk.py', 'scipy/stats/_stats_py.py']"
scipy/signal/tests/test_spectral.py,"['scipy/signal/_spectral_py.py', 'scipy/integrate/_bvp.py', 'scipy/interpolate/_bsplines.py', 'scipy/interpolate/_cubic.py', 'scipy/interpolate/interpolate.py', 'scipy/interpolate/polyint.py', 'scipy/interpolate/tests/test_polyint.py', 'scipy/linalg/basic.py', 'scipy/linalg/tests/test_basic.py', 'scipy/signal/filter_design.py', 'scipy/signal/spectral.py', 'scipy/signal/tests/test_signaltools.py', 'scipy/spatial/transform/tests/test_rotation.py', 'scipy/stats/_multivariate.py', 'scipy/stats/morestats.py', 'scipy/stats/tests/test_stats.py', 'scipy/integrate/tests/test_bvp.py', 'scipy/interpolate/tests/test_interpolate.py', 'scipy/signal/tests/test_ltisys.py', 'scipy/spatial/tests/test_spherical_voronoi.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_morestats.py']"
scipy/stats/_stats_py.py,"['scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_axis_nan_policy.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/_lib/_docscrape.py', 'scipy/signal/_filter_design.py', 'scipy/signal/_signaltools.py', 'scipy/signal/_spectral_py.py', 'scipy/sparse/linalg/_isolve/_gcrotmk.py', 'scipy/stats/_axis_nan_policy.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/_axis_nan_policy.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_stats.py', 'scipy/_lib/_util.py', 'scipy/stats/__init__.py', 'scipy/stats/_variation.py', 'scipy/stats/tests/test_stats.py', 'scipy/stats/tests/test_variation.py']"
scipy/stats/tests/test_stats.py,"['scipy/stats/_stats_py.py', 'scipy/stats/_stats_py.py', 'scipy/stats/_stats_py.py', 'scipy/stats/_stats_py.py', 'scipy/stats/_axis_nan_policy.py', 'scipy/stats/_stats_py.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/_stats_py.py', 'scipy/stats/_stats_py.py', 'scipy/integrate/_bvp.py', 'scipy/interpolate/_bsplines.py', 'scipy/interpolate/_cubic.py', 'scipy/interpolate/interpolate.py', 'scipy/interpolate/polyint.py', 'scipy/interpolate/tests/test_polyint.py', 'scipy/linalg/basic.py', 'scipy/linalg/tests/test_basic.py', 'scipy/signal/filter_design.py', 'scipy/signal/spectral.py', 'scipy/signal/tests/test_signaltools.py', 'scipy/signal/tests/test_spectral.py', 'scipy/spatial/transform/tests/test_rotation.py', 'scipy/stats/_multivariate.py', 'scipy/stats/morestats.py', 'scipy/stats/_stats_mstats_common.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/tests/test_mstats_basic.py', 'benchmarks/benchmarks/stats.py', 'benchmarks/benchmarks/stats_sampling.py', 'doc/source/tutorial/stats/plots/hinv_plot.py', 'scipy/stats/__init__.py', 'scipy/stats/_rvs_sampling.py', 'scipy/stats/_unuran/__init__.py', 'scipy/stats/tests/test_sampling.py', 'scipy/_lib/_util.py', 'scipy/fft/_pocketfft/tests/test_basic.py', 'scipy/fftpack/tests/test_real_transforms.py', 'scipy/interpolate/fitpack2.py', 'scipy/linalg/flinalg.py', 'scipy/optimize/optimize.py', 'scipy/optimize/tests/test_hessian_update_strategy.py', 'scipy/signal/signaltools.py', 'scipy/special/_precompute/utils.py', 'scipy/stats/stats.py', 'scipy/stats/_axis_nan_policy.py', 'scipy/stats/_stats_py.py', 'scipy/stats/tests/test_axis_nan_policy.py', 'scipy/stats/_hypotests_pythran.py', 'scipy/stats/stats.py', 'scipy/stats/_stats_mstats_common.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/_hypotests.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_kdeoth.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/_hypotests_pythran.py', 'scipy/stats/stats.py', 'scipy/stats/_stats_mstats_common.py', 'scipy/stats/morestats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/__init__.py', 'scipy/stats/stats.py', 'scipy/stats/_stats_mstats_common.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/__init__.py', 'scipy/stats/_page_trend_test.py', 'scipy/stats/stats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/_stats_py.py', 'scipy/_lib/tests/test__util.py', 'scipy/integrate/tests/test__quad_vec.py', 'scipy/io/matlab/tests/test_streams.py', 'scipy/io/tests/test_paths.py', 'scipy/linalg/tests/test_decomp_cossin.py', 'scipy/ndimage/tests/test_ndimage.py', 'scipy/optimize/lbfgsb.py', 'scipy/optimize/tests/test__differential_evolution.py', 'scipy/optimize/tests/test_minimize_constrained.py', 'scipy/optimize/tests/test_optimize.py', 'scipy/spatial/tests/test_slerp.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/morestats.py', 'scipy/stats/tests/test_morestats.py', 'scipy/stats/__init__.py', 'scipy/stats/stats.py', 'runtests.py', 'scipy/_lib/tests/test__util.py', 'scipy/fft/tests/test_multithreading.py', 'scipy/fft/tests/test_numpy.py', 'scipy/integrate/tests/test__quad_vec.py', 'scipy/optimize/tests/test__differential_evolution.py', 'scipy/optimize/tests/test_optimize.py', 'scipy/_lib/_util.py', 'scipy/stats/__init__.py', 'scipy/stats/_stats_py.py', 'scipy/stats/_variation.py', 'scipy/stats/tests/test_variation.py', 'scipy/stats/__init__.py', 'scipy/stats/stats.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distn_infrastructure.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_fit.py', 'scipy/stats/__init__.py', 'scipy/stats/stats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/__init__.py', 'scipy/stats/stats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/__init__.py', 'scipy/stats/_hypotests.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'benchmarks/benchmarks/optimize.py', 'scipy/_lib/_numpy_compat.py', 'scipy/fft/_backend.py', 'scipy/fft/_basic.py', 'scipy/fft/_debug_backends.py', 'scipy/io/matlab/mio5_params.py', 'scipy/linalg/__init__.py', 'scipy/optimize/_dual_annealing.py', 'scipy/optimize/_linprog.py', 'scipy/optimize/_linprog_ip.py', 'scipy/optimize/_linprog_rs.py', 'scipy/optimize/_linprog_simplex.py', 'scipy/signal/__init__.py', 'scipy/signal/tests/test_ltisys.py', 'scipy/spatial/transform/rotation.py', 'scipy/special/add_newdocs.py', 'scipy/stats/morestats.py', 'doc/source/tutorial/stats/plots/mgc_plot1.py', 'doc/source/tutorial/stats/plots/mgc_plot2.py', 'doc/source/tutorial/stats/plots/mgc_plot3.py', 'doc/source/tutorial/stats/plots/mgc_plot4.py', 'scipy/stats/__init__.py', 'scipy/stats/stats.py', 'scipy/stats/_ksstats.py', 'scipy/stats/_rvs_sampling.py', 'scipy/stats/morestats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/_ksstats.py', 'scipy/stats/_rvs_sampling.py', 'scipy/stats/morestats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/stats.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/mstats_basic.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_mstats_basic.py', 'scipy/stats/__init__.py', 'scipy/stats/_rvs_sampling.py', 'scipy/stats/stats.py', 'scipy/stats/__init__.py', 'scipy/stats/_mannwhitneyu.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py', 'scipy/stats/stats.py', 'scipy/stats/__init__.py', 'scipy/stats/_mannwhitneyu.py', 'scipy/stats/stats.py', 'scipy/stats/tests/test_hypotests.py']"
scipy/integrate/_quadpack_py.py,"['scipy/integrate/_quadrature.py', 'scipy/_lib/_uarray/_backend.py', 'scipy/cluster/hierarchy.py', 'scipy/fft/_basic.py', 'scipy/integrate/_quadrature.py', 'scipy/interpolate/_bsplines.py', 'scipy/interpolate/_fitpack_impl.py', 'scipy/interpolate/_ndgriddata.py', 'scipy/io/matlab/_mio4.py', 'scipy/io/matlab/_mio5.py', 'scipy/io/tests/test_netcdf.py', 'scipy/linalg/_basic.py', 'scipy/linalg/_decomp_cholesky.py', 'scipy/ndimage/_filters.py', 'scipy/ndimage/_measurements.py']"
scipy/integrate/_quadrature.py,"['scipy/integrate/_quadpack_py.py', 'scipy/_lib/_uarray/_backend.py', 'scipy/cluster/hierarchy.py', 'scipy/fft/_basic.py', 'scipy/integrate/_quadpack_py.py', 'scipy/interpolate/_bsplines.py', 'scipy/interpolate/_fitpack_impl.py', 'scipy/interpolate/_ndgriddata.py', 'scipy/io/matlab/_mio4.py', 'scipy/io/matlab/_mio5.py', 'scipy/io/tests/test_netcdf.py', 'scipy/linalg/_basic.py', 'scipy/linalg/_decomp_cholesky.py', 'scipy/ndimage/_filters.py', 'scipy/ndimage/_measurements.py', 'scipy/integrate/__init__.py', 'scipy/integrate/_quad_vec.py', 'scipy/integrate/tests/test__quad_vec.py', 'scipy/integrate/tests/test_quadrature.py', 'scipy/stats/__init__.py', 'scipy/stats/_continuous_distns.py', 'scipy/stats/_distr_params.py', 'scipy/stats/tests/test_continuous_basic.py', 'scipy/stats/tests/test_distributions.py', 'scipy/stats/tests/test_fit.py', 'tools/refguide_check.py']"
