key,time,commitTime,PythonfileNum,pythonFile
#10209,2022-02-06 15:30:30,2022-02-06 16:30:30,5,"['spacy/language.py', 'spacy/ml/models/multi_task.py', 'spacy/pipeline/spancat.py', 'spacy/pipeline/textcat.py', 'spacy/tests/package/test_requirements.py']"
#10188,2022-02-07 07:53:30,2022-02-07 08:53:30,2,"['spacy/cli/debug_data.py', 'spacy/tests/test_cli.py']"
#10175,2022-02-05 16:59:24,2022-02-05 17:59:24,2,"['spacy/language.py', 'spacy/tests/pipeline/test_senter.py']"
#10164,2022-02-08 07:35:37,2022-02-08 08:35:37,2,"['spacy/glossary.py', 'spacy/tests/doc/test_doc_api.py']"
#10109,2022-01-28 15:59:54,2022-01-28 16:59:54,2,"['spacy/language.py', 'spacy/tokens/underscore.py']"
#10106,2022-01-21 09:01:11,2022-01-21 10:01:10,2,"['spacy/cli/debug_data.py', 'spacy/tests/pipeline/test_spancat.py']"
#10079,2022-01-20 10:42:52,2022-01-20 11:42:52,2,"['spacy/cli/debug_data.py', 'spacy/tests/test_cli.py']"
#10071,2022-01-17 09:38:37,2022-01-17 10:38:37,7,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py']"
#9961,2022-01-04 13:31:26,2022-01-04 14:31:26,4,"['spacy/cli/debug_config.py', 'spacy/cli/init_config.py', 'spacy/errors.py', 'spacy/util.py']"
#9917,2022-01-17 07:16:22,2022-01-17 10:38:37,9,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py', 'spacy/lang/it/syntax_iterators.py', 'spacy/tests/lang/it/test_noun_chunks.py']"
#9879,2022-01-18 16:14:35,2022-01-18 17:14:35,5,"['spacy/language.py', 'spacy/ml/models/multi_task.py', 'spacy/ml/staticvectors.py', 'spacy/tests/vocab_vectors/test_vectors.py', 'spacy/training/initialize.py']"
#9820,2021-12-07 08:45:11,2022-01-17 16:16:22,9,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/it/syntax_iterators.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py', 'spacy/tests/lang/it/test_noun_chunks.py']"
#9748,2021-11-29 16:13:27,2021-11-29 11:13:26,2,"['spacy/displacy/__init__.py', 'spacy/tests/test_displacy.py']"
#9742,2021-11-30 22:36:39,2022-01-17 16:16:22,9,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/it/syntax_iterators.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py', 'spacy/tests/lang/it/test_noun_chunks.py']"
#9738,2022-01-20 12:19:39,2022-01-20 13:19:38,2,"['spacy/errors.py', 'spacy/tests/lang/test_attrs.py']"
#9707,2021-11-22 08:46:34,2022-01-17 16:16:22,9,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/it/syntax_iterators.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py', 'spacy/tests/lang/it/test_noun_chunks.py']"
#9703,2021-11-28 20:59:23,2021-11-28 21:59:23,28,"['spacy/tests/conftest.py', 'spacy/tests/lang/af/__init__.py', 'spacy/tests/lang/af/test_text.py', 'spacy/tests/lang/af/test_tokenizer.py', 'spacy/tests/lang/et/__init__.py', 'spacy/tests/lang/et/test_text.py', 'spacy/tests/lang/et/test_tokenizer.py', 'spacy/tests/lang/hr/__init__.py', 'spacy/tests/lang/hr/test_text.py', 'spacy/tests/lang/hr/test_tokenizer.py', 'spacy/tests/lang/is/__init__.py', 'spacy/tests/lang/is/test_text.py', 'spacy/tests/lang/is/test_tokenizer.py', 'spacy/tests/lang/lv/__init__.py', 'spacy/tests/lang/lv/test_text.py', 'spacy/tests/lang/lv/test_tokenizer.py', 'spacy/tests/lang/sk/__init__.py', 'spacy/tests/lang/sk/test_text.py', 'spacy/tests/lang/sk/test_tokenizer.py', 'spacy/tests/lang/sl/__init__.py', 'spacy/tests/lang/sl/test_text.py', 'spacy/tests/lang/sl/test_tokenizer.py', 'spacy/tests/lang/sq/__init__.py', 'spacy/tests/lang/sq/test_text.py', 'spacy/tests/lang/sq/test_tokenizer.py', 'spacy/tests/lang/xx/__init__.py', 'spacy/tests/lang/xx/test_text.py', 'spacy/tests/lang/xx/test_tokenizer.py']"
#9697,2021-11-19 07:51:19,2021-11-19 08:51:19,2,"['spacy/language.py', 'spacy/training/initialize.py']"
#9693,2021-11-30 22:37:05,2022-01-17 16:16:22,9,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/it/syntax_iterators.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py', 'spacy/tests/lang/it/test_noun_chunks.py']"
#9688,2021-11-24 09:37:10,2021-11-24 02:37:10,2,"['spacy/schemas.py', 'spacy/tests/matcher/test_pattern_validation.py']"
#9685,2021-12-06 14:32:49,2021-12-06 15:32:49,3,"['spacy/errors.py', 'spacy/pipeline/entityruler.py', 'spacy/tests/pipeline/test_entity_ruler.py']"
#9674,2021-11-29 07:31:03,2021-11-29 07:31:02,2,"['spacy/cli/package.py', 'spacy/tests/test_cli.py']"
#9667,2021-11-30 11:19:08,2022-01-17 16:16:22,9,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/it/syntax_iterators.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py', 'spacy/tests/lang/it/test_noun_chunks.py']"
#9662,2021-11-23 15:29:26,2022-01-17 16:16:22,9,"['spacy/lang/char_classes.py', 'spacy/lang/fr/syntax_iterators.py', 'spacy/lang/it/__init__.py', 'spacy/lang/it/syntax_iterators.py', 'spacy/lang/nb/stop_words.py', 'spacy/lang/sl/stop_words.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/fr/test_noun_chunks.py', 'spacy/tests/lang/it/test_noun_chunks.py']"
#9659,2021-11-23 14:33:33,2021-11-23 15:33:33,3,"['spacy/errors.py', 'spacy/pipeline/functions.py', 'spacy/tests/pipeline/test_functions.py']"
#9658,2021-11-23 15:26:05,2021-11-23 16:26:05,3,"['spacy/errors.py', 'spacy/pipeline/entityruler.py', 'spacy/tests/pipeline/test_entity_ruler.py']"
#9654,2021-11-15 11:40:55,2021-11-15 12:40:55,3,"['spacy/ml/extract_spans.py', 'spacy/pipeline/spancat.py', 'spacy/tests/pipeline/test_spancat.py']"
#9649,2022-01-20 12:18:40,2022-01-20 13:18:39,3,"['spacy/schemas.py', 'spacy/tests/matcher/test_matcher_api.py', 'spacy/tests/matcher/test_pattern_validation.py']"
#9630,2021-11-05 08:56:27,2021-11-05 09:56:26,11,"['spacy/lang/ja/__init__.py', 'spacy/lang/ru/lemmatizer.py', 'spacy/lang/ti/lex_attrs.py', 'spacy/lang/uk/lemmatizer.py', 'spacy/lang/vi/examples.py', 'spacy/scorer.py', 'spacy/tests/lang/ja/test_tokenizer.py', 'spacy/tests/tokenizer/test_tokenizer.py', 'spacy/tests/training/test_training.py', 'spacy/training/pretrain.py', 'spacy/util.py']"
#9608,2021-11-03 09:57:35,2021-11-03 10:57:34,2,"['spacy/language.py', 'spacy/tests/test_language.py']"
#9593,2021-11-03 14:29:32,2021-11-03 15:29:32,2,"['spacy/errors.py', 'spacy/tests/test_errors.py']"
#9582,2021-11-02 07:35:50,2021-11-02 15:35:49,5,"['spacy/tests/conftest.py', 'spacy/tests/lang/tl/__init__.py', 'spacy/tests/lang/tl/test_indices.py', 'spacy/tests/lang/tl/test_punct.py', 'spacy/tests/lang/tl/test_text.py']"
#9559,2021-11-04 22:55:49,2021-11-04 23:55:49,4,"['spacy/lang/pt/__init__.py', 'spacy/lang/pt/syntax_iterators.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/pt/test_noun_chunks.py']"
#9546,2021-10-29 08:29:29,2021-10-29 10:29:29,3,"['spacy/lang/ja/__init__.py', 'spacy/scorer.py', 'spacy/tests/test_scorer.py']"
#9537,2021-11-04 23:46:37,2021-11-05 00:46:36,3,"['spacy/lang/es/syntax_iterators.py', 'spacy/tests/conftest.py', 'spacy/tests/lang/es/test_noun_chunks.py']"
#9530,2021-10-22 11:03:10,2021-10-22 13:03:10,3,"['spacy/ml/__init__.py', 'spacy/ml/callbacks.py', 'spacy/tests/pipeline/test_entity_linker.py']"
#9520,2021-10-27 11:13:03,2021-10-27 13:13:03,2,"['spacy/lang/ja/__init__.py', 'spacy/tests/lang/ja/test_tokenizer.py']"
#9475,2021-10-21 14:14:24,2021-10-21 16:14:23,3,"['spacy/errors.py', 'spacy/language.py', 'spacy/tests/test_language.py']"
#9474,2021-10-15 09:36:49,2021-10-15 11:36:49,3,"['spacy/compat.py', 'spacy/lang/ru/lemmatizer.py', 'spacy/tests/pipeline/test_pipe_factories.py']"
#9469,2021-10-21 13:31:06,2021-10-21 15:31:06,5,"['spacy/compat.py', 'spacy/language.py', 'spacy/pipeline/spancat.py', 'spacy/tests/test_ty.py', 'spacy/ty.py']"
#9449,2021-10-14 07:21:37,2021-10-14 07:21:36,2,"['spacy/lang/ja/__init__.py', 'spacy/tests/lang/ja/test_tokenizer.py']"
#9447,2021-10-13 12:13:06,2021-10-13 14:13:06,2,"['.github/validate_universe_json.py', 'setup.py']"
#9446,2021-10-13 08:48:35,2021-10-13 10:47:56,3,"['spacy/tests/pipeline/test_spancat.py', 'spacy/tests/regression/test_issue5501-6000.py', 'spacy/tests/test_models.py']"
#9438,2021-10-12 17:56:44,2021-10-12 19:56:44,2,"['spacy/errors.py', 'spacy/pipeline/lemmatizer.py']"
#9412,2021-10-14 17:15:52,2021-10-15 00:15:51,2,"['spacy/lang/vi/examples.py', 'spacy/lang/vi/lex_attrs.py']"
#9405,2021-10-11 09:38:46,2021-10-11 09:38:45,5,"['spacy/lang/ca/lemmatizer.py', 'spacy/lang/fr/lemmatizer.py', 'spacy/lang/nl/lemmatizer.py', 'spacy/lang/ru/lemmatizer.py', 'spacy/util.py']"
#9342,2021-10-05 07:52:23,2021-10-05 03:52:22,5,"['spacy/errors.py', 'spacy/language.py', 'spacy/tests/test_language.py', 'spacy/tests/test_misc.py', 'spacy/util.py']"
#9335,2021-10-04 10:19:02,2021-10-04 12:19:02,2,"['spacy/language.py', 'spacy/training/initialize.py']"
#9297,2021-09-27 12:42:30,2021-09-27 14:42:30,6,"['spacy/lang/ca/__init__.py', 'spacy/lang/ca/punctuation.py', 'spacy/lang/ca/tokenizer_exceptions.py', 'spacy/tests/lang/ca/test_exception.py', 'spacy/tests/lang/ca/test_prefix_suffix_infix.py', 'spacy/tests/lang/ca/test_text.py']"
#9278,2021-09-23 12:31:44,2021-09-23 14:31:42,2,"['setup.py', 'spacy/tests/universe/test_universe_json.py']"
#9247,2021-09-27 18:43:04,2021-09-27 20:43:03,2,"['spacy/errors.py', 'spacy/tokens/_serialize.py']"
#9234,2021-09-20 06:49:20,2021-09-20 08:49:19,2,"['spacy/tests/doc/test_token_api.py', 'spacy/training/loggers.py']"
#9226,2021-10-01 10:37:39,2021-10-01 10:37:39,2,"['spacy/tests/training/test_training.py', 'spacy/tokens/_serialize.py']"
#9223,2021-09-29 09:12:51,2021-09-29 05:12:50,2,"['spacy/training/__init__.py', 'spacy/training/loggers.py']"
