key,time,commitTime,PythonfileNum,pythonFile
#10181,2022-02-13 09:46:15,2022-02-12 00:28:18,2,"['sphinx/ext/napoleon/docstring.py', 'tests/test_ext_napoleon_docstring.py']"
#10175,2022-02-13 19:49:40,2022-02-13 20:19:41,2,"['sphinx/writers/latex.py', 'tests/test_build_latex.py']"
#10146,2022-02-06 06:59:25,2022-01-31 01:38:12,4,"['sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autodoc/directive.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py']"
#10133,2022-01-30 14:35:55,2022-01-27 02:40:37,3,"['sphinx/ext/autodoc/mock.py', 'sphinx/util/typing.py', 'tests/test_util_typing.py']"
#10125,2022-01-30 14:20:30,2022-01-23 20:09:47,2,"['sphinx/ext/extlinks.py', 'tests/test_ext_extlinks.py']"
#10121,2022-01-30 14:16:34,2022-01-26 21:09:48,2,"['sphinx/writers/html.py', 'sphinx/writers/html5.py']"
#10061,2022-01-11 17:34:54,2022-01-10 19:02:30,2,"['sphinx/config.py', 'sphinx/theming.py']"
#10027,2022-01-02 02:39:25,2022-01-01 14:54:08,7,"['sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/genericalias.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'tests/test_ext_autodoc_configs.py']"
#10015,2021-12-28 17:09:36,2021-12-27 01:58:42,2,"['sphinx/ext/autodoc/typehints.py', 'tests/test_ext_autodoc_configs.py']"
#10013,2021-12-25 14:38:36,2021-12-25 19:35:55,2,"['sphinx/application.py', 'tests/test_build_html.py']"
#9993,2021-12-22 18:01:06,2021-12-21 02:51:59,2,"['sphinx/domains/std.py', 'tests/test_domain_std.py']"
#9981,2022-01-15 17:44:25,2022-01-14 02:25:00,2,"['sphinx/domains/std.py', 'tests/test_domain_std.py']"
#9979,2021-12-19 03:42:47,2021-12-17 01:45:18,2,"['sphinx/util/logging.py', 'tests/test_util_logging.py']"
#9968,2021-12-19 04:19:00,2021-12-18 15:22:10,2,"['sphinx/pycode/parser.py', 'tests/test_pycode.py']"
#9947,2021-12-11 02:00:21,2021-12-10 01:33:09,2,"['sphinx/transforms/__init__.py', 'sphinx/util/nodes.py']"
#9931,2021-12-11 01:59:23,2021-12-24 10:14:19,2,"['sphinx/ext/autodoc/__init__.py', 'tests/test_ext_autodoc_configs.py']"
#9899,2021-11-29 16:43:52,2021-11-28 14:46:34,2,"['sphinx/domains/python.py', 'tests/test_domain_py.py']"
#9883,2021-11-29 16:37:42,2021-11-26 01:35:40,5,"['sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autodoc/mock.py', 'tests/roots/test-ext-autodoc/target/need_mocks.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_ext_autodoc_mock.py']"
#9879,2021-11-22 17:51:20,2021-11-22 01:48:47,2,"['sphinx/ext/autodoc/__init__.py', 'sphinx/util/inspect.py']"
#9866,2021-11-22 17:49:42,2021-11-21 11:25:48,4,"['sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py']"
#9864,2021-11-23 04:17:09,2021-11-18 02:03:43,2,"['sphinx/ext/mathjax.py', 'tests/test_ext_math.py']"
#9827,2022-01-12 16:39:15,2022-01-11 22:40:01,3,"['sphinx/domains/std.py', 'sphinx/transforms/__init__.py', 'tests/test_intl.py']"
#9781,2021-10-31 15:58:35,2021-10-31 00:26:03,3,"['sphinx/ext/autodoc/preserve_defaults.py', 'tests/roots/test-ext-autodoc/target/preserve_defaults.py', 'tests/test_ext_autodoc_preserve_defaults.py']"
#9775,2021-10-31 06:43:20,2021-10-30 16:40:54,2,"['sphinx/domains/python.py', 'tests/test_domain_py.py']"
#9757,2021-10-30 15:33:39,2021-10-30 02:01:38,2,"['sphinx/util/inspect.py', 'tests/test_util_inspect.py']"
#9752,2021-10-26 17:03:32,2021-10-23 14:59:36,5,"['sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/slots.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autoclass.py']"
#9710,2021-10-10 10:45:48,2021-10-09 16:27:43,2,"['sphinx/writers/html.py', 'sphinx/writers/html5.py']"
#9708,2021-10-09 06:34:05,2021-10-07 00:07:17,2,"['sphinx/extension.py', 'tests/test_extension.py']"
#9697,2021-10-09 06:12:33,2021-10-03 13:03:23,2,"['sphinx/domains/python.py', 'tests/test_domain_py.py']"
#9664,2021-09-25 15:54:43,2021-09-23 10:54:54,2,"['sphinx/util/typing.py', 'tests/test_util_typing.py']"
#9657,2021-09-26 17:20:48,2021-09-21 02:03:31,2,"['sphinx/ext/autodoc/mock.py', 'tests/test_util_typing.py']"
