file,fileSet
sphinx/ext/napoleon/docstring.py,"['tests/test_ext_napoleon_docstring.py', 'sphinx/ext/napoleon/__init__.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py', 'sphinx/domains/python.py', 'tests/test_domain_py.py', 'tests/test_ext_napoleon_docstring.py', 'tests/test_ext_napoleon_docstring.py']"
tests/test_ext_napoleon_docstring.py,"['sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/__init__.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/domains/python.py', 'tests/test_domain_py.py', 'sphinx/ext/napoleon/docstring.py', 'sphinx/ext/napoleon/docstring.py']"
sphinx/writers/latex.py,"['tests/test_build_latex.py', 'sphinx/builders/latex/transforms.py', 'tests/test_build_latex.py', 'tests/test_build_latex.py', 'tests/test_markup.py', 'sphinx/writers/html.py', 'sphinx/writers/html5.py', 'sphinx/directives/other.py', 'sphinx/highlighting.py', 'sphinx/util/texescape.py', 'tests/test_build_latex.py', 'tests/test_markup.py', 'sphinx/highlighting.py', 'sphinx/util/texescape.py', 'tests/test_build_latex.py', 'tests/test_markup.py', 'tests/roots/test-nested-tables/conf.py', 'tests/test_build_latex.py', 'tests/test_build_latex.py', 'sphinx/highlighting.py', 'sphinx/util/texescape.py', 'tests/test_markup.py', 'sphinx/ext/todo.py', 'sphinx/builders/latex/__init__.py', 'tests/test_build_latex.py', 'sphinx/builders/latex/__init__.py', 'sphinx/builders/latex/theming.py', 'tests/test_build_latex.py', 'sphinx/transforms/__init__.py', 'sphinx/writers/html.py', 'sphinx/writers/html5.py', 'sphinx/config.py', 'sphinx/writers/html.py', 'sphinx/writers/html5.py', 'tests/roots/test-highlight_options/conf.py', 'tests/test_build_html.py', 'sphinx/highlighting.py', 'sphinx/util/texescape.py', 'tests/test_build_latex.py', 'tests/test_markup.py']"
tests/test_build_latex.py,"['sphinx/writers/latex.py', 'sphinx/builders/latex/transforms.py', 'sphinx/writers/latex.py', 'sphinx/writers/latex.py', 'tests/test_markup.py', 'doc/conf.py', 'sphinx/builders/latex/__init__.py', 'sphinx/builders/latex/constants.py', 'sphinx/builders/latex/__init__.py', 'doc/conf.py', 'sphinx/builders/__init__.py', 'sphinx/builders/_epub_base.py', 'sphinx/builders/epub3.py', 'sphinx/builders/html/__init__.py', 'sphinx/builders/latex/__init__.py', 'sphinx/builders/manpage.py', 'sphinx/builders/singlehtml.py', 'sphinx/builders/texinfo.py', 'sphinx/cmd/quickstart.py', 'sphinx/config.py', 'sphinx/environment/__init__.py', 'sphinx/environment/adapters/toctree.py', 'sphinx/environment/collectors/toctree.py', 'sphinx/setup_command.py', 'tests/roots/test-ext-doctest-skipif/conf.py', 'tests/roots/test-ext-doctest/conf.py', 'tests/roots/test-latex-equations/conf.py', 'tests/roots/test-latex-includegraphics/conf.py', 'tests/roots/test-linkcheck/conf.py', 'tests/test_build.py', 'tests/test_config.py', 'tests/test_environment.py', 'tests/test_quickstart.py', 'tests/test_setup_command.py', 'sphinx/highlighting.py', 'sphinx/util/texescape.py', 'sphinx/writers/latex.py', 'tests/test_markup.py', 'sphinx/highlighting.py', 'sphinx/util/texescape.py', 'sphinx/writers/latex.py', 'tests/test_markup.py', 'sphinx/builders/latex/__init__.py', 'sphinx/writers/latex.py', 'tests/roots/test-nested-tables/conf.py', 'sphinx/writers/latex.py', 'sphinx/builders/latex/__init__.py', 'sphinx/writers/latex.py', 'sphinx/writers/latex.py', 'tests/test_build_html.py', 'tests/test_build_linkcheck.py', 'tests/test_intl.py', 'tests/test_markup.py', 'sphinx/highlighting.py', 'sphinx/util/texescape.py', 'sphinx/writers/latex.py', 'tests/test_markup.py']"
sphinx/ext/autodoc/__init__.py,"['sphinx/ext/autodoc/directive.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'tests/roots/test-ext-autodoc/target/genericalias.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_ext_autodoc_configs.py', 'sphinx/ext/autodoc/mock.py', 'tests/roots/test-ext-autodoc/target/need_mocks.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_ext_autodoc_mock.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/roots/test-ext-autodoc/target/slots.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autoclass.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/coroutine.py', 'tests/roots/test-ext-autodoc/target/functions.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc_autofunction.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoproperty.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/properties.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc_autoproperty.py', 'sphinx/domains/python.py', 'tests/test_domain_py.py', 'tests/roots/test-ext-autodoc/target/typehints.py', 'tests/test_ext_autodoc_configs.py', 'tests/roots/test-ext-autodoc/target/instance_variable.py', 'tests/test_ext_autodoc_autoattribute.py', 'sphinx/util/inspect.py', 'tests/test_util_inspect.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/roots/test-ext-autodoc/target/module.py', 'tests/test_ext_autodoc_automodule.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'tests/test_ext_autodoc_configs.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/roots/test-ext-autodoc/target/singledispatch.py', 'tests/roots/test-ext-autodoc/target/singledispatchmethod.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autofunction.py', 'tests/test_ext_autodoc_events.py', 'sphinx/util/docstrings.py', 'tests/roots/test-ext-autodoc/target/metadata.py', 'tests/test_ext_autodoc.py', 'tests/test_util_docstrings.py', 'tests/roots/test-ext-autodoc/target/empty_all.py', 'tests/test_ext_autodoc_automodule.py', 'sphinx/ext/autodoc/importer.py', 'tests/roots/test-ext-autodoc/target/private.py', 'tests/test_ext_autodoc_private_members.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc.py', 'sphinx/ext/autodoc/importer.py', 'tests/roots/test-ext-autodoc/target/slots.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/roots/test-ext-autodoc/target/annotations.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_configs.py', 'tests/roots/test-ext-autodoc/target/typed_vars.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/roots/test-ext-autodoc/target/overload.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_configs.py', 'sphinx/ext/autodoc/deprecated.py', 'sphinx/ext/autosummary/generate.py', 'tests/roots/test-ext-autodoc/target/genericalias.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'tests/test_ext_autodoc.py', 'sphinx/ext/autosummary/generate.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autosummary/generate.py', 'sphinx/util/inspect.py', 'sphinx/ext/autosummary/generate.py', 'tests/test_ext_autodoc_autoattribute.py', 'sphinx/ext/autosummary/generate.py', 'tests/test_ext_autodoc_autodata.py', 'tests/roots/test-ext-autodoc/target/annotations.py', 'tests/test_ext_autodoc_configs.py', 'sphinx/pycode/__init__.py', 'sphinx/util/inspect.py', 'sphinx/util/typing.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_util_typing.py', 'tests/test_ext_autodoc_events.py', 'tests/roots/test-ext-autodoc/target/need_mocks.py', 'tests/test_ext_autodoc_automodule.py', 'tests/test_ext_autodoc_configs.py', 'sphinx/ext/autodoc/importer.py', 'sphinx/ext/autodoc/mock.py', 'tests/roots/test-ext-autodoc/target/need_mocks.py', 'tests/test_ext_autodoc_mock.py', 'tests/test_ext_autodoc_events.py', 'sphinx/ext/autodoc/directive.py', 'tests/test_ext_autodoc_autoclass.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/decorator.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_util_inspect.py', 'tests/roots/test-ext-autodoc/target/TYPE_CHECKING.py', 'tests/test_ext_autodoc.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'sphinx/ext/autodoc/importer.py', 'tests/roots/test-ext-autodoc/target/typed_vars.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_private_members.py', 'tests/roots/test-ext-autodoc/target/typed_vars.py', 'tests/test_ext_autodoc.py', 'tests/roots/test-ext-autodoc/target/hide_value.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autosummary/generate.py', 'sphinx/util/inspect.py', 'sphinx/util/typing.py', 'tests/roots/test-ext-autodoc/target/overload.py', 'sphinx/util/__init__.py', 'tests/test_ext_autodoc.py', 'tests/roots/test-ext-autodoc/target/name_conflict/__init__.py', 'tests/roots/test-ext-autodoc/target/name_conflict/foo.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autofunction.py', 'sphinx/ext/autosummary/generate.py', 'sphinx/util/__init__.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/overload2.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_configs.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/decorator.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_util_inspect.py', 'sphinx/events.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc_autofunction.py', 'tests/roots/test-ext-autodoc/target/name_conflict/__init__.py', 'tests/roots/test-ext-autodoc/target/name_conflict/foo.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autofunction.py', 'sphinx/ext/autodoc/mock.py', 'tests/roots/test-ext-autosummary/autosummary_dummy_module.py', 'tests/test_ext_autosummary.py', 'tests/roots/test-ext-autodoc/target/properties.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc_autoproperty.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_ext_autodoc.py', 'tests/test_autodoc.py', 'tests/test_autodoc.py', 'setup.py', 'tests/roots/test-ext-autodoc/target/final.py', 'tests/test_autodoc.py', 'sphinx/domains/python.py', 'tests/test_domain_py.py', 'sphinx/ext/autodoc/typehints.py', 'tests/test_ext_autodoc_configs.py', 'sphinx/ext/autodoc/importer.py', 'sphinx/ext/autosummary/generate.py', 'tests/roots/test-ext-autodoc/target/typed_vars.py', 'tests/test_autodoc.py', 'tests/roots/test-ext-autodoc/target/imported_members.py', 'tests/test_autodoc.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/partialfunction.py', 'tests/test_util_inspect.py', 'tests/roots/test-ext-autodoc/target/partialmethod.py', 'sphinx/directives/__init__.py', 'sphinx/domains/python.py', 'sphinx/util/docstrings.py', 'tests/roots/test-ext-autodoc/target/private.py', 'tests/test_ext_autodoc_private_members.py', 'tests/test_util_docstrings.py', 'sphinx/util/inspect.py', 'tests/test_util_inspect.py', 'tests/roots/test-ext-autodoc/target/autoclass_content.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_autodoc.py', 'tests/roots/test-ext-autodoc/target/canonical/__init__.py', 'tests/roots/test-ext-autodoc/target/canonical/original.py', 'tests/test_ext_autodoc.py', 'sphinx/ext/autosummary/generate.py', 'tests/test_ext_autodoc.py', 'sphinx/ext/autosummary/__init__.py', 'tests/test_ext_autodoc_configs.py', 'tests/roots/test-ext-autodoc/target/sort_by_all.py', 'tests/test_ext_autodoc.py', 'tests/roots/test-ext-autodoc/target/overload.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'sphinx/ext/autodoc/type_comment.py', 'tests/roots/test-ext-autodoc/target/typehints.py', 'tests/test_ext_autodoc_configs.py', 'tests/roots/test-ext-autodoc/target/docstring_signature.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_autodoc.py', 'sphinx/ext/autodoc/preserve_defaults.py', 'tests/roots/test-ext-autodoc/target/preserve_defaults.py', 'tests/test_ext_autodoc_preserve_defaults.py', 'sphinx/ext/autodoc/importer.py', 'tests/roots/test-ext-autodoc/target/instance_variable.py', 'tests/test_ext_autodoc_autoclass.py']"
sphinx/ext/autodoc/directive.py,"['sphinx/ext/autodoc/__init__.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autodoc/__init__.py', 'tests/test_ext_autodoc_autoclass.py']"
tests/test_ext_autodoc_autoattribute.py,"['sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autodoc/directive.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/genericalias.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autodata.py', 'tests/test_ext_autodoc_configs.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/slots.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'sphinx/ext/autosummary/__init__.py', 'sphinx/util/typing.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc_autodata.py', 'tests/test_util_typing.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/instance_variable.py', 'sphinx/ext/autodoc/__init__.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/typed_vars.py', 'tests/test_ext_autodoc.py', 'sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autodoc/deprecated.py', 'sphinx/ext/autosummary/generate.py', 'tests/roots/test-ext-autodoc/target/genericalias.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autosummary/generate.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autosummary/generate.py', 'sphinx/util/inspect.py', 'sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autosummary/generate.py', 'tests/test_ext_autodoc_autodata.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/hide_value.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autodata.py']"
tests/test_ext_autodoc_autodata.py,"['sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autodoc/directive.py', 'tests/test_ext_autodoc_autoattribute.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/genericalias.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_configs.py', 'sphinx/ext/autosummary/__init__.py', 'sphinx/util/typing.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_util_typing.py', 'sphinx/ext/autodoc/__init__.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autodoc/deprecated.py', 'sphinx/ext/autosummary/generate.py', 'tests/roots/test-ext-autodoc/target/genericalias.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/typevar.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'sphinx/ext/autosummary/generate.py', 'sphinx/util/inspect.py', 'sphinx/ext/autodoc/__init__.py', 'tests/test_ext_autodoc_autoattribute.py', 'sphinx/ext/autosummary/generate.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/hide_value.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py']"
sphinx/ext/autodoc/mock.py,"['sphinx/util/typing.py', 'tests/test_util_typing.py', 'sphinx/ext/autodoc/__init__.py', 'tests/roots/test-ext-autodoc/target/need_mocks.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_ext_autodoc_mock.py', 'tests/test_util_typing.py', 'sphinx/ext/autodoc/__init__.py', 'sphinx/ext/autodoc/importer.py', 'tests/roots/test-ext-autodoc/target/need_mocks.py', 'tests/test_ext_autodoc_mock.py', 'tests/test_ext_autodoc_mock.py', 'sphinx/ext/autodoc/__init__.py', 'tests/test_ext_autodoc_mock.py']"
sphinx/util/typing.py,"['sphinx/ext/autodoc/mock.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'sphinx/ext/autosummary/__init__.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoattribute.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_ext_autodoc_autodata.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'sphinx/util/inspect.py', 'tests/test_ext_autodoc_autofunction.py', 'tests/test_ext_autodoc_automodule.py', 'tests/test_ext_autodoc_configs.py', 'tests/test_ext_autodoc_preserve_defaults.py', 'tests/test_util_inspect.py', 'tests/test_util_typing.py', 'sphinx/domains/python.py', 'tests/test_domain_py.py', 'tests/test_util_typing.py', 'tests/test_ext_autodoc.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_util_typing.py', 'tests/test_ext_autodoc.py', 'sphinx/domains/python.py', 'tests/test_domain_py.py', 'tests/roots/test-ext-autodoc/target/pep604.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'tests/test_util_inspect.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'sphinx/ext/autodoc/__init__.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/classes.py', 'tests/test_ext_autodoc_autoclass.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'tests/test_util_typing.py', 'sphinx/ext/autodoc/__init__.py', 'sphinx/util/inspect.py', 'tests/roots/test-ext-autodoc/target/overload.py', 'tests/test_util_inspect.py', 'tests/typing_test_data.py', 'tests/roots/test-ext-autodoc/target/annotated.py', 'tests/test_autodoc.py', 'tests/test_util_typing.py', 'sphinx/domains/python.py', 'tests/test_util_inspect.py', 'tests/test_util_typing.py']"
