key,time,commitTime,PythonfileNum,pythonFile
#8157,2022-03-01 12:36:23,2022-03-01 10:20:15,2,"['statsmodels/regression/linear_model.py', 'statsmodels/regression/tests/test_robustcov.py']"
#8135,2022-02-23 22:33:54,2022-02-18 17:04:02,2,"['statsmodels/stats/rates.py', 'statsmodels/stats/tests/test_rates_poisson.py']"
#8049,2022-02-02 05:03:05,2022-02-01 15:56:36,2,"['statsmodels/stats/proportion.py', 'statsmodels/stats/tests/test_proportion.py']"
#8008,2022-01-11 14:47:17,2022-01-11 13:14:15,2,"['statsmodels/api.py', 'statsmodels/formula/api.py']"
#7990,2022-01-22 19:08:18,2022-01-06 20:12:18,4,"['statsmodels/discrete/discrete_model.py', 'statsmodels/discrete/tests/results/results_truncated.py', 'statsmodels/discrete/tests/test_truncated_model.py', 'statsmodels/discrete/truncated_model.py']"
#7985,2022-01-07 18:07:02,2022-01-07 15:17:53,2,"['statsmodels/stats/proportion.py', 'statsmodels/stats/tests/test_proportion.py']"
#7981,2022-01-10 15:49:16,2022-01-10 13:46:11,3,"['statsmodels/tools/typing.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/tests/test_ar.py']"
#7968,2021-12-21 16:44:56,2021-12-21 15:48:01,2,"['statsmodels/tsa/holtwinters/model.py', 'statsmodels/tsa/holtwinters/tests/test_holtwinters.py']"
#7938,2021-12-15 08:10:14,2021-12-14 18:40:55,6,"['statsmodels/compat/numpy.py', 'statsmodels/compat/pandas.py', 'statsmodels/compat/scipy.py', 'statsmodels/multivariate/tests/test_factor.py', 'statsmodels/regression/linear_model.py', 'statsmodels/regression/tests/test_regression.py']"
#7794,2021-10-13 15:31:27,2021-10-13 10:10:41,2,"['statsmodels/tsa/stattools.py', 'statsmodels/tsa/tests/test_stattools.py']"
#7755,2021-09-26 19:38:11,2021-09-25 18:28:15,2,"['statsmodels/regression/linear_model.py', 'statsmodels/regression/tests/test_regression.py']"
#7747,2021-09-23 21:01:51,2021-09-23 15:55:25,3,"['statsmodels/discrete/tests/test_discrete.py', 'statsmodels/iolib/summary.py', 'statsmodels/regression/tests/test_regression.py']"
#7610,2021-07-30 16:34:13,2021-07-30 11:59:03,18,"['statsmodels/graphics/agreement.py', 'statsmodels/graphics/api.py', 'statsmodels/graphics/boxplots.py', 'statsmodels/graphics/dotplots.py', 'statsmodels/graphics/factorplots.py', 'statsmodels/graphics/gofplots.py', 'statsmodels/graphics/mosaicplot.py', 'statsmodels/graphics/plot_grids.py', 'statsmodels/graphics/plottools.py', 'statsmodels/graphics/regressionplots.py', 'statsmodels/graphics/tests/test_agreement.py', 'statsmodels/graphics/tests/test_boxplots.py', 'statsmodels/graphics/tests/test_correlation.py', 'statsmodels/graphics/tests/test_dotplot.py', 'statsmodels/graphics/tests/test_factorplots.py', 'statsmodels/graphics/tests/test_gofplots.py', 'statsmodels/graphics/tests/test_regressionplots.py', 'statsmodels/graphics/tukeyplot.py']"
