file,fileSet
statsmodels/regression/linear_model.py,"['statsmodels/regression/tests/test_robustcov.py', 'statsmodels/compat/numpy.py', 'statsmodels/compat/pandas.py', 'statsmodels/compat/scipy.py', 'statsmodels/multivariate/tests/test_factor.py', 'statsmodels/regression/tests/test_regression.py', 'statsmodels/regression/tests/test_regression.py', 'statsmodels/regression/tests/test_regression.py', 'statsmodels/regression/tests/test_regression.py', 'statsmodels/regression/tests/test_regression.py', 'statsmodels/base/data.py', 'statsmodels/base/model.py', 'statsmodels/discrete/count_model.py', 'statsmodels/discrete/discrete_margins.py', 'statsmodels/discrete/discrete_model.py', 'statsmodels/genmod/generalized_estimating_equations.py', 'statsmodels/genmod/generalized_linear_model.py', 'statsmodels/graphics/gofplots.py', 'statsmodels/nonparametric/kde.py', 'statsmodels/robust/robust_linear_model.py', 'statsmodels/sandbox/regression/gmm.py', 'statsmodels/stats/contingency_tables.py', 'statsmodels/tools/decorators.py', 'statsmodels/tools/tests/test_decorators.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/regime_switching/markov_switching.py', 'statsmodels/tsa/statespace/mlemodel.py', 'statsmodels/base/model.py', 'statsmodels/discrete/conditional_models.py', 'statsmodels/discrete/discrete_model.py', 'statsmodels/duration/hazard_regression.py', 'statsmodels/genmod/generalized_estimating_equations.py', 'statsmodels/genmod/generalized_linear_model.py', 'statsmodels/genmod/qif.py', 'statsmodels/imputation/bayes_mi.py', 'statsmodels/imputation/mice.py', 'statsmodels/iolib/summary.py', 'statsmodels/iolib/summary2.py', 'statsmodels/regression/mixed_linear_model.py', 'statsmodels/regression/quantile_regression.py', 'statsmodels/robust/robust_linear_model.py', 'statsmodels/sandbox/regression/gmm.py', 'statsmodels/stats/contingency_tables.py', 'statsmodels/stats/contrast.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/regression/tests/test_regression.py', 'statsmodels/regression/tests/test_regression.py']"
statsmodels/regression/tests/test_robustcov.py,['statsmodels/regression/linear_model.py']
statsmodels/stats/rates.py,['statsmodels/stats/tests/test_rates_poisson.py']
statsmodels/stats/tests/test_rates_poisson.py,['statsmodels/stats/rates.py']
statsmodels/stats/proportion.py,"['statsmodels/stats/tests/test_proportion.py', 'statsmodels/stats/tests/test_proportion.py', 'statsmodels/stats/tests/test_proportion.py']"
statsmodels/stats/tests/test_proportion.py,"['statsmodels/stats/proportion.py', 'statsmodels/stats/proportion.py', 'statsmodels/stats/proportion.py']"
statsmodels/api.py,['statsmodels/formula/api.py']
statsmodels/formula/api.py,['statsmodels/api.py']
statsmodels/discrete/discrete_model.py,"['statsmodels/discrete/tests/results/results_truncated.py', 'statsmodels/discrete/tests/test_truncated_model.py', 'statsmodels/discrete/truncated_model.py', 'statsmodels/base/_constraints.py', 'statsmodels/base/_parameter_inference.py', 'statsmodels/base/tests/test_shrink_pickle.py', 'statsmodels/discrete/tests/test_constrained.py', 'statsmodels/genmod/generalized_linear_model.py', 'statsmodels/discrete/tests/test_discrete.py', 'statsmodels/tsa/vector_ar/tests/test_var.py', 'statsmodels/discrete/tests/test_count_model.py', 'statsmodels/genmod/generalized_linear_model.py', 'statsmodels/base/data.py', 'statsmodels/base/model.py', 'statsmodels/discrete/count_model.py', 'statsmodels/discrete/discrete_margins.py', 'statsmodels/genmod/generalized_estimating_equations.py', 'statsmodels/genmod/generalized_linear_model.py', 'statsmodels/graphics/gofplots.py', 'statsmodels/nonparametric/kde.py', 'statsmodels/regression/linear_model.py', 'statsmodels/robust/robust_linear_model.py', 'statsmodels/sandbox/regression/gmm.py', 'statsmodels/stats/contingency_tables.py', 'statsmodels/tools/decorators.py', 'statsmodels/tools/tests/test_decorators.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/regime_switching/markov_switching.py', 'statsmodels/tsa/statespace/mlemodel.py', 'statsmodels/discrete/tests/test_discrete.py', 'statsmodels/base/model.py', 'statsmodels/discrete/conditional_models.py', 'statsmodels/duration/hazard_regression.py', 'statsmodels/genmod/generalized_estimating_equations.py', 'statsmodels/genmod/generalized_linear_model.py', 'statsmodels/genmod/qif.py', 'statsmodels/imputation/bayes_mi.py', 'statsmodels/imputation/mice.py', 'statsmodels/iolib/summary.py', 'statsmodels/iolib/summary2.py', 'statsmodels/regression/linear_model.py', 'statsmodels/regression/mixed_linear_model.py', 'statsmodels/regression/quantile_regression.py', 'statsmodels/robust/robust_linear_model.py', 'statsmodels/sandbox/regression/gmm.py', 'statsmodels/stats/contingency_tables.py', 'statsmodels/stats/contrast.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/discrete/tests/test_discrete.py', 'statsmodels/base/data.py', 'statsmodels/discrete/tests/test_discrete.py', 'statsmodels/tsa/vector_ar/tests/test_var.py', 'statsmodels/tsa/vector_ar/var_model.py']"
statsmodels/discrete/tests/results/results_truncated.py,"['statsmodels/discrete/discrete_model.py', 'statsmodels/discrete/tests/test_truncated_model.py', 'statsmodels/discrete/truncated_model.py']"
statsmodels/discrete/tests/test_truncated_model.py,"['statsmodels/discrete/discrete_model.py', 'statsmodels/discrete/tests/results/results_truncated.py', 'statsmodels/discrete/truncated_model.py']"
statsmodels/discrete/truncated_model.py,"['statsmodels/discrete/discrete_model.py', 'statsmodels/discrete/tests/results/results_truncated.py', 'statsmodels/discrete/tests/test_truncated_model.py']"
statsmodels/tools/typing.py,"['statsmodels/tsa/ar_model.py', 'statsmodels/tsa/tests/test_ar.py']"
statsmodels/tsa/ar_model.py,"['statsmodels/tools/typing.py', 'statsmodels/tsa/tests/test_ar.py', 'setup.py', 'statsmodels/stats/tests/test_diagnostic.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/statespace/tests/test_sarimax.py', 'statsmodels/tsa/stattools.py', 'statsmodels/tsa/tests/test_ar.py', 'statsmodels/tsa/tests/test_arima_process.py', 'statsmodels/tsa/tests/test_stattools.py', 'statsmodels/tsa/stattools.py', 'statsmodels/tsa/stattools.py', 'statsmodels/tsa/tests/test_ar.py', 'statsmodels/tools/validation/validation.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/tests/test_ar.py', 'statsmodels/tsa/tests/test_arima.py', 'statsmodels/base/data.py', 'statsmodels/base/model.py', 'statsmodels/discrete/count_model.py', 'statsmodels/discrete/discrete_margins.py', 'statsmodels/discrete/discrete_model.py', 'statsmodels/genmod/generalized_estimating_equations.py', 'statsmodels/genmod/generalized_linear_model.py', 'statsmodels/graphics/gofplots.py', 'statsmodels/nonparametric/kde.py', 'statsmodels/regression/linear_model.py', 'statsmodels/robust/robust_linear_model.py', 'statsmodels/sandbox/regression/gmm.py', 'statsmodels/stats/contingency_tables.py', 'statsmodels/tools/decorators.py', 'statsmodels/tools/tests/test_decorators.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/regime_switching/markov_switching.py', 'statsmodels/tsa/statespace/mlemodel.py', 'statsmodels/tools/validation/validation.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/tests/test_ar.py', 'statsmodels/tsa/tests/test_arima.py', 'statsmodels/tsa/statespace/mlemodel.py', 'statsmodels/tsa/statespace/tests/test_conserve_memory.py', 'statsmodels/tsa/statespace/tests/test_fixed_params.py', 'statsmodels/tsa/statespace/tests/test_mlemodel.py', 'statsmodels/tsa/statespace/tests/test_sarimax.py', 'statsmodels/tsa/tests/test_ar.py', 'statsmodels/sandbox/stats/diagnostic.py', 'statsmodels/sandbox/tools/mctools.py', 'statsmodels/stats/tests/test_diagnostic.py', 'statsmodels/tools/tools.py', 'statsmodels/tsa/tsatools.py', 'statsmodels/tsa/tests/test_ar.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/tests/test_arima.py', 'statsmodels/sandbox/stats/diagnostic.py', 'statsmodels/sandbox/tools/mctools.py', 'statsmodels/stats/tests/test_diagnostic.py', 'statsmodels/tools/tools.py', 'statsmodels/tsa/statespace/mlemodel.py', 'statsmodels/tsa/tsatools.py']"
statsmodels/tsa/tests/test_ar.py,"['statsmodels/tools/typing.py', 'statsmodels/tsa/ar_model.py', 'setup.py', 'statsmodels/stats/tests/test_diagnostic.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/statespace/tests/test_sarimax.py', 'statsmodels/tsa/stattools.py', 'statsmodels/tsa/tests/test_arima_process.py', 'statsmodels/tsa/tests/test_stattools.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tools/validation/validation.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/tests/test_arima.py', 'statsmodels/tools/validation/validation.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/arima_model.py', 'statsmodels/tsa/tests/test_arima.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/statespace/mlemodel.py', 'statsmodels/tsa/statespace/tests/test_conserve_memory.py', 'statsmodels/tsa/statespace/tests/test_fixed_params.py', 'statsmodels/tsa/statespace/tests/test_mlemodel.py', 'statsmodels/tsa/statespace/tests/test_sarimax.py', 'statsmodels/sandbox/stats/diagnostic.py', 'statsmodels/sandbox/tools/mctools.py', 'statsmodels/stats/tests/test_diagnostic.py', 'statsmodels/tools/tools.py', 'statsmodels/tsa/tsatools.py', 'statsmodels/tsa/ar_model.py', 'statsmodels/tsa/tsatools.py']"
statsmodels/tsa/holtwinters/model.py,"['statsmodels/tsa/holtwinters/tests/test_holtwinters.py', 'statsmodels/tsa/holtwinters/results.py', 'statsmodels/tsa/holtwinters/tests/test_holtwinters.py']"
statsmodels/tsa/holtwinters/tests/test_holtwinters.py,"['statsmodels/tsa/holtwinters/model.py', 'statsmodels/tsa/holtwinters/results.py', 'statsmodels/tsa/holtwinters/results.py', 'statsmodels/tsa/holtwinters/model.py', 'statsmodels/tsa/holtwinters/results.py']"
