key,time,commitTime,PythonfileNum,pythonFile
#10185,2022-02-08 16:34:43,2022-02-09 01:34:42,6,"['python/tvm/contrib/cutlass/build.py', 'python/tvm/contrib/cutlass/conv2d_operation.py', 'python/tvm/contrib/cutlass/conv2d_profiler.py', 'python/tvm/contrib/cutlass/gen_conv2d.py', 'python/tvm/contrib/cutlass/gen_tensor_op.py', 'tests/python/contrib/test_cutlass.py']"
#10184,2022-02-08 05:57:16,2022-02-07 21:57:15,8,"['python/tvm/relay/frontend/pytorch.py', 'python/tvm/relay/op/image/_image.py', 'python/tvm/relay/op/image/image.py', 'python/tvm/topi/image/grid_sample.py', 'python/tvm/topi/testing/grid_sample_python.py', 'tests/python/frontend/pytorch/test_forward.py', 'tests/python/relay/test_op_level5.py', 'tests/python/topi/python/test_topi_image.py']"
#10177,2022-02-08 01:28:20,2022-02-08 10:28:20,11,"['python/tvm/contrib/cudnn.py', 'python/tvm/contrib/cutlass/gen_conv2d.py', 'python/tvm/contrib/cutlass/gen_gemm.py', 'python/tvm/contrib/cutlass/gen_tensor_op.py', 'python/tvm/contrib/cutlass/library.py', 'python/tvm/relay/op/contrib/cutlass.py', 'python/tvm/relay/op/nn/_nn.py', 'python/tvm/topi/cuda/conv2d.py', 'python/tvm/topi/testing/conv2d_backcward_weight_python.py', 'tests/python/contrib/test_cutlass.py', 'tests/python/relay/test_op_grad_level2.py']"
#10175,2022-02-08 07:23:43,2022-02-08 15:23:42,2,"['python/tvm/script/parser.py', 'tests/python/unittest/test_tvmscript_regression.py']"
#10170,2022-02-08 17:08:02,2022-02-08 09:08:01,2,"['python/tvm/relay/transform/fake_quantization_to_integer.py', 'tests/python/relay/test_pass_fake_quantization_to_integer.py']"
#10169,2022-02-07 04:06:26,2022-02-06 20:06:26,2,"['python/tvm/meta_schedule/integration.py', 'tests/python/unittest/test_meta_schedule_integration.py']"
#10163,2022-02-04 15:39:30,2022-02-04 23:39:30,2,"['python/tvm/meta_schedule/search_strategy/evolutionary_search.py', 'tests/python/unittest/test_meta_schedule_search_strategy.py']"
#10158,2022-02-03 23:12:29,2022-02-04 07:12:29,2,"['tests/python/unittest/test_tir_schedule_compute_at.py', 'tests/python/unittest/test_tir_schedule_for_kind.py']"
#10157,2022-02-04 09:07:44,2022-02-04 09:07:44,2,"['tests/python/contrib/test_ethosn/test_addition.py', 'tests/python/contrib/test_ethosn/test_fullyconnected.py']"
#10155,2022-02-04 09:20:58,2022-02-04 02:20:58,2,"['python/tvm/relay/op/_transform.py', 'tests/python/relay/test_any.py']"
#10148,2022-02-03 11:26:13,2022-02-03 11:26:13,7,"['tests/python/contrib/test_cmsisnn/test_binary_ops.py', 'tests/python/contrib/test_cmsisnn/test_conv2d.py', 'tests/python/contrib/test_cmsisnn/test_fully_connected.py', 'tests/python/contrib/test_cmsisnn/test_generate_constants.py', 'tests/python/contrib/test_cmsisnn/test_pooling.py', 'tests/python/contrib/test_cmsisnn/test_softmax.py', 'tests/python/contrib/test_cmsisnn/utils.py']"
#10143,2022-02-03 22:59:28,2022-02-03 22:59:27,2,"['python/tvm/relay/backend/contrib/ethosu/codegen.py', 'tests/python/contrib/test_ethosu/test_layout_optimizer.py']"
#10138,2022-02-03 18:48:11,2022-02-03 10:48:10,2,"['apps/microtvm/reference-vm/base-box-tool.py', 'apps/microtvm/zephyr/template_project/microtvm_api_server.py']"
#10133,2022-02-04 13:54:14,2022-02-04 05:54:13,2,"['tests/python/relay/aot/test_crt_aot_usmp.py', 'tests/python/relay/test_pass_simplify_expr.py']"
#10123,2022-02-01 23:09:27,2022-02-01 15:09:27,2,"['python/tvm/auto_scheduler/measure.py', 'tests/python/relay/test_auto_scheduler_tuning.py']"
