key,time,commitTime,PythonfileNum,pythonFile
#5387,2022-02-08 12:40:02,2022-02-08 13:40:01,11,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py']"
#5386,2022-02-08 09:00:31,2022-02-08 09:00:31,6,"['test/test_ops.py', 'torchvision/datasets/imagenet.py', 'torchvision/ops/misc.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py']"
#5384,2022-02-08 16:56:43,2022-02-08 17:56:42,3,"['test/common_utils.py', 'test/test_transforms_tensor.py', 'torchvision/transforms/autoaugment.py']"
#5381,2022-02-07 16:01:17,2022-02-07 16:01:16,2,"['torchvision/models/optical_flow/raft.py', 'torchvision/prototype/models/optical_flow/raft.py']"
#5331,2022-02-02 14:16:27,2022-02-02 14:16:26,7,"['torchvision/models/googlenet.py', 'torchvision/models/mnasnet.py', 'torchvision/models/optical_flow/raft.py', 'torchvision/models/regnet.py', 'torchvision/models/vgg.py', 'torchvision/models/video/resnet.py', 'torchvision/models/vision_transformer.py']"
#5330,2022-02-01 17:07:55,2022-02-01 17:07:55,4,"['hubconf.py', 'torchvision/models/__init__.py', 'torchvision/models/convnext.py', 'torchvision/prototype/models/convnext.py']"
#5308,2022-01-28 14:15:49,2022-01-28 14:15:48,2,"['test/test_utils.py', 'torchvision/utils.py']"
#5301,2022-01-28 09:51:28,2022-01-28 10:51:28,3,"['setup.py', 'torchvision/datasets/stl10.py', 'torchvision/transforms/functional_pil.py']"
#5299,2022-02-02 10:57:24,2022-02-02 10:57:23,12,"['references/classification/train.py', 'references/classification/train_quantization.py', 'references/classification/utils.py', 'test/test_models.py', 'torchvision/models/quantization/googlenet.py', 'torchvision/models/quantization/inception.py', 'torchvision/models/quantization/mobilenetv2.py', 'torchvision/models/quantization/mobilenetv3.py', 'torchvision/models/quantization/resnet.py', 'torchvision/models/quantization/shufflenetv2.py', 'torchvision/models/quantization/utils.py', 'torchvision/prototype/models/quantization/mobilenetv3.py']"
#5298,2022-01-27 17:33:39,2022-01-27 17:33:39,3,"['torchvision/models/segmentation/deeplabv3.py', 'torchvision/models/segmentation/fcn.py', 'torchvision/models/segmentation/lraspp.py']"
#5286,2022-01-27 12:58:52,2022-01-27 12:58:52,3,"['test/builtin_dataset_mocks.py', 'torchvision/prototype/datasets/_builtin/__init__.py', 'torchvision/prototype/datasets/_builtin/pcam.py']"
#5282,2022-01-27 13:50:54,2022-01-27 13:50:54,7,"['test/test_prototype_builtin_datasets.py', 'torchvision/prototype/datasets/__init__.py', 'torchvision/prototype/datasets/_api.py', 'torchvision/prototype/datasets/generate_category_files.py', 'torchvision/prototype/datasets/utils/_dataset.py', 'torchvision/prototype/datasets/utils/_internal.py', 'torchvision/prototype/datasets/utils/_resource.py']"
#5275,2022-01-25 13:43:54,2022-01-25 19:13:53,3,"['test/test_backbone_utils.py', 'test/test_models_detection_utils.py', 'torchvision/models/detection/backbone_utils.py']"
#5271,2022-01-25 11:20:20,2022-01-25 11:20:20,2,"['test/builtin_dataset_mocks.py', 'test/test_prototype_builtin_datasets.py']"
#5270,2022-01-24 17:00:11,2022-01-24 17:00:11,2,"['torchvision/ops/__init__.py', 'torchvision/ops/giou_loss.py']"
#5268,2022-01-24 16:26:28,2022-01-24 16:26:27,2,"['test/builtin_dataset_mocks.py', 'test/test_prototype_builtin_datasets.py']"
#5267,2022-01-26 17:38:49,2022-01-27 01:38:48,2,"['test/test_models_detection_negative_samples.py', 'torchvision/models/detection/fcos.py']"
#5259,2022-01-23 10:58:26,2022-01-23 10:58:26,3,"['hubconf.py', 'torchvision/models/vision_transformer.py', 'torchvision/prototype/models/vision_transformer.py']"
#5256,2022-01-24 13:40:45,2022-01-24 13:40:44,2,"['test/test_video_gpu_decoder.py', 'torchvision/io/__init__.py']"
#5248,2022-01-21 18:16:07,2022-01-21 18:16:07,5,"['references/classification/train.py', 'references/detection/train.py', 'references/optical_flow/train.py', 'references/segmentation/train.py', 'references/video_classification/train.py']"
#5229,2022-01-20 15:14:05,2022-01-20 16:14:05,2,"['test/test_datasets_utils.py', 'torchvision/datasets/folder.py']"
#5226,2022-01-29 06:00:41,2022-01-28 22:00:41,2,"['test/test_models.py', 'torchvision/models/vision_transformer.py']"
#5224,2022-01-20 10:20:53,2022-01-20 11:20:52,2,"['test/test_prototype_datasets_api.py', 'torchvision/prototype/datasets/utils/_dataset.py']"
