file,fileSet
test/test_functional_tensor.py,"['test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py', 'test/test_transforms.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'test/test_transforms.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/functional_tensor.py', '.circleci/unittest/linux/scripts/run-clang-format.py', 'packaging/wheel/relocate.py', 'references/classification/utils.py', 'references/detection/coco_utils.py', 'setup.py', 'test/common_utils.py', 'test/test_backbone_utils.py', 'test/test_cpp_models.py', 'test/test_datasets_samplers.py', 'test/test_datasets_utils.py', 'test/test_datasets_video_utils.py', 'test/test_datasets_video_utils_opt.py', 'test/test_internet.py', 'test/test_io.py', 'test/test_io_opt.py', 'test/test_models.py', 'test/test_transforms_tensor.py', 'torchvision/_internally_replaced_utils.py', 'torchvision/datasets/cifar.py', 'torchvision/datasets/widerface.py', 'torchvision/io/_video_opt.py', 'torchvision/models/densenet.py', 'torchvision/models/detection/rpn.py', 'torchvision/models/detection/ssdlite.py', 'torchvision/models/mobilenetv2.py', 'torchvision/ops/_register_onnx_ops.py', 'test/common_utils.py', 'test/test_transforms.py', 'test/test_transforms_tensor.py', 'torchvision/transforms/autoaugment.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py', 'test/common_utils.py', 'torchvision/transforms/functional_tensor.py', 'references/detection/transforms.py', 'torchvision/transforms/autoaugment.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional_pil.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py', 'torchvision/transforms/functional_tensor.py', 'test/common_utils.py', 'test/test_datasets_samplers.py', 'test/test_datasets_video_utils.py', 'test/test_image.py', 'test/test_io.py', 'test/test_models_detection_anchor_utils.py', 'test/test_models_detection_negative_samples.py', 'test/test_models_detection_utils.py', 'test/test_onnx.py', 'test/test_ops.py', 'test/test_transforms.py', 'test/test_transforms_tensor.py', 'test/test_transforms_video.py', 'test/test_utils.py', 'test/test_video_reader.py']"
test/test_transforms.py,"['test/test_functional_tensor.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py', 'test/test_functional_tensor.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'test/test_functional_tensor.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py', 'test/common_utils.py', 'test/test_functional_tensor.py', 'test/test_transforms_tensor.py', 'torchvision/transforms/autoaugment.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py', 'references/classification/train.py', 'references/classification/transforms.py', 'references/classification/utils.py', 'torchvision/transforms/transforms.py', 'references/classification/presets.py', 'test/test_transforms_tensor.py', 'torchvision/transforms/autoaugment.py', 'test/common_utils.py', 'test/test_datasets.py', 'test/test_image.py', 'test/test_transforms_video.py', 'gallery/plot_transforms.py', 'references/classification/presets.py', 'test/test_transforms_tensor.py', 'torchvision/transforms/autoaugment.py', 'test/common_utils.py', 'test/test_datasets_samplers.py', 'test/test_datasets_video_utils.py', 'test/test_functional_tensor.py', 'test/test_image.py', 'test/test_io.py', 'test/test_models_detection_anchor_utils.py', 'test/test_models_detection_negative_samples.py', 'test/test_models_detection_utils.py', 'test/test_onnx.py', 'test/test_ops.py', 'test/test_transforms_tensor.py', 'test/test_transforms_video.py', 'test/test_utils.py', 'test/test_video_reader.py']"
torchvision/datasets/kinetics.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py']"
torchvision/models/mobilenetv2.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py', 'torchvision/datasets/vision.py', 'torchvision/models/alexnet.py', 'torchvision/models/densenet.py', 'torchvision/models/efficientnet.py', 'torchvision/models/googlenet.py', 'torchvision/models/inception.py', 'torchvision/models/mnasnet.py', 'torchvision/models/mobilenetv3.py', 'torchvision/models/regnet.py', 'torchvision/models/resnet.py', 'torchvision/models/shufflenetv2.py', 'torchvision/models/squeezenet.py', 'torchvision/models/vgg.py', 'torchvision/utils.py', 'torchvision/models/alexnet.py', 'torchvision/models/googlenet.py', 'torchvision/models/inception.py', 'torchvision/models/mobilenetv3.py', 'torchvision/models/quantization/googlenet.py', 'torchvision/models/squeezenet.py', 'torchvision/models/vgg.py', '.circleci/unittest/linux/scripts/run-clang-format.py', 'packaging/wheel/relocate.py', 'references/classification/utils.py', 'references/detection/coco_utils.py', 'setup.py', 'test/common_utils.py', 'test/test_backbone_utils.py', 'test/test_cpp_models.py', 'test/test_datasets_samplers.py', 'test/test_datasets_utils.py', 'test/test_datasets_video_utils.py', 'test/test_datasets_video_utils_opt.py', 'test/test_functional_tensor.py', 'test/test_internet.py', 'test/test_io.py', 'test/test_io_opt.py', 'test/test_models.py', 'test/test_transforms_tensor.py', 'torchvision/_internally_replaced_utils.py', 'torchvision/datasets/cifar.py', 'torchvision/datasets/widerface.py', 'torchvision/io/_video_opt.py', 'torchvision/models/densenet.py', 'torchvision/models/detection/rpn.py', 'torchvision/models/detection/ssdlite.py', 'torchvision/ops/_register_onnx_ops.py', 'torchvision/models/_utils.py', 'torchvision/models/detection/ssdlite.py', 'torchvision/models/efficientnet.py', 'torchvision/models/mobilenetv3.py', 'torchvision/models/quantization/mobilenetv2.py', 'torchvision/models/quantization/mobilenetv3.py', 'torchvision/models/regnet.py', 'torchvision/ops/misc.py']"
torchvision/models/segmentation/segmentation.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py', 'torchvision/models/segmentation/__init__.py', 'torchvision/models/segmentation/_utils.py', 'torchvision/models/segmentation/deeplabv3.py', 'torchvision/models/segmentation/fcn.py', 'torchvision/models/segmentation/lraspp.py', 'torchvision/models/segmentation/_utils.py', 'torchvision/models/segmentation/deeplabv3.py', 'torchvision/models/segmentation/fcn.py', 'torchvision/models/segmentation/lraspp.py']"
torchvision/ops/poolers.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py', 'test/test_ops.py', 'torchvision/models/feature_extraction.py', 'torchvision/ops/boxes.py', 'torchvision/ops/deform_conv.py', 'torchvision/ops/feature_pyramid_network.py', 'torchvision/ops/focal_loss.py', 'torchvision/ops/misc.py', 'torchvision/ops/ps_roi_align.py', 'torchvision/ops/ps_roi_pool.py', 'torchvision/ops/roi_align.py', 'torchvision/ops/roi_pool.py', 'torchvision/ops/stochastic_depth.py', 'torchvision/utils.py']"
torchvision/transforms/_functional_video.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py']"
torchvision/transforms/_transforms_video.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py']"
torchvision/transforms/functional.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/transforms.py', 'torchvision/utils.py', 'test/test_ops.py', 'torchvision/datasets/imagenet.py', 'torchvision/ops/misc.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py', 'test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/transforms/transforms.py', 'torchvision/transforms/transforms.py', 'torchvision/transforms/transforms.py', 'test/common_utils.py', 'test/test_functional_tensor.py', 'test/test_transforms.py', 'test/test_transforms_tensor.py', 'torchvision/transforms/autoaugment.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py', 'references/detection/transforms.py', 'test/test_functional_tensor.py', 'torchvision/transforms/autoaugment.py', 'torchvision/transforms/functional_pil.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/transforms.py', 'torchvision/transforms/transforms.py']"
torchvision/transforms/transforms.py,"['test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/datasets/kinetics.py', 'torchvision/models/mobilenetv2.py', 'torchvision/models/segmentation/segmentation.py', 'torchvision/ops/poolers.py', 'torchvision/transforms/_functional_video.py', 'torchvision/transforms/_transforms_video.py', 'torchvision/transforms/functional.py', 'torchvision/utils.py', 'test/test_ops.py', 'torchvision/datasets/imagenet.py', 'torchvision/ops/misc.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional_tensor.py', 'test/test_functional_tensor.py', 'test/test_transforms.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional.py', 'test/test_transforms.py', 'torchvision/transforms/functional.py', 'test/common_utils.py', 'test/test_functional_tensor.py', 'test/test_transforms.py', 'test/test_transforms_tensor.py', 'torchvision/transforms/autoaugment.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional_tensor.py', 'references/classification/train.py', 'references/classification/transforms.py', 'references/classification/utils.py', 'test/test_transforms.py', 'gallery/plot_video_api.py', 'references/detection/transforms.py', 'test/test_functional_tensor.py', 'torchvision/transforms/autoaugment.py', 'torchvision/transforms/functional.py', 'torchvision/transforms/functional_pil.py', 'torchvision/transforms/functional_tensor.py', 'torchvision/transforms/functional.py']"
