file,fileSet
setup.py,"['wagtail/contrib/frontend_cache/tests.py', 'wagtail/core/tests/test_rich_text.py', 'docs/conf.py', 'docs/conf.py', 'docs/conf.py', 'runtests.py', 'scripts/get-translator-credits.py', 'scripts/nightly/upload.py', 'docs/conf.py', 'runtests.py', 'scripts/get-translator-credits.py', 'scripts/nightly/upload.py', 'docs/conf.py', 'runtests.py', 'scripts/get-translator-credits.py', 'scripts/nightly/upload.py', 'wagtail/core/migrations/0047_add_workflow_models.py', 'wagtail/core/models.py', 'wagtail/images/image_operations.py', 'wagtail/images/models.py', 'wagtail/images/tests/test_image_operations.py', 'wagtail/images/wagtail_hooks.py']"
wagtail/contrib/frontend_cache/tests.py,"['setup.py', 'wagtail/contrib/frontend_cache/utils.py']"
wagtail/core/tests/test_rich_text.py,"['setup.py', 'wagtail/core/blocks/field_block.py', 'wagtail/core/fields.py', 'wagtail/core/rich_text/__init__.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/core/blocks/field_block.py', 'wagtail/core/fields.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/admin/tests/test_rich_text.py', 'wagtail/contrib/legacy/richtext/tests/__init__.py', 'wagtail/contrib/legacy/richtext/tests/test_templatetag.py', 'wagtail/core/rich_text/__init__.py', 'wagtail/core/templatetags/wagtailcore_tags.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/core/tests/test_jinja2.py', 'wagtail/core/tests/test_streamfield.py', 'wagtail/core/tests/tests.py']"
wagtail/admin/forms/auth.py,"['wagtail/admin/tests/test_views.py', 'wagtail/admin/tests/test_forms.py']"
wagtail/admin/tests/test_views.py,"['wagtail/admin/forms/auth.py', 'wagtail/admin/tests/test_forms.py']"
wagtail/admin/tests/test_forms.py,"['wagtail/admin/forms/auth.py', 'wagtail/admin/tests/test_views.py']"
wagtail/core/models/__init__.py,"['wagtail/core/signals.py', 'wagtail/core/tests/test_audit_log.py', 'wagtail/core/signals.py', 'wagtail/core/tests/test_audit_log.py', 'wagtail/core/wagtail_hooks.py', 'wagtail/core/tests/test_page_model.py', 'wagtail/core/wagtail_hooks.py', 'wagtail/admin/templatetags/wagtailadmin_tags.py', 'wagtail/admin/views/pages/listing.py', 'wagtail/core/query.py']"
wagtail/core/signals.py,"['wagtail/core/models/__init__.py', 'wagtail/core/tests/test_audit_log.py', 'wagtail/core/models/__init__.py', 'wagtail/core/tests/test_audit_log.py']"
wagtail/core/tests/test_audit_log.py,"['wagtail/core/models/__init__.py', 'wagtail/core/signals.py', 'wagtail/core/models/__init__.py', 'wagtail/core/signals.py', 'wagtail/core/models.py', 'wagtail/core/models.py', 'wagtail/admin/views/pages/ordering.py']"
wagtail/core/query.py,"['wagtail/core/tests/test_page_queryset.py', 'wagtail/core/tests/test_page_queryset.py', 'wagtail/admin/templatetags/wagtailadmin_tags.py', 'wagtail/admin/views/pages/listing.py', 'wagtail/core/models/__init__.py', 'wagtail/core/tests/test_page_queryset.py', 'wagtail/core/tests/test_page_queryset.py', 'wagtail/core/tests/test_page_queryset.py']"
wagtail/core/tests/test_page_queryset.py,"['wagtail/core/query.py', 'wagtail/core/query.py', 'wagtail/core/query.py', 'wagtail/core/query.py', 'wagtail/core/query.py']"
wagtail/contrib/redirects/apps.py,"['wagtail/contrib/redirects/models.py', 'wagtail/core/utils.py', 'wagtail/contrib/redirects/models.py', 'wagtail/core/utils.py']"
wagtail/contrib/redirects/models.py,"['wagtail/contrib/redirects/apps.py', 'wagtail/core/utils.py', 'wagtail/contrib/redirects/apps.py', 'wagtail/core/utils.py']"
wagtail/core/utils.py,"['wagtail/contrib/redirects/apps.py', 'wagtail/contrib/redirects/models.py', 'wagtail/contrib/redirects/apps.py', 'wagtail/contrib/redirects/models.py', 'wagtail/core/tests/test_utils.py', 'wagtail/core/tests/test_utils.py', 'wagtail/admin/forms/workflows.py', 'wagtail/admin/tests/test_workflows.py', 'wagtail/admin/urls/workflows.py', 'wagtail/admin/views/workflows.py', 'wagtail/admin/widgets/chooser.py', 'wagtail/admin/widgets/workflows.py']"
wagtail/core/blocks/list_block.py,"['wagtail/core/blocks/stream_block.py', 'wagtail/core/fields.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/contrib/table_block/blocks.py', 'wagtail/core/blocks/field_block.py', 'wagtail/core/blocks/static_block.py', 'wagtail/core/blocks/stream_block.py', 'wagtail/core/blocks/struct_block.py', 'wagtail/core/widget_adapters.py', 'wagtail/documents/widgets.py', 'wagtail/images/widgets.py', 'wagtail/snippets/widgets.py', 'wagtail/core/tests/test_blocks.py']"
wagtail/core/blocks/stream_block.py,"['wagtail/core/blocks/list_block.py', 'wagtail/core/fields.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/core/blocks/struct_block.py', 'wagtail/core/widget_adapters.py', 'wagtail/__init__.py', 'wagtail/utils/deprecation.py', 'wagtail/__init__.py', 'wagtail/utils/deprecation.py', 'wagtail/core/tests/test_streamfield.py', 'wagtail/core/tests/test_streamfield.py', 'wagtail/contrib/table_block/blocks.py', 'wagtail/core/blocks/field_block.py', 'wagtail/core/blocks/list_block.py', 'wagtail/core/blocks/static_block.py', 'wagtail/core/blocks/struct_block.py', 'wagtail/core/widget_adapters.py', 'wagtail/documents/widgets.py', 'wagtail/images/widgets.py', 'wagtail/snippets/widgets.py']"
wagtail/core/fields.py,"['wagtail/core/blocks/list_block.py', 'wagtail/core/blocks/stream_block.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/core/blocks/field_block.py', 'wagtail/core/rich_text/__init__.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/core/tests/test_rich_text.py', 'wagtail/core/blocks/field_block.py', 'wagtail/core/tests/test_blocks.py', 'wagtail/core/tests/test_rich_text.py']"
