key,time,commitTime,PythonfileNum,pythonFile
#6732,2022-02-22 11:11:18,2022-02-22 12:11:18,2,"['train.py', 'utils/general.py']"
#6658,2022-02-16 13:44:44,2022-02-16 14:50:37,2,"['utils/datasets.py', 'train.py']"
#6613,2022-02-12 15:05:44,2022-02-12 16:05:43,4,"['export.py', 'models/common.py', 'utils/benchmarks.py', 'val.py']"
#6604,2022-02-10 13:51:30,2022-02-10 14:51:29,2,"['utils/general.py', 'utils/plots.py']"
#6578,2022-02-08 21:20:44,2022-02-08 22:20:44,2,"['utils/datasets.py', 'utils/general.py']"
#6541,2022-02-05 14:22:59,2022-02-05 15:22:59,9,"['export.py', 'models/tf.py', 'utils/datasets.py', 'utils/downloads.py', 'utils/general.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/metrics.py', 'utils/plots.py', 'utils/torch_utils.py']"
#6526,2022-02-03 18:09:24,2022-02-03 19:09:24,2,"['utils/general.py', 'utils/plots.py']"
#6504,2022-02-04 17:19:37,2022-02-04 18:19:37,2,"['detect.py', 'val.py']"
#6461,2022-01-28 07:18:02,2022-01-28 08:18:01,2,"['utils/datasets.py', 'utils/torch_utils.py']"
#6434,2022-01-26 22:47:01,2022-01-26 23:47:00,2,"['utils/datasets.py', 'utils/torch_utils.py']"
#6428,2022-01-25 22:57:27,2022-01-25 14:57:27,3,"['hubconf.py', 'utils/general.py', 'utils/plots.py']"
#6410,2022-01-24 21:11:11,2022-01-24 13:11:11,2,"['detect.py', 'utils/datasets.py']"
#6374,2022-01-20 23:22:48,2022-01-21 04:52:47,2,"['train.py', 'utils/loggers/__init__.py']"
#6365,2022-01-23 02:37:21,2022-01-23 03:37:21,2,"['train.py', 'utils/callbacks.py']"
#6354,2022-01-20 20:50:17,2022-01-21 04:50:17,2,"['utils/loss.py', 'utils/torch_utils.py']"
#6338,2022-01-18 20:49:26,2022-01-18 10:49:26,2,"['export.py', 'utils/datasets.py']"
#6292,2022-02-18 15:36:46,2022-02-18 23:36:45,2,"['export.py', 'models/common.py']"
#6290,2022-01-14 07:23:03,2022-01-13 21:23:03,2,"['hubconf.py', 'utils/torch_utils.py']"
#6268,2022-01-11 20:13:17,2022-01-11 10:13:17,2,"['detect.py', 'val.py']"
#6230,2022-01-06 19:08:09,2022-01-06 11:08:09,2,"['models/common.py', 'train.py']"
#6196,2022-01-05 03:36:13,2022-01-04 19:36:12,2,"['export.py', 'models/common.py']"
#6195,2022-01-05 01:49:10,2022-01-04 17:49:09,4,"['detect.py', 'export.py', 'models/common.py', 'val.py']"
#6193,2022-01-04 21:39:13,2022-01-04 13:39:13,2,"['export.py', 'models/common.py']"
#6182,2022-01-04 04:08:15,2022-01-03 20:08:15,4,"['detect.py', 'export.py', 'models/common.py', 'val.py']"
#6179,2022-01-03 23:41:27,2022-01-03 15:41:26,4,"['detect.py', 'export.py', 'models/common.py', 'val.py']"
#6151,2022-01-03 00:09:46,2022-01-02 16:09:45,4,"['detect.py', 'export.py', 'train.py', 'val.py']"
#6039,2021-12-23 13:23:51,2021-12-23 05:23:50,3,"['train.py', 'utils/callbacks.py', 'utils/loggers/__init__.py']"
#6021,2021-12-17 13:59:46,2021-12-17 14:59:46,2,"['models/common.py', 'utils/general.py']"
#5991,2021-12-15 14:27:08,2021-12-15 15:27:08,2,"['models/common.py', 'utils/downloads.py']"
#5954,2021-12-11 13:32:18,2021-12-11 14:32:18,2,"['utils/datasets.py', 'utils/general.py']"
#5856,2021-12-02 15:06:46,2021-12-02 16:06:45,5,"['detect.py', 'export.py', 'models/common.py', 'utils/activations.py', 'val.py']"
#5845,2021-12-04 14:00:07,2021-12-04 15:00:07,4,"['export.py', 'hubconf.py', 'models/common.py', 'utils/general.py']"
#5826,2021-11-30 12:52:22,2021-11-30 20:52:22,2,"['export.py', 'models/common.py']"
#5810,2021-11-27 11:29:45,2021-11-27 12:29:45,3,"['detect.py', 'models/common.py', 'val.py']"
#5804,2021-11-26 12:37:28,2021-11-26 13:37:28,3,"['train.py', 'utils/general.py', 'val.py']"
#5775,2021-11-24 22:25:52,2021-11-24 23:25:51,2,"['train.py', 'utils/general.py']"
