file,fileSet
train.py,"['utils/general.py', 'utils/datasets.py', 'utils/loggers/__init__.py', 'utils/callbacks.py', 'models/common.py', 'detect.py', 'export.py', 'val.py', 'utils/callbacks.py', 'utils/loggers/__init__.py', 'utils/general.py', 'val.py', 'utils/general.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/datasets.py', 'utils/datasets.py', 'models/common.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/general.py', 'utils/torch_utils.py', 'hubconf.py', 'utils/general.py', 'utils/torch_utils.py', 'detect.py', 'export.py', 'hubconf.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/flask_rest_api/restapi.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/plots.py', 'val.py', 'detect.py', 'export.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/datasets.py', 'utils/general.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'val.py', 'utils/general.py', 'val.py', 'utils/loggers/__init__.py', 'detect.py', 'export.py', 'val.py', 'utils/autobatch.py', 'utils/torch_utils.py', 'models/yolo.py', 'utils/aws/resume.py', 'models/tf.py', 'models/yolo.py', 'utils/general.py', 'detect.py', 'export.py', 'val.py', 'val.py', 'detect.py', 'hubconf.py', 'utils/autoanchor.py', 'utils/general.py', 'val.py', 'detect.py', 'export.py', 'models/tf.py', 'models/yolo.py', 'utils/datasets.py', 'utils/general.py', 'val.py', 'detect.py', 'export.py', 'models/tf.py', 'models/yolo.py', 'utils/__init__.py', 'utils/aws/resume.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'detect.py', 'export.py', 'models/tf.py', 'utils/general.py', 'val.py', 'detect.py', 'export.py', 'hubconf.py', 'models/yolo.py', 'utils/__init__.py', 'utils/datasets.py', 'utils/general.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'detect.py', 'models/tf.py', 'models/yolo.py', 'utils/datasets.py', 'utils/general.py', 'val.py', 'utils/callbacks.py', 'val.py', 'utils/torch_utils.py', 'utils/loggers/__init__.py', 'detect.py', 'models/common.py', 'utils/general.py', 'utils/plots.py', 'utils/torch_utils.py', 'utils/torch_utils.py']"
utils/general.py,"['train.py', 'utils/plots.py', 'utils/datasets.py', 'export.py', 'models/tf.py', 'utils/datasets.py', 'utils/downloads.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/metrics.py', 'utils/plots.py', 'utils/torch_utils.py', 'utils/plots.py', 'hubconf.py', 'utils/plots.py', 'models/common.py', 'utils/datasets.py', 'export.py', 'hubconf.py', 'models/common.py', 'train.py', 'val.py', 'train.py', 'models/common.py', 'train.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/torch_utils.py', 'detect.py', 'export.py', 'models/common.py', 'utils/torch_utils.py', 'val.py', 'detect.py', 'models/common.py', 'utils/plots.py', 'hubconf.py', 'train.py', 'utils/torch_utils.py', 'detect.py', 'export.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/datasets.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'val.py', 'train.py', 'val.py', 'models/yolo.py', 'utils/augmentations.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'utils/datasets.py', 'utils/loggers/__init__.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'utils/plots.py', 'detect.py', 'models/common.py', 'utils/plots.py', 'utils/datasets.py', 'utils/downloads.py', 'detect.py', 'hubconf.py', 'train.py', 'utils/autoanchor.py', 'val.py', 'detect.py', 'export.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/datasets.py', 'val.py', 'detect.py', 'export.py', 'models/tf.py', 'train.py', 'val.py', 'utils/torch_utils.py', 'export.py', 'detect.py', 'export.py', 'hubconf.py', 'models/yolo.py', 'train.py', 'utils/__init__.py', 'utils/datasets.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'utils/plots.py', 'utils/plots.py', 'detect.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/datasets.py', 'val.py', 'detect.py', 'models/common.py', 'detect.py', 'models/common.py', 'train.py', 'utils/plots.py', 'detect.py', 'export.py', 'models/tf.py', 'detect.py']"
utils/datasets.py,"['train.py', 'utils/general.py', 'export.py', 'models/tf.py', 'utils/downloads.py', 'utils/general.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/metrics.py', 'utils/plots.py', 'utils/torch_utils.py', 'utils/torch_utils.py', 'utils/torch_utils.py', 'detect.py', 'export.py', 'utils/general.py', 'train.py', 'train.py', 'models/common.py', 'train.py', 'utils/augmentations.py', 'utils/general.py', 'utils/torch_utils.py', 'detect.py', 'export.py', 'hubconf.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/augmentations.py', 'utils/flask_rest_api/restapi.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/plots.py', 'val.py', 'detect.py', 'export.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/general.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'val.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'utils/general.py', 'utils/loggers/__init__.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'utils/general.py', 'utils/downloads.py', 'detect.py', 'export.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/general.py', 'val.py', 'detect.py', 'export.py', 'hubconf.py', 'models/yolo.py', 'train.py', 'utils/__init__.py', 'utils/general.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'detect.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/general.py', 'val.py', 'detect.py', 'models/experimental.py', 'models/tf.py']"
export.py,"['models/common.py', 'utils/benchmarks.py', 'val.py', 'models/tf.py', 'utils/datasets.py', 'utils/downloads.py', 'utils/general.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/metrics.py', 'utils/plots.py', 'utils/torch_utils.py', 'utils/datasets.py', 'models/common.py', 'models/common.py', 'detect.py', 'models/common.py', 'val.py', 'models/common.py', 'detect.py', 'models/common.py', 'val.py', 'detect.py', 'models/common.py', 'val.py', 'detect.py', 'train.py', 'val.py', 'detect.py', 'models/common.py', 'utils/activations.py', 'val.py', 'hubconf.py', 'models/common.py', 'utils/general.py', 'models/common.py', 'detect.py', 'models/common.py', 'val.py', 'detect.py', 'models/common.py', 'utils/general.py', 'utils/torch_utils.py', 'val.py', 'detect.py', 'hubconf.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/flask_rest_api/restapi.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/plots.py', 'val.py', 'detect.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/datasets.py', 'utils/general.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'val.py', 'detect.py', 'train.py', 'val.py', 'detect.py', 'train.py', 'val.py', 'models/tf.py', 'detect.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/datasets.py', 'utils/general.py', 'val.py', 'detect.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/__init__.py', 'utils/aws/resume.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'detect.py', 'models/tf.py', 'train.py', 'utils/general.py', 'val.py', 'models/tf.py', 'utils/general.py', 'detect.py', 'hubconf.py', 'models/yolo.py', 'train.py', 'utils/__init__.py', 'utils/datasets.py', 'utils/general.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'detect.py', 'models/tf.py', 'utils/general.py', 'detect.py', 'models/common.py', 'val.py']"
models/common.py,"['export.py', 'utils/benchmarks.py', 'val.py', 'export.py', 'train.py', 'export.py', 'detect.py', 'export.py', 'val.py', 'export.py', 'detect.py', 'export.py', 'val.py', 'detect.py', 'export.py', 'val.py', 'utils/general.py', 'utils/downloads.py', 'detect.py', 'export.py', 'utils/activations.py', 'val.py', 'export.py', 'hubconf.py', 'utils/general.py', 'export.py', 'detect.py', 'val.py', 'detect.py', 'export.py', 'val.py', 'hubconf.py', 'models/yolo.py', 'train.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/general.py', 'utils/torch_utils.py', 'detect.py', 'export.py', 'utils/general.py', 'utils/torch_utils.py', 'val.py', 'detect.py', 'utils/general.py', 'utils/plots.py', 'detect.py', 'export.py', 'hubconf.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/flask_rest_api/restapi.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/plots.py', 'val.py', 'detect.py', 'export.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/datasets.py', 'utils/general.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'val.py', 'models/experimental.py', 'utils/torch_utils.py', 'models/yolo.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'utils/datasets.py', 'utils/general.py', 'utils/loggers/__init__.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'detect.py', 'utils/general.py', 'utils/plots.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'utils/autoanchor.py', 'detect.py', 'utils/general.py', 'detect.py', 'train.py', 'utils/general.py', 'utils/plots.py', 'models/yolo.py', 'detect.py', 'export.py', 'val.py']"
utils/benchmarks.py,"['export.py', 'models/common.py', 'val.py']"
val.py,"['export.py', 'models/common.py', 'utils/benchmarks.py', 'detect.py', 'detect.py', 'detect.py', 'export.py', 'models/common.py', 'detect.py', 'export.py', 'models/common.py', 'detect.py', 'export.py', 'models/common.py', 'detect.py', 'export.py', 'train.py', 'detect.py', 'export.py', 'models/common.py', 'utils/activations.py', 'detect.py', 'models/common.py', 'train.py', 'utils/general.py', 'utils/metrics.py', 'detect.py', 'export.py', 'models/common.py', 'detect.py', 'export.py', 'models/common.py', 'utils/general.py', 'utils/torch_utils.py', 'detect.py', 'export.py', 'hubconf.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/flask_rest_api/restapi.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/plots.py', 'detect.py', 'export.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/datasets.py', 'utils/general.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'train.py', 'utils/general.py', 'detect.py', 'export.py', 'train.py', 'detect.py', 'export.py', 'train.py', 'train.py', 'detect.py', 'hubconf.py', 'train.py', 'utils/autoanchor.py', 'utils/general.py', 'detect.py', 'export.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/datasets.py', 'utils/general.py', 'detect.py', 'export.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/__init__.py', 'utils/aws/resume.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'detect.py', 'export.py', 'models/tf.py', 'train.py', 'utils/general.py', 'utils/plots.py', 'detect.py', 'export.py', 'hubconf.py', 'models/yolo.py', 'train.py', 'utils/__init__.py', 'utils/datasets.py', 'utils/general.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'detect.py', 'detect.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/datasets.py', 'utils/general.py', 'train.py', 'utils/callbacks.py', 'detect.py', 'export.py', 'models/common.py']"
utils/plots.py,"['utils/general.py', 'export.py', 'models/tf.py', 'utils/datasets.py', 'utils/downloads.py', 'utils/general.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/metrics.py', 'utils/torch_utils.py', 'utils/general.py', 'hubconf.py', 'utils/general.py', 'utils/autoanchor.py', 'utils/autobatch.py', 'detect.py', 'models/common.py', 'utils/general.py', 'detect.py', 'export.py', 'hubconf.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/flask_rest_api/restapi.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'detect.py', 'export.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'train.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/datasets.py', 'utils/general.py', 'utils/loss.py', 'utils/torch_utils.py', 'val.py', 'models/common.py', 'models/experimental.py', 'models/tf.py', 'models/yolo.py', 'utils/datasets.py', 'utils/general.py', 'utils/loggers/__init__.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/loss.py', 'utils/torch_utils.py', 'utils/general.py', 'detect.py', 'models/common.py', 'utils/general.py', 'val.py', 'utils/general.py', 'utils/general.py', 'utils/__init__.py', 'utils/metrics.py', 'utils/__init__.py', 'detect.py', 'models/common.py', 'train.py', 'utils/general.py']"
models/tf.py,"['export.py', 'utils/datasets.py', 'utils/downloads.py', 'utils/general.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/metrics.py', 'utils/plots.py', 'utils/torch_utils.py', 'utils/loggers/wandb/wandb_utils.py', 'detect.py', 'export.py', 'hubconf.py', 'models/common.py', 'models/experimental.py', 'models/yolo.py', 'train.py', 'utils/augmentations.py', 'utils/datasets.py', 'utils/flask_rest_api/restapi.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/plots.py', 'val.py', 'detect.py', 'export.py', 'models/common.py', 'models/experimental.py', 'models/yolo.py', 'train.py', 'utils/activations.py', 'utils/augmentations.py', 'utils/autoanchor.py', 'utils/datasets.py', 'utils/general.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'val.py', 'models/yolo.py', 'train.py', 'utils/general.py', 'models/common.py', 'models/experimental.py', 'models/yolo.py', 'utils/datasets.py', 'utils/general.py', 'utils/loggers/__init__.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/loss.py', 'utils/plots.py', 'utils/torch_utils.py', 'models/yolo.py', 'models/yolo.py', 'export.py', 'detect.py', 'export.py', 'models/yolo.py', 'train.py', 'utils/datasets.py', 'utils/general.py', 'val.py', 'detect.py', 'export.py', 'models/yolo.py', 'train.py', 'utils/__init__.py', 'utils/aws/resume.py', 'utils/loggers/wandb/sweep.py', 'utils/loggers/wandb/wandb_utils.py', 'val.py', 'detect.py', 'export.py', 'train.py', 'utils/general.py', 'val.py', 'models/common.py', 'models/experimental.py', 'models/yolo.py', 'utils/autoanchor.py', 'export.py', 'detect.py', 'models/yolo.py', 'train.py', 'utils/datasets.py', 'utils/general.py', 'val.py', 'detect.py', 'export.py', 'utils/general.py', 'detect.py', 'models/experimental.py', 'utils/datasets.py']"
utils/downloads.py,"['export.py', 'models/tf.py', 'utils/datasets.py', 'utils/general.py', 'utils/loggers/wandb/wandb_utils.py', 'utils/metrics.py', 'utils/plots.py', 'utils/torch_utils.py', 'models/common.py', 'utils/general.py', 'utils/datasets.py']"
